Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,34.355127573013306,,,,0.0
0/20,1/20,100,10000,171.09716534614563,0.273360975086689,6.743980087339878,3.68939109146595,0.0
0/20,2/20,150,15000,202.64554953575134,4.611587782739662,545.7358800023794,21.77001978037879,0.0
0/20,3/20,200,20000,211.968026638031,26.203292325139046,940.5089907050133,20.789374857209623,0.0
0/20,4/20,250,25000,212.44377088546753,35.945688215084374,1272.9863387942314,27.7312439866364,0.0
0/20,5/20,300,30000,211.21147990226746,44.47163558751345,1607.3243616819382,45.08831468503922,0.0
0/20,6/20,350,35000,210.74339127540588,45.03178635984659,1859.2152299880981,58.49550455901772,0.0
0/20,7/20,400,40000,210.9246289730072,49.60712751746178,2067.640303373337,87.55734392628074,0.0
0/20,8/20,450,45000,212.15354323387146,56.32485402747989,2283.064319252968,95.4381461609155,0.0
0/20,9/20,500,50000,212.5134997367859,59.09904136136174,2486.504555940628,114.40665229782462,0.0
0/20,10/20,550,55000,210.4356725215912,63.024392891675234,2666.6281200647354,132.90670519694686,0.0
0/20,11/20,600,60000,210.29106736183167,65.06282238662243,2730.2733261585236,151.68454883620143,0.0
0/20,12/20,650,65000,207.39886569976807,65.48190582171082,2783.3245342969894,165.2443070411682,0.0
0/20,13/20,700,70000,209.4983081817627,68.75354364141822,2881.92963719368,172.2415736950934,0.0
0/20,14/20,750,75000,206.56294965744019,70.10995255038142,2904.7728847265244,187.41933632269502,0.0
0/20,15/20,800,80000,210.85787534713745,75.13656445965171,2903.0802162885666,205.91982213035226,0.0
0/20,16/20,850,85000,210.52742171287537,79.6021580286324,2921.7292038202286,225.50000120699406,0.0
0/20,17/20,900,90000,210.34902429580688,81.4608277566731,2898.537962794304,230.0356512144208,0.0
0/20,18/20,950,95000,211.6976957321167,85.94060412794352,2879.412692427635,241.55132399499416,0.0
0/20,19/20,1000,100000,209.15655422210693,88.35636410489678,2917.472192287445,249.88410268723965,0.0
1/20,0/20,1050,105000,209.33640050888062,89.63143603131175,2909.200746655464,260.80759404599667,0.0
1/20,1/20,1100,110000,207.08650469779968,89.89165824279189,2937.986875772476,268.6725799664855,0.0
1/20,2/20,1150,115000,207.22843885421753,89.40979133546352,2943.874758005142,275.1349446102977,0.0
1/20,3/20,1200,120000,206.65962195396423,89.1247409582138,2963.1236723661423,288.6853504702449,0.0
1/20,4/20,1250,125000,211.19278120994568,91.7974654585123,3052.58477973938,294.08252715319395,0.0
