Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,33.21246337890625,,,,0.0
0/20,1/20,100,10000,163.65206217765808,5.596915170550346,3.9636778235435486,0.21530727576464415,0.0
0/20,2/20,150,15000,195.66413116455078,508.20393443107605,21.129278413951397,4.546251068357378,0.0
0/20,3/20,200,20000,207.53854513168335,964.6812514066696,18.4866725881584,20.091036992147565,0.0
0/20,4/20,250,25000,206.08107137680054,1316.2874682545662,25.1056509334594,31.802429530769587,0.0
0/20,5/20,300,30000,204.13245391845703,1669.0019572973251,38.59930469095707,31.808552199974656,0.0
0/20,6/20,350,35000,204.58919024467468,1918.2924846410751,57.266389885917306,38.17202002182603,0.0
0/20,7/20,400,40000,206.84561038017273,2100.0263378620148,71.89339807629585,47.36177968420088,0.0
0/20,8/20,450,45000,206.10136485099792,2270.054258108139,93.8219098597765,52.67630601301789,0.0
0/20,9/20,500,50000,207.36772894859314,2419.425091147423,118.6469426676631,53.94222020916641,0.0
0/20,10/20,550,55000,201.51398348808289,2505.155491232872,143.64055965468287,61.45980291441083,0.0
0/20,11/20,600,60000,203.28630089759827,2601.5020557641983,167.35486982390285,68.0276030190289,0.0
0/20,12/20,650,65000,204.07494974136353,2696.0216068029404,180.20652271062136,74.23521985113621,0.0
0/20,13/20,700,70000,205.8213472366333,2739.865202665329,205.208962675184,73.94843432679772,0.0
0/20,14/20,750,75000,203.0196225643158,2793.371358156204,197.56541157513857,78.28184890002012,0.0
0/20,15/20,800,80000,198.9570677280426,2784.4575127363205,225.67778862267733,85.34831516817212,0.0
0/20,16/20,850,85000,203.5454318523407,2748.2407829761505,228.77746956050396,83.60635943338275,0.0
0/20,17/20,900,90000,207.8635232448578,2783.2246104478836,259.8865198120475,83.24070775136352,0.0
0/20,18/20,950,95000,206.31062197685242,2768.7761577367783,232.0598496645689,84.84930079430342,0.0
0/20,19/20,1000,100000,211.53285837173462,2834.460015654564,239.49283261597157,85.33098383620381,0.0
1/20,0/20,1050,105000,207.41483879089355,2836.641199350357,249.7630245089531,86.95923533663154,0.0
1/20,1/20,1100,110000,206.21838855743408,2832.7934144735336,272.5161077454686,89.85055511444807,0.0
1/20,2/20,1150,115000,206.49990344047546,2848.112004876137,285.53454076498747,93.13560708239675,0.0
1/20,3/20,1200,120000,205.07480716705322,2800.007033109665,265.9135069400072,92.31648721545935,0.0
1/20,4/20,1250,125000,206.21755456924438,2806.523013830185,272.67207576334476,91.09371822327375,0.0
1/20,5/20,1300,130000,205.50980949401855,2858.2914929389954,295.9528581723571,93.9018366932869,0.0
1/20,6/20,1350,135000,205.30684161186218,2892.708683371544,313.2437076345086,93.57924138754606,0.0
1/20,7/20,1400,140000,201.9679193496704,2924.8465398550034,308.6108158528805,95.2870586104691,0.0
1/20,8/20,1450,145000,199.5388286113739,2913.4550507068634,304.4803777039051,95.71929824352264,0.0
1/20,9/20,1500,150000,199.53296422958374,2911.1651874780655,311.0093752965331,95.02000084519386,0.0
1/20,10/20,1550,155000,203.17547082901,2968.824557542801,311.2603942081332,99.07765576988459,0.0
1/20,11/20,1600,160000,209.58940052986145,2962.102970600128,317.66052532941103,101.50649014860392,0.0
1/20,12/20,1650,165000,210.04143953323364,3007.780554294586,340.7970125749707,102.91247923672199,0.0
1/20,13/20,1700,170000,209.79568314552307,3008.014137864113,323.3531508743763,104.92421581596136,0.0
1/20,14/20,1750,175000,205.61219930648804,3043.383733034134,348.9784882515669,106.0239159911871,0.0
1/20,15/20,1800,180000,204.37454438209534,3045.5823365449905,322.4294796362519,105.73664876818657,0.0
1/20,16/20,1850,185000,202.1653072834015,3067.245486021042,363.6441518366337,103.6326482668519,0.0
1/20,17/20,1900,190000,203.92222619056702,3072.4040973186493,337.56933449208736,108.06578219681978,0.0
1/20,18/20,1950,195000,200.2672426700592,3111.319872021675,359.7983191534877,108.5261153280735,0.0
1/20,19/20,2000,200000,210.28379201889038,3159.221096754074,342.1416524127126,108.73534993827343,0.0
2/20,0/20,2050,205000,214.70609521865845,3194.7263989448547,358.20597633719444,108.83429194241762,0.0
2/20,1/20,2100,210000,213.84051489830017,3230.5837256908417,359.96785113960505,111.1174244582653,0.0
