Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,37.57727265357971,,,,0.0
0/20,1/20,100,10000,157.65065121650696,2.894969880580902,5.602725696749985,0.19712285697460175,0.0
0/20,2/20,150,15000,194.53045558929443,16.019886877387762,499.13894614577293,4.215353010455146,0.0
0/20,3/20,200,20000,201.43550944328308,15.066174263134599,899.9441900849342,15.508731754263863,0.0
0/20,4/20,250,25000,202.70950889587402,21.44151716073975,1213.7104353904724,25.26221067737788,0.0
0/20,5/20,300,30000,194.1241536140442,30.834615292958915,1533.9912215471268,27.838153764605522,0.0
0/20,6/20,350,35000,194.79751133918762,44.979764038696885,1808.1469391584396,29.445646340958774,0.0
0/20,7/20,400,40000,202.51419854164124,68.3108646068722,2043.2455872297287,35.93982922658324,0.0
0/20,8/20,450,45000,199.663649559021,80.89604749903083,2220.2529267072678,36.50345020927489,0.0
0/20,9/20,500,50000,197.8674440383911,91.80252788029611,2394.2477366924286,38.21987267024815,0.0
0/20,10/20,550,55000,195.91412138938904,115.4632520955056,2519.2331496477127,41.908036382868886,0.0
0/20,11/20,600,60000,198.68223214149475,120.0883065238595,2660.3586336374283,48.80011330358684,0.0
0/20,12/20,650,65000,196.45568013191223,131.1667116880417,2699.0970381498337,53.267441207543015,0.0
0/20,13/20,700,70000,197.8022918701172,137.8546625971794,2752.5304547548294,53.29906225949526,0.0
0/20,14/20,750,75000,197.18505191802979,156.91880349069834,2821.3680963516235,58.958844643086195,0.0
0/20,15/20,800,80000,195.38501620292664,180.9526778422296,2876.9118990898132,61.10178494825959,0.0
0/20,16/20,850,85000,204.04917740821838,180.9855164512992,2870.059645652771,62.25171798840165,0.0
0/20,17/20,900,90000,203.15852880477905,192.7549010142684,2919.6056436300278,72.32996031269431,0.0
0/20,18/20,950,95000,198.91303086280823,209.4295099824667,2931.754467368126,75.04590868204832,0.0
0/20,19/20,1000,100000,200.7758059501648,225.210816077888,2917.4838161468506,77.1110453531146,0.0
1/20,0/20,1050,105000,196.51043820381165,237.35432273894548,2895.1283011436462,80.75002195686102,0.0
1/20,1/20,1100,110000,198.57740354537964,247.46814313530922,2885.139960169792,80.22399059310555,0.0
1/20,2/20,1150,115000,199.77482295036316,259.8236441016197,2926.8204151391983,78.97592052444816,0.0
1/20,3/20,1200,120000,197.16686630249023,260.8386611863971,2926.2622816562653,81.33714505657554,0.0
1/20,4/20,1250,125000,197.32578253746033,280.90160366892815,2969.0926806926727,84.79668879136443,0.0
1/20,5/20,1300,130000,200.8363311290741,287.1913632526994,2945.154070854187,88.51788986474276,0.0
1/20,6/20,1350,135000,200.3045494556427,320.91308088600636,2971.6651735305786,88.33509727567434,0.0
1/20,7/20,1400,140000,201.62404942512512,317.8472504988313,2999.254521369934,90.96715833619237,0.0
1/20,8/20,1450,145000,201.3854694366455,339.374857082963,2968.6954550743103,91.55807481333613,0.0
1/20,9/20,1500,150000,198.62446904182434,303.699178814888,2939.307301878929,91.35811043158174,0.0
1/20,10/20,1550,155000,198.97138833999634,321.96436573565006,2922.99947142601,92.00338785350323,0.0
1/20,11/20,1600,160000,205.89544939994812,321.7301708608866,2961.5236605405807,90.35549017041922,0.0
1/20,12/20,1650,165000,205.2553219795227,340.1859466060996,2949.7956537008286,92.05218882486224,0.0
1/20,13/20,1700,170000,200.69869112968445,344.34757898002863,2965.2782398462296,91.71407428011298,0.0
1/20,14/20,1750,175000,202.40777277946472,352.17565697431564,2974.315281867981,89.94652988761663,0.0
1/20,15/20,1800,180000,198.86977458000183,340.2571300640702,3035.5954370498657,91.36834447458386,0.0
1/20,16/20,1850,185000,201.2515389919281,355.7288094609976,3059.450296640396,92.45750075951219,0.0
1/20,17/20,1900,190000,201.92965650558472,387.3077118843794,3013.7708752155304,91.88970573619008,0.0
1/20,18/20,1950,195000,201.51994252204895,385.06935554742813,3113.9068855047226,95.64825575053692,0.0
1/20,19/20,2000,200000,202.56301188468933,387.7429536283016,3190.135249376297,98.4029306396842,0.0
2/20,0/20,2050,205000,203.05836081504822,369.4265042990446,3218.298739671707,97.72999127209187,0.0
2/20,1/20,2100,210000,202.73894023895264,384.67803310602903,3208.7036992311478,98.62446630001068,0.0
