Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,44.37935662269592,,,,0.0
0/20,1/20,100,10000,174.23083305358887,4.043102040886879,8.70005851984024,0.2055428260937333,0.0
0/20,2/20,150,15000,202.99161052703857,25.976085089612752,695.6443443000317,5.111568172462285,0.0
0/20,3/20,200,20000,200.88534545898438,23.69310472626239,1090.713420510292,19.013492295052856,0.0
0/20,4/20,250,25000,206.36546516418457,34.22755143139511,1385.8434185385704,34.20222372189164,0.0
0/20,5/20,300,30000,207.2639877796173,52.72708664741367,1672.829361796379,37.75183213502169,0.0
0/20,6/20,350,35000,207.4483518600464,61.89622357673943,1952.0207144021988,45.30297543480992,0.0
0/20,7/20,400,40000,207.9296169281006,76.53679787926376,2138.8545941114426,54.371231500059366,0.0
0/20,8/20,450,45000,203.64451098442078,91.18194162100554,2297.660754084587,57.88278876245022,0.0
0/20,9/20,500,50000,207.69470191001892,108.79682173393667,2436.4996728897095,63.74464030563831,0.0
0/20,10/20,550,55000,212.42741417884827,130.3013516291976,2584.240329504013,64.12006179615855,0.0
0/20,11/20,600,60000,206.25818967819214,140.5922618843615,2635.0142483711243,68.2089126445353,0.0
0/20,12/20,650,65000,206.623868227005,153.3582691848278,2703.1742597818375,72.34744903072715,0.0
0/20,13/20,700,70000,207.00513076782227,158.23463529720902,2785.099308848381,70.245157815516,0.0
0/20,14/20,750,75000,213.25830054283142,176.18084167316556,2876.0570434331894,74.93759211152792,0.0
0/20,15/20,800,80000,206.69854712486267,195.84975634142756,2916.485169649124,79.02085806429386,0.0
0/20,16/20,850,85000,211.26283478736877,213.8962489888072,2965.4384021759033,83.5550185739994,0.0
0/20,17/20,900,90000,212.24921083450317,232.61945236474276,2975.345776319504,86.19935559108853,0.0
0/20,18/20,950,95000,213.23270678520203,225.85466977208853,2962.16832113266,93.1077099442482,0.0
0/20,19/20,1000,100000,213.0340006351471,266.5340222492814,2976.380670905113,94.97196248173714,0.0
1/20,0/20,1050,105000,213.7208662033081,277.0393275767565,3043.7149552106857,94.11785382404923,0.0
1/20,1/20,1100,110000,213.26726841926575,284.92480171471834,3083.1368210315704,89.76144855841994,0.0
1/20,2/20,1150,115000,212.80908823013306,293.5682771205902,3092.727637410164,93.04745746031404,0.0
1/20,3/20,1200,120000,211.16578125953674,305.0473808571696,3090.5216891765594,96.21559377759695,0.0
1/20,4/20,1250,125000,220.993243932724,303.30367957800627,3028.5024716854095,97.77420518547297,0.0
1/20,5/20,1300,130000,224.01738333702087,300.80914755910635,2956.8756181001663,96.99763306975365,0.0
1/20,6/20,1350,135000,222.67340517044067,290.71797996759415,2866.321736574173,95.07557364553213,0.0
1/20,7/20,1400,140000,227.78505945205688,288.36785766482353,2865.09468126297,95.31902392953634,0.0
1/20,8/20,1450,145000,227.72955751419067,271.4248126000166,2828.237564563751,96.46453565359116,0.0
1/20,9/20,1500,150000,226.57744932174683,293.22452945262194,2865.0534167289734,98.93071709573269,0.0
1/20,10/20,1550,155000,234.34462666511536,304.22607589513063,2891.1992111206055,100.41225139051676,0.0
1/20,11/20,1600,160000,224.05551648139954,306.82008372992277,2946.900707244873,100.26564376801252,0.0
1/20,12/20,1650,165000,223.65800094604492,339.1419468522072,2989.2087029218674,100.8494763225317,0.0
1/20,13/20,1700,170000,228.3058042526245,306.8580933138728,2975.7089500427246,101.81967929005623,0.0
1/20,14/20,1750,175000,222.77273631095886,331.70175137370825,3008.722228884697,101.01129569113255,0.0
1/20,15/20,1800,180000,231.82282614707947,322.6464407816529,3074.0486176013947,101.3840319737792,0.0
1/20,16/20,1850,185000,224.9605793952942,329.80625650286674,3119.618612766266,103.35932801663876,0.0
1/20,17/20,1900,190000,229.91249752044678,344.4628356769681,3197.039231300354,102.78232884407043,0.0
1/20,18/20,1950,195000,226.8887255191803,337.0710582062602,3208.4294469356537,104.84527641534805,0.0
1/20,19/20,2000,200000,224.61353158950806,373.71870625019073,3240.5986045598984,104.62575157731771,0.0
2/20,0/20,2050,205000,223.77651691436768,371.0077756717801,3263.8239324092865,108.71248158067465,0.0
2/20,1/20,2100,210000,222.68151140213013,367.0172307193279,3320.3632299900055,108.00668935477734,0.0
2/20,2/20,2150,215000,225.28152775764465,382.8138838708401,3373.4257645606995,110.80305255949497,0.0
2/20,3/20,2200,220000,224.33824563026428,390.89024321734905,3447.2704861164093,109.14060172438622,0.0
2/20,4/20,2250,225000,221.75902342796326,422.65974024683237,3491.3269011974335,112.36861085146666,0.0
2/20,5/20,2300,230000,233.81589341163635,419.52682723104954,3558.9659917354584,115.29957829415798,0.0
2/20,6/20,2350,235000,227.13405394554138,452.21712961792946,3658.068692445755,117.46028811484575,0.0
2/20,7/20,2400,240000,222.3435788154602,420.69096821546555,3723.240986585617,118.17683587223291,0.0
2/20,8/20,2450,245000,221.39719891548157,440.95601561665535,3776.9536442756653,118.54494708031416,0.0
2/20,9/20,2500,250000,220.64251518249512,447.6386913359165,3858.0404500961304,118.48681040108204,0.0
2/20,10/20,2550,255000,221.25067448616028,430.85143864154816,3875.303704738617,120.21710916608572,0.0
2/20,11/20,2600,260000,221.70925974845886,450.1250834465027,3939.4528229236603,120.10086321085691,0.0
2/20,12/20,2650,265000,218.2166199684143,448.72293394804,3949.520974636078,121.1679826900363,0.0
2/20,13/20,2700,270000,219.96728014945984,441.54249104857445,4033.285210609436,122.91459719091654,0.0
2/20,14/20,2750,275000,219.60625553131104,414.9185382425785,4041.6704733371735,123.77446994185448,0.0
2/20,15/20,2800,280000,215.614661693573,389.35819314420223,4086.778341770172,126.47568368166685,0.0
2/20,16/20,2850,285000,214.29850363731384,424.6512897014618,4125.073328256607,125.19271098822355,0.0
2/20,17/20,2900,290000,214.349289894104,384.87829123437405,4188.760309457779,125.21883495897055,0.0
2/20,18/20,2950,295000,217.65659427642822,415.42319591343403,4256.879613399506,123.53516338765621,0.0
2/20,19/20,3000,300000,221.7201793193817,440.9988345950842,4335.3565838336945,125.80869545787573,0.0
3/20,0/20,3050,305000,218.27588534355164,431.21092653274536,4360.774856090546,126.15944537520409,0.0
3/20,1/20,3100,310000,216.545729637146,442.200535684824,4435.630049228668,129.94005358219147,0.0
3/20,2/20,3150,315000,219.00225734710693,434.01601289212704,4417.726523160934,130.91353404521942,0.0
3/20,3/20,3200,320000,216.73743844032288,416.84248196333647,4455.472574710846,131.4182728305459,0.0
3/20,4/20,3250,325000,216.25735092163086,421.4381520450115,4444.4499771595,133.584732696414,0.0
3/20,5/20,3300,330000,217.16360187530518,413.0674863308668,4487.5465450286865,131.76601570099592,0.0
3/20,6/20,3350,335000,220.1108193397522,396.0885133892298,4458.0860247612,130.56934623420238,0.0
3/20,7/20,3400,340000,220.54279375076294,390.75823494791985,4508.881467580795,132.3292157649994,0.0
3/20,8/20,3450,345000,218.19041967391968,404.3749243468046,4532.227780342102,132.36989431083202,0.0
3/20,9/20,3500,350000,216.79938340187073,387.393841996789,4580.586626291275,132.7886007130146,0.0
3/20,10/20,3550,355000,222.4798538684845,409.8949775993824,4628.700134754181,130.4318793937564,0.0
3/20,11/20,3600,360000,224.62762784957886,374.76760852336884,4650.213159799576,133.41492564231157,0.0
3/20,12/20,3650,365000,219.25622057914734,383.4801528900862,4741.563375234604,134.207353413105,0.0
3/20,13/20,3700,370000,221.88814425468445,374.43369847536087,4809.885811090469,136.72851108759642,0.0
3/20,14/20,3750,375000,222.67960667610168,400.7114729434252,4811.606486320496,138.97754826396704,0.0
3/20,15/20,3800,380000,224.47095322608948,400.99697859585285,4841.958828687668,138.31362960487604,0.01
3/20,16/20,3850,385000,225.78079676628113,386.7234376966953,4898.7632694244385,138.96186792850494,0.0
3/20,17/20,3900,390000,225.23459100723267,383.5624587982893,4897.949524641037,135.1920381858945,0.0
3/20,18/20,3950,395000,221.82690858840942,392.08273173868656,4920.834757328033,137.6252452880144,0.0
3/20,19/20,4000,400000,225.21644186973572,368.85636024177074,4939.301571130753,141.50162655860186,0.0
4/20,0/20,4050,405000,225.2243766784668,379.1086135059595,4967.947156190872,140.68155101686716,0.01
4/20,1/20,4100,410000,75.01731753349304,355.98269721865654,4959.679513454437,142.64037514477968,0.06
4/20,2/20,4150,415000,79.59866046905518,381.9575043320656,5014.984580039978,143.83451137691736,0.05
4/20,3/20,4200,420000,77.3610429763794,370.5518656298518,5040.37663769722,142.31777145713568,0.03
4/20,4/20,4250,425000,76.54698348045349,391.89421728253365,5065.584550380707,144.35147336870432,0.12
4/20,5/20,4300,430000,81.46753740310669,360.38801738619804,5090.990395307541,144.84952595084906,0.25
4/20,6/20,4350,435000,77.20256853103638,357.0453589782119,5157.744485616684,144.7420156672597,0.1
4/20,7/20,4400,440000,79.01606249809265,371.6576884239912,5193.208116054535,145.6872307509184,0.18
4/20,8/20,4450,445000,79.65675282478333,371.5265539139509,5241.709652900696,145.80918262153864,0.17
4/20,9/20,4500,450000,76.72302079200745,351.4734205082059,5270.525291442871,144.46053468436003,0.12
4/20,10/20,4550,455000,82.1700930595398,333.9873007386923,5327.79762506485,144.33671859651804,0.04
4/20,11/20,4600,460000,77.13418054580688,363.83684945106506,5381.883185863495,144.99213881790638,0.33
4/20,12/20,4650,465000,79.53252148628235,375.32137789577246,5429.898283958435,143.97265873849392,0.07
4/20,13/20,4700,470000,82.83041501045227,358.63915088772774,5451.541286945343,143.86964778602123,0.03
4/20,14/20,4750,475000,76.39375376701355,348.1027998775244,5471.338906288147,147.27980286628008,0.08
4/20,15/20,4800,480000,78.17075872421265,364.2322956472635,5555.050133228302,147.66890920698643,0.03
4/20,16/20,4850,485000,78.66182923316956,378.0444974154234,5624.911692142487,146.63901830464602,0.05
4/20,17/20,4900,490000,75.52415657043457,360.99222657084465,5605.037955999374,148.33357203006744,0.17
4/20,18/20,4950,495000,80.06621599197388,355.1232221648097,5677.62664604187,149.90404800325632,0.14
4/20,19/20,5000,500000,76.5263237953186,386.84284196794033,5768.756513118744,149.32053419202566,0.16
5/20,0/20,5050,505000,75.07197451591492,379.13196731358767,5805.224060058594,150.4904164969921,0.37
5/20,1/20,5100,510000,78.70010042190552,401.31154511868954,5833.300376415253,150.66964656114578,0.37
5/20,2/20,5150,515000,74.19860792160034,393.6523573100567,5886.7579917907715,149.43488643318415,0.27
5/20,3/20,5200,520000,74.26865601539612,350.1550093367696,5924.201081752777,151.87198588252068,0.38
5/20,4/20,5250,525000,77.8247663974762,361.22150415182114,5988.7912402153015,153.20678705722094,0.24
5/20,5/20,5300,530000,75.4501039981842,391.8146532177925,6045.636008739471,152.46091236174107,0.36
5/20,6/20,5350,535000,75.4288215637207,403.66495341062546,6072.991632938385,151.7861937135458,0.44
5/20,7/20,5400,540000,78.02447319030762,373.71283803880215,6133.617125511169,154.20265009999275,0.4
5/20,8/20,5450,545000,74.77203273773193,367.54755910485983,6184.540769100189,154.24338843673468,0.44
5/20,9/20,5500,550000,76.89314603805542,374.9047808945179,6251.119962692261,153.71475018560886,0.11
5/20,10/20,5550,555000,74.34088230133057,404.92864307016134,6280.082190990448,153.49681689590216,0.52
5/20,11/20,5600,560000,72.803147315979,366.7425546050072,6383.268836021423,154.06861866265535,0.31
5/20,12/20,5650,565000,77.45518660545349,376.5516609624028,6419.765528202057,154.7869822010398,0.71
5/20,13/20,5700,570000,74.6788158416748,380.5426983088255,6482.868493080139,156.2265510186553,0.57
5/20,14/20,5750,575000,72.73328447341919,372.1998319923878,6552.652711391449,156.19107615947723,0.65
5/20,15/20,5800,580000,76.55742716789246,350.63425999879837,6607.553463935852,158.12670232355595,0.65
5/20,16/20,5850,585000,74.59445285797119,360.43924917280674,6656.963423728943,159.43032756447792,0.68
5/20,17/20,5900,590000,73.78963923454285,363.18609742820263,6708.503971576691,157.13349010050297,0.63
5/20,18/20,5950,595000,78.39210295677185,398.4758950471878,6787.735772609711,159.01127971708775,0.53
5/20,19/20,6000,600000,75.46194767951965,389.4846586585045,6802.507657527924,159.92313706874847,0.62
6/20,0/20,6050,605000,75.28500533103943,383.57352904230356,6849.714771747589,159.07346086204052,0.54
6/20,1/20,6100,610000,78.44346642494202,388.1765057146549,6878.023136615753,159.22649052739143,0.46
6/20,2/20,6150,615000,73.29367232322693,386.09311919659376,6884.452857017517,162.38681375980377,0.52
6/20,3/20,6200,620000,75.91737103462219,379.73065636307,6994.441836833954,163.81937873363495,0.67
6/20,4/20,6250,625000,74.72753548622131,373.95525781810284,7008.655323982239,165.65470887720585,0.7
6/20,5/20,6300,630000,72.77370285987854,426.1310533583164,7014.216846942902,163.53853100538254,0.63
6/20,6/20,6350,635000,76.92383527755737,379.3275874555111,7029.051414012909,162.1171182245016,0.75
6/20,7/20,6400,640000,74.99539732933044,394.5125301927328,7111.376808643341,165.36749286949635,0.73
6/20,8/20,6450,645000,75.0836672782898,362.1686520949006,7136.501628875732,166.41371807456017,0.7
6/20,9/20,6500,650000,78.67652773857117,370.9518977403641,7134.6999526023865,164.63310411572456,0.65
6/20,10/20,6550,655000,78.59119629859924,408.3553002923727,7141.244290351868,163.78839072585106,0.56
6/20,11/20,6600,660000,77.96686792373657,365.0178323984146,7180.063697814941,166.14664874970913,0.49
6/20,12/20,6650,665000,77.96177911758423,364.2039579898119,7187.458823680878,168.54030326008797,0.59
6/20,13/20,6700,670000,77.40547704696655,393.84904012829065,7207.881106853485,167.25028912723064,0.61
6/20,14/20,6750,675000,77.68580937385559,357.2231800407171,7237.616685390472,167.2237140238285,0.43
6/20,15/20,6800,680000,77.0888352394104,394.6876685768366,7224.6578006744385,166.88420270383358,0.76
6/20,16/20,6850,685000,78.97150230407715,377.79874719679356,7254.295357227325,167.97160735726357,0.6
6/20,17/20,6900,690000,77.58869481086731,351.6750399172306,7225.985489845276,170.07779264450073,0.74
6/20,18/20,6950,695000,77.0766966342926,370.8110326975584,7242.101463794708,170.48247501254082,0.81
6/20,19/20,7000,700000,78.75587558746338,379.3690488934517,7256.161995410919,167.20996367931366,0.74
7/20,0/20,7050,705000,80.14604139328003,345.71816124767065,7255.653125762939,166.88472692668438,0.63
7/20,1/20,7100,710000,78.29078388214111,355.1058136448264,7295.554696083069,165.9739372730255,0.86
7/20,2/20,7150,715000,78.47884941101074,400.5340016782284,7336.146133422852,167.59427499771118,0.79
7/20,3/20,7200,720000,78.2005512714386,361.43926874548197,7332.333409786224,167.39981125295162,0.81
7/20,4/20,7250,725000,77.53394436836243,395.43027380108833,7400.294193744659,169.43154099583626,0.79
7/20,5/20,7300,730000,78.63333010673523,397.0848798081279,7371.463731765747,166.66235940158367,0.87
7/20,6/20,7350,735000,78.36326551437378,345.5407023280859,7388.159936904907,168.76656998693943,0.87
7/20,7/20,7400,740000,78.84937691688538,338.27945180237293,7386.787260055542,167.6470944583416,0.76
7/20,8/20,7450,745000,78.63932847976685,329.6119473800063,7396.859457015991,167.73115645349026,0.74
7/20,9/20,7500,750000,77.43494534492493,380.3435532748699,7394.856996059418,168.66034011542797,0.87
7/20,10/20,7550,755000,77.69250893592834,326.01585948467255,7374.363109111786,171.0043703764677,0.74
7/20,11/20,7600,760000,78.35409927368164,341.10254499316216,7379.912792205811,171.28544269502163,0.8
7/20,12/20,7650,765000,77.01149129867554,376.6153697222471,7385.332373142242,173.7183931618929,0.78
7/20,13/20,7700,770000,79.10457253456116,367.7982347458601,7406.300096511841,170.36192387342453,0.89
7/20,14/20,7750,775000,78.80300450325012,351.81820844113827,7357.367260456085,171.12057656049728,0.78
7/20,15/20,7800,780000,76.76006770133972,365.8866373896599,7388.165730476379,172.5563461780548,0.77
7/20,16/20,7850,785000,78.05343508720398,325.4295615553856,7392.035422325134,175.17918056249619,0.82
7/20,17/20,7900,790000,78.17831921577454,329.23160383850336,7385.478572368622,171.85136994719505,0.78
7/20,18/20,7950,795000,77.22406840324402,326.88101337850094,7400.650179386139,170.7018235474825,0.81
7/20,19/20,8000,800000,78.65390968322754,302.5128621906042,7429.045698165894,171.9298007786274,0.77
8/20,0/20,8050,805000,79.76996803283691,311.5447765439749,7397.736790180206,174.60123048722744,0.73
8/20,1/20,8100,810000,79.68238735198975,321.8296183794737,7368.196840286255,174.48562932014465,0.63
8/20,2/20,8150,815000,78.92887735366821,328.37674467265606,7364.604563236237,175.25492575764656,0.79
8/20,3/20,8200,820000,77.88728928565979,306.9681724756956,7364.508121967316,173.24428023397923,0.75
8/20,4/20,8250,825000,79.63264465332031,323.9177390560508,7359.807656764984,174.20562779903412,0.71
8/20,5/20,8300,830000,80.32585191726685,313.16589264571667,7409.415950298309,173.8887275904417,0.76
8/20,6/20,8350,835000,78.4008059501648,315.0554197356105,7379.521198272705,171.5311614573002,0.78
8/20,7/20,8400,840000,78.8283851146698,293.98572039604187,7436.724371910095,172.32877980172634,0.85
8/20,8/20,8450,845000,78.47964811325073,329.69308077543974,7415.706100463867,174.94119991362095,0.85
8/20,9/20,8500,850000,79.21724510192871,315.7565117701888,7376.586119651794,174.3486330062151,0.88
8/20,10/20,8550,855000,79.72453498840332,344.31066232919693,7383.468726158142,172.7883802652359,0.87
8/20,11/20,8600,860000,81.23752880096436,332.8504298180342,7379.3930830955505,172.0172194391489,0.84
8/20,12/20,8650,865000,79.84705090522766,301.1426317244768,7409.636504650116,170.51549398899078,0.82
8/20,13/20,8700,870000,80.73432040214539,317.26843502372503,7376.242928981781,174.66227114200592,0.83
8/20,14/20,8750,875000,79.26876616477966,325.39207980036736,7370.841626167297,175.178850710392,0.83
8/20,15/20,8800,880000,78.77259397506714,314.4989454448223,7369.185933113098,177.33765736222267,0.72
8/20,16/20,8850,885000,79.16872549057007,341.7095074430108,7385.231147766113,173.83994683623314,0.72
8/20,17/20,8900,890000,78.44255447387695,304.55539386719465,7380.950702667236,174.30399376153946,0.71
8/20,18/20,8950,895000,76.71232557296753,334.3605463951826,7396.553124904633,171.15637862682343,0.83
8/20,19/20,9000,900000,78.54953098297119,303.22462736070156,7406.4463763237,172.6964848935604,0.81
9/20,0/20,9050,905000,78.31582283973694,334.15095730125904,7423.622264862061,172.89496429264545,0.84
9/20,1/20,9100,910000,78.76854014396667,342.3419480472803,7485.517266750336,168.3160855472088,0.81
9/20,2/20,9150,915000,78.96113753318787,338.93187279999256,7470.047248840332,167.49643138051033,0.9
9/20,3/20,9200,920000,77.64986777305603,340.8170300498605,7555.458987236023,174.51191478967667,0.68
9/20,4/20,9250,925000,79.80999898910522,341.2234603986144,7521.472150802612,169.92857904732227,0.8
9/20,5/20,9300,930000,78.92722392082214,330.0955181196332,7529.104922294617,174.10016225278378,0.76
9/20,6/20,9350,935000,79.02334666252136,288.24769999086857,7509.261177539825,175.69507791101933,0.84
9/20,7/20,9400,940000,77.62058424949646,319.8903148919344,7478.218039512634,176.39959229528904,0.8
9/20,8/20,9450,945000,78.59439826011658,326.32101541012526,7450.99742937088,174.48294779658318,0.67
9/20,9/20,9500,950000,77.34368872642517,363.0784813910723,7462.7863945961,172.95761582255363,0.86
9/20,10/20,9550,955000,79.43690156936646,307.1769241914153,7427.084357738495,177.8510480672121,0.74
9/20,11/20,9600,960000,78.43337202072144,314.8745651245117,7432.027446269989,175.1810983121395,0.82
9/20,12/20,9650,965000,78.23180294036865,322.39494352042675,7418.555760383606,174.58888843655586,0.82
9/20,13/20,9700,970000,79.68469762802124,302.5669798925519,7407.860887527466,173.01457098126411,0.82
9/20,14/20,9750,975000,80.34628248214722,281.33748976141214,7414.631943225861,175.39998170733452,0.87
9/20,15/20,9800,980000,77.57074642181396,286.3407221585512,7435.776800632477,173.54402333498,0.82
9/20,16/20,9850,985000,79.72876644134521,304.1547546759248,7451.525627613068,176.7214901894331,0.67
9/20,17/20,9900,990000,76.75765991210938,283.11507247388363,7479.695417404175,174.86194989085197,0.85
9/20,18/20,9950,995000,79.15168285369873,291.33977768570185,7473.956221580505,173.8592658340931,0.79
9/20,19/20,10000,1000000,78.02155947685242,298.3454195559025,7488.999719619751,172.84772285819054,0.73
10/20,0/20,10050,1005000,78.90201592445374,269.4513581544161,7538.934788227081,172.50168527662754,0.79
10/20,1/20,10100,1010000,79.94820809364319,276.2791193127632,7485.7971749305725,175.2668902128935,0.91
10/20,2/20,10150,1015000,79.5816547870636,303.99491403996944,7519.537737369537,176.03489451110363,0.86
10/20,3/20,10200,1020000,79.90809941291809,301.2686645463109,7521.30826997757,174.59461928904057,0.88
10/20,4/20,10250,1025000,78.42033410072327,291.642128020525,7513.963629722595,177.02701278030872,0.95
10/20,5/20,10300,1030000,78.50982427597046,308.71424205601215,7519.666166782379,174.60661064088345,0.79
10/20,6/20,10350,1035000,78.49383330345154,309.29174306988716,7489.055646896362,176.08907988667488,0.86
10/20,7/20,10400,1040000,78.02748131752014,310.39958691596985,7468.701907157898,178.14696405828,0.8
10/20,8/20,10450,1045000,77.0453131198883,281.3470641449094,7483.3424253463745,173.19101984798908,0.82
10/20,9/20,10500,1050000,78.97089743614197,298.7760729715228,7530.013362407684,176.67401164770126,0.9
10/20,10/20,10550,1055000,77.68622350692749,274.4295638501644,7488.135646343231,177.15949429571629,0.87
10/20,11/20,10600,1060000,80.53799748420715,306.1331408545375,7482.9561977386475,177.59007266163826,0.87
10/20,12/20,10650,1065000,78.73087406158447,279.28579810261726,7546.113449573517,176.69709469377995,0.89
10/20,13/20,10700,1070000,77.89272141456604,262.29232782125473,7529.104387283325,177.13634304702282,0.82
10/20,14/20,10750,1075000,78.15947151184082,281.30009412020445,7542.197721004486,177.67549991607666,0.86
10/20,15/20,10800,1080000,77.74592566490173,281.25011925399303,7583.74348783493,178.17459481954575,0.78
10/20,16/20,10850,1085000,78.67611408233643,299.99556966125965,7619.400420188904,178.28682780265808,0.86
10/20,17/20,10900,1090000,79.94093322753906,311.1467793136835,7641.755797386169,176.88357156515121,0.92
10/20,18/20,10950,1095000,78.89769864082336,293.01750675588846,7634.304811000824,177.0875441879034,0.89
10/20,19/20,11000,1100000,79.32579493522644,283.32286930829287,7639.571526050568,176.12583668529987,0.76
11/20,0/20,11050,1105000,75.05661988258362,280.90618992596865,7669.695650100708,176.27009227871895,0.88
11/20,1/20,11100,1110000,73.9526424407959,288.30108289420605,7666.45787191391,177.9139084070921,0.96
11/20,2/20,11150,1115000,73.2859628200531,288.49016577005386,7682.04700756073,177.7408913075924,0.88
11/20,3/20,11200,1120000,73.65135312080383,277.9953290745616,7687.100517272949,178.85076934099197,0.83
11/20,4/20,11250,1125000,74.51480722427368,279.9324657469988,7703.854762554169,178.93666353821754,0.76
11/20,5/20,11300,1130000,77.39249110221863,268.0634193494916,7746.069824695587,179.29469564557076,0.85
11/20,6/20,11350,1135000,74.48258399963379,275.93024684488773,7703.706934928894,180.0922908782959,0.92
11/20,7/20,11400,1140000,73.99763870239258,269.878175586462,7706.899233341217,178.52991151809692,0.84
11/20,8/20,11450,1145000,78.75899004936218,262.9806222990155,7751.312448978424,177.95015713572502,0.86
11/20,9/20,11500,1150000,74.77389216423035,298.09444209188223,7729.631521701813,180.16430930793285,0.83
11/20,10/20,11550,1155000,74.19403433799744,283.9007837176323,7770.8329157829285,181.24918954074383,0.89
11/20,11/20,11600,1160000,78.67795014381409,296.4613593816757,7737.4085392951965,178.06955568492413,0.94
11/20,12/20,11650,1165000,73.55040526390076,298.61039438843727,7798.0346875190735,175.88865686953068,0.91
11/20,13/20,11700,1170000,76.86438322067261,270.75392881035805,7822.570526123047,178.3263932466507,0.76
