Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,42.08654046058655,,,,0.0
0/20,1/20,100,10000,179.65570068359375,0.21202955907210708,5.575130015611649,4.203812748193741,0.0
0/20,2/20,150,15000,205.36293196678162,4.2954333613161,508.92137905955315,25.553797906730324,0.0
0/20,3/20,200,20000,206.14124202728271,19.27316432981752,957.503786444664,24.04668161738664,0.0
0/20,4/20,250,25000,206.36483502388,35.19505391269922,1283.8359808325768,35.807836410589516,0.0
0/20,5/20,300,30000,212.31902980804443,42.311616357415915,1507.2346945405006,51.92796529829502,0.0
0/20,6/20,350,35000,210.49708342552185,46.41592063754797,1752.047987818718,65.64111994579434,0.0
0/20,7/20,400,40000,212.25794124603271,52.99866196140647,1900.7862179279327,78.04966160468757,0.0
0/20,8/20,450,45000,213.23085188865662,55.11523127928376,2065.1527704000473,98.9376440923661,0.0
0/20,9/20,500,50000,212.08403134346008,58.98045773804188,2252.2208145856857,112.4750327989459,0.0
0/20,10/20,550,55000,211.31008791923523,60.35743014141917,2407.0218465328217,120.38358419016004,0.0
0/20,11/20,600,60000,212.98075771331787,60.91172146424651,2510.5864394903183,145.03556436300278,0.0
0/20,12/20,650,65000,225.29527878761292,62.900591652840376,2579.8867267370224,156.58435460180044,0.0
0/20,13/20,700,70000,223.84020686149597,67.42451252043247,2706.5627492666245,178.52150321751833,0.0
0/20,14/20,750,75000,223.13941526412964,69.88197339698672,2762.7916741371155,181.24091521278024,0.0
0/20,15/20,800,80000,226.681893825531,73.04055340960622,2769.8103907108307,205.99895713105798,0.0
0/20,16/20,850,85000,225.49370956420898,76.71692356839776,2813.1114629507065,220.6216981112957,0.0
0/20,17/20,900,90000,226.65712451934814,76.75318356603384,2802.508369088173,243.09710650891066,0.0
0/20,18/20,950,95000,230.55054807662964,79.38246507570148,2812.1797853708267,240.26772013306618,0.0
0/20,19/20,1000,100000,227.18991947174072,80.69471273571253,2778.861807703972,251.2104019150138,0.0
1/20,0/20,1050,105000,225.75962376594543,87.18543424457312,2747.2181001901627,285.49194713681936,0.0
1/20,1/20,1100,110000,227.07422423362732,90.14758439734578,2722.179288506508,286.2087516412139,0.0
1/20,2/20,1150,115000,227.48300766944885,89.3297118358314,2773.1411921977997,280.22953268140554,0.0
1/20,3/20,1200,120000,227.57959723472595,91.51332500949502,2712.1423621177673,280.2327413484454,0.0
1/20,4/20,1250,125000,225.6964430809021,92.59791401028633,2734.7803262472153,299.6828091740608,0.0
1/20,5/20,1300,130000,227.4136688709259,87.92711126059294,2715.2315413951874,298.9700300395489,0.0
1/20,6/20,1350,135000,227.9330551624298,87.30756791681051,2759.465769171715,320.6265347376466,0.0
1/20,7/20,1400,140000,225.32304573059082,89.4824939109385,2756.2049046754837,297.29645884782076,0.0
1/20,8/20,1450,145000,225.3959503173828,91.19244688376784,2776.563704967499,304.8114813417196,0.0
1/20,9/20,1500,150000,225.54690790176392,90.67834811657667,2808.4731870889664,311.2367210313678,0.0
1/20,10/20,1550,155000,227.43199586868286,90.40887187421322,2799.4211152791977,331.6009864285588,0.0
1/20,11/20,1600,160000,223.43530106544495,90.69255753979087,2755.5740641355515,301.66601849347353,0.0
1/20,12/20,1650,165000,223.67969298362732,91.86276131123304,2775.7651319503784,315.1502957046032,0.0
1/20,13/20,1700,170000,222.35502910614014,92.6946842186153,2801.6307245492935,310.09175545722246,0.0
1/20,14/20,1750,175000,220.83505082130432,96.78331465274096,2830.380366921425,320.41625237464905,0.0
1/20,15/20,1800,180000,223.93962812423706,95.26125156134367,2875.701478242874,313.99569241702557,0.0
1/20,16/20,1850,185000,223.1960871219635,96.8193721845746,2947.9072962999344,338.11629302054644,0.0
1/20,17/20,1900,190000,223.68248844146729,97.00733707100153,2985.868000268936,339.26106667518616,0.0
1/20,18/20,1950,195000,220.83618640899658,95.63676561415195,3045.722864627838,348.2264613509178,0.0
1/20,19/20,2000,200000,223.02663946151733,96.26544626802206,3068.1665400266647,344.88945055007935,0.0
2/20,0/20,2050,205000,223.53317093849182,97.14977092295885,3128.2297562360764,376.25173299759626,0.0
2/20,1/20,2100,210000,226.32321882247925,99.87418055534363,3108.5856088399887,358.40656854212284,0.0
2/20,2/20,2150,215000,220.66110253334045,101.87170432507992,3146.277143716812,381.9313296377659,0.0
2/20,3/20,2200,220000,223.51269054412842,102.28307396173477,3141.0185418128967,371.6532554998994,0.0
2/20,4/20,2250,225000,222.232159614563,100.23574598133564,3169.5987408161163,395.1102618277073,0.0
2/20,5/20,2300,230000,224.82347178459167,105.1248694062233,3261.048373222351,419.5082300454378,0.0
2/20,6/20,2350,235000,221.60555720329285,106.91224287450314,3331.985754966736,418.3141038417816,0.0
2/20,7/20,2400,240000,220.6270854473114,106.72096434235573,3382.1785860061646,404.9707048237324,0.0
2/20,8/20,2450,245000,222.73244714736938,105.51272666454315,3445.4775359630585,417.8973757624626,0.0
2/20,9/20,2500,250000,227.41707801818848,106.68879000097513,3514.0468895435333,407.7104431167245,0.0
2/20,10/20,2550,255000,224.93197178840637,107.8845487460494,3540.839322090149,416.3872418999672,0.0
2/20,11/20,2600,260000,221.8757359981537,108.95905992388725,3586.412097454071,399.34173852205276,0.0
