Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,48.40225052833557,,,,0.0
0/20,1/20,100,10000,193.14793992042542,3.855991914868355,0.19652838166803122,5.793867066502571,0.0
0/20,2/20,150,15000,223.70092940330505,26.33805764745921,5.678769091609865,518.857479840517,0.0
0/20,3/20,200,20000,225.44713640213013,21.857614538166672,27.082967245951295,911.5472952127457,0.0
0/20,4/20,250,25000,219.6464273929596,32.263658232055604,37.592696994543076,1232.6741055250168,0.0
0/20,5/20,300,30000,218.9589192867279,43.49083806760609,36.57321384549141,1544.8040556907654,0.0
0/20,6/20,350,35000,215.75600695610046,58.59003016538918,40.92060465924442,1831.4624158143997,0.0
0/20,7/20,400,40000,209.55559277534485,78.73549351654947,50.906883250921965,2059.2353830337524,0.0
0/20,8/20,450,45000,199.62933254241943,88.46944714896381,52.36137607507408,2240.637615799904,0.0
0/20,9/20,500,50000,206.26308512687683,99.50475650280714,52.905082654207945,2378.3594810962677,0.0
0/20,10/20,550,55000,206.84355568885803,113.6769193187356,55.925828635692596,2499.9695138931274,0.0
0/20,11/20,600,60000,208.0260260105133,134.2722012884915,58.4657386392355,2639.2194286584854,0.0
0/20,12/20,650,65000,206.28995203971863,140.19202238693833,59.031974501907825,2785.191441178322,0.0
0/20,13/20,700,70000,207.00601768493652,150.49258382990956,64.74574044719338,2872.7109656333923,0.0
0/20,14/20,750,75000,209.0282347202301,167.09714234620333,66.74282665923238,2920.5878278017044,0.0
0/20,15/20,800,80000,209.28603053092957,165.3817954659462,68.19857515022159,2929.899554014206,0.0
0/20,16/20,850,85000,206.62890625,196.98185885697603,68.83633541688323,2940.7299892902374,0.0
0/20,17/20,900,90000,207.5617799758911,222.47542256116867,72.43292912468314,3012.1041013002396,0.0
0/20,18/20,950,95000,207.1003258228302,219.1491811685264,76.29668769985437,3013.3095457553864,0.0
0/20,19/20,1000,100000,208.40231108665466,243.38109050691128,79.55491639301181,2995.2811065912247,0.0
1/20,0/20,1050,105000,211.05562043190002,248.96639789640903,79.9634813182056,3014.073725104332,0.0
1/20,1/20,1100,110000,209.45036339759827,289.70957987755537,86.02593448758125,2964.6787927150726,0.0
1/20,2/20,1150,115000,208.08308339118958,293.01585380733013,89.6629327647388,2937.857915043831,0.0
1/20,3/20,1200,120000,206.36721110343933,279.6305354088545,88.94178414717317,2905.592631459236,0.0
1/20,4/20,1250,125000,205.9581437110901,298.7843209207058,90.85643124952912,2907.7095885276794,0.0
1/20,5/20,1300,130000,210.0551779270172,298.9688718691468,91.02589615061879,2892.6094962358475,0.0
1/20,6/20,1350,135000,208.92180609703064,311.0448073670268,89.83870902657509,2922.717162013054,0.0
1/20,7/20,1400,140000,208.28492617607117,318.8961273059249,93.85200947523117,2902.829210996628,0.0
1/20,8/20,1450,145000,210.63860487937927,315.3826075941324,92.07052695006132,2858.9001146554947,0.0
1/20,9/20,1500,150000,210.08612847328186,326.0540776848793,96.91968376934528,2915.4928216934204,0.0
1/20,10/20,1550,155000,208.1101005077362,309.13994690030813,97.68111377209425,2897.2226816415787,0.0
1/20,11/20,1600,160000,206.97915077209473,319.9238040819764,99.72309738397598,2903.047442317009,0.0
1/20,12/20,1650,165000,207.19193077087402,320.6571943834424,100.02877786755562,2961.687058329582,0.0
1/20,13/20,1700,170000,210.7351586818695,318.8506310209632,102.9658442735672,2990.3705983161926,0.0
1/20,14/20,1750,175000,209.84329843521118,317.4857169687748,106.5282207429409,2981.4169137477875,0.0
1/20,15/20,1800,180000,209.03548502922058,316.39351090043783,105.36827196925879,3001.16307079792,0.0
1/20,16/20,1850,185000,210.7707278728485,313.75099243968725,106.19090427458286,3027.2806293964386,0.0
1/20,17/20,1900,190000,211.81831431388855,317.3243938907981,106.5334053337574,3045.783907175064,0.0
1/20,18/20,1950,195000,213.59424686431885,339.47152369469404,106.62213915586472,3113.0964608192444,0.0
1/20,19/20,2000,200000,213.16815614700317,323.4181479141116,108.46202562749386,3205.14218378067,0.0
2/20,0/20,2050,205000,209.85060954093933,355.86862625181675,108.7086378633976,3218.931268930435,0.0
2/20,1/20,2100,210000,209.85372924804688,349.49656838178635,107.55228937417269,3301.113951444626,0.0
2/20,2/20,2150,215000,207.4107494354248,362.8361018151045,112.09641596674919,3359.464277744293,0.0
2/20,3/20,2200,220000,211.2851529121399,351.25650564581156,112.10918908566236,3450.403077840805,0.0
2/20,4/20,2250,225000,212.7445125579834,358.3194247931242,116.15154776722193,3485.2738165855408,0.0
2/20,5/20,2300,230000,212.81263947486877,346.44233448803425,118.61628882586956,3534.4827213287354,0.0
2/20,6/20,2350,235000,213.1857509613037,367.6460636034608,119.96133577078581,3553.242679834366,0.0
2/20,7/20,2400,240000,226.08635330200195,374.7963968962431,121.66826295107603,3603.379520177841,0.0
2/20,8/20,2450,245000,226.12529802322388,348.8058467954397,124.49003206193447,3656.1765711307526,0.0
2/20,9/20,2500,250000,227.64170122146606,381.0775065422058,124.93370635062456,3696.583650827408,0.0
2/20,10/20,2550,255000,227.20915055274963,334.0597676485777,123.76767408847809,3750.246734380722,0.0
2/20,11/20,2600,260000,230.85156917572021,340.32205337285995,120.48395615071058,3766.286347389221,0.0
2/20,12/20,2650,265000,228.28771567344666,372.73521991074085,124.30617123097181,3828.126444339752,0.0
2/20,13/20,2700,270000,225.76235270500183,358.2270751297474,123.18701007962227,3899.459720849991,0.0
2/20,14/20,2750,275000,229.4070565700531,345.0083232522011,125.1306676492095,3965.3682174682617,0.0
2/20,15/20,2800,280000,225.59058666229248,370.44696763157845,127.4687741920352,4059.0605177879333,0.0
2/20,16/20,2850,285000,227.5001151561737,348.66444350779057,127.23003298044205,4104.149590015411,0.0
2/20,17/20,2900,290000,228.29958415031433,333.82712868601084,128.55644416809082,4181.308014154434,0.0
2/20,18/20,2950,295000,224.70910000801086,350.40347200632095,130.29876250773668,4200.990318059921,0.0
2/20,19/20,3000,300000,225.742201089859,337.66689336299896,130.2909097969532,4238.32882142067,0.01
3/20,0/20,3050,305000,228.87339758872986,323.9679516404867,131.46956157684326,4275.501671075821,0.0
