Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,36.02827024459839,,,,0.0
0/20,1/20,100,10000,152.0656225681305,0.24221564969047904,3.8830202370882034,4.817861959338188,0.0
0/20,2/20,150,15000,182.7865698337555,3.332097014877945,22.03711353149265,440.2723389863968,0.0
0/20,3/20,200,20000,186.2753279209137,16.8017503246665,19.41261450946331,849.6670500934124,0.0
0/20,4/20,250,25000,185.77691650390625,30.67282838281244,34.50502320937812,1179.031417787075,0.0
0/20,5/20,300,30000,185.66740608215332,36.39564514346421,43.59804609417915,1510.6939579844475,0.0
0/20,6/20,350,35000,187.04453659057617,40.54222650825977,62.20101988688111,1837.6077352762222,0.0
0/20,7/20,400,40000,182.67152333259583,53.05979894287884,86.71996707841754,2073.3130263090134,0.0
0/20,8/20,450,45000,189.45344519615173,60.52468413859606,89.95371456071734,2217.4597235918045,0.0
0/20,9/20,500,50000,190.77389240264893,60.61574415490031,108.13585690967739,2385.0626527071,0.0
0/20,10/20,550,55000,187.29956936836243,63.99185395985842,144.53760409727693,2527.380247592926,0.0
0/20,11/20,600,60000,192.50755643844604,71.07060373201966,172.0680725313723,2738.593155503273,0.0
0/20,12/20,650,65000,189.66337537765503,84.0417544953525,197.14085655286908,2746.411182641983,0.0
0/20,13/20,700,70000,188.6828577518463,92.58080939203501,210.98358100652695,2842.037630677223,0.0
0/20,14/20,750,75000,186.57176184654236,90.2721498310566,198.02980258315802,2872.921631336212,0.0
0/20,15/20,800,80000,184.9193980693817,88.19489683583379,195.0101468488574,2869.7228499650955,0.0
0/20,16/20,850,85000,185.72886061668396,85.35859921574593,212.36824852228165,2877.1835259199142,0.0
0/20,17/20,900,90000,186.10018348693848,88.11195620521903,229.20705287903547,2941.5744515657425,0.0
0/20,18/20,950,95000,184.93892312049866,89.1907851845026,236.27009822428226,2976.669844388962,0.0
0/20,19/20,1000,100000,188.90213060379028,91.64684750512242,252.33609690517187,3006.5898617506027,0.0
1/20,0/20,1050,105000,187.39144945144653,92.99018235504627,274.88380812853575,3000.832711338997,0.0
1/20,1/20,1100,110000,184.21599912643433,96.45254242420197,261.2534998059273,3028.844023823738,0.0
1/20,2/20,1150,115000,190.36568188667297,98.24536548554897,267.1680187433958,3036.6953924894333,0.0
1/20,3/20,1200,120000,190.99864625930786,97.12139122188091,259.4281926006079,3047.608622312546,0.0
1/20,4/20,1250,125000,188.56443858146667,97.46440143883228,274.182095952332,3040.0392147302628,0.0
1/20,5/20,1300,130000,188.54625248908997,97.3114922940731,262.51745400577784,3018.491389274597,0.0
1/20,6/20,1350,135000,186.8491234779358,98.24685786664486,286.0004764944315,3040.347617506981,0.0
