Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,45.40359902381897,,,,0.0
0/20,1/20,100,10000,174.61747193336487,0.31630167411640286,3.332634873688221,5.343117997050285,0.0
0/20,2/20,150,15000,210.60304498672485,3.7052163337357342,19.10026616975665,506.9517715126276,0.0
0/20,3/20,200,20000,208.940612077713,15.958997248671949,17.7086060680449,948.5475256443024,0.0
0/20,4/20,250,25000,206.44495511054993,24.984927146695554,27.02388339303434,1319.867292046547,0.0
0/20,5/20,300,30000,208.41197514533997,30.81671804562211,41.86040548887104,1674.7353217601776,0.0
0/20,6/20,350,35000,210.32518887519836,43.24729141034186,60.98840572685003,2035.6514674425125,0.0
0/20,7/20,400,40000,209.63579893112183,53.448242316022515,82.76966681331396,2305.6295697689056,0.0
0/20,8/20,450,45000,211.27995038032532,64.12152175605297,95.79341654106975,2470.994364976883,0.0
0/20,9/20,500,50000,210.0557041168213,66.31323322281241,117.25455694831908,2627.5234649181366,0.0
0/20,10/20,550,55000,211.40251278877258,72.00894051417708,140.61271741241217,2809.287411570549,0.0
0/20,11/20,600,60000,206.99035620689392,81.71296279504895,170.16894582659006,2929.3995319604874,0.0
0/20,12/20,650,65000,207.96317505836487,88.98219050094485,189.83914848417044,3002.409239053726,0.0
0/20,13/20,700,70000,211.9500277042389,90.48522648215294,212.92228841781616,2985.0393924713135,0.0
0/20,14/20,750,75000,209.90615320205688,92.78232224285603,233.141047924757,2946.3698723316193,0.0
0/20,15/20,800,80000,209.68647742271423,91.12373987585306,223.0190468877554,2970.5780708789825,0.0
0/20,16/20,850,85000,210.21324968338013,90.81355476379395,236.21440987288952,2997.83607006073,0.0
0/20,17/20,900,90000,202.77856945991516,92.23028534650803,246.51859288662672,3054.583276748657,0.0
0/20,18/20,950,95000,208.28957390785217,94.81698051095009,268.02718783169985,3105.1428961753845,0.0
0/20,19/20,1000,100000,205.79541730880737,95.68974278122187,255.43863989412785,3087.8569164276123,0.0
1/20,0/20,1050,105000,206.01289868354797,98.4032626748085,273.278609149158,3086.3164286613464,0.0
1/20,1/20,1100,110000,208.8957555294037,102.6804381981492,277.0836265012622,3087.8946537971497,0.0
1/20,2/20,1150,115000,211.3375120162964,103.61447748541832,304.7195351049304,3169.2879021167755,0.0
1/20,3/20,1200,120000,207.54406785964966,103.323167540133,304.8766207396984,3146.499745130539,0.0
1/20,4/20,1250,125000,206.00506353378296,108.1111257225275,311.8087110221386,3178.3218615055084,0.0
1/20,5/20,1300,130000,206.2865710258484,104.87055870890617,323.8252067863941,3206.146165370941,0.0
1/20,6/20,1350,135000,203.6201343536377,106.5234832689166,331.4558518975973,3306.115583896637,0.0
1/20,7/20,1400,140000,208.27899885177612,108.43251449614763,368.8048615902662,3394.8458094596863,0.0
1/20,8/20,1450,145000,208.6000361442566,103.67664043605328,373.05530390143394,3481.5071806907654,0.0
1/20,9/20,1500,150000,209.63303804397583,110.12760851532221,366.30589152127504,3492.016666173935,0.0
1/20,10/20,1550,155000,212.09799194335938,112.08796142786741,368.8226682841778,3505.8157143592834,0.0
1/20,11/20,1600,160000,207.6824951171875,112.96128194779158,378.63460063934326,3509.65811920166,0.0
1/20,12/20,1650,165000,208.7421247959137,115.44593050330877,402.10166016221046,3569.4914016723633,0.0
1/20,13/20,1700,170000,206.34955096244812,115.98287698626518,371.38905043900013,3559.8569350242615,0.0
1/20,14/20,1750,175000,208.8919095993042,116.56887114048004,341.09987719357014,3605.18918633461,0.0
1/20,15/20,1800,180000,207.95115065574646,117.73075725138187,374.8596829175949,3658.3570489883423,0.0
1/20,16/20,1850,185000,204.91593074798584,115.16472758352757,370.7543153166771,3699.1433622837067,0.0
1/20,17/20,1900,190000,203.24663996696472,117.6541999951005,368.07140934467316,3731.486385822296,0.0
1/20,18/20,1950,195000,204.89631962776184,118.31157156825066,374.3068763613701,3783.344216823578,0.0
1/20,19/20,2000,200000,202.80512976646423,120.98142039775848,392.07443030178547,3822.6821024417877,0.0
2/20,0/20,2050,205000,207.04556560516357,121.3391225785017,372.44593316316605,3869.8807501792908,0.0
2/20,1/20,2100,210000,207.2623438835144,119.80523154884577,395.08612082898617,3922.6574897766113,0.0
2/20,2/20,2150,215000,203.86270928382874,121.29195164889097,390.8527187258005,3978.840005159378,0.0
2/20,3/20,2200,220000,203.75432181358337,120.10988657176495,413.22354854643345,4005.2169539928436,0.0
2/20,4/20,2250,225000,204.66004300117493,120.5373255237937,416.12293915450573,4021.404291152954,0.0
2/20,5/20,2300,230000,199.1988925933838,120.70061200857162,389.7835468053818,4098.733650684357,0.0
2/20,6/20,2350,235000,201.6568727493286,121.81194294989109,398.5227511674166,4132.769973993301,0.0
2/20,7/20,2400,240000,203.49371981620789,124.23348776251078,426.94265511631966,4174.804679393768,0.0
2/20,8/20,2450,245000,205.88477063179016,123.71475503593683,393.84437219798565,4160.302003860474,0.0
2/20,9/20,2500,250000,210.5063395500183,124.26764938235283,407.839258402586,4158.956256151199,0.0
2/20,10/20,2550,255000,208.79225635528564,124.10111491382122,403.7949797809124,4166.248031377792,0.0
2/20,11/20,2600,260000,206.22357749938965,129.123561501503,379.2373284548521,4251.892421960831,0.0
2/20,12/20,2650,265000,205.48197031021118,127.94927457720041,392.3693558573723,4246.268964290619,0.0
2/20,13/20,2700,270000,207.44902896881104,129.72170381993055,375.52586233615875,4299.913474082947,0.0
2/20,14/20,2750,275000,212.16814184188843,131.4894457384944,365.6014609634876,4318.887586355209,0.0
2/20,15/20,2800,280000,211.23579454421997,130.48817691206932,353.72692961990833,4380.21592259407,0.0
2/20,16/20,2850,285000,209.80228805541992,132.59801390767097,377.5982030555606,4409.716211795807,0.0
2/20,17/20,2900,290000,209.3819706439972,133.5126823708415,385.95329605042934,4446.521736860275,0.0
2/20,18/20,2950,295000,212.35357666015625,134.35001031309366,358.2927478849888,4441.0746195316315,0.0
2/20,19/20,3000,300000,208.00027704238892,133.47028103470802,345.7634725868702,4498.033784866333,0.0
3/20,0/20,3050,305000,208.70503091812134,132.8487410545349,380.5139110311866,4506.33881020546,0.0
3/20,1/20,3100,310000,210.32956886291504,133.87544237822294,359.2293075174093,4572.231668710709,0.0
3/20,2/20,3150,315000,211.21977829933167,135.41876836121082,393.8433276116848,4593.475558519363,0.0
3/20,3/20,3200,320000,211.68411588668823,135.44584358483553,359.52199041843414,4607.689114570618,0.01
3/20,4/20,3250,325000,210.81277465820312,139.90891352295876,356.64233107864857,4650.108370780945,0.0
3/20,5/20,3300,330000,208.7420952320099,137.18725223839283,385.49732492119074,4647.79080748558,0.0
3/20,6/20,3350,335000,206.85993647575378,138.56772281974554,364.8337679952383,4696.670139074326,0.01
3/20,7/20,3400,340000,191.591082572937,138.37966568022966,370.01429906487465,4700.992249011993,0.0
3/20,8/20,3450,345000,196.0919795036316,138.5088011547923,361.8862074762583,4733.3477964401245,0.0
3/20,9/20,3500,350000,195.6727170944214,139.27233573049307,343.11973410844803,4790.249518871307,0.0
3/20,10/20,3550,355000,193.58715867996216,141.07887893170118,366.7747665941715,4868.306129693985,0.0
3/20,11/20,3600,360000,195.25435376167297,141.53295225650072,364.61288349330425,4942.807552099228,0.0
3/20,12/20,3650,365000,196.60518264770508,144.16393894702196,364.34446124732494,4962.104944944382,0.02
3/20,13/20,3700,370000,196.60277128219604,144.7304416447878,377.4566612094641,5035.91006231308,0.02
3/20,14/20,3750,375000,198.28676438331604,145.93374095112085,381.9505480080843,5047.813725471497,0.0
3/20,15/20,3800,380000,197.83605861663818,147.25225529819727,385.0152009949088,5054.449440956116,0.01
3/20,16/20,3850,385000,193.47301745414734,146.09285002201796,387.1881201788783,5062.250325679779,0.05
3/20,17/20,3900,390000,194.62813663482666,146.10925482958555,408.39056050777435,5120.583138465881,0.02
3/20,18/20,3950,395000,195.37300753593445,145.02542651444674,371.8345064148307,5151.035833120346,0.04
3/20,19/20,4000,400000,195.34184789657593,147.87044782936573,364.20086769759655,5186.680404424667,0.08
4/20,0/20,4050,405000,197.24956727027893,149.4659517854452,359.3535816371441,5228.08049082756,0.04
4/20,1/20,4100,410000,197.188716173172,150.56398003548384,363.841784209013,5273.725083112717,0.07
4/20,2/20,4150,415000,196.94843649864197,148.21571898460388,353.93066623061895,5291.453815460205,0.14
4/20,3/20,4200,420000,196.743070602417,149.49123329669237,423.1544302254915,5381.187176942825,0.07
4/20,4/20,4250,425000,193.90223240852356,151.91547539830208,388.40732722729445,5396.256888866425,0.03
4/20,5/20,4300,430000,193.48292565345764,151.76997497677803,396.006258867681,5412.419584989548,0.06
4/20,6/20,4350,435000,194.51206874847412,150.96243481338024,416.3874763548374,5482.331956863403,0.02
4/20,7/20,4400,440000,196.21677923202515,151.82528632879257,428.50166220963,5482.212435722351,0.09
4/20,8/20,4450,445000,192.31050062179565,153.0500318184495,410.48401914536953,5525.038774251938,0.08
4/20,9/20,4500,450000,192.96085143089294,150.7459841966629,416.7399588227272,5543.338458538055,0.17
4/20,10/20,4550,455000,196.0204257965088,152.43786120414734,412.5457763969898,5578.702226161957,0.09
4/20,11/20,4600,460000,198.9093370437622,153.74704574793577,414.9337299913168,5602.523123264313,0.07
4/20,12/20,4650,465000,197.93170285224915,154.3936666548252,420.3065897077322,5613.250790596008,0.06
4/20,13/20,4700,470000,199.50561714172363,157.3160148113966,427.7246358245611,5681.965500831604,0.1
4/20,14/20,4750,475000,199.95428681373596,154.22100024670362,412.40495969355106,5680.744888782501,0.11
4/20,15/20,4800,480000,197.6274492740631,153.07471576333046,446.458873257041,5711.934203147888,0.05
4/20,16/20,4850,485000,194.91512894630432,156.3577527552843,420.1668476462364,5772.89119720459,0.09
4/20,17/20,4900,490000,194.86616373062134,157.30347754061222,410.75385588407516,5761.984463691711,0.34
4/20,18/20,4950,495000,197.43781447410583,156.14837050437927,462.90923154354095,5827.42503118515,0.27
4/20,19/20,5000,500000,198.86380648612976,157.5435883179307,407.45357525348663,5838.69202375412,0.18
5/20,0/20,5050,505000,196.29766201972961,160.52398046851158,413.1245341449976,5881.884352207184,0.35
5/20,1/20,5100,510000,198.50516557693481,158.26582365483046,432.24617198109627,5889.251898765564,0.04
5/20,2/20,5150,515000,198.10957431793213,157.3391476869583,436.90332458913326,5961.403429508209,0.11
5/20,3/20,5200,520000,199.49638676643372,159.61576598137617,427.9854784756899,6042.306139469147,0.1
5/20,4/20,5250,525000,195.12306952476501,158.21511621773243,426.24500796198845,6067.196786880493,0.32
5/20,5/20,5300,530000,196.2340841293335,160.73879651725292,374.9472937732935,6089.017144918442,0.19
5/20,6/20,5350,535000,194.98511505126953,161.35519656538963,445.4736937135458,6140.234683036804,0.19
5/20,7/20,5400,540000,195.4565670490265,158.56671092659235,405.51221887767315,6150.2104959487915,0.26
5/20,8/20,5450,545000,195.97207307815552,164.42399817705154,411.02814538776875,6175.1694502830505,0.22
5/20,9/20,5500,550000,196.57103037834167,162.81984482705593,405.65272283554077,6180.582252502441,0.19
5/20,10/20,5550,555000,197.50748109817505,164.26853866875172,428.9599502533674,6249.401414394379,0.3
5/20,11/20,5600,560000,195.91585183143616,162.84008605778217,418.5582612603903,6279.747473239899,0.2
5/20,12/20,5650,565000,199.82168316841125,161.44536145031452,389.65662248432636,6272.404870033264,0.42
5/20,13/20,5700,570000,199.45112705230713,164.05882668495178,396.9660789221525,6320.531055450439,0.36
5/20,14/20,5750,575000,211.72067618370056,164.00030240416527,431.2440346479416,6364.135320186615,0.35
5/20,15/20,5800,580000,209.53648567199707,162.76052249968052,438.71848467737436,6375.085292816162,0.43
5/20,16/20,5850,585000,211.2340726852417,165.18108381330967,395.1749137341976,6364.570153236389,0.34
5/20,17/20,5900,590000,211.25261044502258,164.90673218667507,413.50264152139425,6415.996466159821,0.72
5/20,18/20,5950,595000,213.74505186080933,163.33060333132744,399.3776505291462,6399.468548297882,0.53
5/20,19/20,6000,600000,208.71875500679016,165.717103600502,402.163100078702,6432.462474822998,0.66
6/20,0/20,6050,605000,211.342187166214,163.64713786542416,380.7932270616293,6432.606852531433,0.51
6/20,1/20,6100,610000,213.38925862312317,166.2751540839672,456.3402788043022,6407.359320640564,0.46
6/20,2/20,6150,615000,212.56059956550598,165.92337709665298,436.71741566061974,6466.946252346039,0.84
6/20,3/20,6200,620000,209.12932705879211,167.06616792082787,418.46420746296644,6480.424304962158,0.46
6/20,4/20,6250,625000,210.41251397132874,168.42550905048847,443.50748567283154,6466.819146633148,0.52
6/20,5/20,6300,630000,211.09626817703247,171.45274613797665,408.6509578824043,6530.555832386017,0.53
6/20,6/20,6350,635000,212.12101554870605,166.4404357522726,429.64831368625164,6542.042717933655,0.46
6/20,7/20,6400,640000,210.93253231048584,171.26728378236294,440.5870903134346,6522.248254299164,0.58
6/20,8/20,6450,645000,211.3808298110962,170.01077750325203,415.69185422360897,6523.1616587638855,0.48
