Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,34.30265712738037,,,,0.0
0/20,1/20,100,10000,162.67679023742676,7.575965970754623,0.2597411251626909,3.3681330159306526,0.0
0/20,2/20,150,15000,191.1974811553955,562.7967615425587,5.197660609614104,23.520201798528433,0.0
0/20,3/20,200,20000,184.65724229812622,914.5425526499748,24.102673577144742,24.476245503872633,0.0
0/20,4/20,250,25000,187.53841924667358,1229.9158347845078,31.639690117910504,36.4761295709759,0.0
0/20,5/20,300,30000,191.19538283348083,1520.3646097183228,33.69313282612711,47.91173050366342,0.0
0/20,6/20,350,35000,184.02217030525208,1796.4339561462402,40.18960131332278,78.3205524738878,0.0
0/20,7/20,400,40000,185.7175269126892,2038.1566820144653,50.06288328208029,95.42581410333514,0.0
0/20,8/20,450,45000,182.65435600280762,2258.7474712133408,59.593715539202094,124.84296352416277,0.0
0/20,9/20,500,50000,185.59268260002136,2354.1300008296967,65.75451513379812,133.9823248796165,0.0
0/20,10/20,550,55000,190.4038860797882,2398.0441834926605,66.1437417268753,153.03507255762815,0.0
0/20,11/20,600,60000,189.5150852203369,2484.795650601387,72.59099968522787,160.29326594248414,0.0
0/20,12/20,650,65000,186.38061332702637,2573.6514778137207,75.36312929168344,183.3176484555006,0.0
0/20,13/20,700,70000,189.47374057769775,2594.4508553743362,75.94996016845107,180.65456544980407,0.0
0/20,14/20,750,75000,189.31215238571167,2620.47355055809,80.70920434966683,195.73852134123445,0.0
0/20,15/20,800,80000,189.0366246700287,2670.239952683449,85.31896324455738,219.33119254559278,0.0
0/20,16/20,850,85000,191.62121081352234,2667.918224334717,83.87262947112322,230.18188639730215,0.0
0/20,17/20,900,90000,186.72625160217285,2613.3368837833405,88.63946492224932,222.54295187443495,0.0
0/20,18/20,950,95000,186.05727791786194,2626.4644210338593,91.22536459565163,246.97523180767894,0.0
0/20,19/20,1000,100000,184.63977360725403,2591.2631425857544,88.16262570768595,247.07375126332045,0.0
1/20,0/20,1050,105000,184.90095281600952,2577.8956229686737,87.8911586329341,238.2804799899459,0.0
1/20,1/20,1100,110000,185.1938841342926,2588.5639309883118,90.85282818973064,233.36119611561298,0.0
1/20,2/20,1150,115000,187.4839129447937,2596.134440302849,94.31408064812422,247.21931125223637,0.0
1/20,3/20,1200,120000,185.39201664924622,2684.7547253370285,96.36872762441635,267.98440033197403,0.0
1/20,4/20,1250,125000,186.79981780052185,2702.5178641080856,94.69920301437378,252.4960718676448,0.0
1/20,5/20,1300,130000,185.88149666786194,2719.692142724991,98.61468079686165,265.48598396778107,0.0
1/20,6/20,1350,135000,186.63854908943176,2735.484814286232,98.58158469200134,267.6676493436098,0.0
1/20,7/20,1400,140000,184.21525812149048,2802.630429625511,100.64363826811314,266.47929280251265,0.0
1/20,8/20,1450,145000,185.72452330589294,2812.992878675461,101.41935085505247,282.6568602845073,0.0
1/20,9/20,1500,150000,186.80204343795776,2833.0982743501663,101.91492681205273,270.5273207053542,0.0
1/20,10/20,1550,155000,186.99495387077332,2905.6418645381927,102.02034021168947,298.56183898448944,0.0
1/20,11/20,1600,160000,185.21665167808533,2953.606076478958,99.60605067759752,275.92725037038326,0.0
1/20,12/20,1650,165000,182.85005831718445,3023.6990233659744,100.87840713560581,300.5063367038965,0.0
1/20,13/20,1700,170000,185.6180100440979,3087.576940178871,104.02061503380537,306.74636648595333,0.0
1/20,14/20,1750,175000,187.29758071899414,3158.8603806495667,107.2874695956707,303.98377349972725,0.0
1/20,15/20,1800,180000,180.81017971038818,3192.836337685585,110.3545135781169,301.22563103586435,0.0
1/20,16/20,1850,185000,184.1110541820526,3268.428244113922,110.87119465321302,333.2855114117265,0.0
1/20,17/20,1900,190000,185.43151021003723,3316.429642558098,112.00285723805428,324.9088546484709,0.0
1/20,18/20,1950,195000,182.8893232345581,3344.4072620868683,111.5317590534687,315.124882273376,0.0
1/20,19/20,2000,200000,180.47742009162903,3407.517131090164,110.78506387770176,325.1071997284889,0.0
2/20,0/20,2050,205000,182.4169147014618,3489.3933210372925,111.63285925239325,335.5513035207987,0.0
2/20,1/20,2100,210000,185.53148436546326,3576.871270418167,116.05560776591301,333.97190599888563,0.0
2/20,2/20,2150,215000,185.6110873222351,3640.0149068832397,112.32743541896343,343.2158355638385,0.0
2/20,3/20,2200,220000,189.16575050354004,3755.867266893387,116.00304707884789,357.4363316744566,0.0
2/20,4/20,2250,225000,187.69204258918762,3799.896044254303,117.24725099653006,346.50532807409763,0.0
2/20,5/20,2300,230000,182.13256764411926,3846.022374391556,118.64375710487366,337.27062326669693,0.0
2/20,6/20,2350,235000,183.92380738258362,3917.0428063869476,119.20994180440903,355.9194560497999,0.0
2/20,7/20,2400,240000,181.88813543319702,3976.796782016754,118.12876837700605,348.2999704182148,0.0
2/20,8/20,2450,245000,181.5438106060028,4066.162450313568,119.5825042873621,358.2654955089092,0.0
2/20,9/20,2500,250000,185.6616415977478,4073.3193578720093,119.49713507294655,352.47861444950104,0.0
2/20,10/20,2550,255000,185.18391871452332,4086.248270511627,125.63959861546755,352.31075425446033,0.0
2/20,11/20,2600,260000,184.75869369506836,4138.09960103035,124.94793032854795,345.44339396059513,0.0
2/20,12/20,2650,265000,187.33782243728638,4139.9356777668,122.8336989954114,340.10030495375395,0.0
2/20,13/20,2700,270000,183.495525598526,4184.676553249359,126.03558601438999,347.3950047492981,0.0
2/20,14/20,2750,275000,184.83429765701294,4193.250986099243,125.4454447478056,375.1191312223673,0.0
2/20,15/20,2800,280000,187.94357562065125,4294.429369926453,127.35599275678396,367.87001445889473,0.0
2/20,16/20,2850,285000,183.4984540939331,4308.59685587883,126.53643511235714,367.9641339927912,0.0
2/20,17/20,2900,290000,184.11303997039795,4394.453731060028,131.08157189190388,372.21001613140106,0.0
2/20,18/20,2950,295000,186.24600100517273,4457.576997518539,132.14893046021461,369.97021582722664,0.0
2/20,19/20,3000,300000,187.1406729221344,4454.829094409943,130.0918655693531,391.7333310842514,0.0
3/20,0/20,3050,305000,187.6541895866394,4526.072150945663,131.10152668505907,379.6311573833227,0.0
3/20,1/20,3100,310000,188.62371110916138,4543.271714687347,132.46670113503933,369.83487202227116,0.0
3/20,2/20,3150,315000,189.2636754512787,4550.1708652973175,133.48417576402426,376.2381474375725,0.0
3/20,3/20,3200,320000,185.87157773971558,4592.265880346298,132.15556205809116,398.4363722205162,0.0
3/20,4/20,3250,325000,185.45630311965942,4628.664234876633,130.7699956074357,373.4078850001097,0.0
3/20,5/20,3300,330000,185.0204496383667,4662.856324195862,133.4888729006052,384.286609813571,0.0
3/20,6/20,3350,335000,187.2496657371521,4639.64287853241,138.18386439979076,351.06673353910446,0.0
3/20,7/20,3400,340000,184.042959690094,4682.434375286102,135.44376868754625,377.76194709539413,0.0
3/20,8/20,3450,345000,187.51494145393372,4715.36163187027,137.50049417465925,341.51558542251587,0.0
3/20,9/20,3500,350000,192.29306483268738,4772.528645277023,136.6996579915285,341.4446970820427,0.02
3/20,10/20,3550,355000,190.106379032135,4791.845762729645,139.46903340518475,348.0683067962527,0.01
3/20,11/20,3600,360000,187.18685936927795,4826.469279050827,140.17071340978146,347.2802840769291,0.0
3/20,12/20,3650,365000,186.46791219711304,4832.6393411159515,140.6205658018589,331.7163907587528,0.0
3/20,13/20,3700,370000,187.92566514015198,4895.576999902725,140.7842744961381,324.4321269020438,0.0
3/20,14/20,3750,375000,185.01757669448853,4923.268664598465,142.09399661421776,347.4805336743593,0.01
3/20,15/20,3800,380000,184.52053046226501,4921.474206447601,140.40146834403276,357.77591759711504,0.01
3/20,16/20,3850,385000,184.43709468841553,4958.516350507736,137.69607814401388,349.7384318783879,0.02
3/20,17/20,3900,390000,184.50473165512085,4993.616422653198,139.02103547751904,377.41132494062185,0.0
3/20,18/20,3950,395000,184.02275466918945,5021.4571413993835,139.27734572440386,352.767186306417,0.01
