Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,48.83077001571655,,,,0.0
0/20,1/20,100,10000,176.7734453678131,3.6165645718574524,8.572931408882141,0.22433741809800267,0.0
0/20,2/20,150,15000,204.0483696460724,22.31168981641531,658.7429089546204,4.103586559416726,0.0
0/20,3/20,200,20000,215.41316962242126,20.924674295820296,1093.7421758770943,14.471137208398432,0.0
0/20,4/20,250,25000,212.4866726398468,29.37661825120449,1425.9509164094925,31.48027779813856,0.0
0/20,5/20,300,30000,205.33751821517944,40.59054417349398,1729.076523900032,33.32160506211221,0.0
0/20,6/20,350,35000,206.92871403694153,58.86708843521774,2007.1353871822357,38.49279445596039,0.0
0/20,7/20,400,40000,207.50829577445984,69.07194885984063,2274.884724855423,45.80965029448271,0.0
0/20,8/20,450,45000,207.4172387123108,98.65660418570042,2492.347405910492,51.15832699276507,0.0
0/20,9/20,500,50000,206.20059537887573,115.82904128357768,2605.837422966957,57.698404755443335,0.0
0/20,10/20,550,55000,207.37519311904907,118.60403534397483,2696.3808130025864,59.94288194924593,0.0
0/20,11/20,600,60000,210.4282443523407,146.8575900234282,2812.3789561986923,60.45805701240897,0.0
0/20,12/20,650,65000,206.4936716556549,158.04866524599493,2906.357202887535,64.75946135446429,0.0
0/20,13/20,700,70000,204.28222823143005,177.24127971753478,2957.53651702404,68.73621693253517,0.0
0/20,14/20,750,75000,203.9960811138153,205.46481654047966,3006.6756870746613,72.08496103063226,0.0
0/20,15/20,800,80000,203.53124499320984,200.6859770566225,2990.8900092840195,74.79699786007404,0.0
0/20,16/20,850,85000,206.78880834579468,212.80047892779112,2957.4890850782394,79.14950352534652,0.0
0/20,17/20,900,90000,204.71784257888794,222.7660655528307,2939.683226466179,82.01200481131673,0.0
0/20,18/20,950,95000,207.84891176223755,240.13179169595242,2946.2578283548355,80.76030172407627,0.0
0/20,19/20,1000,100000,209.6466670036316,244.0923179909587,3002.014412522316,83.08849803730845,0.0
1/20,0/20,1050,105000,210.6540801525116,261.0055380910635,3032.5290044546127,85.54086533933878,0.0
1/20,1/20,1100,110000,209.33041071891785,253.58942889422178,3014.156449317932,86.68788777291775,0.0
1/20,2/20,1150,115000,208.67551040649414,296.65951323509216,3044.9819309711456,87.03567535802722,0.0
1/20,3/20,1200,120000,211.61783814430237,296.0194900035858,3035.8248032331467,87.43675777688622,0.0
1/20,4/20,1250,125000,214.18844532966614,301.0348696708679,3088.4860779047012,90.50766102224588,0.0
1/20,5/20,1300,130000,210.57691597938538,305.83664578199387,3049.5427255630493,92.21326924487948,0.0
1/20,6/20,1350,135000,209.44918274879456,322.36098732054234,3074.1498606204987,91.89685883000493,0.0
1/20,7/20,1400,140000,203.20329213142395,327.9348128885031,3076.3401633501053,91.66479872912169,0.0
1/20,8/20,1450,145000,202.21265602111816,324.7936214655638,3059.944407939911,91.71656278520823,0.0
1/20,9/20,1500,150000,201.23440766334534,331.58483589440584,3067.9990491867065,93.48072917759418,0.0
1/20,10/20,1550,155000,198.35189938545227,344.42219164967537,3108.082021832466,95.64307837933302,0.0
1/20,11/20,1600,160000,203.26293659210205,345.9597299993038,3080.743356704712,96.74496178328991,0.0
1/20,12/20,1650,165000,199.4817225933075,344.68787501752377,3071.027345895767,95.89761208742857,0.0
1/20,13/20,1700,170000,199.9142906665802,356.49954145401716,3138.005851984024,95.92729539424181,0.0
1/20,14/20,1750,175000,203.53038263320923,352.39599020779133,3114.19188785553,98.1099373921752,0.0
1/20,15/20,1800,180000,205.55105686187744,362.0423746109009,3091.7040309906006,101.60669107735157,0.0
