Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,49.184393882751465,,,,0.0
0/20,1/20,100,10000,162.63186883926392,3.402174085378647,5.123598396778107,0.1742152962833643,0.0
0/20,2/20,150,15000,192.35241174697876,22.313214366789907,511.24557572603226,3.364337802049704,0.0
0/20,3/20,200,20000,197.45854258537292,23.79835522081703,959.8948343992233,20.609690339071676,0.0
0/20,4/20,250,25000,199.16146755218506,34.72656576521695,1311.7017693519592,31.234956306405365,0.0
0/20,5/20,300,30000,194.1959412097931,51.16741779819131,1667.9964545369148,35.574566941708326,0.0
0/20,6/20,350,35000,197.07997798919678,70.27955948933959,1932.6898344755173,45.41689915396273,0.0
0/20,7/20,400,40000,197.07317352294922,87.9000801704824,2136.1015043258667,58.54661279171705,0.0
0/20,8/20,450,45000,194.54160857200623,97.0906154923141,2260.006138086319,63.62140129506588,0.0
0/20,9/20,500,50000,198.52263760566711,113.05637108907104,2466.4921377897263,65.95345433428884,0.0
0/20,10/20,550,55000,199.44479084014893,139.73021548613906,2605.535296678543,67.77084638923407,0.0
0/20,11/20,600,60000,198.94524550437927,157.53613919392228,2678.5464956760406,73.53956121578813,0.0
0/20,12/20,650,65000,199.41911697387695,177.35334951803088,2758.295012116432,75.94985673949122,0.0
0/20,13/20,700,70000,202.3909056186676,206.46204113960266,2706.8027914762497,82.87971631065011,0.0
0/20,14/20,750,75000,200.97487807273865,201.84411884844303,2717.8743230104446,87.78176816180348,0.0
0/20,15/20,800,80000,200.70563864707947,223.82807263731956,2832.8440659046173,88.9658273756504,0.0
0/20,16/20,850,85000,203.60606408119202,222.21898255497217,2899.228180170059,90.99895914271474,0.0
0/20,17/20,900,90000,201.11722445487976,219.2735222131014,2846.715015888214,91.50039008259773,0.0
0/20,18/20,950,95000,200.60030603408813,241.03427406400442,2859.461220383644,95.07603693753481,0.0
0/20,19/20,1000,100000,201.57773065567017,255.25610118359327,2865.423004746437,96.91533823311329,0.0
1/20,0/20,1050,105000,200.9292402267456,279.74367190897465,2872.762538909912,97.7062072083354,0.0
1/20,1/20,1100,110000,199.77438759803772,280.33347626030445,2846.870356440544,100.51904460042715,0.0
1/20,2/20,1150,115000,200.0737226009369,290.6947635114193,2876.8483769893646,101.7697286605835,0.0
1/20,3/20,1200,120000,200.13552355766296,289.7852218672633,2895.727128624916,101.41711820662022,0.0
1/20,4/20,1250,125000,202.3181610107422,264.4592606648803,2876.2368379831314,96.75448303669691,0.0
1/20,5/20,1300,130000,201.0887689590454,280.8054638057947,2877.1458859443665,98.45232401043177,0.0
1/20,6/20,1350,135000,199.69978666305542,293.7657181993127,2909.2521311044693,101.68917365372181,0.0
1/20,7/20,1400,140000,198.7565484046936,314.1855125501752,2913.0405324697495,102.31842368096113,0.0
1/20,8/20,1450,145000,198.66806960105896,330.44785979390144,2925.2588481903076,106.69908995181322,0.0
1/20,9/20,1500,150000,199.34578347206116,306.9024133384228,3001.8540568351746,103.79376261681318,0.0
1/20,10/20,1550,155000,199.63696265220642,315.0035409554839,2989.456724882126,103.71015968173742,0.0
1/20,11/20,1600,160000,202.59332060813904,309.5316047295928,2977.308322429657,108.26703754067421,0.0
1/20,12/20,1650,165000,201.382714509964,306.5403044298291,2973.5731180906296,111.83477340638638,0.0
1/20,13/20,1700,170000,199.13516974449158,325.1224938929081,3051.3383820056915,111.22719345241785,0.0
1/20,14/20,1750,175000,198.97361397743225,318.3733039870858,3125.1838854551315,109.1957906037569,0.0
1/20,15/20,1800,180000,202.65558004379272,320.4732226282358,3257.9383449554443,110.53951754420996,0.0
1/20,16/20,1850,185000,205.14550685882568,359.496485888958,3325.4246275424957,110.7959376052022,0.0
1/20,17/20,1900,190000,203.84011507034302,343.5330716371536,3378.4108505249023,112.20026301592588,0.0
1/20,18/20,1950,195000,200.55244278907776,342.80218330025673,3417.0483198165894,113.32844337821007,0.0
1/20,19/20,2000,200000,199.49393701553345,349.151006937027,3439.6474862098694,111.50532934814692,0.0
2/20,0/20,2050,205000,199.4865312576294,355.23191088438034,3500.01903963089,113.80485200881958,0.0
2/20,1/20,2100,210000,203.96131992340088,356.59649570286274,3539.6050956249237,116.80315915495157,0.0
2/20,2/20,2150,215000,201.32058930397034,350.0913787484169,3532.8726551532745,115.53189382702112,0.0
2/20,3/20,2200,220000,202.1359884738922,331.8005259409547,3550.433096408844,115.75545746088028,0.0
2/20,4/20,2250,225000,202.62851524353027,376.50578536093235,3614.149705886841,116.59038760513067,0.0
2/20,5/20,2300,230000,201.66265439987183,370.65878412127495,3709.0566017627716,119.65919877588749,0.0
2/20,6/20,2350,235000,201.4611804485321,364.3619166314602,3797.928279399872,121.54266095906496,0.0
2/20,7/20,2400,240000,201.4048149585724,374.4919101893902,3841.1256396770477,124.18152078986168,0.0
2/20,8/20,2450,245000,201.65049123764038,364.55108267068863,3831.6385776996613,125.73654490709305,0.0
2/20,9/20,2500,250000,199.4963357448578,367.5869375169277,3876.026694059372,125.1660867407918,0.0
2/20,10/20,2550,255000,195.72031664848328,387.0573110282421,3971.3959953784943,126.22015581279993,0.0
2/20,11/20,2600,260000,194.28487277030945,386.9507744163275,3998.2418582439423,127.04139848798513,0.0
2/20,12/20,2650,265000,196.37050819396973,373.3040003031492,4044.6531167030334,128.0432492494583,0.0
2/20,13/20,2700,270000,197.5853910446167,396.5082727521658,4097.595123291016,130.2491766884923,0.0
2/20,14/20,2750,275000,195.49818658828735,383.86492954194546,4130.861776828766,130.9488331824541,0.0
2/20,15/20,2800,280000,198.4370241165161,370.8337402790785,4170.987204551697,128.67594423890114,0.0
2/20,16/20,2850,285000,202.6719925403595,386.1841616407037,4244.354003667831,132.72954135388136,0.0
2/20,17/20,2900,290000,200.06987357139587,356.29169292747974,4228.916361808777,134.04166731238365,0.0
2/20,18/20,2950,295000,202.95093154907227,367.2097117602825,4303.332643270493,133.7838776037097,0.01
2/20,19/20,3000,300000,208.84246015548706,361.29869048297405,4356.808578491211,134.67692682147026,0.0
3/20,0/20,3050,305000,205.7980134487152,362.7414975464344,4411.947363138199,133.83606223016977,0.0
3/20,1/20,3100,310000,201.30467057228088,366.96877694129944,4435.616984844208,134.99632818251848,0.0
3/20,2/20,3150,315000,196.4648244380951,347.6792979389429,4451.033975601196,136.77049286663532,0.0
3/20,3/20,3200,320000,197.72523021697998,335.61683033406734,4507.304986953735,137.1534792482853,0.0
3/20,4/20,3250,325000,201.0970103740692,325.2440601065755,4524.909659147263,136.8347449079156,0.0
3/20,5/20,3300,330000,207.59326004981995,337.7860915362835,4516.297604799271,136.1942711547017,0.0
3/20,6/20,3350,335000,211.9301097393036,334.3588472008705,4550.431698322296,137.2617880180478,0.0
3/20,7/20,3400,340000,213.510187625885,324.87663692235947,4621.500626087189,138.60420877486467,0.0
3/20,8/20,3450,345000,215.51757287979126,336.10303676873446,4680.831251382828,139.7512107565999,0.0
3/20,9/20,3500,350000,217.42177629470825,343.28491532057524,4744.913034200668,137.8785937577486,0.0
3/20,10/20,3550,355000,216.7233545780182,315.073564119637,4759.124496936798,139.68673445284367,0.0
3/20,11/20,3600,360000,216.18038773536682,312.2928737476468,4772.8424208164215,141.27610030025244,0.0
3/20,12/20,3650,365000,213.881600856781,322.7372632846236,4837.648364543915,142.54158826172352,0.04
3/20,13/20,3700,370000,212.8299663066864,337.72210904210806,4869.471855163574,146.57915809750557,0.02
3/20,14/20,3750,375000,214.29125690460205,324.48258823901415,4949.518211364746,145.36694868654013,0.02
3/20,15/20,3800,380000,214.98988580703735,333.46758460253477,4970.481684684753,146.41960560530424,0.04
3/20,16/20,3850,385000,215.1219003200531,339.54665111750364,5010.725000858307,148.114036783576,0.03
3/20,17/20,3900,390000,211.6362862586975,333.28773080557585,5029.014856815338,147.68577671796083,0.06
3/20,18/20,3950,395000,213.98918199539185,354.156699731946,5091.207517385483,147.26298736035824,0.14
3/20,19/20,4000,400000,214.9535949230194,363.20427563786507,5091.162863969803,146.61368371546268,0.24
4/20,0/20,4050,405000,215.42021441459656,341.72949282824993,5158.2548706531525,149.96305396407843,0.05
4/20,1/20,4100,410000,215.4543583393097,362.44434478878975,5184.175403594971,152.2193564772606,0.19
4/20,2/20,4150,415000,212.87962222099304,346.21049174666405,5231.559710979462,152.47605422139168,0.17
4/20,3/20,4200,420000,214.91747188568115,351.4027892127633,5266.302191257477,154.47514326870441,0.22
4/20,4/20,4250,425000,214.8668019771576,333.85313004255295,5317.05565738678,152.08135324716568,0.17
4/20,5/20,4300,430000,216.04187750816345,360.7346048131585,5346.9285271167755,148.72301825881004,0.25
4/20,6/20,4350,435000,76.98300218582153,340.63418559730053,5475.97233915329,151.5403398796916,0.26
4/20,7/20,4400,440000,73.94910788536072,380.68656277656555,5568.662126302719,154.40921682864428,0.16
4/20,8/20,4450,445000,75.6803765296936,353.7639023885131,5608.766836643219,152.98073987662792,0.09
4/20,9/20,4500,450000,75.9064691066742,361.0445533692837,5681.847207546234,155.22631385922432,0.22
4/20,10/20,4550,455000,73.45072841644287,349.13497895747423,5715.387296676636,155.77311132848263,0.26
4/20,11/20,4600,460000,75.65977048873901,340.51149498671293,5786.176904201508,157.00385238230228,0.11
4/20,12/20,4650,465000,74.4185266494751,359.64595118910074,5833.762421131134,156.58140408992767,0.25
4/20,13/20,4700,470000,72.16322946548462,364.35009153187275,5848.384679317474,159.7881718724966,0.37
4/20,14/20,4750,475000,76.38545966148376,364.61779956519604,5905.417853355408,159.10232505947351,0.26
4/20,15/20,4800,480000,74.5196282863617,347.22074818611145,5928.809119224548,160.07141080498695,0.25
4/20,16/20,4850,485000,72.97825312614441,373.7751676142216,5945.72230386734,160.4997072070837,0.46
4/20,17/20,4900,490000,79.04067921638489,381.20831045508385,5999.692303657532,160.15389074385166,0.34
4/20,18/20,4950,495000,73.35082459449768,367.9676948338747,6058.072629451752,161.1983532011509,0.51
4/20,19/20,5000,500000,72.91566181182861,387.7861700505018,6143.666347503662,164.28215017914772,0.42
5/20,0/20,5050,505000,77.40327286720276,341.2467049360275,6145.782598018646,164.1365148872137,0.49
5/20,1/20,5100,510000,72.10151529312134,366.59194028377533,6189.63169336319,164.02711947262287,0.46
5/20,2/20,5150,515000,70.73330020904541,349.91566021740437,6265.493039608002,162.17454163730145,0.76
5/20,3/20,5200,520000,75.46381211280823,364.4766130745411,6321.4305992126465,163.0109438151121,0.6
5/20,4/20,5250,525000,71.87198853492737,377.09044835716486,6343.453036308289,163.51450046896935,0.53
5/20,5/20,5300,530000,71.47906851768494,379.629439920187,6350.315573692322,165.4028440117836,0.51
5/20,6/20,5350,535000,76.87904810905457,340.1310535520315,6356.808041095734,168.41214995086193,0.64
5/20,7/20,5400,540000,71.75086426734924,365.5923107713461,6414.451608657837,167.9409509897232,0.58
5/20,8/20,5450,545000,71.68549084663391,352.14487344026566,6444.821817874908,168.173279941082,0.76
5/20,9/20,5500,550000,76.11256217956543,373.99640537798405,6507.654029846191,168.5157311707735,0.74
