Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,41.317909240722656,,,,0.0
0/20,1/20,100,10000,156.5727002620697,3.477523446083069,0.23164745746180415,5.845064759254456,0.0
0/20,2/20,150,15000,185.9303617477417,21.75408114725724,5.283882062649354,560.5124260783195,0.0
0/20,3/20,200,20000,184.05807638168335,17.25895883049816,21.58734107669443,977.9555205106735,0.0
0/20,4/20,250,25000,181.4624400138855,26.12670237151906,24.092273135203868,1380.2658278346062,0.0
0/20,5/20,300,30000,185.7126545906067,35.80481099803001,29.005958781577647,1739.1667100191116,0.0
0/20,6/20,350,35000,184.3499355316162,58.93884061835706,39.54712172225118,2019.5512648820877,0.0
0/20,7/20,400,40000,186.7043159008026,77.42667482234538,46.106387943029404,2298.497216939926,0.0
0/20,8/20,450,45000,184.95298552513123,90.18111248128116,53.50738426297903,2502.4618479013443,0.0
0/20,9/20,500,50000,183.56780886650085,114.92420511320233,58.42243014276028,2671.6410686969757,0.0
0/20,10/20,550,55000,182.8978419303894,135.652677167207,62.71072303876281,2876.44773209095,0.0
0/20,11/20,600,60000,185.60213613510132,179.1090009957552,69.35183911770582,2986.764218568802,0.0
0/20,12/20,650,65000,183.90090250968933,189.68858892470598,76.2340011112392,3001.5389330387115,0.0
0/20,13/20,700,70000,185.22750973701477,206.12246097624302,84.13566336408257,2979.7736070156097,0.0
0/20,14/20,750,75000,186.78730750083923,205.30574379861355,85.59441832825541,2947.4177557229996,0.0
0/20,15/20,800,80000,186.58380937576294,217.53767846524715,87.70225828513503,2943.845339536667,0.0
0/20,16/20,850,85000,187.19715905189514,215.4316599443555,90.48170836642385,2864.14863884449,0.0
0/20,17/20,900,90000,188.9003508090973,231.96775303035975,94.75162749364972,2829.911700129509,0.0
0/20,18/20,950,95000,188.93827271461487,228.84940050542355,93.41952853277326,2791.3137716054916,0.0
0/20,19/20,1000,100000,186.91433358192444,246.4074251651764,95.21291164308786,2788.6474499702454,0.0
1/20,0/20,1050,105000,184.0131163597107,239.1312253549695,94.67337112873793,2765.30526971817,0.0
1/20,1/20,1100,110000,187.81971836090088,254.36836455762386,94.9225995093584,2794.446786046028,0.0
1/20,2/20,1150,115000,188.82532048225403,261.7425150871277,97.16255097836256,2834.1526465415955,0.0
1/20,3/20,1200,120000,187.2460913658142,267.76333033293486,99.08872969448566,2843.24098944664,0.0
1/20,4/20,1250,125000,188.54660940170288,283.6329879760742,102.61572667956352,2879.398705482483,0.0
1/20,5/20,1300,130000,189.51247358322144,285.68347396701574,102.24587930738926,2957.7361139059067,0.0
1/20,6/20,1350,135000,193.78181886672974,294.64231641590595,103.49208838492632,2933.11190366745,0.0
1/20,7/20,1400,140000,191.91209721565247,291.1853430196643,105.08335435390472,2930.556713461876,0.0
1/20,8/20,1450,145000,187.71692967414856,315.1338462680578,106.94173341244459,2978.677302122116,0.0
1/20,9/20,1500,150000,186.58335542678833,326.45747712254524,108.88543532788754,3032.087836265564,0.0
1/20,10/20,1550,155000,188.22989082336426,348.47233161330223,110.13138075172901,3106.8653588294983,0.0
1/20,11/20,1600,160000,189.31399774551392,322.82642136514187,110.32163684815168,3124.307831287384,0.0
1/20,12/20,1650,165000,185.49978470802307,346.4271505922079,112.13622014969587,3160.569409608841,0.0
1/20,13/20,1700,170000,189.48998355865479,340.45308220386505,113.11427383869886,3270.985547065735,0.0
1/20,14/20,1750,175000,190.38796663284302,378.3778631389141,113.61534240096807,3363.941552400589,0.0
1/20,15/20,1800,180000,191.89362406730652,370.11161302030087,120.41229650378227,3456.2339849472046,0.0
