Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,45.12385582923889,,,,0.0
0/20,1/20,100,10000,177.10698294639587,6.611103728413582,0.19255293905735016,3.944738060235977,0.0
0/20,2/20,150,15000,215.7110197544098,592.1654281914234,3.8503632361534983,26.304690541233867,0.0
0/20,3/20,200,20000,216.6811397075653,1017.6367183923721,20.37889360776171,20.940193586982787,0.0
0/20,4/20,250,25000,215.06403183937073,1379.1338675618172,30.012824890203774,30.074273178353906,0.0
0/20,5/20,300,30000,211.5681231021881,1740.052108168602,35.30056595150381,47.77379608154297,0.0
0/20,6/20,350,35000,205.92987537384033,2030.5876681804657,39.98223544843495,64.71687370724976,0.0
0/20,7/20,400,40000,205.0859043598175,2319.3012734651566,49.27513433992863,83.51428348571062,0.0
0/20,8/20,450,45000,206.29016995429993,2519.723061800003,58.997789124026895,113.0024804957211,0.0
0/20,9/20,500,50000,214.917001247406,2703.9819123744965,65.33074998855591,128.969827324152,0.0
0/20,10/20,550,55000,213.4345943927765,2824.907034277916,71.23115865513682,135.6631831675768,0.0
0/20,11/20,600,60000,211.50561022758484,2899.2059296369553,76.36315116286278,163.72242058813572,0.0
0/20,12/20,650,65000,210.74406814575195,2972.9853023290634,75.79710680246353,175.33515570685267,0.0
0/20,13/20,700,70000,210.27097964286804,2926.4390717744827,81.79692212864757,202.54669269174337,0.0
0/20,14/20,750,75000,212.71415758132935,2898.5660685300827,84.67495522275567,212.64330434799194,0.0
0/20,15/20,800,80000,213.05013036727905,2913.5370720624924,88.10162257775664,243.78079469501972,0.0
0/20,16/20,850,85000,213.37020707130432,2885.743361592293,88.49818245321512,242.404688924551,0.0
0/20,17/20,900,90000,218.2443652153015,2909.704031229019,86.57834081724286,253.56172966957092,0.0
0/20,18/20,950,95000,213.75664591789246,2853.0095024108887,87.55850294977427,259.16038309782743,0.0
0/20,19/20,1000,100000,218.47676038742065,2851.6034047603607,87.81128243729472,256.9224428832531,0.0
1/20,0/20,1050,105000,217.9153323173523,2888.880175948143,90.05912628397346,260.2092040851712,0.0
1/20,1/20,1100,110000,215.6124517917633,2863.1697404384613,90.2681795321405,263.48608481138945,0.0
1/20,2/20,1150,115000,214.38200211524963,2863.218567967415,93.07984990626574,255.0679174363613,0.0
1/20,3/20,1200,120000,215.44782996177673,2890.4403483867645,91.78510119765997,267.95644204318523,0.0
1/20,4/20,1250,125000,216.45487999916077,2866.711386203766,94.782679207623,259.672843195498,0.0
1/20,5/20,1300,130000,219.42679643630981,2873.4402443170547,94.07039246708155,265.46619994938374,0.0
1/20,6/20,1350,135000,217.72974634170532,2924.386335372925,95.00649593025446,271.37204248458147,0.0
1/20,7/20,1400,140000,214.96426486968994,2904.761138319969,95.21521705389023,257.36658373475075,0.0
1/20,8/20,1450,145000,216.87745904922485,2924.4109234809875,96.55611703544855,282.040907561779,0.0
1/20,9/20,1500,150000,218.2574543952942,2988.5910733938217,95.66998808830976,312.9770413711667,0.0
1/20,10/20,1550,155000,217.41986274719238,3046.45407474041,96.46407715976238,324.43525917828083,0.0
1/20,11/20,1600,160000,219.4282944202423,3146.1570374965668,100.1793319657445,311.8676015213132,0.0
1/20,12/20,1650,165000,215.10475945472717,3153.224655508995,102.05011828243732,321.62932592630386,0.0
1/20,13/20,1700,170000,214.0380895137787,3234.1327986717224,104.99877262115479,317.2755452618003,0.0
1/20,14/20,1750,175000,217.11784410476685,3271.949975132942,107.65470363944769,348.909610375762,0.0
1/20,15/20,1800,180000,216.95567178726196,3320.079611301422,110.53704842925072,363.85867201536894,0.0
1/20,16/20,1850,185000,217.16397213935852,3332.989832639694,107.84188713133335,342.8485481068492,0.0
1/20,17/20,1900,190000,213.92733812332153,3392.956575870514,107.00934278964996,344.852273106575,0.0
1/20,18/20,1950,195000,206.62512636184692,3442.451764345169,108.54486681520939,355.9661303758621,0.0
1/20,19/20,2000,200000,182.29547691345215,3502.323821783066,108.45986068248749,362.93513721972704,0.0
2/20,0/20,2050,205000,185.8408830165863,3566.153932094574,110.4731904566288,369.67637737840414,0.0
2/20,1/20,2100,210000,183.29035902023315,3615.774163722992,111.57048581540585,370.85625056922436,0.0
2/20,2/20,2150,215000,183.28926706314087,3684.2874372005463,115.15360689908266,412.9368313252926,0.0
2/20,3/20,2200,220000,180.880220413208,3719.9769673347473,120.32118976861238,392.27128928899765,0.0
2/20,4/20,2250,225000,181.59772205352783,3779.454934120178,120.12222744524479,411.8816264271736,0.0
2/20,5/20,2300,230000,184.54889297485352,3809.9705243110657,120.70464284718037,394.91827116906643,0.0
2/20,6/20,2350,235000,183.25926327705383,3824.6042714118958,121.6258983835578,395.92860719561577,0.0
2/20,7/20,2400,240000,176.97769021987915,3892.960368871689,121.42847818881273,404.2293662279844,0.0
2/20,8/20,2450,245000,177.66531896591187,3949.2004776000977,120.73727994412184,379.3839026093483,0.0
2/20,9/20,2500,250000,180.4161925315857,3982.812426328659,120.6395813524723,391.6086603626609,0.0
2/20,10/20,2550,255000,181.13616681098938,4028.0070927143097,124.15337605774403,404.95665573328733,0.0
2/20,11/20,2600,260000,182.41235542297363,4070.985015153885,124.49392894655466,406.4819593578577,0.0
2/20,12/20,2650,265000,182.21501350402832,4109.495723485947,126.19056046009064,420.39616346359253,0.0
2/20,13/20,2700,270000,183.0858347415924,4119.176693677902,124.8470769226551,397.0092465132475,0.0
2/20,14/20,2750,275000,184.16659903526306,4221.223926305771,123.94278330355883,384.26451743394136,0.0
2/20,15/20,2800,280000,185.5877604484558,4241.366088151932,124.27188306301832,401.97068770229816,0.0
2/20,16/20,2850,285000,186.18981289863586,4312.212491512299,123.74033207446337,418.2637295797467,0.0
2/20,17/20,2900,290000,187.45323944091797,4353.564437627792,125.29960811138153,420.98413702845573,0.0
2/20,18/20,2950,295000,186.75059604644775,4381.483620166779,123.44265204668045,367.2050634101033,0.0
2/20,19/20,3000,300000,179.72867345809937,4416.038425207138,125.68444511294365,402.8074100166559,0.0
3/20,0/20,3050,305000,182.29816555976868,4462.6578369140625,127.0438703969121,423.11219592392445,0.0
