Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,49.366416931152344,,,,0.0
0/20,1/20,100,10000,168.36515021324158,5.816124718636274,3.8210401087999344,0.17951490823179483,0.0
0/20,2/20,150,15000,205.9111144542694,555.7480179667473,20.699604010675102,5.257096393732354,0.0
0/20,3/20,200,20000,198.02776169776917,996.879857480526,19.71573001658544,23.886207405477762,0.0
0/20,4/20,250,25000,199.22341394424438,1318.2758160233498,31.642542955465615,39.05775034613907,0.0
0/20,5/20,300,30000,194.61477732658386,1604.7418421506882,43.57357723638415,45.77343491837382,0.0
0/20,6/20,350,35000,198.58879399299622,1842.2372977733612,57.14404118992388,48.480017237365246,0.0
0/20,7/20,400,40000,197.72604322433472,2007.8179661035538,69.1552162617445,51.83248956501484,0.0
0/20,8/20,450,45000,198.82994318008423,2252.861763715744,94.76589438878,53.285784397274256,0.0
0/20,9/20,500,50000,203.37816667556763,2479.226543188095,114.98027513176203,59.4357859864831,0.0
0/20,10/20,550,55000,202.2494866847992,2739.7967554330826,137.7396485172212,67.33656107261777,0.0
0/20,11/20,600,60000,197.1088376045227,2858.5764342546463,161.04012789204717,72.08252361416817,0.0
0/20,12/20,650,65000,198.76255679130554,2935.601665496826,174.03749256581068,83.00366907566786,0.0
0/20,13/20,700,70000,198.88225150108337,2949.2293372154236,188.68627536296844,87.07864663004875,0.0
0/20,14/20,750,75000,197.96603918075562,3000.873388528824,203.86890767514706,88.76350431516767,0.0
0/20,15/20,800,80000,201.26909518241882,3040.1688714027405,220.09142503142357,90.2112840488553,0.0
0/20,16/20,850,85000,200.97318315505981,2983.2552230358124,224.94981465488672,92.16689522564411,0.0
0/20,17/20,900,90000,200.72218704223633,3050.0352615118027,262.1602441519499,91.44403209164739,0.0
0/20,18/20,950,95000,201.61583399772644,3082.9391013383865,266.86668111383915,93.83640897274017,0.0
0/20,19/20,1000,100000,203.12107944488525,3080.942970633507,280.9619780406356,95.42360389977694,0.0
