Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,39.540865659713745,,,,0.0
0/20,1/20,100,10000,157.14134216308594,4.654192216694355,0.1954173780977726,3.6173111647367477,0.0
0/20,2/20,150,15000,178.07507753372192,445.0048449933529,4.456776850507595,19.878473279532045,0.0
0/20,3/20,200,20000,180.86991786956787,790.3464534580708,21.98680262779817,19.153732197824866,0.0
0/20,4/20,250,25000,176.30888748168945,1100.2897137403488,29.594760099425912,30.78157715499401,0.0
0/20,5/20,300,30000,177.27118182182312,1447.5750043988228,37.69847387261689,46.722275835461915,0.0
0/20,6/20,350,35000,176.6566686630249,1729.3691203594208,47.42493312060833,57.67646194435656,0.0
0/20,7/20,400,40000,176.2237846851349,1947.8295469284058,47.467965595424175,66.51420706883073,0.0
0/20,8/20,450,45000,178.66533541679382,2156.5928052663803,51.2810523994267,81.84443837031722,0.0
0/20,9/20,500,50000,182.43293523788452,2320.5019248723984,55.63599951937795,98.0166081264615,0.0
0/20,10/20,550,55000,179.58027482032776,2451.1719851493835,59.02254059165716,103.8308900538832,0.0
0/20,11/20,600,60000,181.41944336891174,2561.315935730934,62.11930352449417,132.59748684987426,0.0
0/20,12/20,650,65000,184.73131680488586,2607.453693985939,67.51765752211213,156.93581748008728,0.0
0/20,13/20,700,70000,183.8226969242096,2649.1696259975433,76.47200907766819,163.92425072565675,0.0
0/20,14/20,750,75000,181.1140513420105,2706.081233382225,80.08348821476102,181.40390268340707,0.0
0/20,15/20,800,80000,180.14068269729614,2735.373885989189,84.52869737893343,194.61145608127117,0.0
0/20,16/20,850,85000,178.26733827590942,2805.8546228408813,89.19234978407621,229.7584618628025,0.0
0/20,17/20,900,90000,178.94363021850586,2821.125830769539,88.589788377285,218.5498551055789,0.0
0/20,18/20,950,95000,182.10488438606262,2825.8115689754486,91.30363795161247,231.21100290864706,0.0
0/20,19/20,1000,100000,183.9595024585724,2858.9661368131638,92.0524860471487,238.05478225648403,0.0
1/20,0/20,1050,105000,184.35208988189697,2847.1377242803574,93.32487348094583,232.23198551684618,0.0
1/20,1/20,1100,110000,182.13987922668457,2828.72449529171,92.77856573835015,244.9192314594984,0.0
1/20,2/20,1150,115000,179.4328281879425,2968.0673828125,95.93289267271757,254.2190693989396,0.0
1/20,3/20,1200,120000,180.76577520370483,2983.083481669426,95.61578936129808,251.84257431328297,0.0
1/20,4/20,1250,125000,180.28963589668274,3032.5304539203644,95.75479048490524,259.6242758706212,0.0
1/20,5/20,1300,130000,179.59544491767883,3054.7580342292786,101.69127547740936,287.3234310746193,0.0
1/20,6/20,1350,135000,180.7725167274475,3112.974279165268,100.07806449383497,286.79779313504696,0.0
1/20,7/20,1400,140000,180.77709817886353,3205.7948244810104,102.36459188908339,311.97887763381004,0.0
1/20,8/20,1450,145000,179.12046337127686,3205.645085334778,105.71296764910221,306.8158135265112,0.0
1/20,9/20,1500,150000,184.64646196365356,3259.085947036743,103.10479406267405,336.03465619683266,0.0
1/20,10/20,1550,155000,181.89877915382385,3272.310521841049,104.37799621373415,317.7473825067282,0.0
1/20,11/20,1600,160000,182.61880898475647,3335.322153568268,106.58576260507107,334.48243674635887,0.0
1/20,12/20,1650,165000,186.58360934257507,3369.2157711982727,107.98609856516123,364.11960776150227,0.0
1/20,13/20,1700,170000,180.021666765213,3432.0533521175385,108.33688639849424,356.2883715927601,0.0
1/20,14/20,1750,175000,184.64017367362976,3446.1326909065247,109.80855369567871,385.1540859043598,0.0
1/20,15/20,1800,180000,183.98895239830017,3513.2856562137604,111.59818562120199,351.9770041555166,0.0
1/20,16/20,1850,185000,183.20208168029785,3549.063727378845,116.29210764169693,372.02295096963644,0.0
1/20,17/20,1900,190000,184.21917748451233,3562.4333782196045,118.07662126421928,381.586582377553,0.0
1/20,18/20,1950,195000,188.82725548744202,3612.0357522964478,116.3363851159811,376.4641631245613,0.0
1/20,19/20,2000,200000,193.4981300830841,3640.678931951523,116.11596511304379,346.327331289649,0.0
2/20,0/20,2050,205000,191.53284740447998,3705.607442378998,112.92683926969767,350.7349900454283,0.0
2/20,1/20,2100,210000,184.49292945861816,3774.296024799347,115.66628936678171,363.6804910823703,0.0
2/20,2/20,2150,215000,184.10758805274963,3838.141402244568,118.61420265585184,350.06528301537037,0.0
2/20,3/20,2200,220000,184.92489767074585,3842.1956498622894,116.99890075623989,372.8925103545189,0.0
2/20,4/20,2250,225000,183.58442783355713,3878.0284605026245,118.78333678841591,359.78843085467815,0.0
2/20,5/20,2300,230000,182.83446836471558,3978.8985724449158,119.78445675969124,391.81818383932114,0.0
2/20,6/20,2350,235000,184.35812997817993,4005.353643655777,119.84266819804907,387.111784234643,0.0
2/20,7/20,2400,240000,182.14677214622498,4031.0989248752594,121.35487022995949,383.02712988853455,0.0
2/20,8/20,2450,245000,182.92034935951233,4087.8997411727905,123.17469253391027,394.1375556588173,0.0
2/20,9/20,2500,250000,183.07410168647766,4118.213947534561,123.23867481201887,383.4474243223667,0.0
2/20,10/20,2550,255000,180.2755229473114,4158.082008361816,124.20099661499262,365.09761752188206,0.0
2/20,11/20,2600,260000,178.9903964996338,4189.50976896286,125.70297635346651,384.2632436603308,0.0
2/20,12/20,2650,265000,181.06538248062134,4221.216260433197,124.60063124448061,383.76690961420536,0.0
2/20,13/20,2700,270000,184.2930178642273,4285.197567939758,126.5382961332798,397.1397711932659,0.0
2/20,14/20,2750,275000,183.08073544502258,4357.698307752609,127.84555428475142,390.17589981108904,0.0
2/20,15/20,2800,280000,179.9840145111084,4399.025091409683,130.59802063554525,404.4545832499862,0.0
2/20,16/20,2850,285000,178.835604429245,4479.8155772686005,130.1274840310216,402.43977300077677,0.0
2/20,17/20,2900,290000,184.71411514282227,4468.105911016464,129.83498495817184,389.76167050004005,0.0
2/20,18/20,2950,295000,180.7580497264862,4494.6280925273895,130.5379516929388,379.09339115023613,0.0
2/20,19/20,3000,300000,184.5375213623047,4519.613490819931,129.39300682395697,362.2553016990423,0.0
3/20,0/20,3050,305000,178.15416717529297,4584.776906490326,131.33568342775106,393.0939930975437,0.0
3/20,1/20,3100,310000,177.93897652626038,4667.24716091156,132.68255703151226,372.962923720479,0.0
