Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,39.4601845741272,,,,0.0
0/20,1/20,100,10000,169.1399438381195,3.7800874561071396,0.19738063076511025,7.786871924996376,0.0
0/20,2/20,150,15000,194.57480454444885,23.345218589529395,4.257730920799077,603.4703183472157,0.0
0/20,3/20,200,20000,197.0768163204193,22.484661624301225,18.71541468752548,1043.9428948163986,0.0
0/20,4/20,250,25000,199.03341388702393,32.67646111175418,36.45923728682101,1357.8030136227608,0.0
0/20,5/20,300,30000,196.88325667381287,40.350572573021054,39.35125551559031,1657.0472429990768,0.0
0/20,6/20,350,35000,198.15397119522095,58.5463528521359,47.15683558024466,1876.0825390815735,0.0
0/20,7/20,400,40000,198.21939873695374,72.15361550450325,53.974812384694815,2027.968622326851,0.0
0/20,8/20,450,45000,197.07376313209534,100.67475170455873,58.50442408770323,2267.4614468812943,0.0
0/20,9/20,500,50000,191.69788122177124,104.45932586863637,62.716830775141716,2473.0911697149277,0.0
0/20,10/20,550,55000,191.81441140174866,124.0493160970509,65.82004288956523,2654.019781589508,0.0
0/20,11/20,600,60000,193.8688509464264,133.35294872149825,64.99779289215803,2703.610149025917,0.0
0/20,12/20,650,65000,193.70140099525452,152.26701097935438,69.70414099097252,2772.8011091947556,0.0
0/20,13/20,700,70000,196.67618346214294,152.7803237773478,76.35101101920009,2766.257299423218,0.0
0/20,14/20,750,75000,196.0507209300995,169.9159942008555,80.74404894933105,2845.716399550438,0.0
0/20,15/20,800,80000,195.89950489997864,180.72035647183657,80.76605293527246,2886.0133143663406,0.0
0/20,16/20,850,85000,199.11571884155273,213.75406245142221,86.06334086507559,2911.435638666153,0.0
0/20,17/20,900,90000,199.69038724899292,219.0481317266822,88.19867362827063,2960.769146680832,0.0
0/20,18/20,950,95000,194.13203597068787,241.35959246009588,88.20842164382339,2951.9788649082184,0.0
0/20,19/20,1000,100000,194.96475648880005,241.29061664640903,88.85791918635368,2911.975683450699,0.0
1/20,0/20,1050,105000,193.68223357200623,246.46279180049896,88.97459291666746,2909.672881603241,0.0
1/20,1/20,1100,110000,196.1009476184845,262.9046119377017,86.62340322136879,2920.808080434799,0.0
1/20,2/20,1150,115000,195.84287428855896,288.9455263465643,88.27828409150243,2934.152889728546,0.0
1/20,3/20,1200,120000,197.09379696846008,284.1091409549117,92.92793142795563,2954.5035046339035,0.0
1/20,4/20,1250,125000,197.13647055625916,286.8231600522995,96.34480729326606,2934.8330402374268,0.0
1/20,5/20,1300,130000,199.12025618553162,302.183057308197,93.69783563539386,3006.805709838867,0.0
1/20,6/20,1350,135000,200.58690571784973,320.82425320893526,92.8974160477519,3049.8331550359726,0.0
1/20,7/20,1400,140000,195.27103877067566,313.1727693602443,92.75906809791923,3074.6673172712326,0.0
1/20,8/20,1450,145000,193.90940809249878,319.31396137923,93.14623497053981,3152.2505581378937,0.0
1/20,9/20,1500,150000,194.54522132873535,343.10137697309256,97.13846523314714,3179.3112165927887,0.0
1/20,10/20,1550,155000,193.57741808891296,301.32420564442873,100.61076195538044,3226.3201246261597,0.0
1/20,11/20,1600,160000,195.88038420677185,327.7505411654711,100.12521275877953,3277.0237443447113,0.0
1/20,12/20,1650,165000,195.3706500530243,330.41804613918066,100.09944098442793,3299.397218942642,0.0
1/20,13/20,1700,170000,196.66879844665527,350.7343478798866,102.5285345762968,3363.327558994293,0.0
1/20,14/20,1750,175000,195.64423775672913,360.2570171356201,107.07515627890825,3402.889312505722,0.0
1/20,15/20,1800,180000,199.6467638015747,370.5835971608758,107.46673765778542,3456.387377023697,0.0
1/20,16/20,1850,185000,199.6045162677765,382.3837786912918,109.25391801446676,3473.5281999111176,0.0
1/20,17/20,1900,190000,195.6952555179596,376.6999661922455,105.26033613830805,3518.3710391521454,0.0
1/20,18/20,1950,195000,195.64695072174072,396.59725247323513,105.4380368962884,3562.950188398361,0.0
