Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,38.35387873649597,,,,0.0
0/20,1/20,100,10000,157.53535437583923,0.16980864945799112,4.905216686427593,3.643770284950733,0.0
0/20,2/20,150,15000,180.17609429359436,2.955771656706929,457.6839972883463,19.573878820054233,0.0
0/20,3/20,200,20000,177.66291403770447,16.499262606492266,867.6094139814377,17.96273036301136,0.0
0/20,4/20,250,25000,179.69637846946716,23.890337605960667,1230.7081680297852,26.919259439222515,0.0
0/20,5/20,300,30000,177.40937638282776,25.830726319923997,1545.1110916733742,37.6437199851498,0.0
0/20,6/20,350,35000,174.36169862747192,28.307859395630658,1851.8364797830582,56.0079415505752,0.0
0/20,7/20,400,40000,173.2973291873932,41.41487334482372,2114.166521191597,77.12467384524643,0.0
0/20,8/20,450,45000,174.72938013076782,47.515349404886365,2354.4803186655045,93.07846155762672,0.0
0/20,9/20,500,50000,173.80097103118896,49.30174649506807,2543.313749074936,108.94172276742756,0.0
0/20,10/20,550,55000,176.6635730266571,52.61274424009025,2715.374819278717,139.98189927451313,0.0
0/20,11/20,600,60000,176.61799335479736,59.31424654275179,2875.341883778572,157.80925706401467,0.0
0/20,12/20,650,65000,178.7402856349945,59.22818322852254,2971.2668150663376,152.80016105994582,0.0
0/20,13/20,700,70000,179.9430844783783,60.78088432922959,3079.482040286064,176.60541197285056,0.0
0/20,14/20,750,75000,177.09340929985046,64.9775016233325,3267.0479567050934,205.07293133437634,0.0
0/20,15/20,800,80000,177.3421401977539,68.68712752684951,3347.503813266754,223.26676239445806,0.0
0/20,16/20,850,85000,180.74746179580688,73.95386904478073,3401.2479844093323,253.7946466729045,0.0
0/20,17/20,900,90000,175.47756147384644,79.84295494481921,3438.6404600143433,263.56878085434437,0.0
0/20,18/20,950,95000,177.07433915138245,83.76722054928541,3409.180652141571,281.5432932302356,0.0
0/20,19/20,1000,100000,180.3259711265564,87.61724426597357,3359.2409148216248,282.3961704969406,0.0
1/20,0/20,1050,105000,183.00814175605774,91.04143939167261,3339.135083436966,294.614057905972,0.0
1/20,1/20,1100,110000,179.85917615890503,92.59216707199812,3330.137363433838,313.4254030585289,0.0
1/20,2/20,1150,115000,178.4299488067627,96.51038188487291,3314.3464739322662,333.5199908539653,0.0
1/20,3/20,1200,120000,179.74869394302368,97.39614301174879,3340.4131593704224,326.30548866838217,0.0
1/20,4/20,1250,125000,184.72172784805298,95.20597223937511,3298.619707107544,343.7230392843485,0.0
1/20,5/20,1300,130000,181.4152810573578,100.4645422771573,3268.9265332221985,351.7910582497716,0.0
1/20,6/20,1350,135000,181.24224996566772,98.9419936388731,3206.856318950653,336.70594100654125,0.0
1/20,7/20,1400,140000,182.14062976837158,99.68577612191439,3160.1433482170105,336.5196996629238,0.0
1/20,8/20,1450,145000,183.18025255203247,101.14726791530848,3167.2091592550278,326.3638213798404,0.0
1/20,9/20,1500,150000,180.41829347610474,104.30739855766296,3096.7840589284897,333.49219428002834,0.0
1/20,10/20,1550,155000,182.57375025749207,104.40179499983788,3091.540471315384,324.32658806443214,0.0
1/20,11/20,1600,160000,180.98399424552917,102.61998921632767,3134.003305912018,306.3579384088516,0.0
1/20,12/20,1650,165000,183.14793848991394,105.54063060134649,3103.375459551811,313.693672940135,0.0
1/20,13/20,1700,170000,181.18641209602356,105.29149267077446,3126.3868310451508,341.6390782222152,0.0
1/20,14/20,1750,175000,182.61870670318604,103.92017808556557,3128.580027103424,333.7849461734295,0.0
1/20,15/20,1800,180000,179.80443692207336,106.5631762444973,3123.886430501938,364.7033014893532,0.0
1/20,16/20,1850,185000,177.542653799057,105.24424362927675,3142.3765199184418,310.88717156648636,0.0
1/20,17/20,1900,190000,176.24619102478027,106.46558573842049,3137.5840200185776,333.9085666388273,0.0
1/20,18/20,1950,195000,180.17928862571716,106.68306977301836,3172.4910140037537,362.07939417660236,0.0
1/20,19/20,2000,200000,180.31719589233398,108.54081647098064,3232.6326961517334,378.4984689950943,0.0
2/20,0/20,2050,205000,184.63163566589355,108.87391114979982,3244.9690725803375,370.8157628327608,0.0
2/20,1/20,2100,210000,181.3827347755432,110.508759111166,3287.3068585395813,361.161030754447,0.0
2/20,2/20,2150,215000,181.54502630233765,112.43478506803513,3328.7134079933167,361.1572491303086,0.0
2/20,3/20,2200,220000,185.65847659111023,114.93830927461386,3372.2734186649323,375.7054610848427,0.0
2/20,4/20,2250,225000,183.1667823791504,115.96113215386868,3376.1198830604553,352.1709678173065,0.0
2/20,5/20,2300,230000,184.07592296600342,116.13317946344614,3378.1600182056427,359.5834968537092,0.0
2/20,6/20,2350,235000,184.22011065483093,116.09461221843958,3450.3361310958862,373.3556469529867,0.0
2/20,7/20,2400,240000,181.79787588119507,118.27121492475271,3523.2252271175385,368.3283392339945,0.0
2/20,8/20,2450,245000,182.21875762939453,115.19277520477772,3572.2811872959137,398.20544178783894,0.0
2/20,9/20,2500,250000,182.46047854423523,116.49520084261894,3662.079955101013,421.16684982180595,0.0
2/20,10/20,2550,255000,180.35233092308044,119.37725152820349,3748.7180540561676,426.0455048531294,0.0
2/20,11/20,2600,260000,179.63974738121033,118.070886105299,3822.4918065071106,414.9007768034935,0.0
2/20,12/20,2650,265000,183.01520609855652,120.70456861704588,3862.467120409012,477.753817692399,0.0
2/20,13/20,2700,270000,179.50755524635315,124.18797420710325,3897.5989367961884,425.15817226469517,0.0
2/20,14/20,2750,275000,179.06462264060974,124.23715050518513,3949.0926892757416,452.7883187830448,0.0
2/20,15/20,2800,280000,183.15793347358704,126.7001928538084,3974.501546859741,458.57992596924305,0.0
2/20,16/20,2850,285000,182.27132773399353,126.71283704787493,3998.72855424881,455.5044833421707,0.0
2/20,17/20,2900,290000,181.8980164527893,129.6363422870636,4033.321346759796,435.79146660864353,0.0
2/20,18/20,2950,295000,180.5446915626526,129.90774150192738,4065.055459499359,418.0927204787731,0.0
2/20,19/20,3000,300000,181.63099813461304,128.40185955166817,4100.284473657608,460.51666989922523,0.0
3/20,0/20,3050,305000,178.08843541145325,131.1174670830369,4151.344517469406,460.04940044879913,0.0
3/20,1/20,3100,310000,177.19852089881897,131.91281068325043,4212.873566865921,452.75519283115864,0.0
3/20,2/20,3150,315000,178.09031057357788,131.60260266065598,4226.841050386429,429.83909487724304,0.0
3/20,3/20,3200,320000,176.7322177886963,133.4190744459629,4268.591856241226,408.6450985223055,0.0
3/20,4/20,3250,325000,177.40421390533447,134.5850631520152,4278.684098958969,432.13810363411903,0.0
3/20,5/20,3300,330000,177.62252259254456,136.45059242844582,4303.7885456085205,434.95606607198715,0.0
3/20,6/20,3350,335000,174.91609835624695,137.70401468127966,4355.4429132938385,416.5321369320154,0.0
3/20,7/20,3400,340000,176.7828574180603,138.56816136837006,4393.341634750366,414.0590667128563,0.0
3/20,8/20,3450,345000,179.3395802974701,140.78108939528465,4400.476973056793,397.0326196998358,0.02
3/20,9/20,3500,350000,181.2238540649414,141.10116479545832,4399.227077245712,416.87978371977806,0.01
3/20,10/20,3550,355000,177.18885970115662,139.7225233539939,4432.2613253593445,378.64410300552845,0.01
3/20,11/20,3600,360000,180.86406683921814,137.24752785265446,4484.077257394791,392.4961241185665,0.0
3/20,12/20,3650,365000,179.53064703941345,139.58213870227337,4576.219973087311,390.1427167803049,0.0
3/20,13/20,3700,370000,178.93743252754211,142.62537871301174,4591.130211114883,375.7702375650406,0.04
3/20,14/20,3750,375000,178.6138038635254,142.16911017149687,4597.558627843857,368.43794345855713,0.0
3/20,15/20,3800,380000,176.96469283103943,141.72893995791674,4655.478489160538,375.6076326072216,0.0
3/20,16/20,3850,385000,175.46766138076782,141.68308314681053,4770.189126968384,398.78758073598146,0.0
