Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,41.93825936317444,,,,0.0
0/20,1/20,100,10000,156.35645937919617,5.2560349106788635,4.327627956867218,0.17890778020955622,0.0
0/20,2/20,150,15000,179.9728376865387,445.85456931591034,20.038316156715155,2.873833511490375,0.0
0/20,3/20,200,20000,178.57110977172852,889.0073308944702,19.938584339804947,14.10909777879715,0.0
0/20,4/20,250,25000,179.74163913726807,1260.2154267430305,33.97222859598696,25.009117272682488,0.0
0/20,5/20,300,30000,177.53532195091248,1584.0759270191193,48.18581645563245,25.685454330407083,0.0
0/20,6/20,350,35000,177.3652627468109,1875.187892794609,61.03642459399998,34.83490116894245,0.0
0/20,7/20,400,40000,175.14581537246704,2104.930379509926,81.64939253218472,40.0643293466419,0.0
0/20,8/20,450,45000,181.3637979030609,2243.1830179691315,102.39345341362059,46.96286766976118,0.0
0/20,9/20,500,50000,181.37657237052917,2387.517425060272,130.659004278481,52.29471132904291,0.0
0/20,10/20,550,55000,179.8550570011139,2563.792907834053,144.4778469465673,58.646507650613785,0.0
0/20,11/20,600,60000,181.35692715644836,2672.43714761734,171.62905375286937,63.28319966420531,0.0
0/20,12/20,650,65000,178.71655774116516,2674.4922991991043,176.83794535323977,66.22717804461718,0.0
0/20,13/20,700,70000,180.7633957862854,2726.347000479698,194.08621679246426,69.85780832543969,0.0
0/20,14/20,750,75000,183.8102355003357,2817.4776545763016,204.33251529559493,70.45580161735415,0.0
0/20,15/20,800,80000,185.111314535141,2830.5175352096558,219.70214364677668,74.76000937446952,0.0
0/20,16/20,850,85000,186.89126586914062,2875.3790509700775,237.196796618402,77.9551756195724,0.0
0/20,17/20,900,90000,193.26200151443481,2926.2496371269226,259.2527286410332,81.11033522710204,0.0
0/20,18/20,950,95000,195.1221706867218,2934.8249201774597,284.6721761226654,83.62111560627818,0.0
0/20,19/20,1000,100000,199.81025624275208,2925.1006667613983,276.4754368662834,87.93395772948861,0.0
1/20,0/20,1050,105000,200.81413555145264,3016.5695847272873,300.7144759297371,90.50120308250189,0.0
1/20,1/20,1100,110000,197.14314103126526,3007.3777115345,303.3660796582699,92.83451889455318,0.0
1/20,2/20,1150,115000,196.15170073509216,3010.4477792978287,314.50513587892056,95.69455460831523,0.0
1/20,3/20,1200,120000,195.53365325927734,3013.3387075662613,326.69910772144794,93.031275652349,0.0
1/20,4/20,1250,125000,195.50942039489746,3022.9977853298187,310.52525153011084,94.33464096486568,0.0
1/20,5/20,1300,130000,196.7403426170349,3082.0223766565323,322.1059974655509,98.16824310272932,0.0
1/20,6/20,1350,135000,195.27920246124268,3093.572100996971,343.56878913939,99.06310818344355,0.0
1/20,7/20,1400,140000,195.84641456604004,3103.309830188751,334.43962709605694,101.8368331938982,0.0
1/20,8/20,1450,145000,195.9844672679901,3109.032588005066,328.3680668771267,103.69109075516462,0.0
1/20,9/20,1500,150000,198.1036262512207,3170.776141166687,345.8579872250557,104.02953466027975,0.0
1/20,10/20,1550,155000,196.42345762252808,3255.3047761917114,353.8392013832927,107.43708926439285,0.0
1/20,11/20,1600,160000,199.42996287345886,3313.0501339435577,369.59857185184956,108.7931276857853,0.0
1/20,12/20,1650,165000,199.3806495666504,3368.4719953536987,369.80695451796055,109.6536012366414,0.0
1/20,13/20,1700,170000,197.40855717658997,3413.885886669159,352.7002652734518,111.84885486960411,0.0
1/20,14/20,1750,175000,197.63738918304443,3423.6870770454407,356.98076014220715,112.15350672602654,0.0
1/20,15/20,1800,180000,201.83921360969543,3440.3023064136505,368.114392824471,114.51161945611238,0.0
1/20,16/20,1850,185000,198.49741220474243,3510.961879014969,371.13604667782784,114.72876585274935,0.0
1/20,17/20,1900,190000,201.29974222183228,3531.5445969104767,409.5662093758583,115.80150486528873,0.0
1/20,18/20,1950,195000,200.12846755981445,3597.103589296341,392.4429655075073,117.36648671329021,0.0
1/20,19/20,2000,200000,199.52483439445496,3626.01203584671,430.2256111204624,121.45721032470465,0.0
2/20,0/20,2050,205000,199.63899445533752,3658.6018624305725,415.7684349268675,119.87347600609064,0.0
2/20,1/20,2100,210000,200.54913568496704,3751.661964416504,393.37216483056545,121.30805917829275,0.0
2/20,2/20,2150,215000,200.7615795135498,3754.5311946868896,412.2951439395547,120.51284804195166,0.0
2/20,3/20,2200,220000,201.31514263153076,3802.344762802124,390.14197655022144,121.48946300894022,0.0
2/20,4/20,2250,225000,201.48018860816956,3856.133534193039,386.87403582036495,119.00042562186718,0.0
2/20,5/20,2300,230000,197.5232458114624,3875.271020889282,388.0357735157013,120.91205848753452,0.0
2/20,6/20,2350,235000,196.65868735313416,3906.923617362976,382.5397030040622,120.92628943175077,0.0
2/20,7/20,2400,240000,194.85999250411987,3981.0251219272614,406.34860821068287,125.63134007155895,0.0
2/20,8/20,2450,245000,195.9416286945343,4019.152218580246,372.57899156212807,123.11420536786318,0.0
