Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,36.89918351173401,,,,0.0
0/20,1/20,100,10000,169.1874074935913,3.2828035727143288,0.2732855505309999,5.781958997249603,0.0
0/20,2/20,150,15000,201.07149839401245,23.90609034569934,6.799535300582647,471.40300554037094,0.0
0/20,3/20,200,20000,202.5480055809021,19.695395971648395,24.772501631639898,804.5155816078186,0.0
0/20,4/20,250,25000,200.52440786361694,27.4095871867612,27.304287489503622,1125.694167971611,0.0
0/20,5/20,300,30000,202.95477652549744,40.58525228872895,32.27014658600092,1437.5446969270706,0.0
0/20,6/20,350,35000,201.81472539901733,55.23706398252398,38.7656015008688,1685.3878430128098,0.0
0/20,7/20,400,40000,203.7444121837616,79.86739616841078,44.189667718485,1946.2174830436707,0.0
0/20,8/20,450,45000,202.21335363388062,84.377401759848,44.40532571077347,2123.0277713537216,0.0
0/20,9/20,500,50000,203.38609981536865,100.12671255506575,48.94384576380253,2279.0534669160843,0.0
0/20,10/20,550,55000,203.88356375694275,107.81041649542749,52.86041794531047,2490.4324905872345,0.0
0/20,11/20,600,60000,204.35015416145325,125.523122549057,52.15693283081055,2562.05913066864,0.0
0/20,12/20,650,65000,201.22501516342163,135.31269316375256,52.561097430065274,2669.3994336128235,0.0
0/20,13/20,700,70000,204.22492623329163,151.49132701009512,57.89458613842726,2841.4109731912613,0.0
0/20,14/20,750,75000,204.37253785133362,180.36486426740885,61.095317866653204,2971.3174842596054,0.0
0/20,15/20,800,80000,204.2188913822174,191.82318373396993,67.08090474829078,3019.342745780945,0.0
0/20,16/20,850,85000,205.13099670410156,231.78395655751228,72.2325153760612,3123.996882915497,0.0
0/20,17/20,900,90000,202.07234048843384,246.07869540899992,77.52679411321878,3106.293833374977,0.0
0/20,18/20,950,95000,204.91605257987976,245.3260878250003,80.54148641973734,3101.2718799114227,0.0
0/20,19/20,1000,100000,202.34665417671204,266.61062283068895,78.08245066180825,3034.4411239624023,0.0
1/20,0/20,1050,105000,203.93461108207703,263.396800942719,81.11274007707834,3091.9903062582016,0.0
1/20,1/20,1100,110000,201.40297627449036,276.90345956012607,79.45864653587341,3015.9965847730637,0.0
1/20,2/20,1150,115000,204.48402500152588,267.2134977802634,80.54308750852942,3004.0396513938904,0.0
1/20,3/20,1200,120000,203.28261137008667,267.1589202210307,82.58887637779117,3023.8836686611176,0.0
1/20,4/20,1250,125000,205.6116337776184,288.0548091381788,83.06283514201641,3010.407786011696,0.0
1/20,5/20,1300,130000,205.42131209373474,295.5113086923957,87.12613368779421,3009.2887333631516,0.0
1/20,6/20,1350,135000,207.97240662574768,330.62087063491344,87.97475200146437,2981.666020512581,0.0
1/20,7/20,1400,140000,206.95667028427124,311.84485456347466,85.52690458670259,2993.881224513054,0.0
1/20,8/20,1450,145000,206.6770374774933,305.83253556489944,83.64093635976315,2970.724393725395,0.0
1/20,9/20,1500,150000,202.87577533721924,320.67391842603683,86.07049706950784,2969.156422138214,0.0
1/20,10/20,1550,155000,204.9711058139801,323.4352510794997,87.33897903934121,2951.162127971649,0.0
1/20,11/20,1600,160000,207.1191213130951,338.62148086726665,90.54117468744516,2930.9488924741745,0.0
1/20,12/20,1650,165000,206.3493206501007,347.4742473140359,92.63523577153683,2886.525165081024,0.0
1/20,13/20,1700,170000,206.82200574874878,324.037387624383,91.03138147294521,2882.10250043869,0.0
1/20,14/20,1750,175000,204.13611698150635,358.10602398216724,91.83345958590508,2909.914125442505,0.0
1/20,15/20,1800,180000,199.66338801383972,342.0249005109072,91.37671362236142,2958.4277976751328,0.0
1/20,16/20,1850,185000,198.99383354187012,333.2571163550019,93.1170045286417,2958.4145295619965,0.0
1/20,17/20,1900,190000,200.8320553302765,367.1077868565917,93.36785482987761,2930.8550511598587,0.0
1/20,18/20,1950,195000,201.1520495414734,340.6764077991247,94.30164822191,2905.82734644413,0.0
1/20,19/20,2000,200000,198.8281319141388,376.61472050100565,94.20007251948118,2933.9432034492493,0.0
2/20,0/20,2050,205000,199.9360921382904,362.38102885335684,95.65758042782545,2975.270135641098,0.0
2/20,1/20,2100,210000,201.70124769210815,376.70955289900303,95.36343041807413,2977.2774453163147,0.0
2/20,2/20,2150,215000,202.20716261863708,402.7707508802414,97.03763652592897,3037.3905353546143,0.0
2/20,3/20,2200,220000,205.26393842697144,405.86264853924513,97.80767729133368,3009.386991739273,0.0
2/20,4/20,2250,225000,204.5571939945221,401.471058614552,101.2021320387721,3031.658781647682,0.0
2/20,5/20,2300,230000,199.25508522987366,424.7547663897276,102.96180126816034,3110.9808074235916,0.0
2/20,6/20,2350,235000,204.19000673294067,398.1710604429245,100.8536898419261,3193.0363280773163,0.0
2/20,7/20,2400,240000,203.79595303535461,422.87596566975117,99.71584540605545,3269.3637998104095,0.0
2/20,8/20,2450,245000,204.597425699234,431.18700114637613,104.20378001779318,3352.633718729019,0.0
2/20,9/20,2500,250000,205.29014682769775,430.45186990499496,104.83604850620031,3367.0778963565826,0.0
2/20,10/20,2550,255000,202.0446650981903,431.6036479175091,105.66763330996037,3447.067855834961,0.0
2/20,11/20,2600,260000,202.46720480918884,423.72638553380966,106.0753079727292,3473.2871463298798,0.0
2/20,12/20,2650,265000,203.10795497894287,433.0375861823559,109.44365379959345,3497.2384757995605,0.0
2/20,13/20,2700,270000,203.05576825141907,446.81278420984745,113.20081017911434,3532.4156069755554,0.0
2/20,14/20,2750,275000,204.47702503204346,442.2966363132,114.37996688485146,3563.2174611091614,0.0
2/20,15/20,2800,280000,200.08680129051208,436.3108338266611,115.08449247479439,3560.1266570091248,0.0
2/20,16/20,2850,285000,203.7382390499115,424.0869265049696,112.73038107901812,3601.556432723999,0.0
2/20,17/20,2900,290000,200.17708277702332,430.67598478496075,116.55460168421268,3633.2493076324463,0.0
2/20,18/20,2950,295000,200.85162162780762,433.65585274994373,115.55109404027462,3686.591621160507,0.0
2/20,19/20,3000,300000,202.8326449394226,445.1966512799263,115.79240872710943,3724.705389022827,0.0
3/20,0/20,3050,305000,207.06803846359253,441.31230552494526,114.94967932999134,3786.553424835205,0.0
3/20,1/20,3100,310000,205.39541912078857,432.7806240916252,119.96962106227875,3825.64351272583,0.0
3/20,2/20,3150,315000,211.29978704452515,452.52394741773605,119.38985398411751,3900.1511673927307,0.0
3/20,3/20,3200,320000,204.35346674919128,445.67681343853474,119.45125962793827,3929.347222328186,0.0
3/20,4/20,3250,325000,203.11044001579285,435.46982979774475,121.07044146955013,3987.257461309433,0.0
3/20,5/20,3300,330000,200.81216430664062,453.9149859547615,122.64726485311985,4017.012269258499,0.0
3/20,6/20,3350,335000,202.56437349319458,497.01963236927986,118.79459320008755,4156.298785686493,0.0
3/20,7/20,3400,340000,203.5818121433258,441.45976531505585,118.88341651111841,4179.612202167511,0.0
3/20,8/20,3450,345000,201.39084553718567,439.5798093378544,124.72092182934284,4273.772455215454,0.0
3/20,9/20,3500,350000,203.9714777469635,467.4657548516989,126.6579667031765,4300.896836280823,0.01
3/20,10/20,3550,355000,205.8964192867279,449.138359695673,128.09770211577415,4339.423605442047,0.01
3/20,11/20,3600,360000,200.42282485961914,435.2007058262825,128.66416930407286,4393.503451347351,0.0
3/20,12/20,3650,365000,200.7268099784851,459.36911526322365,127.60189221799374,4477.83189368248,0.0
3/20,13/20,3700,370000,199.67151618003845,453.79102978110313,126.15937918424606,4494.648063182831,0.0
3/20,14/20,3750,375000,198.565190076828,443.53924322128296,127.39086302369833,4532.625700950623,0.0
3/20,15/20,3800,380000,198.10077571868896,451.3117761313915,131.1557468175888,4561.906816244125,0.0
3/20,16/20,3850,385000,200.31738257408142,467.39435264468193,133.16804488003254,4599.85943198204,0.0
3/20,17/20,3900,390000,199.1064612865448,461.5328408628702,131.05100290477276,4639.253871202469,0.0
3/20,18/20,3950,395000,199.75711178779602,500.6131824553013,131.9212864637375,4710.160289525986,0.0
3/20,19/20,4000,400000,200.4387845993042,435.8584419488907,130.90941635519266,4750.2319712638855,0.01
4/20,0/20,4050,405000,200.37491965293884,468.9045724570751,133.12891121953726,4814.287579536438,0.0
4/20,1/20,4100,410000,204.32305526733398,470.9225553423166,136.696463316679,4859.828487157822,0.01
4/20,2/20,4150,415000,203.4472713470459,422.3906859308481,137.20654650777578,4912.687469005585,0.0
4/20,3/20,4200,420000,199.07818627357483,443.2546039670706,137.94167990982533,4983.228104352951,0.01
4/20,4/20,4250,425000,206.07695412635803,455.47286599874496,134.54198461025953,5062.108029842377,0.05
4/20,5/20,4300,430000,203.40725469589233,434.5089603662491,137.1428789421916,5064.144238948822,0.11
4/20,6/20,4350,435000,209.09847354888916,443.41358932852745,136.6744820550084,5141.067828655243,0.03
4/20,7/20,4400,440000,207.11354875564575,455.75805711746216,138.81990993767977,5126.780955791473,0.0
4/20,8/20,4450,445000,207.41619443893433,444.63791908323765,138.9434331431985,5175.988587141037,0.03
4/20,9/20,4500,450000,207.62934231758118,440.395325794816,140.61216545850039,5167.013029098511,0.01
4/20,10/20,4550,455000,205.17175316810608,386.61444084346294,143.37386940419674,5198.0365624427795,0.08
4/20,11/20,4600,460000,203.81379985809326,439.79006800055504,141.59358374029398,5242.642037391663,0.01
4/20,12/20,4650,465000,202.57591247558594,413.59186217188835,141.20695021003485,5318.693476200104,0.0
4/20,13/20,4700,470000,205.49427819252014,413.47383011877537,143.08296870440245,5297.066747188568,0.02
4/20,14/20,4750,475000,205.98679089546204,407.69721618294716,143.52097780257463,5361.523988246918,0.04
4/20,15/20,4800,480000,204.83201670646667,427.81630615890026,145.65385130047798,5367.775024652481,0.06
4/20,16/20,4850,485000,207.44461345672607,422.80200915038586,145.90069722384214,5359.265244483948,0.02
4/20,17/20,4900,490000,206.57590460777283,389.2717800140381,148.0768737643957,5451.0525097846985,0.08
4/20,18/20,4950,495000,208.60923886299133,426.69589598476887,147.36060202121735,5500.713501930237,0.08
4/20,19/20,5000,500000,207.29910326004028,430.6402263790369,150.158656693995,5521.8260951042175,0.07
5/20,0/20,5050,505000,205.40051889419556,419.4216201156378,149.53094834834337,5544.548641204834,0.04
5/20,1/20,5100,510000,202.57430911064148,438.1616307795048,150.5904953852296,5614.733246803284,0.12
5/20,2/20,5150,515000,73.75179195404053,457.01132279634476,149.64267395436764,5633.261175870895,0.1
5/20,3/20,5200,520000,70.42689943313599,419.16772562265396,150.9658417403698,5687.803993225098,0.11
5/20,4/20,5250,525000,74.53366088867188,421.9035351872444,152.0960926860571,5686.896877288818,0.05
5/20,5/20,5300,530000,76.39613723754883,417.69153586030006,151.97460610419512,5690.65905046463,0.16
5/20,6/20,5350,535000,69.6423716545105,410.0756064504385,152.7065442353487,5701.3492522239685,0.06
5/20,7/20,5400,540000,73.01667046546936,421.5914432555437,152.7888344451785,5741.7118146419525,0.17
5/20,8/20,5450,545000,74.1739342212677,423.1325768083334,152.9900816231966,5741.928137302399,0.07
5/20,9/20,5500,550000,69.16096496582031,439.5028670877218,150.72002694010735,5781.738533496857,0.17
5/20,10/20,5550,555000,73.57591533660889,440.93683099746704,152.0770776346326,5771.051076412201,0.09
5/20,11/20,5600,560000,74.06386756896973,456.2096267491579,151.89941662549973,5795.797582149506,0.15
5/20,12/20,5650,565000,70.14008283615112,420.6433224529028,153.02562698721886,5815.590944290161,0.19
5/20,13/20,5700,570000,74.74562120437622,432.873627319932,155.14209427684546,5881.661394119263,0.12
5/20,14/20,5750,575000,72.20198440551758,407.353737488389,155.09051159769297,5954.365904331207,0.15
5/20,15/20,5800,580000,70.24273800849915,427.39789348840714,153.7794612944126,5943.980309009552,0.21
5/20,16/20,5850,585000,73.42027115821838,474.53689999878407,154.49611265957355,6013.719313144684,0.39
5/20,17/20,5900,590000,70.76987338066101,480.5634782612324,156.87617518752813,6057.774036407471,0.15
5/20,18/20,5950,595000,71.48087430000305,444.978033170104,155.74115861952305,6151.167398452759,0.22
5/20,19/20,6000,600000,73.87160539627075,416.1134030073881,154.60465659201145,6090.777632713318,0.18
6/20,0/20,6050,605000,71.1641936302185,436.9610379487276,158.39867860078812,6147.34543132782,0.38
6/20,1/20,6100,610000,69.67528700828552,407.89526176452637,155.78799053281546,6210.8236746788025,0.17
6/20,2/20,6150,615000,73.2353150844574,445.5221841484308,159.0194678902626,6310.26335477829,0.31
6/20,3/20,6200,620000,69.71820092201233,400.6377800107002,156.9960603415966,6321.581730365753,0.17
6/20,4/20,6250,625000,70.43227458000183,432.8094018548727,157.2144323438406,6415.621733188629,0.46
6/20,5/20,6300,630000,74.32615065574646,436.21705500781536,159.83602544665337,6429.5237765312195,0.23
6/20,6/20,6350,635000,68.82927227020264,418.25150844454765,164.42722368240356,6471.385528087616,0.22
6/20,7/20,6400,640000,70.48375415802002,403.69847525656223,165.6152647435665,6476.360450744629,0.22
6/20,8/20,6450,645000,73.51302862167358,401.2385075688362,166.3562639504671,6512.397257804871,0.17
6/20,9/20,6500,650000,67.4879219532013,365.27680507302284,165.2314296066761,6524.762997150421,0.42
6/20,10/20,6550,655000,71.2821695804596,373.0795179903507,162.8142330944538,6544.843163967133,0.46
6/20,11/20,6600,660000,73.41614270210266,390.2678771018982,162.49405226111412,6629.134622097015,0.43
6/20,12/20,6650,665000,67.78276538848877,403.04103749990463,163.50070974230766,6669.653331279755,0.49
6/20,13/20,6700,670000,72.44135928153992,386.40234135091305,163.0344142317772,6718.563658714294,0.44
6/20,14/20,6750,675000,74.39501857757568,393.1067924052477,164.34283624589443,6806.146394729614,0.35
6/20,15/20,6800,680000,68.66642761230469,397.5683363080025,165.5021661669016,6855.819396972656,0.5
6/20,16/20,6850,685000,72.23492479324341,396.5394340083003,164.90089494735003,6857.341093540192,0.48
6/20,17/20,6900,690000,72.11207818984985,389.8825773149729,165.135228484869,6899.831321239471,0.65
6/20,18/20,6950,695000,66.72259545326233,389.7774560600519,168.783666446805,6938.196885585785,0.62
6/20,19/20,7000,700000,72.10678815841675,445.5550750643015,168.152944535017,6932.245568752289,0.45
7/20,0/20,7050,705000,73.61763882637024,399.27982707321644,168.45912431180477,6983.547311306,0.45
7/20,1/20,7100,710000,67.25225925445557,421.3685005605221,170.13213646411896,7051.893456459045,0.61
7/20,2/20,7150,715000,72.40673160552979,409.7535331994295,173.41589349508286,7070.284597396851,0.58
7/20,3/20,7200,720000,72.91330218315125,400.7580348998308,170.4716812223196,7096.96719121933,0.57
7/20,4/20,7250,725000,66.79140400886536,386.5977444499731,171.96138405799866,7089.167528629303,0.49
7/20,5/20,7300,730000,73.4817214012146,413.24407187104225,172.31293627619743,7150.036850452423,0.76
7/20,6/20,7350,735000,71.5451455116272,405.2286322116852,172.25060757994652,7147.986374378204,0.55
7/20,7/20,7400,740000,66.93975925445557,391.3398250937462,172.7065968066454,7170.9912033081055,0.66
7/20,8/20,7450,745000,72.0780599117279,365.0827271938324,176.69077256321907,7115.483438491821,0.75
7/20,9/20,7500,750000,71.81076788902283,390.3582811206579,177.56082525849342,7167.753172874451,0.69
7/20,10/20,7550,755000,67.07715892791748,398.7468453645706,173.37545926868916,7154.650680541992,0.45
7/20,11/20,7600,760000,76.11202096939087,386.73334166407585,174.5439337193966,7184.535279750824,0.45
7/20,12/20,7650,765000,70.46379518508911,389.63366267085075,172.39118096232414,7156.18491601944,0.64
7/20,13/20,7700,770000,68.72709274291992,385.37441696226597,170.81236332654953,7177.363577365875,0.68
7/20,14/20,7750,775000,74.22828841209412,368.44430930912495,173.38932366669178,7202.142387866974,0.61
7/20,15/20,7800,780000,69.56660795211792,381.88209415227175,174.22057895362377,7239.562026977539,0.73
7/20,16/20,7850,785000,66.95569801330566,391.0641049295664,175.79803174734116,7224.740601062775,0.75
7/20,17/20,7900,790000,74.50501203536987,372.9825171381235,173.6360077112913,7255.13486623764,0.73
7/20,18/20,7950,795000,69.39393258094788,370.89565916359425,174.79099042713642,7278.187014102936,0.69
7/20,19/20,8000,800000,67.26502275466919,335.12617406249046,176.2395115494728,7346.948517799377,0.71
8/20,0/20,8050,805000,74.2749695777893,364.1038301885128,174.8498473316431,7344.32081413269,0.81
