Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,46.86037063598633,,,,0.0
0/20,1/20,100,10000,166.08760809898376,0.1982515980489552,3.7974846214056015,6.507197417318821,0.0
0/20,2/20,150,15000,200.19400095939636,6.198542497353628,21.146661158651114,558.157217413187,0.0
0/20,3/20,200,20000,201.3216953277588,23.647114599123597,19.693091957829893,901.0062561631203,0.0
0/20,4/20,250,25000,202.59671068191528,31.649550919421017,28.313765880651772,1161.2324832081795,0.0
0/20,5/20,300,30000,203.97977566719055,33.505221877247095,41.71568925399333,1497.8981190919876,0.0
0/20,6/20,350,35000,203.62141132354736,40.46513234451413,63.51868453994393,1810.9847441911697,0.0
0/20,7/20,400,40000,205.6104531288147,47.8695869948715,78.16322802193463,2040.5882340669632,0.0
0/20,8/20,450,45000,203.2991178035736,56.281216491013765,105.57090984284878,2260.7251505851746,0.0
0/20,9/20,500,50000,201.90725016593933,61.47892113402486,128.7753921393305,2490.3106867074966,0.0
0/20,10/20,550,55000,203.566508769989,67.5818615667522,140.04753360152245,2654.968263745308,0.0
0/20,11/20,600,60000,201.51593732833862,71.74218300357461,152.76767363399267,2727.5496455430984,0.0
0/20,12/20,650,65000,204.3004653453827,73.20286595076323,161.52006039768457,2764.099570631981,0.0
0/20,13/20,700,70000,202.03159856796265,78.36455559358001,190.04507711529732,2856.651080727577,0.0
0/20,14/20,750,75000,203.0824680328369,82.08296747505665,199.49345609545708,2868.065531373024,0.0
0/20,15/20,800,80000,213.40436005592346,84.94257195293903,209.04347188025713,2868.405975341797,0.0
0/20,16/20,850,85000,216.78266143798828,84.8822616264224,214.25376664102077,2886.0480587482452,0.0
0/20,17/20,900,90000,213.70465230941772,84.79709396511316,232.50110106915236,2906.5919201374054,0.0
0/20,18/20,950,95000,215.625572681427,85.30176515132189,238.21431802213192,2981.9876539707184,0.0
0/20,19/20,1000,100000,213.99951815605164,90.03572938591242,260.34109012782574,3017.8413088321686,0.0
1/20,0/20,1050,105000,217.12311053276062,90.16622110083699,269.3730231076479,3050.918538928032,0.0
1/20,1/20,1100,110000,217.05818700790405,88.86319461092353,272.18301343917847,3012.949072241783,0.0
1/20,2/20,1150,115000,217.4981038570404,89.20652338117361,287.7389980852604,3017.2787462472916,0.0
1/20,3/20,1200,120000,216.9623372554779,91.70197555422783,289.219361230731,3059.9135843515396,0.0
1/20,4/20,1250,125000,220.04977345466614,92.12616950273514,302.8970141336322,3133.0766315460205,0.0
1/20,5/20,1300,130000,219.42477917671204,94.03039751946926,323.2001703977585,3207.6190536022186,0.0
1/20,6/20,1350,135000,219.27141904830933,98.77946285158396,316.06869600713253,3188.402066349983,0.0
1/20,7/20,1400,140000,218.09403586387634,100.4379019960761,303.5686199516058,3169.865970015526,0.0
1/20,8/20,1450,145000,219.987051486969,100.76839403808117,318.00690437853336,3180.294580936432,0.0
1/20,9/20,1500,150000,220.4713840484619,99.66005532443523,331.37702360749245,3195.002755880356,0.0
1/20,10/20,1550,155000,220.02883911132812,100.80728294700384,340.2486397922039,3167.515676021576,0.0
1/20,11/20,1600,160000,221.50150895118713,106.30553206801414,372.2215523272753,3202.962426185608,0.0
1/20,12/20,1650,165000,223.44832468032837,106.00271472334862,367.14488626271486,3179.82507789135,0.0
1/20,13/20,1700,170000,216.3789622783661,107.9410313591361,376.6853602081537,3172.7704808712006,0.0
1/20,14/20,1750,175000,227.02897119522095,108.87413705140352,359.73787119984627,3105.9219554662704,0.0
1/20,15/20,1800,180000,224.04281544685364,106.6737750172615,359.2817722260952,3095.4898957014084,0.0
1/20,16/20,1850,185000,219.54627442359924,104.31973323971033,347.80186326801777,3105.1003061532974,0.0
1/20,17/20,1900,190000,221.06070637702942,103.26993368566036,342.81337966024876,3149.1625624895096,0.0
1/20,18/20,1950,195000,221.29231643676758,106.05779360234737,331.3179613277316,3162.190264940262,0.0
1/20,19/20,2000,200000,219.35943031311035,107.41094169765711,351.7757934257388,3212.811929702759,0.0
2/20,0/20,2050,205000,218.26029014587402,105.84518644213676,360.300142519176,3254.756507396698,0.0
2/20,1/20,2100,210000,214.0264928340912,107.1613160893321,374.63467678427696,3307.7540893554688,0.0
2/20,2/20,2150,215000,218.81175088882446,110.00936177372932,399.5357718169689,3328.9360897541046,0.0
2/20,3/20,2200,220000,214.84066939353943,108.36150630563498,380.4176459610462,3398.2668573856354,0.0
2/20,4/20,2250,225000,216.84111833572388,113.37373171001673,426.96768556535244,3474.742777109146,0.0
2/20,5/20,2300,230000,217.5461630821228,115.25044749677181,409.1519929766655,3483.3347120285034,0.0
2/20,6/20,2350,235000,216.65288615226746,114.27027809619904,385.8612457662821,3510.0920474529266,0.0
2/20,7/20,2400,240000,219.59621596336365,116.73581801354885,416.1574314683676,3575.905222415924,0.0
2/20,8/20,2450,245000,217.4072196483612,113.97992174327374,388.6484209150076,3666.125333547592,0.0
2/20,9/20,2500,250000,217.61092233657837,116.40717520564795,407.8670396953821,3723.2305476665497,0.0
2/20,10/20,2550,255000,218.2507848739624,117.78699640929699,388.8497723862529,3743.3227636814117,0.0
2/20,11/20,2600,260000,215.31961393356323,121.63437321782112,399.3288730829954,3834.9549102783203,0.0
2/20,12/20,2650,265000,219.1951835155487,120.26955413073301,404.08047173917294,3861.0767254829407,0.0
2/20,13/20,2700,270000,216.1432077884674,122.89444682747126,379.5590693950653,3878.158264398575,0.0
2/20,14/20,2750,275000,216.72164869308472,123.10174603760242,391.4145095348358,3871.5456182956696,0.0
2/20,15/20,2800,280000,216.85669565200806,124.42741706222296,405.86342514306307,3924.9586493968964,0.0
2/20,16/20,2850,285000,215.36108994483948,125.57167971134186,385.92710995674133,3973.3781478405,0.0
2/20,17/20,2900,290000,218.491272687912,127.53783005475998,391.1551919057965,4024.5910556316376,0.0
2/20,18/20,2950,295000,215.6754298210144,127.85615069419146,396.5582568347454,4029.136279821396,0.0
2/20,19/20,3000,300000,215.37394404411316,129.32888007164001,386.8886581659317,4055.6994185447693,0.0
3/20,0/20,3050,305000,219.14500999450684,129.64209934324026,386.8648185431957,4108.630872249603,0.0
3/20,1/20,3100,310000,220.60925316810608,127.76617394387722,361.0862893089652,4111.221830368042,0.0
3/20,2/20,3150,315000,219.06017518043518,129.91935992985964,362.1671200990677,4161.740213632584,0.0
3/20,3/20,3200,320000,218.4113585948944,132.8976413309574,363.53859773278236,4194.045262813568,0.0
3/20,4/20,3250,325000,219.81513094902039,134.7207357212901,403.83530020713806,4197.961027622223,0.0
3/20,5/20,3300,330000,218.05760622024536,133.43660102784634,384.18598833680153,4241.762645721436,0.0
3/20,6/20,3350,335000,220.1461479663849,133.88831169903278,367.8989118486643,4276.293336868286,0.0
3/20,7/20,3400,340000,217.03218245506287,134.6392010524869,376.3722003996372,4378.360999584198,0.0
3/20,8/20,3450,345000,214.6717381477356,133.18051999807358,341.1542730629444,4376.630392551422,0.0
3/20,9/20,3500,350000,217.88441014289856,135.25178360193968,363.86566112935543,4407.45214676857,0.0
3/20,10/20,3550,355000,216.21209979057312,134.31710387021303,349.5017004162073,4482.719710826874,0.0
3/20,11/20,3600,360000,215.19848489761353,136.61169670522213,350.9968337789178,4489.383889198303,0.01
3/20,12/20,3650,365000,212.4680459499359,137.30259235948324,364.8357039988041,4500.249265432358,0.0
3/20,13/20,3700,370000,203.3397741317749,134.77588061243296,330.2053557932377,4593.216258049011,0.0
3/20,14/20,3750,375000,205.50844383239746,135.20344401896,368.6384369581938,4639.854615449905,0.0
3/20,15/20,3800,380000,203.3251760005951,136.31079173833132,353.6878048181534,4670.129121541977,0.0
3/20,16/20,3850,385000,213.3151879310608,138.4117990359664,373.1022505760193,4693.245888948441,0.01
3/20,17/20,3900,390000,212.78884863853455,136.79208516329527,357.9759400188923,4747.214713096619,0.06
3/20,18/20,3950,395000,207.55295372009277,139.89505065977573,355.91705444455147,4767.51190495491,0.03
3/20,19/20,4000,400000,208.08703422546387,137.7721471041441,360.65925592184067,4845.348146677017,0.02
4/20,0/20,4050,405000,208.95444321632385,138.7294708043337,360.8072033151984,4884.764781951904,0.01
4/20,1/20,4100,410000,208.88098406791687,139.95091995596886,359.02919183671474,4922.322472572327,0.09
4/20,2/20,4150,415000,208.4020757675171,141.99014719575644,349.8509874790907,4933.69625377655,0.03
4/20,3/20,4200,420000,205.2458930015564,141.10184733569622,339.65384920686483,4982.302213191986,0.01
4/20,4/20,4250,425000,207.81193494796753,142.2106246650219,363.41052843630314,4955.365528583527,0.04
4/20,5/20,4300,430000,206.03016018867493,143.90253461152315,332.36224938184023,5002.826259851456,0.08
4/20,6/20,4350,435000,207.91735768318176,143.25487439334393,337.58336938917637,5041.401083230972,0.02
4/20,7/20,4400,440000,207.24714422225952,142.60341208428144,344.7206527143717,5057.092003822327,0.03
4/20,8/20,4450,445000,208.8391182422638,142.52380318194628,360.7354104965925,5111.956837415695,0.08
4/20,9/20,4500,450000,211.07988452911377,142.87892731279135,342.1219140589237,5199.676038503647,0.09
4/20,10/20,4550,455000,208.01931643486023,144.82793587446213,313.32335747778416,5183.932986736298,0.23
4/20,11/20,4600,460000,207.6374695301056,144.7374797090888,326.1241485029459,5235.116382598877,0.1
4/20,12/20,4650,465000,209.58268213272095,146.7785422950983,321.18247074633837,5261.213575363159,0.08
4/20,13/20,4700,470000,206.693834066391,145.24371124058962,357.73020251095295,5278.2960731983185,0.13
4/20,14/20,4750,475000,206.86812829971313,145.7333048954606,362.7944489866495,5333.407508850098,0.05
4/20,15/20,4800,480000,190.12742257118225,145.87306153774261,325.60762532800436,5345.956583976746,0.07
4/20,16/20,4850,485000,182.84082126617432,147.28954248130322,330.3985336944461,5380.307001590729,0.09
4/20,17/20,4900,490000,189.18794012069702,147.40736323595047,330.06519028544426,5405.146306276321,0.16
4/20,18/20,4950,495000,187.88218021392822,147.17663463950157,329.4922792315483,5468.37556552887,0.09
4/20,19/20,5000,500000,188.53892421722412,150.16690385341644,332.31811837852,5527.536514282227,0.14
5/20,0/20,5050,505000,188.61234045028687,149.30744551867247,344.97082245349884,5544.735875368118,0.11
5/20,1/20,5100,510000,188.3011965751648,148.89986235648394,317.85235945880413,5585.792420864105,0.15
5/20,2/20,5150,515000,188.07809686660767,148.49026913940907,335.2638485953212,5661.135704040527,0.15
5/20,3/20,5200,520000,189.96416401863098,152.83860306441784,338.35427206009626,5694.694269657135,0.2
5/20,4/20,5250,525000,190.91043400764465,151.89657345414162,360.31109534204006,5739.580275058746,0.18
5/20,5/20,5300,530000,191.11318135261536,154.81220812350512,374.6860873699188,5806.095955848694,0.13
5/20,6/20,5350,535000,192.04028391838074,152.94168342649937,348.0874769464135,5814.138844013214,0.1
5/20,7/20,5400,540000,191.3953776359558,154.8564197048545,361.48807749152184,5854.819704532623,0.2
5/20,8/20,5450,545000,193.354346036911,153.65922920405865,370.43311524391174,5910.863243103027,0.24
5/20,9/20,5500,550000,193.2393810749054,151.86458490788937,352.2608211264014,5866.55243062973,0.25
5/20,10/20,5550,555000,191.7158226966858,153.95528650283813,361.2229787930846,5932.223149299622,0.12
5/20,11/20,5600,560000,193.5425181388855,152.91332222521305,364.3166132494807,5967.38613986969,0.42
5/20,12/20,5650,565000,194.91925930976868,152.64875957369804,386.8202135562897,5990.5235505104065,0.38
5/20,13/20,5700,570000,193.59761714935303,154.50665809214115,364.5068205818534,5990.885432481766,0.41
5/20,14/20,5750,575000,192.9658555984497,151.42428210377693,364.1465393304825,6003.928521156311,0.5
5/20,15/20,5800,580000,193.75867104530334,151.436716735363,363.7766999453306,6049.493033409119,0.52
5/20,16/20,5850,585000,192.04719758033752,152.33082976937294,382.1322555914521,6100.794865608215,0.35
5/20,17/20,5900,590000,192.16648626327515,154.19586113840342,352.120823353529,6148.85721206665,0.3
5/20,18/20,5950,595000,190.47322154045105,153.9065993204713,371.74892354011536,6142.729159832001,0.45
5/20,19/20,6000,600000,190.05422472953796,154.99301053583622,372.5321935117245,6180.546073436737,0.64
6/20,0/20,6050,605000,192.13589596748352,156.4526924788952,355.03982296586037,6203.430480480194,0.49
6/20,1/20,6100,610000,189.51609563827515,155.16368825733662,367.11445408314466,6214.439898490906,0.33
6/20,2/20,6150,615000,191.41779160499573,159.8472286388278,348.94204376637936,6227.770818710327,0.58
6/20,3/20,6200,620000,192.1829390525818,160.97145499289036,344.47239331901073,6225.928260803223,0.34
6/20,4/20,6250,625000,190.5696620941162,160.27246855199337,363.99216535687447,6189.212844371796,0.35
6/20,5/20,6300,630000,189.3699824810028,158.5243551582098,350.8627546131611,6214.14803647995,0.49
6/20,6/20,6350,635000,190.7081422805786,157.18759928643703,349.08534578979015,6188.698398590088,0.5
6/20,7/20,6400,640000,188.41696953773499,158.3340696245432,359.7154285609722,6256.669436454773,0.5
6/20,8/20,6450,645000,191.7834813594818,160.27487944066525,375.8891843110323,6311.984946727753,0.52
6/20,9/20,6500,650000,192.1329894065857,158.07478268444538,359.6478533446789,6266.649314880371,0.43
6/20,10/20,6550,655000,188.9893593788147,159.76166845858097,368.39388320595026,6298.6693983078,0.57
6/20,11/20,6600,660000,190.58318877220154,158.95881187915802,368.80654103308916,6349.727812767029,0.61
6/20,12/20,6650,665000,196.56875371932983,159.73207558691502,350.83712589740753,6327.803240776062,0.5
6/20,13/20,6700,670000,196.1356062889099,159.3315409719944,372.64614652097225,6355.413055896759,0.6
6/20,14/20,6750,675000,194.53020548820496,159.83259890973568,351.35709381848574,6389.184961795807,0.51
6/20,15/20,6800,680000,194.31787180900574,159.34609588980675,329.47505428642035,6352.8238162994385,0.73
6/20,16/20,6850,685000,192.64167165756226,158.1588454246521,332.81546315550804,6361.972707748413,0.53
6/20,17/20,6900,690000,193.84729528427124,159.52198810875416,338.6531013920903,6378.83385848999,0.46
6/20,18/20,6950,695000,194.8243260383606,158.90356957912445,311.1045548245311,6381.34892988205,0.32
6/20,19/20,7000,700000,194.1858208179474,158.2773485854268,326.5198819488287,6402.657071590424,0.66
