Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,40.18860960006714,,,,0.0
0/20,1/20,100,10000,62.067118406295776,3.8013840317726135,0.2359039825387299,6.502411108464003,0.0
0/20,2/20,150,15000,92.61335873603821,23.291538496036083,6.9708655113354325,600.8726260662079,0.0
0/20,3/20,200,20000,101.41088604927063,19.125183422118425,24.60602094605565,1024.7874118685722,0.0
0/20,4/20,250,25000,96.96871042251587,29.60184192750603,36.312306605279446,1381.232323229313,0.0
0/20,5/20,300,30000,95.95733952522278,45.29339883569628,46.43564112484455,1691.54321372509,0.0
0/20,6/20,350,35000,93.90552139282227,66.01045942306519,57.5560068693012,1939.9458628892899,0.0
0/20,7/20,400,40000,96.33160734176636,83.7650737259537,63.45280109345913,2123.7383875846863,0.0
0/20,8/20,450,45000,95.83388447761536,100.76663239300251,72.6558283045888,2221.6575528383255,0.0
0/20,9/20,500,50000,101.22169899940491,122.17498560994864,74.55405219644308,2289.5461148023605,0.0
0/20,10/20,550,55000,100.95736455917358,133.54786182940006,81.61732339859009,2302.4941197633743,0.0
0/20,11/20,600,60000,99.87379455566406,146.95266740769148,82.2364307641983,2293.4982327222824,0.0
0/20,12/20,650,65000,100.38028359413147,153.72778232768178,82.3154647834599,2343.236921072006,0.0
0/20,13/20,700,70000,101.32957673072815,149.776092402637,82.55638664588332,2352.94709444046,0.0
0/20,14/20,750,75000,102.11985540390015,163.1718099564314,86.62672667205334,2302.3702216148376,0.0
0/20,15/20,800,80000,101.25083422660828,155.48403427749872,86.56166468188167,2214.1355687379837,0.0
0/20,16/20,850,85000,101.67235612869263,165.4095897525549,86.95695225894451,2177.7869510650635,0.0
0/20,17/20,900,90000,96.82043051719666,152.9432765096426,84.97742995992303,2110.8308868408203,0.0
0/20,18/20,950,95000,98.26609134674072,153.96697729453444,83.02520221471786,2111.1882385015488,0.0
0/20,19/20,1000,100000,99.36017107963562,158.9073477834463,81.9687493853271,2112.762532711029,0.0
1/20,0/20,1050,105000,99.8623559474945,154.1284130103886,81.2280456200242,2110.746347427368,0.0
1/20,1/20,1100,110000,97.23931169509888,159.95044291764498,83.12455978617072,2096.3982694149017,0.0
1/20,2/20,1150,115000,100.80524706840515,161.66837461292744,82.14789320155978,2108.618562936783,0.0
1/20,3/20,1200,120000,101.14384913444519,165.86313992738724,80.92957450076938,2087.07399725914,0.0
1/20,4/20,1250,125000,102.12599921226501,172.40133233740926,82.36086581274867,2061.1765139102936,0.0
1/20,5/20,1300,130000,102.33717036247253,170.8154003545642,80.40861361846328,2031.2952680587769,0.0
1/20,6/20,1350,135000,104.70647144317627,168.70815693214536,79.92160036414862,2029.3480253219604,0.0
1/20,7/20,1400,140000,99.87724566459656,172.74008570611477,80.54745439067483,2036.265726685524,0.0
1/20,8/20,1450,145000,99.43483567237854,174.86693114042282,81.6464140675962,2018.380208492279,0.0
1/20,9/20,1500,150000,102.23889780044556,159.77326226234436,78.44603830948472,1972.2979536056519,0.0
1/20,10/20,1550,155000,102.3632459640503,163.7042220160365,78.43253312632442,1970.951644062996,0.0
1/20,11/20,1600,160000,100.74005341529846,168.77152017876506,77.24812496826053,1944.4567873477936,0.0
1/20,12/20,1650,165000,100.4835000038147,163.21034997701645,76.18933456763625,1926.0124537944794,0.0
1/20,13/20,1700,170000,92.98878312110901,161.74196959659457,75.99450819566846,1932.339644908905,0.0
1/20,14/20,1750,175000,94.90836238861084,165.32575634121895,75.26825334876776,1903.613113641739,0.0
1/20,15/20,1800,180000,99.5642511844635,162.8831765651703,75.19684855267406,1898.1929360032082,0.0
1/20,16/20,1850,185000,96.035564661026,168.22242799028754,75.04532938823104,1897.4910176992416,0.0
1/20,17/20,1900,190000,101.51431703567505,169.14362577348948,75.49387644603848,1856.083644926548,0.0
1/20,18/20,1950,195000,99.30168318748474,159.06874913722277,75.64150005206466,1835.8294261693954,0.0
1/20,19/20,2000,200000,94.35559177398682,160.8736212812364,74.90946482494473,1833.584076344967,0.0
2/20,0/20,2050,205000,94.7301094532013,168.13605539500713,73.10098617523909,1829.6147077679634,0.0
2/20,1/20,2100,210000,90.09689354896545,167.54475999996066,72.68240834400058,1831.6706359386444,0.0
2/20,2/20,2150,215000,94.53256797790527,163.09716177359223,72.01495131105185,1821.1424832344055,0.0
2/20,3/20,2200,220000,96.28547096252441,168.33315521478653,72.92248244211078,1805.621412396431,0.0
2/20,4/20,2250,225000,95.310293674469,154.62502577900887,72.45817830041051,1799.1061707735062,0.0
2/20,5/20,2300,230000,95.95874309539795,161.84891012310982,71.42315701395273,1806.9569064378738,0.0
2/20,6/20,2350,235000,92.53499364852905,171.79216900095344,72.97831011936069,1776.7984582185745,0.0
2/20,7/20,2400,240000,96.32144975662231,174.1192212253809,73.1945196762681,1800.5171278715134,0.0
2/20,8/20,2450,245000,96.95750331878662,167.83998733758926,72.9875576980412,1760.486414551735,0.0
2/20,9/20,2500,250000,100.1294777393341,160.82843420654535,71.96647337451577,1764.4925535917282,0.0
2/20,10/20,2550,255000,97.53416872024536,168.09183083474636,70.90376410633326,1767.833876311779,0.0
2/20,11/20,2600,260000,92.84201407432556,156.92314593493938,70.69029647484422,1757.7467013001442,0.0
2/20,12/20,2650,265000,95.89640641212463,161.65546623244882,68.43633588030934,1751.0198449492455,0.0
2/20,13/20,2700,270000,98.78958511352539,166.27305563539267,69.21515793353319,1762.4984263777733,0.0
2/20,14/20,2750,275000,99.16411781311035,157.67623774707317,68.77557294815779,1744.785767197609,0.0
2/20,15/20,2800,280000,99.12647724151611,159.34508111700416,67.50279361754656,1771.4412482976913,0.0
2/20,16/20,2850,285000,95.29852938652039,164.51928033307195,68.14706399291754,1765.29677683115,0.0
2/20,17/20,2900,290000,98.44742751121521,156.6867277920246,68.27163141965866,1763.7601843476295,0.0
2/20,18/20,2950,295000,93.7743468284607,161.02207578346133,67.83283799886703,1761.9514660835266,0.0
2/20,19/20,3000,300000,98.32157182693481,157.05789568647742,66.75957187265158,1763.6224919557571,0.0
