Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,49.64177918434143,,,,0.0
0/20,1/20,100,10000,54.61414623260498,8.422259002923965,0.190375353442505,3.408721834421158,0.0
0/20,2/20,150,15000,91.05891919136047,604.5670962929726,5.527620517415926,21.498981297481805,0.0
0/20,3/20,200,20000,94.44893002510071,987.8048640489578,17.05649069440551,19.726803532335907,0.0
0/20,4/20,250,25000,94.17444133758545,1307.057971894741,33.14157337509096,29.78532095439732,0.0
0/20,5/20,300,30000,94.06165766716003,1595.4731279611588,35.39302899874747,43.107853724621236,0.0
0/20,6/20,350,35000,98.09113502502441,1898.677377462387,37.708701288327575,59.91857228986919,0.0
0/20,7/20,400,40000,95.67261123657227,2080.20880818367,46.56779883056879,78.02289586700499,0.0
0/20,8/20,450,45000,93.22460126876831,2210.50787293911,57.686338445171714,89.74859044142067,0.0
0/20,9/20,500,50000,97.74266242980957,2335.2667475938797,64.16353281587362,105.44886809587479,0.0
0/20,10/20,550,55000,96.47934007644653,2430.7955483198166,68.58858981356025,111.11011775583029,0.0
0/20,11/20,600,60000,94.78190016746521,2491.649880170822,72.37291145324707,112.54448493942618,0.0
0/20,12/20,650,65000,95.88386106491089,2513.016389131546,73.96748588234186,129.81894394755363,0.0
0/20,13/20,700,70000,94.89818406105042,2525.9497470855713,76.07422572001815,157.36524610593915,0.0
0/20,14/20,750,75000,98.22062563896179,2519.70543217659,75.26823510602117,172.02636764198542,0.0
0/20,15/20,800,80000,98.67905378341675,2497.759818315506,78.72589065507054,164.20092057436705,0.0
0/20,16/20,850,85000,96.55018377304077,2452.4662553071976,78.85587917268276,172.3073530457914,0.0
0/20,17/20,900,90000,98.83898639678955,2409.4910975694656,78.96655971929431,182.76276003569365,0.0
0/20,18/20,950,95000,97.5914192199707,2329.0357151031494,78.96739946305752,166.95419535040855,0.0
0/20,19/20,1000,100000,97.27937150001526,2289.104165315628,79.86076114326715,166.4319663979113,0.0
1/20,0/20,1050,105000,100.22357392311096,2284.1825284957886,77.6691792793572,182.6809073239565,0.0
1/20,1/20,1100,110000,96.97907590866089,2252.254126548767,80.42992632091045,185.74443367868662,0.0
1/20,2/20,1150,115000,96.32933950424194,2151.5593494176865,82.96788833662868,183.0015037804842,0.0
1/20,3/20,1200,120000,97.48834228515625,2134.651005387306,80.49115051701665,180.47207929193974,0.0
1/20,4/20,1250,125000,98.43578290939331,2144.9156596660614,79.49687846377492,173.2307831570506,0.0
1/20,5/20,1300,130000,97.36011457443237,2181.478808283806,79.35046960413456,180.48478976264596,0.0
1/20,6/20,1350,135000,96.98408913612366,2158.370450258255,76.69093656912446,168.80476596206427,0.0
1/20,7/20,1400,140000,97.80528521537781,2122.0170781612396,78.25862121582031,180.43818996101618,0.0
1/20,8/20,1450,145000,97.12897801399231,2094.4606878757477,76.68463532626629,175.10063475742936,0.0
1/20,9/20,1500,150000,97.51992988586426,2074.816545844078,76.69634856656194,176.99212269857526,0.0
1/20,10/20,1550,155000,98.31205534934998,2052.9258130788803,78.05984274297953,180.9989626891911,0.0
1/20,11/20,1600,160000,93.03127384185791,2062.8415483236313,78.20559765025973,177.510165899992,0.0
1/20,12/20,1650,165000,97.41138529777527,2043.7922666072845,76.91414427012205,184.86516954004765,0.0
1/20,13/20,1700,170000,96.57815456390381,2039.541502714157,76.29409213736653,178.68359818682075,0.0
1/20,14/20,1750,175000,97.0658597946167,1991.306356549263,76.1996950507164,184.02882543951273,0.0
1/20,15/20,1800,180000,95.91134929656982,1970.5343722105026,76.01732186228037,181.34959687292576,0.0
1/20,16/20,1850,185000,99.0018560886383,1969.5489090681076,74.91218009591103,188.27415004745126,0.0
1/20,17/20,1900,190000,96.73846459388733,1975.5993602275848,74.82241955399513,173.96408188343048,0.0
1/20,18/20,1950,195000,99.69119000434875,1971.3649698495865,74.80992175266147,187.80758130177855,0.0
1/20,19/20,2000,200000,97.05972194671631,1964.8482497930527,76.25209269672632,188.25229039788246,0.0
2/20,0/20,2050,205000,99.7836709022522,1967.0783598423004,75.34481928125024,179.69271762669086,0.0
2/20,1/20,2100,210000,97.46974563598633,1960.2655783891678,75.3813665881753,185.10619504749775,0.0
2/20,2/20,2150,215000,99.66990733146667,1947.882367491722,74.92546368762851,185.61981993541121,0.0
2/20,3/20,2200,220000,100.00739026069641,1958.818279504776,71.97877584397793,186.62245954573154,0.0
2/20,4/20,2250,225000,94.43854284286499,1978.259106040001,73.24087793380022,213.4381924532354,0.0
2/20,5/20,2300,230000,100.77173924446106,1969.4103890657425,75.99276788905263,196.31739265471697,0.0
2/20,6/20,2350,235000,101.03868460655212,1966.922108411789,74.68420961499214,204.32987359911203,0.0
2/20,7/20,2400,240000,101.1762592792511,1961.0770453214645,74.12030459940434,197.47201458364725,0.0
2/20,8/20,2450,245000,96.98277831077576,1978.628952741623,75.67679005116224,199.54445362091064,0.0
2/20,9/20,2500,250000,99.75955843925476,1959.4147173166275,73.22334882244468,191.7080170698464,0.0
2/20,10/20,2550,255000,101.9394474029541,1954.6325677633286,73.46010367572308,194.716746032238,0.0
2/20,11/20,2600,260000,98.16942071914673,1946.2886281609535,73.30713327229023,197.71668833866715,0.0
2/20,12/20,2650,265000,97.39039945602417,1934.8553613424301,73.69749481603503,192.00552213937044,0.0
2/20,13/20,2700,270000,97.9399836063385,1913.0003154277802,73.27148839086294,183.4780405573547,0.0
2/20,14/20,2750,275000,97.17246603965759,1918.9689878225327,74.740243781358,193.04306480288506,0.0
2/20,15/20,2800,280000,100.40807032585144,1910.9564163684845,75.03794717416167,184.04067809134722,0.0
