Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,34.692970514297485,,,,0.0
0/20,1/20,100,10000,163.49870491027832,0.20750826713629067,7.1991007924079895,4.433374762535095,0.0
0/20,2/20,150,15000,191.39076566696167,3.4286689658183604,639.3223109841347,30.37074931524694,0.0
0/20,3/20,200,20000,190.16550874710083,19.43800540617667,1155.6602999567986,29.26735305506736,0.0
0/20,4/20,250,25000,192.21822023391724,38.4894708879292,1495.0909658670425,48.27824970893562,0.0
0/20,5/20,300,30000,193.7629256248474,45.17064629122615,1783.7286367416382,63.98941923305392,0.0
0/20,6/20,350,35000,198.11312651634216,46.93049582466483,2033.9531297683716,88.97691151872277,0.0
0/20,7/20,400,40000,196.59023475646973,55.885940650478005,2289.3327140808105,125.05278854817152,0.0
0/20,8/20,450,45000,199.84198832511902,62.94763411581516,2628.843058347702,170.8061501160264,0.0
0/20,9/20,500,50000,199.30868887901306,71.60862344503403,2852.0598611831665,217.695592854172,0.0
0/20,10/20,550,55000,200.69510626792908,85.37862886115909,3059.4434653520584,257.72511625662446,0.0
0/20,11/20,600,60000,197.73416328430176,87.03387838602066,3215.893223762512,292.96319241821766,0.0
0/20,12/20,650,65000,198.0308392047882,88.36316698417068,3429.5846631526947,339.46031530946493,0.0
0/20,13/20,700,70000,204.34269309043884,92.9134009629488,3520.622841358185,366.47057412564754,0.0
0/20,14/20,750,75000,204.92608094215393,100.01117018982768,3505.9131560325623,396.119864448905,0.0
0/20,15/20,800,80000,201.65045070648193,106.28885785490274,3520.136158466339,419.8829084932804,0.0
0/20,16/20,850,85000,198.54545044898987,109.92208843678236,3533.814385175705,431.9683137983084,0.0
0/20,17/20,900,90000,197.27461647987366,110.87175134569407,3563.9446997642517,437.37926565110683,0.0
0/20,18/20,950,95000,196.35488104820251,114.98261171579361,3693.6430082321167,471.84399147331715,0.0
0/20,19/20,1000,100000,195.03524255752563,119.26228016614914,3737.058410167694,491.04126423597336,0.0
1/20,0/20,1050,105000,198.84674739837646,126.67258986830711,3714.1235942840576,497.6767919510603,0.0
1/20,1/20,1100,110000,196.67174291610718,124.58075733482838,3690.8263001441956,487.8758109509945,0.0
1/20,2/20,1150,115000,196.76567792892456,124.61292146146297,3718.28604221344,489.5680067539215,0.0
1/20,3/20,1200,120000,201.41421818733215,124.99275440722704,3758.3932037353516,490.2336041331291,0.0
1/20,4/20,1250,125000,200.76441597938538,124.59673215448856,3762.617105960846,477.5898834466934,0.0
1/20,5/20,1300,130000,198.1094515323639,135.36885187774897,3773.512737751007,518.6455100625753,0.0
1/20,6/20,1350,135000,200.93337178230286,135.9370025023818,3746.5376489162445,538.0435677170753,0.03
1/20,7/20,1400,140000,201.87342166900635,143.60826132446527,3759.3771827220917,538.3427739292383,0.03
1/20,8/20,1450,145000,202.27807927131653,146.37509337812662,3831.3768565654755,593.3155599236488,0.01
1/20,9/20,1500,150000,201.8943796157837,152.29358915239573,3877.467629671097,585.831256121397,0.04
1/20,10/20,1550,155000,201.20665001869202,159.16624603420496,4017.8022694587708,688.4398163259029,0.02
1/20,11/20,1600,160000,204.06560492515564,167.0650650858879,4096.882333517075,696.1141789853573,0.0
1/20,12/20,1650,165000,205.67748618125916,172.9065701663494,4117.208397388458,698.8407040834427,0.04
1/20,13/20,1700,170000,202.18312120437622,176.76164649426937,4191.960348367691,680.9260867834091,0.07
1/20,14/20,1750,175000,199.16416573524475,181.04297079145908,4256.560826301575,657.0171023607254,0.01
1/20,15/20,1800,180000,69.33494281768799,178.7084744721651,4302.503685951233,659.9058440923691,0.1
1/20,16/20,1850,185000,69.47081470489502,181.40401722490788,4297.755981683731,620.1391858309507,0.03
1/20,17/20,1900,190000,69.98126363754272,178.0635830461979,4351.691723823547,663.7751516401768,0.08
1/20,18/20,1950,195000,68.30302262306213,174.43354445695877,4382.120728492737,670.9147284477949,0.12
1/20,19/20,2000,200000,70.67035937309265,173.1047718524933,4454.615904569626,630.364150583744,0.08
2/20,0/20,2050,205000,71.9980239868164,168.1170861274004,4539.6311712265015,622.8345891684294,0.16
2/20,1/20,2100,210000,69.80812215805054,168.46441268920898,4670.848484516144,586.4314742684364,0.16
2/20,2/20,2150,215000,69.50724172592163,173.34042020142078,4760.760406494141,611.1745541989803,0.38
2/20,3/20,2200,220000,70.99662971496582,168.37071213126183,4808.845786809921,637.9451951682568,0.52
2/20,4/20,2250,225000,68.37276697158813,168.30547285079956,4912.014560222626,639.7743865847588,0.31
2/20,5/20,2300,230000,66.68987345695496,171.52498652040958,4951.837131023407,698.1890367269516,0.37
2/20,6/20,2350,235000,74.16769862174988,177.71300026774406,5029.2880935668945,683.4747237861156,0.53
2/20,7/20,2400,240000,67.7807788848877,172.87380512058735,5039.346612215042,711.80242857337,0.47
2/20,8/20,2450,245000,67.0088758468628,172.48768362402916,5046.18305683136,670.442460924387,0.74
2/20,9/20,2500,250000,70.85609030723572,169.8842505812645,5108.348016262054,686.3460973501205,0.78
2/20,10/20,2550,255000,69.59705424308777,169.52677783370018,5146.764262914658,657.0112689137459,0.55
2/20,11/20,2600,260000,68.06318736076355,170.69604110717773,5162.3443875312805,659.5956628918648,0.51
2/20,12/20,2650,265000,69.90873193740845,171.88714395463467,5222.5423402786255,686.1278895139694,0.63
2/20,13/20,2700,270000,71.49506878852844,173.27438516914845,5259.666993379593,657.9465944468975,0.62
2/20,14/20,2750,275000,68.26927471160889,171.60139019787312,5275.032846927643,667.5832971334457,0.72
2/20,15/20,2800,280000,69.1281065940857,172.71594688296318,5303.143319368362,649.7822487056255,0.71
2/20,16/20,2850,285000,71.30781722068787,177.57184992730618,5297.123875141144,641.153273999691,0.62
2/20,17/20,2900,290000,67.71442556381226,174.972938939929,5290.012204170227,644.4958603978157,0.85
2/20,18/20,2950,295000,67.55773854255676,178.25790904462337,5322.268856525421,652.5701139569283,0.79
2/20,19/20,3000,300000,71.67121434211731,176.84693118929863,5308.349429607391,629.4247880578041,0.94
3/20,0/20,3050,305000,67.95610547065735,176.3208357989788,5297.6826112270355,623.6895799934864,0.89
3/20,1/20,3100,310000,68.02322387695312,174.25579625368118,5325.069806575775,622.5167255699635,0.88
3/20,2/20,3150,315000,70.62142324447632,179.03475093841553,5337.919070720673,608.4386784732342,0.82
3/20,3/20,3200,320000,68.69213628768921,177.32093214988708,5302.070655822754,592.4092642962933,0.88
3/20,4/20,3250,325000,67.78386688232422,179.66209176182747,5304.636167764664,577.5637426674366,0.87
3/20,5/20,3300,330000,71.80536556243896,178.2111160606146,5328.837410926819,599.398975789547,0.86
3/20,6/20,3350,335000,70.22412443161011,176.22325563430786,5321.99493598938,599.6398096084595,0.93
3/20,7/20,3400,340000,68.07742881774902,179.67075473070145,5346.907499551773,602.5660215169191,0.87
3/20,8/20,3450,345000,69.54390931129456,181.71364441514015,5326.563000679016,593.518838763237,0.87
3/20,9/20,3500,350000,71.28676009178162,180.14181771874428,5323.6826758384705,581.0130943953991,0.9
3/20,10/20,3550,355000,67.93995928764343,172.7026249319315,5272.07488656044,565.9646016359329,0.8
3/20,11/20,3600,360000,67.82307052612305,176.29310150444508,5294.903325080872,584.0416345596313,0.92
3/20,12/20,3650,365000,70.68589377403259,173.44833865761757,5273.332803964615,585.3688708096743,0.88
