Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,33.64728546142578,,,,0.0
0/20,1/20,100,10000,157.05736470222473,4.292965114116669,9.152661472558975,0.3247539452277124,0.0
0/20,2/20,150,15000,190.0920069217682,37.04710690211505,736.7006094455719,5.463258257834241,0.0
0/20,3/20,200,20000,198.258150100708,34.131838135421276,1261.8601018190384,21.0829183193855,0.0
0/20,4/20,250,25000,194.67879343032837,54.63609520718455,1632.3903923034668,45.716076612472534,0.0
0/20,5/20,300,30000,196.52208042144775,70.58257267810404,1932.1613589525223,53.02363265864551,0.0
0/20,6/20,350,35000,196.49067735671997,90.44669327139854,2182.9401531219482,61.99076430499554,0.0
0/20,7/20,400,40000,195.51151657104492,132.45005087554455,2531.194954395294,63.65506321936846,0.0
0/20,8/20,450,45000,197.20555520057678,167.3980837315321,2704.318057179451,73.12770312279463,0.0
0/20,9/20,500,50000,193.08317589759827,197.97683715075254,2934.105405688286,83.54360877349973,0.0
0/20,10/20,550,55000,194.40912413597107,227.51998114585876,3027.118088722229,93.73159788176417,0.0
0/20,11/20,600,60000,195.62484741210938,235.18822625279427,3112.4140141010284,90.75361462309957,0.0
0/20,12/20,650,65000,194.42224025726318,277.1454567760229,3219.0954823493958,93.68892614543438,0.0
0/20,13/20,700,70000,195.5679268836975,308.32413183897734,3384.081069469452,95.33549945056438,0.0
0/20,14/20,750,75000,195.03108477592468,333.4637907445431,3590.7898020744324,96.1293478012085,0.0
0/20,15/20,800,80000,195.1569344997406,353.2162359505892,3756.9873237609863,97.11217622458935,0.0
0/20,16/20,850,85000,198.46895813941956,376.35442394018173,3916.532623052597,102.33948989957571,0.0
0/20,17/20,900,90000,192.27071356773376,412.06563736498356,4046.8208453655243,102.5961584225297,0.0
0/20,18/20,950,95000,194.911066532135,432.3546503931284,4105.024074554443,108.83814581483603,0.0
0/20,19/20,1000,100000,194.3716962337494,463.23494382202625,4196.584450244904,115.87276568263769,0.0
1/20,0/20,1050,105000,193.2820234298706,491.09706035256386,4224.073873996735,117.87976273149252,0.0
1/20,1/20,1100,110000,194.972895860672,538.6599817872047,4245.91717338562,123.03900115936995,0.0
1/20,2/20,1150,115000,196.93554735183716,558.2464230209589,4288.55557513237,126.75860608369112,0.0
1/20,3/20,1200,120000,197.8403069972992,569.8597612679005,4350.872407913208,130.31041502952576,0.0
1/20,4/20,1250,125000,196.94072151184082,617.7025955617428,4280.97457242012,140.292290315032,0.0
1/20,5/20,1300,130000,195.34939122200012,619.5530436635017,4162.029824495316,145.12873958051205,0.0
1/20,6/20,1350,135000,198.30250453948975,625.2804105430841,4050.8545022010803,154.01865561306477,0.0
1/20,7/20,1400,140000,198.25815606117249,653.1914321184158,3898.075715303421,157.76310232281685,0.0
1/20,8/20,1450,145000,195.24675583839417,671.5839892327785,3778.135014295578,160.42119239270687,0.0
1/20,9/20,1500,150000,195.81926918029785,678.4840992987156,3678.2692127227783,164.31556996703148,0.0
1/20,10/20,1550,155000,198.71813702583313,669.9770743697882,3587.04203081131,167.55419744551182,0.0
1/20,11/20,1600,160000,196.97974610328674,656.5217579901218,3421.017394542694,175.44640018045902,0.0
1/20,12/20,1650,165000,193.03429460525513,655.1825379431248,3258.644721031189,177.05283938348293,0.0
1/20,13/20,1700,170000,180.13527846336365,640.6892638802528,3169.6914772987366,177.4956883341074,0.0
1/20,14/20,1750,175000,180.27466249465942,598.2571717351675,3031.6710963249207,176.0482363551855,0.0
1/20,15/20,1800,180000,185.83190512657166,582.4203142523766,2952.167328953743,177.35928113758564,0.0
1/20,16/20,1850,185000,186.6058189868927,562.097538754344,2878.910998106003,175.43902224302292,0.0
1/20,17/20,1900,190000,187.81355690956116,549.931602075696,2809.8368290662766,174.65690860152245,0.0
1/20,18/20,1950,195000,186.57072854042053,564.1042573302984,2730.4569029808044,176.06298272311687,0.01
1/20,19/20,2000,200000,184.93186497688293,591.7611129134893,2650.9966723918915,173.27795691788197,0.0
2/20,0/20,2050,205000,185.32159399986267,564.1865348666906,2589.099424123764,175.4452231824398,0.0
2/20,1/20,2100,210000,184.38892769813538,510.73491808772087,2546.7961077690125,176.62906691432,0.0
2/20,2/20,2150,215000,183.8507752418518,512.643651470542,2501.6464986801147,172.97602558135986,0.0
2/20,3/20,2200,220000,183.1754047870636,487.54609130322933,2471.803876042366,171.37321881949902,0.0
2/20,4/20,2250,225000,186.39692497253418,504.3483771979809,2440.7035299539566,175.5840880572796,0.0
2/20,5/20,2300,230000,186.57041883468628,477.304907977581,2409.492354989052,171.18161617219448,0.0
2/20,6/20,2350,235000,186.16235661506653,484.2069376260042,2390.721201658249,171.5872119218111,0.01
2/20,7/20,2400,240000,186.5175700187683,510.40291211009026,2369.0969381332397,172.71763914823532,0.0
2/20,8/20,2450,245000,185.50201153755188,521.5978924334049,2374.4232724905014,173.9606975018978,0.0
2/20,9/20,2500,250000,185.64754962921143,477.247634857893,2330.8205461502075,171.642345815897,0.0
2/20,10/20,2550,255000,189.71728205680847,504.6476330012083,2335.4452615976334,171.6768498569727,0.0
