Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,34.16437077522278,,,,0.0
0/20,1/20,100,10000,140.86337018013,0.22079605283215642,8.292801693081856,4.522038519382477,0.0
0/20,2/20,150,15000,168.00265502929688,3.47191820491571,692.9452045857906,34.37443956080824,0.0
0/20,3/20,200,20000,181.43705344200134,14.201610292773694,1203.113240301609,32.389941131696105,0.0
0/20,4/20,250,25000,181.98062753677368,35.93576069269329,1576.8108016848564,54.10995382629335,0.0
0/20,5/20,300,30000,178.87261843681335,41.54005688801408,1880.9339023828506,74.60243135131896,0.0
0/20,6/20,350,35000,180.43905997276306,46.41945664398372,2187.3086276054382,100.81498317420483,0.0
0/20,7/20,400,40000,179.2964096069336,57.078917579725385,2370.200891137123,136.87116600573063,0.0
0/20,8/20,450,45000,180.7868812084198,61.97136836498976,2532.4246604442596,159.09489693120122,0.0
0/20,9/20,500,50000,185.89039874076843,68.59917058050632,2670.426803469658,189.01909486949444,0.0
0/20,10/20,550,55000,187.7991225719452,71.57647007703781,2838.860010623932,214.3164900764823,0.0
0/20,11/20,600,60000,184.07992696762085,73.6839513219893,3055.52967607975,262.66586773842573,0.0
0/20,12/20,650,65000,185.25055766105652,75.87451491132379,3193.0933060646057,283.0261037424207,0.0
0/20,13/20,700,70000,181.74935507774353,80.75641276314855,3292.0369007587433,306.39281912148,0.0
0/20,14/20,750,75000,181.65052556991577,92.88799868524075,3321.566814661026,357.84026478230953,0.0
0/20,15/20,800,80000,180.05980372428894,97.87939853966236,3329.6657354831696,405.0844182521105,0.0
0/20,16/20,850,85000,174.45119905471802,99.8495071567595,3388.613692522049,405.6836023926735,0.0
0/20,17/20,900,90000,175.2281527519226,101.9760565161705,3443.6097276210785,411.7856257110834,0.0
0/20,18/20,950,95000,175.362229347229,103.60913154482841,3446.926111459732,431.08108404278755,0.0
0/20,19/20,1000,100000,177.09212636947632,105.23571760207415,3476.436658143997,468.6332833468914,0.0
1/20,0/20,1050,105000,185.06697034835815,109.44762355834246,3500.7157423496246,450.1533298641443,0.0
1/20,1/20,1100,110000,183.26568984985352,110.80937164276838,3498.3284771442413,456.7042355835438,0.0
1/20,2/20,1150,115000,183.50029301643372,112.18186377733946,3507.0001060962677,457.48582319915295,0.0
1/20,3/20,1200,120000,180.35823702812195,118.28781048208475,3574.6235246658325,465.54267486929893,0.0
1/20,4/20,1250,125000,177.24579071998596,117.67449907958508,3637.7409999370575,501.1376640945673,0.0
1/20,5/20,1300,130000,174.52399563789368,122.25103875249624,3648.928966283798,523.0480999946594,0.0
1/20,6/20,1350,135000,176.80387926101685,124.63446289300919,3704.6238741874695,528.3058494925499,0.0
1/20,7/20,1400,140000,182.02471041679382,125.93318109214306,3729.3239142894745,552.4695164263248,0.0
1/20,8/20,1450,145000,179.2921917438507,128.19814155995846,3741.6672966480255,581.0813993513584,0.0
1/20,9/20,1500,150000,181.34882283210754,132.47351125627756,3805.8149378299713,596.3002093881369,0.0
1/20,10/20,1550,155000,183.19327521324158,138.5333334505558,3791.22243309021,587.0239682346582,0.0
1/20,11/20,1600,160000,180.92430210113525,141.07158935815096,3779.8693256378174,617.1715415418148,0.0
1/20,12/20,1650,165000,180.28187084197998,146.14312712848186,3779.559080839157,639.8927725851536,0.0
1/20,13/20,1700,170000,179.88630080223083,154.39963898807764,3684.0695168972015,657.4646216332912,0.0
1/20,14/20,1750,175000,182.1960563659668,157.926811106503,3673.4793457984924,642.1434236764908,0.0
1/20,15/20,1800,180000,182.79940485954285,160.03748260438442,3668.879239797592,650.0799298286438,0.0
1/20,16/20,1850,185000,185.0368468761444,165.08973418176174,3630.072509765625,608.4538357704878,0.0
1/20,17/20,1900,190000,181.59355330467224,169.3754251152277,3600.9586424827576,598.7192448526621,0.0
1/20,18/20,1950,195000,180.9143533706665,170.44495341181755,3664.0344591140747,617.0136035978794,0.0
1/20,19/20,2000,200000,184.28989934921265,175.41015203297138,3716.6866607666016,617.1206805706024,0.01
2/20,0/20,2050,205000,183.18912506103516,181.87121042609215,3746.606132507324,677.6218405663967,0.06
2/20,1/20,2100,210000,179.24705410003662,183.02190780639648,3763.808983564377,682.3181367218494,0.03
2/20,2/20,2150,215000,176.46629667282104,184.47355218231678,3795.8486328125,712.3959690332413,0.02
2/20,3/20,2200,220000,179.27416586875916,183.66571488976479,3820.4370324611664,749.3623586297035,0.06
2/20,4/20,2250,225000,179.26306200027466,181.7530970722437,3796.7108590602875,697.7874439656734,0.1
2/20,5/20,2300,230000,64.11116170883179,179.58285363018513,3823.637751340866,718.4048918783665,0.04
2/20,6/20,2350,235000,64.99175500869751,176.865707218647,3865.1614797115326,680.1496869325638,0.05
2/20,7/20,2400,240000,69.12172889709473,176.33905990421772,3939.232497692108,634.3166183233261,0.06
2/20,8/20,2450,245000,66.99399828910828,176.60346706211567,3976.9895679950714,670.9428327381611,0.02
2/20,9/20,2500,250000,65.19303035736084,178.32051774859428,4011.5741159915924,611.8200071454048,0.26
2/20,10/20,2550,255000,67.91342806816101,177.1346537321806,4122.08523440361,610.0075509548187,0.18
2/20,11/20,2600,260000,64.91509485244751,179.25671319663525,4170.540242910385,615.4569652974606,0.24
2/20,12/20,2650,265000,67.91703772544861,180.12906110286713,4255.337336063385,621.508238106966,0.25
2/20,13/20,2700,270000,66.89595079421997,183.24707259237766,4319.903282403946,623.1771581172943,0.42
2/20,14/20,2750,275000,64.35603284835815,184.4334902614355,4353.8709263801575,684.2891497313976,0.34
2/20,15/20,2800,280000,67.73697900772095,179.56237260997295,4394.484910726547,643.766120493412,0.16
2/20,16/20,2850,285000,63.74009466171265,176.00089080631733,4451.424363613129,659.6021831333637,0.12
2/20,17/20,2900,290000,67.39679050445557,176.89443205296993,4536.578736782074,672.7114060521126,0.5
2/20,18/20,2950,295000,65.48087406158447,178.66902327537537,4624.2129719257355,637.9825730025768,0.67
2/20,19/20,3000,300000,62.031495332717896,176.87376910448074,4653.235622882843,629.997187435627,0.62
3/20,0/20,3050,305000,65.7496554851532,176.68364411592484,4736.123514175415,646.9419865608215,0.52
3/20,1/20,3100,310000,63.1392457485199,176.41940274834633,4796.950728654861,673.7671825885773,0.6
3/20,2/20,3150,315000,64.15966892242432,177.06765608489513,4849.3098657131195,652.4066254794598,0.58
3/20,3/20,3200,320000,63.32814288139343,173.87202720344067,4935.72185254097,675.2538610696793,0.63
3/20,4/20,3250,325000,64.96138215065002,175.24438279867172,4990.518705606461,695.928722590208,0.76
3/20,5/20,3300,330000,67.3748414516449,174.8911353945732,5069.512124538422,686.1486973762512,0.75
3/20,6/20,3350,335000,63.97038197517395,178.28560909628868,5059.4848692417145,671.4440495073795,0.69
3/20,7/20,3400,340000,65.47391891479492,179.25063614547253,5090.724137306213,678.6976890563965,0.76
3/20,8/20,3450,345000,67.61381578445435,180.45955289900303,5037.303425312042,698.6249285042286,0.8
3/20,9/20,3500,350000,65.99467730522156,178.8692115843296,5045.13903260231,654.9725236594677,0.86
3/20,10/20,3550,355000,67.79432392120361,172.10225461423397,5048.046753406525,666.37266074121,0.76
3/20,11/20,3600,360000,65.59291291236877,173.41241337358952,5106.30593085289,681.450382873416,0.74
3/20,12/20,3650,365000,67.09762573242188,175.81859648227692,5128.753942966461,663.6978139579296,0.89
3/20,13/20,3700,370000,66.74599409103394,173.83535999059677,5147.21218919754,664.5788525938988,0.73
3/20,14/20,3750,375000,63.79152464866638,172.19946379959583,5151.569112062454,646.313015460968,0.83
3/20,15/20,3800,380000,66.27122187614441,174.965705037117,5201.94312620163,686.4297252297401,0.75
3/20,16/20,3850,385000,64.17234587669373,179.2496448904276,5204.857211589813,684.3181973099709,0.79
3/20,17/20,3900,390000,65.17001986503601,175.4807185381651,5259.856658935547,718.0380329191685,0.88
3/20,18/20,3950,395000,65.89003419876099,176.08973620831966,5269.7727954387665,667.2187052667141,0.89
3/20,19/20,4000,400000,63.48670220375061,177.05705535411835,5297.721604824066,659.217221736908,0.76
4/20,0/20,4050,405000,66.18749403953552,174.25540766119957,5302.270987510681,654.9667004644871,0.98
4/20,1/20,4100,410000,61.93452978134155,176.31793244183064,5294.718309640884,671.6139952093363,0.85
4/20,2/20,4150,415000,65.07428359985352,177.2479521781206,5303.565315723419,674.9234719574451,0.93
4/20,3/20,4200,420000,65.24542474746704,176.4431558251381,5322.863765954971,629.8102784156799,0.9
4/20,4/20,4250,425000,63.51523447036743,177.47572764754295,5310.910321712494,623.8820368349552,0.85
4/20,5/20,4300,430000,65.92034029960632,177.12221494317055,5327.243669509888,636.6164392232895,0.75
4/20,6/20,4350,435000,64.94802498817444,178.86308613419533,5323.686169624329,647.0342764556408,0.88
4/20,7/20,4400,440000,66.13177371025085,175.94327318668365,5338.75741147995,649.846180871129,0.84
4/20,8/20,4450,445000,63.41514301300049,176.78183962404728,5354.687267303467,653.6425942182541,0.96
4/20,9/20,4500,450000,63.92292332649231,176.97715257108212,5400.882108211517,645.0967239737511,0.96
4/20,10/20,4550,455000,66.76986289024353,176.36202673614025,5394.750415802002,626.1223909854889,0.97
4/20,11/20,4600,460000,63.129892349243164,177.32124131917953,5401.958202362061,676.841316729784,0.93
4/20,12/20,4650,465000,67.40512990951538,174.4279409646988,5358.31752038002,679.7241292446852,0.79
4/20,13/20,4700,470000,65.87444591522217,170.85261882841587,5342.119735240936,659.6737804412842,0.9
4/20,14/20,4750,475000,61.79639935493469,174.9044051617384,5400.880319595337,676.0636894404888,0.89
4/20,15/20,4800,480000,65.32128238677979,176.8393174111843,5383.131953716278,670.2563543021679,0.92
4/20,16/20,4850,485000,65.91141128540039,174.58384954929352,5370.447102069855,712.438930273056,0.96
4/20,17/20,4900,490000,65.64406967163086,174.84431701898575,5387.736328601837,668.962283462286,0.79
4/20,18/20,4950,495000,62.61587047576904,174.79810164868832,5400.858071565628,655.0501137971878,0.92
4/20,19/20,5000,500000,65.38058185577393,172.64618510007858,5369.473030090332,662.4528914391994,0.98
5/20,0/20,5050,505000,66.22250032424927,171.7610630095005,5399.703213691711,703.4661664962769,0.88
5/20,1/20,5100,510000,61.50460147857666,172.37472221255302,5401.663294315338,643.6345178484917,0.93
