Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,44.48355293273926,,,,0.0
0/20,1/20,100,10000,175.14115691184998,0.2864818796515465,4.256035581231117,7.16169598698616,0.0
0/20,2/20,150,15000,212.6278314590454,5.235407900065184,32.003375904634595,622.0261627137661,0.0
0/20,3/20,200,20000,215.92912030220032,22.58904656395316,27.755904335528612,1081.4346625208855,0.0
0/20,4/20,250,25000,216.63336205482483,33.23193885944784,42.40207760408521,1444.4411915540695,0.0
0/20,5/20,300,30000,213.9672713279724,40.01053449511528,57.033907145261765,1764.4604065418243,0.0
0/20,6/20,350,35000,211.390695810318,49.39164259470999,78.53749326989055,2064.6398013830185,0.0
0/20,7/20,400,40000,214.35072326660156,58.251324797049165,117.45639107376337,2346.058365225792,0.0
0/20,8/20,450,45000,214.21431708335876,70.44033079221845,152.02834576368332,2594.723875284195,0.0
0/20,9/20,500,50000,217.81624722480774,73.2718692868948,176.79291943088174,2797.349151611328,0.0
0/20,10/20,550,55000,214.33620405197144,77.56288246437907,194.37955025956035,2977.5927530527115,0.0
0/20,11/20,600,60000,216.34087824821472,83.82216530293226,235.21737622469664,3127.78670835495,0.0
0/20,12/20,650,65000,212.89716506004333,90.52049966156483,242.26322155445814,3132.4582793712616,0.0
0/20,13/20,700,70000,194.3145170211792,90.61276585608721,276.0634492188692,3176.8532977104187,0.0
0/20,14/20,750,75000,187.38399505615234,92.84058606624603,294.0667859464884,3242.3463368415833,0.0
0/20,15/20,800,80000,187.43036127090454,95.76776037365198,311.1771403104067,3348.577393054962,0.0
0/20,16/20,850,85000,185.58451342582703,97.9602078422904,339.45182183384895,3326.399939775467,0.0
0/20,17/20,900,90000,185.99507761001587,100.30474556237459,336.73461559414864,3395.629498720169,0.0
0/20,18/20,950,95000,187.54407382011414,104.15871138870716,338.9213536158204,3434.8172030448914,0.0
0/20,19/20,1000,100000,185.8641631603241,103.11144184321165,401.42862428724766,3492.605787038803,0.0
1/20,0/20,1050,105000,185.956481218338,104.07225561887026,429.136340752244,3593.8847918510437,0.0
1/20,1/20,1100,110000,184.98765563964844,107.7288318425417,418.0661722123623,3676.887698173523,0.0
1/20,2/20,1150,115000,183.90257740020752,112.0350804105401,440.80781768262386,3766.710186481476,0.0
1/20,3/20,1200,120000,182.84893369674683,120.89180165529251,470.53243005275726,3723.5892038345337,0.0
