Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,35.351243019104004,,,,0.0
0/20,1/20,100,10000,162.4570813179016,4.19047275185585,0.24785229517146945,5.705623552203178,0.0
0/20,2/20,150,15000,195.07288432121277,25.755418000742793,3.4380375859327614,579.5948520600796,0.0
0/20,3/20,200,20000,197.54543948173523,27.27713169110939,13.654551561456174,1066.025213778019,0.0
0/20,4/20,250,25000,198.6704502105713,44.20273732766509,33.607709805481136,1414.3182865977287,0.0
0/20,5/20,300,30000,193.2543590068817,58.563312627375126,39.38847050257027,1693.3514186143875,0.0
0/20,6/20,350,35000,195.11386013031006,78.9236537963152,46.82248345203698,1970.9455553293228,0.0
0/20,7/20,400,40000,195.27816581726074,106.29500336945057,48.13352885842323,2230.046443581581,0.0
0/20,8/20,450,45000,192.7097418308258,143.13027053326368,55.94789885170758,2431.2346992492676,0.0
0/20,9/20,500,50000,199.50532126426697,177.8032332882285,64.06189307197928,2641.075197815895,0.0
0/20,10/20,550,55000,194.28912568092346,192.3860829733312,70.96475153416395,2776.1166174411774,0.0
0/20,11/20,600,60000,192.67209458351135,244.36768776923418,75.64312390983105,2878.026602625847,0.0
0/20,12/20,650,65000,196.20750331878662,271.34583170711994,78.79691620916128,2993.9371881484985,0.0
0/20,13/20,700,70000,198.16264986991882,288.0828616246581,83.29504296183586,3087.55011343956,0.0
0/20,14/20,750,75000,195.5800015926361,325.08660750091076,81.78921264782548,3246.251260995865,0.0
0/20,15/20,800,80000,195.52319765090942,349.9638759866357,84.68542132154107,3373.086196899414,0.0
0/20,16/20,850,85000,199.62316226959229,404.45756904780865,90.32030402123928,3510.295868873596,0.0
0/20,17/20,900,90000,197.58620023727417,416.39030608534813,87.3316879272461,3504.332773208618,0.0
0/20,18/20,950,95000,195.43989253044128,466.29942387342453,89.60942238941789,3562.7473063468933,0.0
0/20,19/20,1000,100000,203.419926404953,473.1512134820223,93.18620020896196,3617.713520050049,0.0
1/20,0/20,1050,105000,206.32513451576233,475.2260280698538,103.78125594556332,3722.4230229854584,0.0
1/20,1/20,1100,110000,199.65727543830872,483.8009534776211,103.902099609375,3747.020589351654,0.0
1/20,2/20,1150,115000,197.70811367034912,489.33877673745155,104.49471773952246,3793.6708984375,0.0
1/20,3/20,1200,120000,200.6608624458313,528.0274426192045,108.30836098641157,3849.2204308509827,0.0
1/20,4/20,1250,125000,199.57815194129944,538.5086573511362,110.11832416802645,3932.9386286735535,0.0
