Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,37.86653661727905,,,,0.0
0/20,1/20,100,10000,174.83158111572266,6.027605026960373,4.514547511935234,0.2353139710612595,0.0
0/20,2/20,150,15000,204.6898226737976,597.3985275030136,29.72083451040089,3.3641431394498795,0.0
0/20,3/20,200,20000,208.84501576423645,1119.2612614035606,28.421657816506922,16.538674305425957,0.0
0/20,4/20,250,25000,209.788419008255,1493.048478782177,51.569983296096325,41.870542077347636,0.0
0/20,5/20,300,30000,205.9529538154602,1827.8532481193542,65.89567660167813,43.211493261158466,0.0
0/20,6/20,350,35000,206.35514760017395,2109.867094516754,84.64073811843991,52.69903037697077,0.0
0/20,7/20,400,40000,210.00268077850342,2366.4810478687286,108.74781328067183,62.181121937930584,0.0
0/20,8/20,450,45000,211.52446460723877,2548.718181014061,129.14180863276124,70.36804072931409,0.0
0/20,9/20,500,50000,209.24056601524353,2719.772693157196,153.4615870937705,74.36559036374092,0.0
0/20,10/20,550,55000,208.33867573738098,2868.5085084438324,178.35206653177738,77.44270675256848,0.0
0/20,11/20,600,60000,207.88822674751282,3007.140679359436,215.45860352739692,81.76380437612534,0.0
0/20,12/20,650,65000,212.14950132369995,3203.996238231659,241.3441824913025,89.89668068662286,0.0
0/20,13/20,700,70000,211.6189398765564,3307.951619386673,272.15809743851423,92.82700337469578,0.0
0/20,14/20,750,75000,213.60889315605164,3449.367453813553,306.31661212444305,98.33247430622578,0.0
0/20,15/20,800,80000,212.22162795066833,3521.4728450775146,348.53230871260166,103.73170548304915,0.0
0/20,16/20,850,85000,213.92357540130615,3631.3440384864807,393.94536204636097,108.93489019572735,0.0
0/20,17/20,900,90000,212.46476769447327,3661.8533215522766,402.7486874014139,110.50088065117598,0.0
0/20,18/20,950,95000,215.80505871772766,3687.0425946712494,432.8778115808964,113.12033889442682,0.0
0/20,19/20,1000,100000,216.546888589859,3798.4518320560455,485.68575774133205,118.12868107110262,0.0
1/20,0/20,1050,105000,217.79960346221924,3805.3877642154694,512.1443412303925,124.37789458781481,0.0
1/20,1/20,1100,110000,214.8152265548706,3782.110578775406,536.217214345932,128.3913834542036,0.0
1/20,2/20,1150,115000,214.47376608848572,3762.0188982486725,596.8884297907352,131.02035742998123,0.0
1/20,3/20,1200,120000,214.72426080703735,3783.2305982112885,593.6054525524378,135.46387082338333,0.03
1/20,4/20,1250,125000,217.36100912094116,3830.5135877132416,659.07304084301,143.74261716008186,0.0
1/20,5/20,1300,130000,211.22175121307373,3851.930800676346,671.690133780241,151.1769216954708,0.01
1/20,6/20,1350,135000,217.6277084350586,3946.7426540851593,671.8666486740112,156.28979509323835,0.02
1/20,7/20,1400,140000,215.02437567710876,4016.457855939865,702.3517319709063,168.5025289952755,0.01
1/20,8/20,1450,145000,219.31310081481934,3980.9001264572144,693.1178288757801,180.80688631534576,0.01
1/20,9/20,1500,150000,223.9785487651825,3988.889713525772,747.1965488195419,183.93391120433807,0.01
1/20,10/20,1550,155000,218.71610474586487,3991.7456192970276,749.9502899646759,188.39570811390877,0.09
1/20,11/20,1600,160000,216.1223554611206,3975.081722021103,752.6175367534161,191.5786166191101,0.12
1/20,12/20,1650,165000,215.66293168067932,3948.261349916458,735.1288468539715,195.55560593307018,0.08
1/20,13/20,1700,170000,217.68588423728943,4003.797112226486,714.5924007892609,193.66945829987526,0.04
1/20,14/20,1750,175000,215.962890625,4131.04621052742,696.4774709641933,192.30561664700508,0.01
1/20,15/20,1800,180000,74.17137098312378,4083.7459139823914,673.4266210794449,194.83014859259129,0.04
1/20,16/20,1850,185000,74.51181101799011,4123.064699411392,654.4726331830025,189.53112745285034,0.03
1/20,17/20,1900,190000,74.28585505485535,4187.736205339432,622.5230451226234,190.02647845447063,0.02
