Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,30.334717988967896,,,,0.0
0/30,1/20,100,10000,142.09735822677612,9.908854454755783,3.7966405153274536,0.3172375364229083,0.0
0/30,2/20,150,15000,159.64190697669983,751.0146552920341,26.436384218279272,5.455865376396105,0.0
0/30,3/20,200,20000,165.61288809776306,1253.296033024788,22.182947130408138,11.889672806952149,0.0
0/30,4/20,250,25000,168.37233662605286,1627.8580518960953,35.681921642273664,31.684304268099368,0.0
0/30,5/20,300,30000,170.64259314537048,1919.1786434650421,48.06505799014121,35.86466198973358,0.0
0/30,6/20,350,35000,168.04834365844727,2215.8780146837234,63.524952160194516,38.82839738018811,0.0
0/30,7/20,400,40000,169.77326273918152,2516.8678483963013,81.94961324520409,45.897484147921205,0.0
0/30,8/20,450,45000,168.03301787376404,2733.3996769189835,97.469416949898,54.296221651136875,0.0
0/30,9/20,500,50000,169.80360102653503,2957.445944547653,126.09672190621495,60.20896215364337,0.0
0/30,10/20,550,55000,170.14666962623596,3123.027090549469,142.20590602234006,65.24699065834284,0.0
0/30,11/20,600,60000,170.3269181251526,3378.518560886383,172.6468578018248,71.33891945704818,0.0
0/30,12/20,650,65000,167.417329788208,3588.6457641124725,194.04321647435427,77.01434292271733,0.0
0/30,13/20,700,70000,168.31352138519287,3744.332986831665,235.94689402729273,80.63579735532403,0.0
0/30,14/20,750,75000,166.52246856689453,3931.4358491897583,271.2533373683691,84.7458922713995,0.0
0/30,15/20,800,80000,167.4333460330963,4051.6211965084076,274.1348827853799,91.14731735736132,0.0
0/30,16/20,850,85000,167.06176018714905,4114.999502658844,328.2857490256429,95.68416010215878,0.0
0/30,17/20,900,90000,166.85302734375,4144.755071401596,374.36641450226307,98.69968858733773,0.0
0/30,18/20,950,95000,167.35188698768616,4152.205480098724,376.9550141841173,103.37390567362309,0.0
0/30,19/20,1000,100000,167.79571294784546,4150.240316390991,409.4200863838196,109.6869186013937,0.0
1/30,0/20,1050,105000,169.99436020851135,4075.893435716629,390.6012356877327,113.4421796798706,0.0
1/30,1/20,1100,110000,170.03529810905457,3962.403246164322,422.15357533097267,116.46617299318314,0.0
1/30,2/20,1150,115000,170.6830084323883,3934.1398446559906,444.4064149260521,119.81478098034859,0.0
1/30,3/20,1200,120000,170.3174409866333,3843.3917376995087,448.81587705016136,124.5165546387434,0.0
1/30,4/20,1250,125000,169.943745136261,3833.841520547867,429.6849615871906,126.01151540875435,0.0
1/30,5/20,1300,130000,168.42294931411743,3777.9806504249573,408.872177824378,126.72516947239637,0.0
1/30,6/20,1350,135000,167.09356713294983,3712.921256542206,404.21559369564056,127.93834684789181,0.0
1/30,7/20,1400,140000,168.5629599094391,3710.1603751182556,397.32541984319687,126.66914271563292,0.0
1/30,8/20,1450,145000,165.47664403915405,3652.506716489792,416.9520739465952,129.09350368380547,0.0
1/30,9/20,1500,150000,167.43451237678528,3609.578711271286,387.91097532212734,128.8919639736414,0.0
1/30,10/20,1550,155000,165.1105968952179,3518.299622774124,384.98941695690155,125.616603679955,0.0
1/30,11/20,1600,160000,166.35756254196167,3514.0363895893097,401.9710166454315,127.50918719172478,0.0
1/30,12/20,1650,165000,171.14387273788452,3490.1305685043335,412.12264746427536,127.02072899788618,0.0
1/30,13/20,1700,170000,173.5345332622528,3503.8576424121857,425.87056033313274,125.52544843405485,0.0
1/30,14/20,1750,175000,172.96492862701416,3546.0959911346436,412.88419680297375,125.94242752343416,0.01
1/30,15/20,1800,180000,170.53745007514954,3517.655204296112,395.3921408057213,128.13982182741165,0.0
1/30,16/20,1850,185000,172.3598210811615,3486.616807460785,421.05426716804504,128.23762824386358,0.01
1/30,17/20,1900,190000,169.124037027359,3472.1723647117615,390.4485985785723,126.0533561706543,0.0
1/30,18/20,1950,195000,171.16383862495422,3442.263836145401,417.03767535090446,126.07181283086538,0.0
1/30,19/20,2000,200000,171.15918588638306,3445.1629469394684,386.67501010000706,126.216018602252,0.0
2/30,0/20,2050,205000,172.16837430000305,3470.7248010635376,388.24288526177406,124.54207822680473,0.0
2/30,1/20,2100,210000,170.56449246406555,3435.333881378174,389.3145591914654,123.3816835731268,0.0
2/30,2/20,2150,215000,170.6321291923523,3372.4927217960358,391.12035082280636,125.25019553303719,0.0
2/30,3/20,2200,220000,170.4482443332672,3404.696511745453,406.72887812554836,128.36461973935366,0.0
2/30,4/20,2250,225000,168.56800270080566,3411.4330184459686,430.2188786268234,123.68537595123053,0.0
2/30,5/20,2300,230000,172.37332582473755,3385.0077834129333,406.9743803143501,123.4543864056468,0.0
2/30,6/20,2350,235000,166.31976509094238,3328.0697309970856,379.9826956242323,124.41226615011692,0.0
2/30,7/20,2400,240000,166.43770503997803,3306.7727501392365,393.0015643835068,124.58025439828634,0.0
2/30,8/20,2450,245000,164.5891387462616,3295.423808336258,385.7654785513878,123.98362339287996,0.0
2/30,9/20,2500,250000,164.6629514694214,3315.9961400032043,402.4298464357853,124.47405719012022,0.0
2/30,10/20,2550,255000,167.49600505828857,3284.638428926468,418.25873823463917,125.3677750825882,0.0
2/30,11/20,2600,260000,167.6472737789154,3279.4960696697235,408.09259708225727,122.12776068598032,0.0
2/30,12/20,2650,265000,167.69588017463684,3260.8087339401245,424.97180426865816,122.66006710380316,0.0
2/30,13/20,2700,270000,168.21401262283325,3240.4844422340393,412.97301253676414,120.27031714469194,0.0
2/30,14/20,2750,275000,167.7169086933136,3244.7246463298798,395.27618953585625,118.13510085642338,0.0
2/30,15/20,2800,280000,166.86251783370972,3221.0756261348724,425.86657916009426,118.54173223674297,0.0
2/30,16/20,2850,285000,167.21752452850342,3237.2430622577667,380.90823508799076,117.4764219969511,0.0
2/30,17/20,2900,290000,166.3720486164093,3193.5857124328613,396.4469874352217,116.91206535696983,0.0
2/30,18/20,2950,295000,166.3400640487671,3154.200070619583,419.6121620684862,117.72840954363346,0.0
2/30,19/20,3000,300000,164.7271966934204,3140.8774297237396,391.0931953713298,117.13407801091671,0.0
3/30,0/20,3050,305000,165.45761966705322,3116.4485943317413,386.9935621023178,116.05303433537483,0.0
3/30,1/20,3100,310000,167.46332931518555,3100.302611351013,427.69566325843334,115.69659077376127,0.0
3/30,2/20,3150,315000,165.04951930046082,3051.162060022354,369.98514407873154,115.22194508463144,0.0
3/30,3/20,3200,320000,167.8811891078949,2996.7085456848145,354.0423799008131,116.53063726425171,0.0
3/30,4/20,3250,325000,169.65780591964722,2980.9266953468323,379.03404051810503,116.89969348162413,0.0
3/30,5/20,3300,330000,170.94086384773254,2923.19129049778,368.88534696400166,115.90943060070276,0.0
3/30,6/20,3350,335000,172.2724483013153,2916.9298095703125,381.7427202165127,114.5277334973216,0.0
3/30,7/20,3400,340000,170.31781911849976,2916.828674554825,372.79175305366516,115.48032939434052,0.0
3/30,8/20,3450,345000,169.0703957080841,2929.99391579628,373.1560300886631,112.6639670804143,0.0
3/30,9/20,3500,350000,172.2106351852417,2901.6296688318253,398.69040796905756,114.80883734673262,0.0
3/30,10/20,3550,355000,169.75213313102722,2894.4893699884415,351.2307552397251,114.83211491256952,0.0
3/30,11/20,3600,360000,167.944344997406,2876.9137686491013,359.01070825755596,112.45303826779127,0.0
3/30,12/20,3650,365000,172.60929465293884,2907.992348909378,369.2395653501153,110.40451581776142,0.0
3/30,13/20,3700,370000,171.0796241760254,2937.7391486167908,392.34411983191967,109.90627382695675,0.0
3/30,14/20,3750,375000,166.89044857025146,2992.3092490434647,368.9421173632145,111.18916685134172,0.0
3/30,15/20,3800,380000,167.2348415851593,2974.943030834198,374.5046572983265,112.59040381759405,0.0
3/30,16/20,3850,385000,170.5375897884369,2945.4372242689133,356.8008471727371,113.49405352026224,0.0
3/30,17/20,3900,390000,168.63068008422852,2923.933584332466,378.3186401799321,110.83238791674376,0.0
3/30,18/20,3950,395000,167.20715236663818,2923.0050880908966,386.9156630784273,113.65006032586098,0.0
3/30,19/20,4000,400000,169.29026889801025,2918.1505279541016,386.216204598546,114.58653405308723,0.0
4/30,0/20,4050,405000,170.36990189552307,2881.5181703567505,364.10351806879044,112.80893292278051,0.0
4/30,1/20,4100,410000,168.80658602714539,2859.0046050548553,354.25643713772297,109.84112805128098,0.0
4/30,2/20,4150,415000,170.79053735733032,2822.021803379059,375.03392377495766,111.98120899498463,0.0
