Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,34.130780935287476,,,,0.0
0/30,1/20,100,10000,146.743084192276,3.7054160833358765,6.343554820865393,0.21086372225545347,0.0
0/30,2/20,150,15000,164.98856353759766,25.151230476330966,610.8420609533787,4.861367461271584,0.0
0/30,3/20,200,20000,167.35094690322876,20.42930013081059,1094.7850958108902,12.620199934346601,0.0
0/30,4/20,250,25000,167.6271231174469,32.802619986236095,1470.8177204728127,27.0734083596617,0.0
0/30,5/20,300,30000,167.7304549217224,45.47530542127788,1772.3338077068329,33.63931043539196,0.0
0/30,6/20,350,35000,169.67517685890198,58.43895763903856,2131.50779569149,34.44993506371975,0.0
0/30,7/20,400,40000,169.4899387359619,76.11094089969993,2413.866269469261,39.18942159228027,0.0
0/30,8/20,450,45000,165.06216859817505,94.64131029881537,2676.9887466430664,41.885111881420016,0.0
0/30,9/20,500,50000,165.7433795928955,112.34287972189486,2918.805466890335,51.34364032372832,0.0
0/30,10/20,550,55000,165.57987475395203,120.01564340293407,3128.7340972423553,55.69382849149406,0.0
0/30,11/20,600,60000,166.7709939479828,127.03823575936258,3371.3891863822937,57.579908683896065,0.0
0/30,12/20,650,65000,164.41791605949402,150.30390784144402,3565.6483964920044,58.31198116019368,0.0
0/30,13/20,700,70000,165.30654525756836,193.62203139439225,3776.1354954242706,65.5860620290041,0.0
0/30,14/20,750,75000,168.52550649642944,223.42281649634242,3890.7729935646057,71.85997658222914,0.0
0/30,15/20,800,80000,169.19608902931213,239.01100150495768,4013.6760292053223,74.72450675442815,0.0
0/30,16/20,850,85000,168.00880360603333,252.50328371673822,4090.356148004532,76.60361736640334,0.0
0/30,17/20,900,90000,169.94683480262756,263.80948470532894,4161.724294662476,78.98115174099803,0.0
0/30,18/20,950,95000,170.97870802879333,282.1648184135556,4191.629300117493,86.42254630103707,0.0
0/30,19/20,1000,100000,168.046080827713,333.0461994186044,4196.489903688431,93.00300669670105,0.0
1/30,0/20,1050,105000,171.78567337989807,349.6579931601882,4146.649530887604,93.31008364632726,0.0
1/30,1/20,1100,110000,172.15338706970215,357.84009151160717,4153.427921056747,93.38878194987774,0.0
1/30,2/20,1150,115000,171.87472105026245,392.18682396411896,4159.53169631958,96.63183690607548,0.01
1/30,3/20,1200,120000,172.02585172653198,396.17272117733955,4179.281439065933,103.5347731038928,0.0
1/30,4/20,1250,125000,172.16224932670593,400.42266178131104,4112.620887756348,108.27223870158195,0.0
1/30,5/20,1300,130000,171.47365593910217,429.45737467706203,4141.882165193558,106.98328382521868,0.0
1/30,6/20,1350,135000,172.28362464904785,438.64111237227917,4111.704948425293,108.7470958456397,0.0
1/30,7/20,1400,140000,169.77980852127075,454.37681686878204,4156.388162136078,113.42225675284863,0.0
1/30,8/20,1450,145000,170.3875744342804,443.0943169891834,4137.479965925217,115.03517546504736,0.02
1/30,9/20,1500,150000,173.70464992523193,441.2730124145746,4096.604280948639,119.94821285456419,0.0
1/30,10/20,1550,155000,174.66802954673767,455.655719101429,4022.2539644241333,122.49469359964132,0.0
1/30,11/20,1600,160000,170.13477516174316,491.55205841362476,3951.7124078273773,122.23911476880312,0.0
1/30,12/20,1650,165000,169.2282989025116,453.0045423656702,3868.3029203414917,122.85554050654173,0.01
1/30,13/20,1700,170000,170.8395640850067,451.78016382455826,3827.599016189575,120.63091596961021,0.0
1/30,14/20,1750,175000,173.1342737674713,453.1998547911644,3837.9102458953857,119.21734082698822,0.0
1/30,15/20,1800,180000,173.8809154033661,461.4682690948248,3800.1071565151215,121.21965247392654,0.0
1/30,16/20,1850,185000,174.58360123634338,473.9655589610338,3796.4891126155853,124.95420601963997,0.0
1/30,17/20,1900,190000,176.11864805221558,475.21387957036495,3790.3792831897736,127.2958465591073,0.0
1/30,18/20,1950,195000,172.364599943161,494.136131554842,3741.894702911377,125.81347967684269,0.0
1/30,19/20,2000,200000,175.27278780937195,477.5772076845169,3686.275956392288,125.61817552894354,0.0
2/30,0/20,2050,205000,176.87784671783447,493.9101953059435,3686.010705947876,129.1118438988924,0.0
2/30,1/20,2100,210000,178.55838894844055,480.7596420943737,3699.324069261551,123.68890739232302,0.0
2/30,2/20,2150,215000,173.30254650115967,491.44558514654636,3672.473117828369,127.41430115699768,0.0
2/30,3/20,2200,220000,174.3787899017334,482.201694175601,3615.599087715149,128.3870444148779,0.0
2/30,4/20,2250,225000,174.79014039039612,482.2057863175869,3624.772558450699,125.35901647806168,0.0
2/30,5/20,2300,230000,174.23486852645874,472.70397885143757,3607.780714035034,128.8908947557211,0.01
2/30,6/20,2350,235000,172.63529777526855,470.7491004765034,3593.6728076934814,126.7095752209425,0.0
2/30,7/20,2400,240000,172.12336468696594,435.966384857893,3542.588390827179,127.38091456890106,0.0
2/30,8/20,2450,245000,170.68695402145386,454.489692017436,3518.4598438739777,128.69417970627546,0.0
2/30,9/20,2500,250000,171.06825995445251,454.3628748804331,3511.228059053421,126.7513645067811,0.0
2/30,10/20,2550,255000,170.67041110992432,456.37780590355396,3517.4576468467712,122.0371301472187,0.0
2/30,11/20,2600,260000,167.35671877861023,416.7657378911972,3524.444415807724,122.73804999142885,0.0
2/30,12/20,2650,265000,167.71096205711365,435.4078696221113,3517.5303723812103,123.03637261688709,0.0
2/30,13/20,2700,270000,171.62636065483093,429.29200507700443,3470.942034482956,123.81702311336994,0.0
2/30,14/20,2750,275000,176.59576106071472,440.4479445517063,3480.2715656757355,123.46931293606758,0.0
2/30,15/20,2800,280000,166.96913290023804,455.12276588380337,3461.12163066864,126.4636008515954,0.0
2/30,16/20,2850,285000,167.79911708831787,447.1313231140375,3430.8978128433228,124.84157808870077,0.0
2/30,17/20,2900,290000,171.77334761619568,438.101609647274,3410.371880054474,122.39026986807585,0.0
