Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,33.68919062614441,,,,0.0
0/30,1/20,100,10000,152.10231828689575,7.250404737889767,3.3749996572732925,0.2994095734320581,0.0
0/30,2/20,150,15000,175.1516308784485,627.6944064795971,23.047421381808817,3.497092282399535,0.0
0/30,3/20,200,20000,179.11606168746948,1104.6862360835075,20.594757681712508,11.682576249353588,0.0
0/30,4/20,250,25000,179.64286518096924,1468.9593051671982,37.43959957920015,28.20033012609929,0.0
0/30,5/20,300,30000,179.91476941108704,1794.567792057991,59.71448011416942,36.267577739432454,0.0
0/30,6/20,350,35000,177.73182034492493,2147.719678401947,73.15856198780239,41.438429087400436,0.0
0/30,7/20,400,40000,181.24876499176025,2412.960950732231,94.54940055124462,44.394976533949375,0.0
0/30,8/20,450,45000,183.88195633888245,2705.638767004013,107.25823771581054,44.86743027344346,0.0
0/30,9/20,500,50000,184.02241492271423,2952.0677144527435,135.21376626193523,50.05030499957502,0.0
0/30,10/20,550,55000,181.34214878082275,3186.743447780609,140.72822818532586,55.01546773687005,0.0
0/30,11/20,600,60000,181.63603591918945,3364.598701953888,169.70880318433046,59.785846173763275,0.0
0/30,12/20,650,65000,182.2144055366516,3544.718114733696,200.74104909971356,64.67063494771719,0.0
0/30,13/20,700,70000,184.00746726989746,3724.12575507164,240.98212871700525,70.98246859759092,0.0
0/30,14/20,750,75000,182.5942738056183,3855.51881980896,284.85274094343185,82.08000334352255,0.0
0/30,15/20,800,80000,182.05525851249695,3905.5101397037506,299.7023520693183,89.27261400595307,0.0
0/30,16/20,850,85000,182.54878211021423,3933.3684587478638,320.8068063631654,91.25620659440756,0.0
0/30,17/20,900,90000,182.88460993766785,3909.6078193187714,341.2836350649595,97.6355741545558,0.0
0/30,18/20,950,95000,185.38186812400818,3879.361380815506,380.9432484731078,98.60042934119701,0.0
0/30,19/20,1000,100000,184.78027844429016,3859.8457250595093,390.6884279102087,103.24219895899296,0.0
1/30,0/20,1050,105000,184.07127404212952,3810.2282679080963,403.7944432646036,109.86225857585669,0.0
1/30,1/20,1100,110000,182.86019015312195,3798.3889849185944,427.0283984094858,115.03475913405418,0.0
1/30,2/20,1150,115000,182.2575752735138,3770.6479754447937,427.6330138295889,112.75696869194508,0.0
