Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/30,0/20,50,5000,34.56492567062378,,,,0.0
0/30,1/20,100,10000,145.2019121646881,11.549420148134232,0.23645109171047807,3.9274486899375916,0.0
0/30,2/20,150,15000,171.99210929870605,791.721148788929,6.207689601229504,33.52402742858976,0.0
0/30,3/20,200,20000,174.37027168273926,1201.0640367269516,12.07066291780211,22.56202254118398,0.0
0/30,4/20,250,25000,174.73236560821533,1575.7791619300842,35.78758168127388,37.66747810225934,0.0
0/30,5/20,300,30000,172.6307349205017,1852.2041013240814,41.066525999456644,49.04613924585283,0.0
0/30,6/20,350,35000,177.41728281974792,2148.2362738847733,44.01360967196524,66.97906539589167,0.0
0/30,7/20,400,40000,177.7736394405365,2463.576502919197,51.300720697268844,97.04063960909843,0.0
0/30,8/20,450,45000,174.68582320213318,2760.596318602562,55.007578479126096,111.96373761817813,0.0
0/30,9/20,500,50000,175.22183060646057,3025.1903784275055,59.346063897013664,125.2666082419455,0.0
0/30,10/20,550,55000,177.83998274803162,3241.6638498306274,63.8640450835228,149.2175162024796,0.0
0/30,11/20,600,60000,175.38569927215576,3485.6386654376984,73.21656019985676,198.76969721913338,0.0
0/30,12/20,650,65000,177.4997420310974,3664.366463661194,77.53650996088982,223.12224419414997,0.0
0/30,13/20,700,70000,176.1028289794922,3788.2623982429504,85.71934960409999,271.3836004510522,0.0
0/30,14/20,750,75000,178.51125359535217,3912.202337741852,91.82048413902521,326.1427529901266,0.0
0/30,15/20,800,80000,179.46917581558228,3971.0492091178894,98.947663590312,362.4736787825823,0.0
0/30,16/20,850,85000,181.0498764514923,3997.5864312648773,105.6827411800623,424.2034032046795,0.0
0/30,17/20,900,90000,179.00041103363037,3925.5366520881653,107.53084030747414,386.5709350556135,0.0
0/30,18/20,950,95000,178.06737065315247,3932.9709215164185,114.48620932549238,412.32751746475697,0.0
0/30,19/20,1000,100000,177.8911578655243,3875.1417758464813,118.98318034410477,431.7755373865366,0.0
1/30,0/20,1050,105000,179.6698169708252,3863.0324618816376,114.14040883630514,425.68198668956757,0.0
1/30,1/20,1100,110000,179.35156083106995,3818.6023671627045,117.75313656032085,445.43734012544155,0.0
1/30,2/20,1150,115000,179.31309914588928,3791.6206867694855,123.81894958019257,437.05390422046185,0.0
1/30,3/20,1200,120000,179.58945631980896,3785.2800245285034,121.92288149148226,437.449953481555,0.0
1/30,4/20,1250,125000,178.14545440673828,3763.0717129707336,123.99817611277103,437.7533027231693,0.0
1/30,5/20,1300,130000,176.7181875705719,3725.7276067733765,121.24403005838394,422.66908226907253,0.0
1/30,6/20,1350,135000,181.2433795928955,3760.0787885189056,128.95936876535416,456.9124141186476,0.0
1/30,7/20,1400,140000,181.18824410438538,3753.60271525383,123.88808749616146,475.2084065079689,0.0
1/30,8/20,1450,145000,180.82374238967896,3780.3712496757507,126.12840549647808,486.1964658200741,0.0
1/30,9/20,1500,150000,181.2104847431183,3746.237363576889,124.63872244209051,478.5381329357624,0.01
1/30,10/20,1550,155000,182.8092954158783,3783.4859461784363,124.69165074080229,491.58686454594135,0.01
1/30,11/20,1600,160000,181.69567394256592,3798.367083787918,128.22254119068384,439.5976637303829,0.0
1/30,12/20,1650,165000,180.94613432884216,3803.715163230896,127.97885093092918,454.51167868077755,0.0
1/30,13/20,1700,170000,180.64564871788025,3776.501828432083,123.11906452476978,469.0531040877104,0.0
1/30,14/20,1750,175000,180.74547266960144,3770.2972712516785,127.46117812395096,474.84006837010384,0.0
1/30,15/20,1800,180000,179.4064426422119,3740.2951426506042,129.68727818131447,501.89102424681187,0.0
1/30,16/20,1850,185000,179.32477045059204,3722.319125890732,130.8841038197279,463.5205891728401,0.0
1/30,17/20,1900,190000,178.35323405265808,3682.481332063675,131.07507721334696,475.09009642899036,0.0
1/30,18/20,1950,195000,180.45525360107422,3672.943805217743,126.96206939965487,483.72757636010647,0.0
1/30,19/20,2000,200000,181.4478280544281,3684.7191877365112,127.97372067719698,503.6943249553442,0.0
2/30,0/20,2050,205000,178.98109936714172,3682.995227098465,128.495740480721,468.71216155588627,0.0
2/30,1/20,2100,210000,177.53301310539246,3653.2981250286102,128.51833648234606,457.7750234603882,0.0
2/30,2/20,2150,215000,180.3920202255249,3640.569649219513,130.63091026246548,453.1843748688698,0.0
2/30,3/20,2200,220000,178.6986644268036,3561.7316756248474,129.3922223597765,446.0995215922594,0.0
2/30,4/20,2250,225000,179.77945709228516,3542.8823339939117,129.67800146341324,432.22429314255714,0.0
2/30,5/20,2300,230000,179.65122723579407,3562.350622177124,130.72252252697945,431.0216252505779,0.0
2/30,6/20,2350,235000,179.0514235496521,3503.9671683311462,129.58293218165636,399.8792383670807,0.0
2/30,7/20,2400,240000,178.95738911628723,3489.025779247284,132.90897607058287,405.20073218643665,0.0
2/30,8/20,2450,245000,178.68125581741333,3499.9269273281097,131.89439187943935,431.3282166570425,0.0
2/30,9/20,2500,250000,177.2268762588501,3491.340117454529,129.3967759385705,425.3410441875458,0.0
2/30,10/20,2550,255000,179.1847541332245,3489.140525817871,130.9133413657546,441.09302519261837,0.0
