Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/30,0/20,50,5000,33.87473750114441,,,,0.0
0/30,1/20,100,10000,145.5698206424713,0.2063845405355096,3.9710871502757072,7.553615722805262,0.0
0/30,2/20,150,15000,168.77585983276367,5.342357196379453,23.712770191486925,617.4713189601898,0.0
0/30,3/20,200,20000,168.45096731185913,11.607346611563116,17.966440414078534,1109.1417717933655,0.0
0/30,4/20,250,25000,170.10571670532227,25.49396528955549,29.56593660544604,1484.5204439163208,0.0
0/30,5/20,300,30000,168.06695079803467,32.598421562463045,42.819308082573116,1825.7834153175354,0.0
0/30,6/20,350,35000,167.5452036857605,39.20163064263761,61.209361707791686,2129.2978175878525,0.0
0/30,7/20,400,40000,172.79772448539734,44.16932284832001,78.30297214724123,2375.295884490013,0.0
0/30,8/20,450,45000,170.7070872783661,50.94828897155821,99.43562846258283,2570.68310713768,0.0
0/30,9/20,500,50000,174.86693692207336,59.57384942099452,135.4625661186874,2806.8071500062943,0.0
0/30,10/20,550,55000,173.48481345176697,66.04063590988517,148.1645379923284,3094.7841181755066,0.0
0/30,11/20,600,60000,170.3648328781128,69.83462485671043,177.16171253100038,3280.9995262622833,0.0
0/30,12/20,650,65000,172.60883402824402,71.64431749284267,228.6674863398075,3466.1030168533325,0.0
0/30,13/20,700,70000,170.94332909584045,80.4047570079565,272.72342447191477,3629.3867557048798,0.0
0/30,14/20,750,75000,167.93684363365173,89.11141696572304,285.16774920374155,3767.3778190612793,0.0
0/30,15/20,800,80000,172.09919452667236,90.02781828865409,298.6115862503648,3953.836155653,0.0
0/30,16/20,850,85000,170.10167145729065,94.50859643518925,359.3663990572095,4039.0535073280334,0.0
0/30,17/20,900,90000,168.21057534217834,107.35174276679754,396.1585959047079,4039.976099252701,0.0
0/30,18/20,950,95000,166.35470390319824,106.82932870835066,385.1717702001333,4039.211154937744,0.01
0/30,19/20,1000,100000,168.6488800048828,111.63379793614149,415.2277057170868,4066.894567966461,0.0
1/30,0/20,1050,105000,166.63699460029602,109.85300720483065,409.0189335644245,4085.1141839027405,0.0
1/30,1/20,1100,110000,169.962233543396,117.52672233432531,417.70196092128754,4073.495193004608,0.0
1/30,2/20,1150,115000,169.04587125778198,119.33988365530968,428.82448510825634,4002.463801383972,0.0
1/30,3/20,1200,120000,168.84906935691833,124.461758621037,439.66292479634285,3955.879616498947,0.0
1/30,4/20,1250,125000,170.99724459648132,124.02288183569908,428.5538782477379,3907.242790699005,0.0
1/30,5/20,1300,130000,171.89288568496704,121.74753997474909,433.4355527162552,3858.506457090378,0.0
1/30,6/20,1350,135000,173.07710027694702,121.45541132986546,424.78219881653786,3868.129677772522,0.0
1/30,7/20,1400,140000,171.80575513839722,123.98577041178942,443.5843927562237,3854.826776266098,0.0
1/30,8/20,1450,145000,169.04697442054749,127.37861780822277,446.56074188649654,3848.391768217087,0.01
1/30,9/20,1500,150000,169.2799744606018,122.39031727612019,458.7734032422304,3828.28896856308,0.0
1/30,10/20,1550,155000,172.25252151489258,121.37957340478897,465.36931824684143,3808.0227518081665,0.0
1/30,11/20,1600,160000,172.00989985466003,121.36610949039459,440.195488974452,3701.1647396087646,0.0
1/30,12/20,1650,165000,171.41474962234497,124.67088395357132,435.73599925637245,3728.294798851013,0.0
1/30,13/20,1700,170000,171.06740379333496,123.40240558981895,430.745982632041,3724.432614803314,0.0
1/30,14/20,1750,175000,169.4888322353363,126.19950342923403,449.061831176281,3740.8003854751587,0.0
1/30,15/20,1800,180000,171.46115922927856,125.16148656606674,436.8658225685358,3746.508045434952,0.0
1/30,16/20,1850,185000,170.88488006591797,121.10765040665865,451.9928629696369,3703.9447968006134,0.0
1/30,17/20,1900,190000,171.07985711097717,122.08459336310625,434.02007184922695,3661.945595741272,0.0
1/30,18/20,1950,195000,170.72506403923035,120.73768831789494,442.16256181895733,3633.087557554245,0.0
1/30,19/20,2000,200000,168.43946504592896,124.27309415489435,432.5504510104656,3624.215964078903,0.0
2/30,0/20,2050,205000,169.35202312469482,126.03518237173557,438.67565037310123,3624.36754155159,0.0
2/30,1/20,2100,210000,168.75343441963196,124.3762633651495,451.8814006894827,3537.859198331833,0.0
2/30,2/20,2150,215000,169.73995089530945,124.82826394587755,430.65203998982906,3544.483499765396,0.0
2/30,3/20,2200,220000,168.74356532096863,122.88904633373022,423.46623633801937,3501.7277936935425,0.0
2/30,4/20,2250,225000,165.96030378341675,120.71102511882782,387.74402453005314,3477.698925971985,0.0
2/30,5/20,2300,230000,167.6643512248993,119.04526040703058,408.5056027173996,3437.2824268341064,0.0
2/30,6/20,2350,235000,166.15347981452942,117.39117223024368,431.06441064178944,3442.7244832515717,0.0
2/30,7/20,2400,240000,166.68217015266418,120.3969195112586,407.4619532376528,3407.1657133102417,0.0
2/30,8/20,2450,245000,168.16985440254211,119.38892568647861,422.33494125306606,3428.825762987137,0.0
2/30,9/20,2500,250000,167.79425930976868,118.93137563765049,409.77250166237354,3408.456701040268,0.0
2/30,10/20,2550,255000,169.4573574066162,121.39938780665398,381.8903722912073,3343.6602001190186,0.0
2/30,11/20,2600,260000,170.091046333313,119.22068694233894,358.85479237139225,3364.072726249695,0.0
2/30,12/20,2650,265000,171.02027797698975,119.4209049642086,402.5650303661823,3330.20072555542,0.0
2/30,13/20,2700,270000,172.12093448638916,121.22549553215504,375.04852221906185,3332.949596643448,0.0
2/30,14/20,2750,275000,170.55647659301758,116.37278175354004,393.19970720261335,3328.1824989318848,0.0
2/30,15/20,2800,280000,171.41996669769287,113.68804280459881,404.21047769486904,3315.5109848976135,0.0
2/30,16/20,2850,285000,171.7107129096985,113.47898381948471,428.9224651157856,3317.0030970573425,0.0
