Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,33.952208280563354,,,,0.0
0/30,1/20,100,10000,36.66413402557373,3.6272639632225037,9.315541535615921,0.2549921302124858,0.0
0/30,2/20,150,15000,62.093087673187256,26.45381551515311,693.5500344336033,4.835900355130434,0.0
0/30,3/20,200,20000,56.17818856239319,19.864216999616474,1115.3310084939003,10.56536139617674,0.0
0/30,4/20,250,25000,56.66528248786926,32.84833054803312,1495.5418081879616,25.970730444416404,0.0
0/30,5/20,300,30000,62.45109510421753,45.11331273056567,1892.0584888458252,32.38433716446161,0.0
0/30,6/20,350,35000,60.90905737876892,57.180544334463775,2227.6075097322464,35.26445591263473,0.0
0/30,7/20,400,40000,58.95506691932678,98.13312448002398,2521.204958319664,41.74463053420186,0.0
0/30,8/20,450,45000,63.56152868270874,121.35428499616683,2805.57724404335,57.13011513091624,0.0
0/30,9/20,500,50000,58.9634428024292,139.0791602395475,3040.37744641304,69.982854321599,0.0
0/30,10/20,550,55000,59.703747272491455,166.04723501577973,3286.4629712104797,76.7146966792643,0.0
0/30,11/20,600,60000,66.00739288330078,178.74312329292297,3459.759330034256,76.34042026475072,0.0
0/30,12/20,650,65000,61.32954978942871,208.62329917401075,3651.611776828766,80.79215865954757,0.0
0/30,13/20,700,70000,61.00227189064026,232.57303818315268,3761.2046525478363,85.64148815348744,0.0
0/30,14/20,750,75000,63.89833402633667,273.7476202696562,3923.625858068466,91.44302167743444,0.0
0/30,15/20,800,80000,60.60694980621338,313.54527968913317,4066.658916950226,99.66340342909098,0.0
0/30,16/20,850,85000,60.94379997253418,365.6230658888817,4085.7713837623596,109.38338423520327,0.0
0/30,17/20,900,90000,63.78178286552429,422.59627094864845,4005.6132254600525,121.45839785784483,0.0
0/30,18/20,950,95000,60.94823741912842,412.23514188826084,3870.9956583976746,123.67045758664608,0.0
0/30,19/20,1000,100000,59.31958627700806,380.32214887440205,3757.7032306194305,124.57189899682999,0.0
1/30,0/20,1050,105000,64.97428917884827,389.89727026969194,3698.8518307209015,123.9433496594429,0.0
1/30,1/20,1100,110000,60.98588514328003,401.56700226664543,3733.330550432205,120.95141660422087,0.0
1/30,2/20,1150,115000,59.335870027542114,407.80540500581264,3715.6603095531464,121.5562903508544,0.0
1/30,3/20,1200,120000,64.39299154281616,384.85994482040405,3620.107494831085,125.94650469720364,0.0
1/30,4/20,1250,125000,60.642807722091675,392.58487175405025,3648.9601023197174,125.67144503444433,0.0
1/30,5/20,1300,130000,60.64011836051941,422.6787719875574,3595.968913078308,125.4450856000185,0.0
1/30,6/20,1350,135000,64.69324159622192,418.86240424215794,3572.5799458026886,125.9057155251503,0.0
1/30,7/20,1400,140000,60.41620206832886,410.66949555277824,3580.1509380340576,128.4766315743327,0.0
1/30,8/20,1450,145000,60.70398664474487,413.73168057203293,3528.884851694107,129.8022479787469,0.0
1/30,9/20,1500,150000,65.15786147117615,412.284588560462,3512.4921531677246,131.68128408491611,0.0
1/30,10/20,1550,155000,59.847251415252686,405.4509654343128,3456.754474401474,130.03976575285196,0.0
1/30,11/20,1600,160000,59.60070085525513,413.345590993762,3430.1652295589447,130.0218494310975,0.0
1/30,12/20,1650,165000,64.22046995162964,408.7077646702528,3329.428564786911,134.3640011101961,0.0
1/30,13/20,1700,170000,60.937724351882935,397.8243259936571,3262.016800403595,131.28513702005148,0.0
1/30,14/20,1750,175000,58.4733772277832,384.7601576447487,3239.789806365967,130.77425504475832,0.0
1/30,15/20,1800,180000,62.84794616699219,376.0670300722122,3199.4536879062653,129.03614380955696,0.0
1/30,16/20,1850,185000,57.690467834472656,369.19476303458214,3203.25012755394,127.36629194021225,0.0
1/30,17/20,1900,190000,58.02116942405701,339.92531046271324,3206.2131474018097,130.49564719945192,0.0
1/30,18/20,1950,195000,62.909459829330444,355.2667743265629,3169.266473531723,128.68155712634325,0.0
1/30,19/20,2000,200000,60.61298155784607,353.7024271786213,3185.758093357086,124.92175334692001,0.0
2/30,0/20,2050,205000,59.877567768096924,374.2297575324774,3147.581068277359,124.24720316380262,0.0
2/30,1/20,2100,210000,64.13027954101562,365.84730894863605,3136.836025118828,124.39830507338047,0.0
2/30,2/20,2150,215000,60.87961220741272,348.438743442297,3097.4993315935135,125.25589930266142,0.0
2/30,3/20,2200,220000,60.27286672592163,337.5163407176733,3059.3768943548203,123.59476089477539,0.0
2/30,4/20,2250,225000,63.656569957733154,351.7460997775197,3070.6177427768707,123.30773276090622,0.0
2/30,5/20,2300,230000,63.66335582733154,353.5140480697155,3026.652170419693,124.18009714782238,0.0
2/30,6/20,2350,235000,62.077858448028564,361.7205324470997,3038.9157288074493,122.74240023642778,0.0
2/30,7/20,2400,240000,65.62792921066284,392.8925612717867,3064.875117778778,123.9836061373353,0.0
2/30,8/20,2450,245000,62.832345485687256,359.7375880032778,3044.3154017925262,123.13621926307678,0.0
2/30,9/20,2500,250000,60.36180567741394,359.2186605259776,3056.951994419098,122.24851136654615,0.0
2/30,10/20,2550,255000,64.77116584777832,338.9983341395855,3025.148497104645,121.73014041781425,0.0
2/30,11/20,2600,260000,59.676151514053345,347.1976201236248,2981.8953107595444,121.01784157007933,0.0
2/30,12/20,2650,265000,58.87004041671753,336.8912574648857,2948.543748497963,120.41292491555214,0.0
2/30,13/20,2700,270000,63.78826856613159,326.90427707880735,2909.74935901165,117.38696082681417,0.0
2/30,14/20,2750,275000,61.083165407180786,366.7916998118162,2913.470489382744,117.64393837749958,0.0
2/30,15/20,2800,280000,60.30783772468567,337.9508084207773,2912.8775614500046,116.77947045862675,0.0
2/30,16/20,2850,285000,64.07422351837158,351.3497630506754,2974.6799507141113,117.7404225319624,0.0
2/30,17/20,2900,290000,59.83793663978577,354.8245892971754,2985.3039634227753,119.71363107860088,0.0
2/30,18/20,2950,295000,59.338683128356934,339.98076117038727,2958.8430745601654,116.1660708039999,0.0
2/30,19/20,3000,300000,63.867292642593384,360.2967312335968,2956.680896759033,119.09500583261251,0.0
3/30,0/20,3050,305000,60.921804428100586,393.6183734163642,2914.64775288105,119.49274650216103,0.0
3/30,1/20,3100,310000,59.2846953868866,348.8696328625083,2906.608741879463,115.26865559071302,0.0
3/30,2/20,3150,315000,65.62605690956116,323.270018003881,2932.629551053047,114.3105386197567,0.0
3/30,3/20,3200,320000,61.048282623291016,334.3121928796172,2907.7145615816116,115.49439495801926,0.0
3/30,4/20,3250,325000,62.71184802055359,348.5669321268797,2867.426293492317,117.66135405004025,0.0
3/30,5/20,3300,330000,60.87250900268555,335.9325143620372,2884.8515778779984,116.9380592033267,0.0
3/30,6/20,3350,335000,59.937066316604614,362.3000256419182,2855.77086019516,115.0246843919158,0.0
3/30,7/20,3400,340000,61.835928201675415,345.77921736985445,2895.4113924503326,114.34654783457518,0.0
3/30,8/20,3450,345000,58.31030559539795,326.58527817577124,2844.9839309453964,112.87696953117847,0.0
3/30,9/20,3500,350000,60.78131127357483,333.17055094242096,2859.988232731819,112.8807632625103,0.0
3/30,10/20,3550,355000,60.757628202438354,319.4937305152416,2891.24265062809,109.88800232857466,0.0
3/30,11/20,3600,360000,60.988797187805176,348.70664793998003,2854.134733557701,112.57557152211666,0.0
3/30,12/20,3650,365000,63.909067153930664,336.6207535266876,2845.850667834282,113.31298176199198,0.0
3/30,13/20,3700,370000,60.01599168777466,316.11770917475224,2796.7465587854385,111.90560369193554,0.0
3/30,14/20,3750,375000,60.111135721206665,332.1317719295621,2796.7396224737167,112.39692316949368,0.0
3/30,15/20,3800,380000,66.33305191993713,309.4498131200671,2764.259511113167,110.56802704930305,0.0
3/30,16/20,3850,385000,60.271780252456665,352.6487445086241,2760.075883746147,111.13158546388149,0.0
3/30,17/20,3900,390000,59.174829721450806,317.66468876600266,2769.5395827293396,113.36975631862879,0.0
3/30,18/20,3950,395000,66.40635848045349,366.2803948521614,2725.377564430237,110.90474155545235,0.0
3/30,19/20,4000,400000,62.12441873550415,362.2388472855091,2763.0877104997635,110.44712223112583,0.0
4/30,0/20,4050,405000,59.27590370178223,334.2857219055295,2721.2113919258118,111.80312088131905,0.0
4/30,1/20,4100,410000,65.79032802581787,347.15526266396046,2743.206308245659,110.57806907594204,0.0
4/30,2/20,4150,415000,60.666457414627075,327.4811999499798,2737.968111872673,111.33155950903893,0.0
4/30,3/20,4200,420000,61.44248962402344,312.8657122030854,2718.9901527166367,111.28525657951832,0.0
