Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/30,0/20,50,5000,42.145084381103516,,,,0.0
0/30,1/20,100,10000,46.009377241134644,7.57619808614254,0.2886383319273591,3.687236577272415,0.0
0/30,2/20,150,15000,71.50839376449585,649.6671557128429,4.666583557613194,26.837045702151954,0.0
0/30,3/20,200,20000,71.6079912185669,1124.1475841403008,12.906256068963557,20.15279295714572,0.0
0/30,4/20,250,25000,75.88189029693604,1494.2748999595642,27.620635310187936,30.22776917833835,0.0
0/30,5/20,300,30000,72.30234670639038,1780.4988564252853,33.37105402722955,42.37445832788944,0.0
0/30,6/20,350,35000,75.5929925441742,2139.8544458150864,35.85191237460822,62.13995406217873,0.0
0/30,7/20,400,40000,75.56013011932373,2439.959937810898,42.68490728922188,75.02974222414196,0.0
0/30,8/20,450,45000,73.9526059627533,2750.648392558098,47.29346166178584,96.35292660072446,0.0
0/30,9/20,500,50000,70.83214330673218,2983.3961601257324,53.67891822941601,123.54555245488882,0.0
0/30,10/20,550,55000,75.94595336914062,3198.7246317863464,56.92504867911339,145.97268538549542,0.0
0/30,11/20,600,60000,72.95671772956848,3368.3778371810913,61.885664481669664,151.11699674651027,0.0
0/30,12/20,650,65000,72.31119894981384,3561.9686732292175,68.61863396316767,192.96584954112768,0.0
0/30,13/20,700,70000,76.61700224876404,3777.67924118042,71.52105566859245,213.90088326483965,0.0
0/30,14/20,750,75000,72.04459738731384,3938.2542583942413,83.95638729259372,252.36814753711224,0.0
0/30,15/20,800,80000,72.29163908958435,4146.758128166199,82.45171599835157,266.65234008431435,0.0
0/30,16/20,850,85000,75.37238693237305,4232.298853397369,89.38992736116052,300.32031267881393,0.0
0/30,17/20,900,90000,71.89090466499329,4254.225994348526,94.51574303209782,321.1818557754159,0.0
0/30,18/20,950,95000,70.23354530334473,4300.134154558182,98.63721657171845,339.97605523467064,0.0
0/30,19/20,1000,100000,70.46961188316345,4264.468955278397,104.1396631076932,356.1666116565466,0.0
1/30,0/20,1050,105000,72.99575638771057,4278.057531118393,105.32891646027565,408.28717862069607,0.0
1/30,1/20,1100,110000,70.49333310127258,4259.319375514984,110.01976954191923,444.0229631662369,0.0
1/30,2/20,1150,115000,71.20996379852295,4217.5556700229645,112.71591364592314,440.8964311182499,0.0
1/30,3/20,1200,120000,73.12224531173706,4200.9728219509125,117.88854347914457,447.0667780637741,0.0
1/30,4/20,1250,125000,71.15856075286865,4122.913167715073,121.13546155393124,454.1193261742592,0.0
1/30,5/20,1300,130000,73.80741620063782,4061.5467047691345,125.156837426126,512.4496938288212,0.0
1/30,6/20,1350,135000,77.11169576644897,3984.767895936966,120.06152084469795,473.1025243252516,0.0
1/30,7/20,1400,140000,73.87364554405212,3941.757560968399,123.14042026549578,468.8633047044277,0.0
1/30,8/20,1450,145000,72.74808764457703,3884.6753494739532,126.33512605726719,462.508717879653,0.0
1/30,9/20,1500,150000,73.88621854782104,3809.386960506439,124.69385582208633,475.9276320040226,0.0
1/30,10/20,1550,155000,70.88031196594238,3739.329543352127,125.14637544006109,438.46968181431293,0.0
1/30,11/20,1600,160000,73.35116672515869,3735.439591407776,123.30014661699533,437.2068240791559,0.0
1/30,12/20,1650,165000,75.05933570861816,3686.84587597847,125.04804335534573,430.1007328033447,0.0
1/30,13/20,1700,170000,70.99840831756592,3636.7834479808807,130.55440143495798,405.12240520119667,0.0
1/30,14/20,1750,175000,72.7180848121643,3638.0209765434265,127.66528204828501,414.2931322157383,0.0
1/30,15/20,1800,180000,76.38400650024414,3588.1608917713165,129.31647910922766,395.47459214925766,0.0
1/30,16/20,1850,185000,72.29311633110046,3602.7958307266235,129.16594064235687,392.10896687209606,0.0
1/30,17/20,1900,190000,71.17576670646667,3573.884962081909,129.21760739386082,403.9325600117445,0.0
1/30,18/20,1950,195000,74.98390412330627,3529.045478582382,128.45693351328373,390.5001882761717,0.0
1/30,19/20,2000,200000,72.20124554634094,3529.316956281662,126.46784219145775,388.16696341335773,0.0
2/30,0/20,2050,205000,70.5372986793518,3538.4217343330383,125.98789323121309,386.36051557958126,0.0
2/30,1/20,2100,210000,74.5868558883667,3460.321521759033,129.8941969871521,371.9500094205141,0.0
2/30,2/20,2150,215000,70.16910719871521,3483.7665259838104,129.61482322961092,396.8457844108343,0.0
2/30,3/20,2200,220000,70.04297208786011,3449.5405390262604,128.35329981148243,377.972240075469,0.0
2/30,4/20,2250,225000,72.8305139541626,3423.9911785125732,125.05698812007904,348.67055156826973,0.0
2/30,5/20,2300,230000,70.43078970909119,3422.4618558883667,125.05538280308247,367.3940194249153,0.0
2/30,6/20,2350,235000,71.00191521644592,3407.939215183258,124.27005840092897,358.4822846800089,0.0
2/30,7/20,2400,240000,73.2616217136383,3358.3327193260193,125.29459650814533,343.94273065030575,0.0
2/30,8/20,2450,245000,71.4258165359497,3339.6915860176086,125.47801430523396,346.6169649809599,0.0
2/30,9/20,2500,250000,69.12578892707825,3372.649080514908,125.17896293848753,378.40407271683216,0.0
2/30,10/20,2550,255000,72.72741723060608,3337.900842189789,125.2189509794116,392.74807842075825,0.0
2/30,11/20,2600,260000,71.57825469970703,3295.8264620304108,121.68020386248827,388.8296014368534,0.0
2/30,12/20,2650,265000,72.59120845794678,3288.567839860916,119.06365428119898,348.6509954482317,0.0
2/30,13/20,2700,270000,73.36679720878601,3316.526307821274,120.10127003490925,372.3039675652981,0.0
2/30,14/20,2750,275000,74.01198625564575,3254.1194826364517,119.54622910916805,380.0175766944885,0.0
2/30,15/20,2800,280000,68.92117881774902,3265.271523952484,120.34230778366327,401.8530796915293,0.0
2/30,16/20,2850,285000,73.54323649406433,3301.855262517929,120.5008986517787,385.67510038614273,0.0
2/30,17/20,2900,290000,69.8637912273407,3276.966994524002,120.79643014073372,408.754362732172,0.0
2/30,18/20,2950,295000,69.30855679512024,3279.9601769447327,119.43287422508001,374.2226001173258,0.0
2/30,19/20,3000,300000,73.13857293128967,3257.422991514206,120.38172673434019,359.45263127982616,0.0
3/30,0/20,3050,305000,71.63231086730957,3213.778111219406,118.93251680582762,361.30624387413263,0.0
3/30,1/20,3100,310000,69.98064637184143,3231.354234933853,118.6113810762763,360.9603939652443,0.0
3/30,2/20,3150,315000,71.39766907691956,3200.484426498413,115.56330181658268,365.20376889407635,0.0
3/30,3/20,3200,320000,69.3190758228302,3200.8133091926575,118.84475493431091,369.94978653639555,0.0
3/30,4/20,3250,325000,69.7805163860321,3203.593133211136,116.01046507805586,385.8319546058774,0.0
3/30,5/20,3300,330000,72.6817536354065,3186.3896718025208,116.02842766791582,365.05764147639275,0.0
3/30,6/20,3350,335000,72.72181868553162,3200.154601097107,113.87737576663494,397.4508973658085,0.0
3/30,7/20,3400,340000,69.26134872436523,3179.095354795456,114.4965650588274,384.5696269720793,0.0
3/30,8/20,3450,345000,71.48831939697266,3183.693172931671,115.71348445862532,416.2382069826126,0.0
3/30,9/20,3500,350000,74.8014714717865,3168.8497474193573,117.09529290348291,358.948913320899,0.0
3/30,10/20,3550,355000,72.22881817817688,3148.0988235473633,118.90063258260489,372.82047034054995,0.0
3/30,11/20,3600,360000,74.78103399276733,3142.579091191292,117.13983529806137,383.4880065023899,0.0
3/30,12/20,3650,365000,72.07560300827026,3143.193480014801,116.83179561048746,400.26632273197174,0.0
3/30,13/20,3700,370000,70.14292335510254,3139.3874151706696,117.01960233598948,396.1862065345049,0.0
3/30,14/20,3750,375000,71.04771709442139,3117.782786130905,116.93317364156246,364.69403152167797,0.0
3/30,15/20,3800,380000,72.01822328567505,3106.180566906929,115.70101373642683,345.73167606443167,0.0
3/30,16/20,3850,385000,69.77060961723328,3089.70107960701,118.53508453816175,363.06883300840855,0.0
3/30,17/20,3900,390000,70.1244204044342,3059.453435778618,116.99361341446638,349.36798575520515,0.0
