Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/30,0/20,50,5000,35.56245970726013,,,,0.0
0/30,1/20,100,10000,41.39860510826111,0.23027932457625866,3.1340273916721344,5.612443080171943,0.0
0/30,2/20,150,15000,67.14330410957336,4.234212823095731,20.76546561717987,516.9129463285208,0.0
0/30,3/20,200,20000,67.71611833572388,10.642468398204073,17.739683193620294,992.0653193593025,0.0
0/30,4/20,250,25000,68.59741520881653,27.392630755435675,33.1018283739686,1380.3435146808624,0.0
0/30,5/20,300,30000,65.50285720825195,38.18662213161588,44.981936627067626,1710.855387687683,0.0
0/30,6/20,350,35000,67.4892315864563,36.825959080830216,55.968998190015554,2037.141011595726,0.0
0/30,7/20,400,40000,66.26282119750977,43.15632314234972,77.03193011134863,2351.685368537903,0.0
0/30,8/20,450,45000,68.88993525505066,52.04359984584153,85.24231392890215,2628.4496166706085,0.0
0/30,9/20,500,50000,68.52457046508789,53.71763259358704,100.95566689409316,2889.1084789037704,0.0
0/30,10/20,550,55000,68.86937117576599,52.53515027835965,121.08005767688155,3094.729290366173,0.0
0/30,11/20,600,60000,68.20162391662598,54.65208827704191,148.38521475344896,3350.8337576389313,0.0
0/30,12/20,650,65000,65.91610264778137,63.35635092109442,185.12384290620685,3591.1937642097473,0.0
0/30,13/20,700,70000,67.40856862068176,65.5328469388187,198.01136415824294,3815.6335039138794,0.0
0/30,14/20,750,75000,69.53431797027588,74.25928616896272,215.59634582698345,3987.6542427539825,0.0
0/30,15/20,800,80000,65.54035806655884,82.00376611202955,278.90484937280416,4177.0849895477295,0.0
0/30,16/20,850,85000,68.15078592300415,88.72368355095387,302.90033485740423,4269.714182853699,0.0
0/30,17/20,900,90000,70.04877400398254,96.92491736263037,335.90554535388947,4313.656797885895,0.0
0/30,18/20,950,95000,65.31015849113464,105.04299109429121,335.313728839159,4404.372446537018,0.0
0/30,19/20,1000,100000,70.47095537185669,110.67075798660517,363.58257081359625,4389.313967466354,0.0
1/30,0/20,1050,105000,73.2633147239685,113.30680988729,420.2218831181526,4397.8085680007935,0.0
1/30,1/20,1100,110000,66.05936741828918,114.92500378936529,399.13031081855297,4388.951289176941,0.0
1/30,2/20,1150,115000,70.3649172782898,118.46373583376408,442.0927048623562,4371.771528720856,0.0
1/30,3/20,1200,120000,72.94958066940308,122.05563654750586,434.93213015794754,4307.645510435104,0.0
1/30,4/20,1250,125000,68.40310263633728,128.97168288379908,458.5600041747093,4244.480315923691,0.0
1/30,5/20,1300,130000,70.87052178382874,129.3370657339692,469.02958987653255,4139.337136745453,0.0
1/30,6/20,1350,135000,75.08680534362793,130.13749108463526,449.72364914417267,4096.213170528412,0.0
1/30,7/20,1400,140000,69.80533862113953,128.32294633984566,455.7987787872553,4101.528550863266,0.0
1/30,8/20,1450,145000,71.93591856956482,127.9413321763277,443.7508867830038,4001.369925737381,0.0
1/30,9/20,1500,150000,72.95830821990967,128.84553392976522,443.35538762807846,4017.1240363121033,0.0
1/30,10/20,1550,155000,69.7640814781189,133.98919246345758,452.3651268482208,3978.467329263687,0.0
1/30,11/20,1600,160000,74.50709819793701,133.12817612290382,439.06736017763615,3970.580412864685,0.0
1/30,12/20,1650,165000,74.44214534759521,129.8512043505907,423.05314691364765,3927.412237882614,0.0
1/30,13/20,1700,170000,70.02991557121277,130.31645058095455,407.41588643193245,3877.9423277378082,0.0
1/30,14/20,1750,175000,73.72440767288208,130.99008315056562,415.2020898461342,3860.0725457668304,0.0
1/30,15/20,1800,180000,72.24253916740417,129.12569422274828,420.32101610302925,3815.9533290863037,0.0
1/30,16/20,1850,185000,69.74163913726807,127.55853889882565,417.1817005723715,3767.24866771698,0.0
1/30,17/20,1900,190000,73.9178147315979,127.83065781742334,414.3118266016245,3710.8436291217804,0.0
1/30,18/20,1950,195000,72.32360339164734,125.44167985767126,382.8436500579119,3704.4781708717346,0.0
1/30,19/20,2000,200000,67.08961749076843,127.2648699209094,382.5307522267103,3679.66356921196,0.0
2/30,0/20,2050,205000,73.68357920646667,127.81031282991171,402.9881089478731,3675.2601957321167,0.0
2/30,1/20,2100,210000,71.54605484008789,129.55861503630877,382.7177901864052,3657.213554382324,0.0
2/30,2/20,2150,215000,65.93959784507751,127.60762069374323,396.63827531039715,3655.070271253586,0.0
2/30,3/20,2200,220000,71.9288911819458,126.10392645001411,399.2101103067398,3594.1846058368683,0.0
2/30,4/20,2250,225000,70.99334120750427,127.58275973796844,387.78924211859703,3547.4212007522583,0.0
2/30,5/20,2300,230000,68.24594235420227,128.1956469193101,360.72065418958664,3540.789087295532,0.0
2/30,6/20,2350,235000,72.10488629341125,126.77802131325006,379.33812868595123,3500.7364745140076,0.0
2/30,7/20,2400,240000,71.67173433303833,125.3186197578907,352.25732849538326,3438.255983352661,0.0
2/30,8/20,2450,245000,66.32581639289856,123.02989277243614,365.1841759160161,3392.9906826019287,0.0
2/30,9/20,2500,250000,71.68757581710815,122.58319219201803,364.6879486590624,3357.1230227947235,0.0
2/30,10/20,2550,255000,70.77570819854736,121.82459861040115,369.3374056145549,3346.3436181545258,0.0
2/30,11/20,2600,260000,67.63605666160583,121.80173195898533,355.88379180431366,3311.958125591278,0.0
2/30,12/20,2650,265000,70.50191903114319,120.12994787842035,325.46246890723705,3294.707686662674,0.0
2/30,13/20,2700,270000,68.32882595062256,120.72458064556122,361.72936487197876,3249.2469766139984,0.0
2/30,14/20,2750,275000,68.7105073928833,120.86677321791649,351.67932023853064,3270.312788248062,0.0
2/30,15/20,2800,280000,70.00035071372986,120.73726586997509,364.50205290317535,3249.394205093384,0.0
2/30,16/20,2850,285000,68.53079104423523,117.82234557718039,357.6292832046747,3236.282309770584,0.0
2/30,17/20,2900,290000,71.4086287021637,116.42806653678417,319.2330519706011,3260.8894476890564,0.0
