Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,35.195273876190186,,,,0.0
0/30,1/20,100,10000,36.340007066726685,5.434474930167198,5.204529136419296,0.17800214001908898,0.0
0/30,2/20,150,15000,65.81551003456116,547.5565886795521,28.69398635206744,3.2489186285529286,0.0
0/30,3/20,200,20000,71.23463010787964,1081.7204180955887,22.351688986178488,19.0665235259803,0.0
0/30,4/20,250,25000,64.90626311302185,1441.1761002540588,33.415192305110395,38.74931585974991,0.0
0/30,5/20,300,30000,66.76170325279236,1747.776260137558,45.34014152735472,43.18635665252805,0.0
0/30,6/20,350,35000,72.34859251976013,2028.0059448480606,55.0081357806921,46.66277825087309,0.0
0/30,7/20,400,40000,65.59355449676514,2351.650178551674,73.7790498547256,47.70958488807082,0.0
0/30,8/20,450,45000,67.25824213027954,2711.748974919319,103.68949725478888,54.413383681327105,0.0
0/30,9/20,500,50000,73.27881288528442,3014.059958934784,125.21569023281336,62.909970693290234,0.0
0/30,10/20,550,55000,66.29689526557922,3168.0305395126343,144.38112039119005,70.97834188118577,0.0
0/30,11/20,600,60000,64.32882380485535,3292.5189871788025,165.29489030689,76.0614810064435,0.0
0/30,12/20,650,65000,74.21374273300171,3369.6116602420807,200.47005028277636,87.03714513778687,0.0
0/30,13/20,700,70000,67.24181938171387,3450.3241744041443,230.56565926223993,95.11895675957203,0.0
0/30,14/20,750,75000,65.49060463905334,3570.1001789569855,245.81514456123114,96.09841875359416,0.0
0/30,15/20,800,80000,71.8773422241211,3648.8304755687714,260.18616883456707,95.89445804059505,0.0
0/30,16/20,850,85000,66.88540840148926,3725.3537769317627,281.1801534369588,98.84485895186663,0.0
0/30,17/20,900,90000,64.72389459609985,3822.5621333122253,312.5718724876642,103.69619253277779,0.0
0/30,18/20,950,95000,75.47990989685059,3912.918870449066,339.23691272735596,105.26662715524435,0.0
0/30,19/20,1000,100000,68.29837322235107,3967.2746646404266,350.69834727048874,108.8733898177743,0.0
1/30,0/20,1050,105000,64.85475540161133,3961.1641705036163,362.2129025310278,111.59017618745565,0.0
1/30,1/20,1100,110000,75.23854637145996,3968.934288263321,382.18428415060043,114.80198748409748,0.0
1/30,2/20,1150,115000,65.64309573173523,3954.7561428546906,383.9202189296484,117.36868242174387,0.0
1/30,3/20,1200,120000,66.37606978416443,3921.918862581253,375.7433288991451,116.60034604370594,0.01
1/30,4/20,1250,125000,76.14622688293457,3939.1670253276825,409.1930511444807,122.31715401262045,0.0
1/30,5/20,1300,130000,67.13835573196411,3886.0569746494293,380.12962682545185,125.35501638799906,0.0
1/30,6/20,1350,135000,66.59862732887268,3828.8427183628082,386.847893550992,123.78176175057888,0.0
1/30,7/20,1400,140000,74.9102234840393,3859.1366314888,404.25974744558334,122.72462693601847,0.0
1/30,8/20,1450,145000,67.44726181030273,3874.737078666687,446.5308631360531,121.01118462532759,0.0
1/30,9/20,1500,150000,66.25925302505493,3811.7279415130615,422.21797709167004,125.83706675469875,0.0
1/30,10/20,1550,155000,75.27884984016418,3849.025948047638,439.36167408525944,125.13020624220371,0.0
1/30,11/20,1600,160000,65.84843015670776,3838.618123292923,427.84345631301403,124.7571512311697,0.0
1/30,12/20,1650,165000,62.86783480644226,3828.044790506363,429.1010395437479,127.08320631831884,0.01
1/30,13/20,1700,170000,74.93664050102234,3768.4234433174133,428.07759411633015,123.96052285283804,0.0
1/30,14/20,1750,175000,66.21342086791992,3696.2438197135925,418.7789250910282,127.90334083139896,0.0
