Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/30,0/20,50,5000,30.346320867538452,,,,0.0
0/30,1/20,100,10000,153.7557017803192,0.29373484873212874,3.8426394164562225,5.828835777938366,0.0
0/30,2/20,150,15000,185.01308274269104,4.812268105568364,27.8692894205451,554.6777047365904,0.0
0/30,3/20,200,20000,188.704669713974,14.216616686200723,20.163195690140128,1062.78394395113,0.0
0/30,4/20,250,25000,187.4141285419464,31.45967154018581,36.060113799758255,1457.0743678212166,0.0
0/30,5/20,300,30000,179.06208968162537,43.35129386931658,48.91256302315742,1745.8224869966507,0.0
0/30,6/20,350,35000,178.47970485687256,49.0035306494683,63.543150179088116,2035.0022619962692,0.0
0/30,7/20,400,40000,178.92348718643188,55.33128977008164,81.39476923085749,2414.9370056390762,0.0
0/30,8/20,450,45000,177.09205436706543,62.006839111447334,117.97995346412063,2732.3089829683304,0.0
0/30,9/20,500,50000,181.6757071018219,65.94272360391915,133.28416119515896,3016.9775853157043,0.0
0/30,10/20,550,55000,183.71547865867615,79.01058758795261,160.05738031119108,3244.789999485016,0.0
0/30,11/20,600,60000,182.4300820827484,88.73681831359863,187.752756126225,3522.581766605377,0.0
0/30,12/20,650,65000,180.6136658191681,91.90317813307047,243.56430992484093,3749.0021529197693,0.0
0/30,13/20,700,70000,180.39043378829956,100.77985319495201,272.47981192171574,3856.407129764557,0.0
0/30,14/20,750,75000,182.91264653205872,106.57118695229292,331.34325805306435,3911.834640979767,0.0
0/30,15/20,800,80000,183.9082202911377,117.50325100123882,338.4179242551327,3885.528615951538,0.0
0/30,16/20,850,85000,182.00743627548218,123.20710898190737,367.72615522146225,3898.829810142517,0.0
0/30,17/20,900,90000,185.2378671169281,127.79599299281836,398.2010719329119,3862.8516936302185,0.0
0/30,18/20,950,95000,184.89396405220032,124.04103627800941,382.88906137645245,3756.55113863945,0.0
0/30,19/20,1000,100000,184.06922698020935,126.15555888414383,398.08286306262016,3694.7584080696106,0.0
1/30,0/20,1050,105000,186.3998532295227,123.54793287813663,394.37615574896336,3702.2313532829285,0.0
1/30,1/20,1100,110000,184.5506510734558,126.52372372150421,401.762717589736,3672.9578952789307,0.0
1/30,2/20,1150,115000,185.41248965263367,127.11563187092543,417.93324211239815,3626.464091062546,0.0
1/30,3/20,1200,120000,186.58956098556519,130.79371425509453,429.0036892592907,3659.4257521629333,0.0
1/30,4/20,1250,125000,184.12484431266785,132.20704545080662,431.94629441201687,3683.0148894786835,0.0
1/30,5/20,1300,130000,185.3113214969635,132.56816975027323,460.76989111304283,3704.4508204460144,0.0
1/30,6/20,1350,135000,183.69881081581116,133.3902969956398,462.83350102603436,3708.1205081939697,0.0
1/30,7/20,1400,140000,185.67033457756042,133.87048549205065,451.0051574409008,3612.5057287216187,0.0
1/30,8/20,1450,145000,183.8352370262146,130.68501123785973,438.1214475929737,3612.5799016952515,0.0
1/30,9/20,1500,150000,187.13487458229065,132.01068623363972,441.24721916019917,3617.6115460395813,0.0
1/30,10/20,1550,155000,185.90790724754333,128.88663140684366,462.3449081927538,3581.548355579376,0.0
1/30,11/20,1600,160000,185.07970237731934,136.10403475165367,430.43524262309074,3554.5181391239166,0.0
1/30,12/20,1650,165000,185.61622381210327,135.20693933218718,452.4033394306898,3595.968998670578,0.0
1/30,13/20,1700,170000,186.28090286254883,135.49860748648643,436.3194859623909,3613.595866203308,0.0
1/30,14/20,1750,175000,183.5533881187439,133.6940669193864,443.1777124851942,3596.8304200172424,0.0
1/30,15/20,1800,180000,183.30207204818726,133.77966083586216,465.008206397295,3588.6249396800995,0.01
1/30,16/20,1850,185000,182.54630303382874,139.306421212852,450.8549643456936,3554.8129167556763,0.0
1/30,17/20,1900,190000,182.69078850746155,142.90653634816408,462.3443151861429,3637.8677814006805,0.01
1/30,18/20,1950,195000,182.99387621879578,151.06996677070856,472.83916261792183,3658.6894273757935,0.02
1/30,19/20,2000,200000,181.44662642478943,158.1457276493311,498.0021486878395,3656.994777202606,0.0
2/30,0/20,2050,205000,182.17541027069092,159.0767828822136,464.3683856278658,3592.7801921367645,0.0
2/30,1/20,2100,210000,179.91039371490479,163.39351923763752,467.30215506255627,3548.7642810344696,0.0
2/30,2/20,2150,215000,177.98605680465698,166.07566237449646,459.40093095600605,3488.3073472976685,0.0
2/30,3/20,2200,220000,180.12490129470825,169.710112541914,473.9059185832739,3468.7089762687683,0.08
2/30,4/20,2250,225000,181.0235345363617,170.6222943663597,461.44869044423103,3481.469710826874,0.06
2/30,5/20,2300,230000,181.99603390693665,173.44193942844868,469.50897243618965,3490.757221221924,0.01
2/30,6/20,2350,235000,181.41101908683777,172.3045689612627,458.2798539251089,3522.7249262332916,0.03
2/30,7/20,2400,240000,182.00523400306702,172.77764724195004,465.53850397467613,3523.260343313217,0.02
2/30,8/20,2450,245000,180.4759819507599,174.7008641064167,459.8541062474251,3525.3432886600494,0.06
2/30,9/20,2500,250000,186.2744061946869,176.69476707279682,475.6303017139435,3571.6613216400146,0.09
2/30,10/20,2550,255000,182.27120685577393,177.39387795329094,463.4688153266907,3603.8871591091156,0.1
2/30,11/20,2600,260000,180.93033528327942,178.75368194282055,490.38607047498226,3593.1324651241302,0.14
2/30,12/20,2650,265000,182.66781306266785,178.87393334507942,475.2280322909355,3625.6800985336304,0.15
2/30,13/20,2700,270000,181.17912578582764,180.35339850187302,469.6392630934715,3583.8579721450806,0.26
2/30,14/20,2750,275000,182.6546869277954,176.073743596673,463.19251807034016,3617.7376306056976,0.21
2/30,15/20,2800,280000,182.23964166641235,176.02011066675186,461.50402541458607,3646.4862110614777,0.27
2/30,16/20,2850,285000,183.91509127616882,173.08276543021202,445.4799215942621,3740.7333710193634,0.17
2/30,17/20,2900,290000,182.31847167015076,175.1701768785715,454.8775974661112,3752.838938474655,0.51
2/30,18/20,2950,295000,181.9369421005249,173.91687037050724,467.67270259559155,3739.6117713451385,0.25
2/30,19/20,3000,300000,183.84195494651794,173.63598081469536,441.19547513127327,3786.4535410404205,0.26
3/30,0/20,3050,305000,183.6698362827301,174.7202576994896,437.9232876598835,3862.0805728435516,0.38
3/30,1/20,3100,310000,182.6031494140625,177.45033605396748,446.5436608493328,3880.844481229782,0.42
3/30,2/20,3150,315000,184.011465549469,173.967548340559,439.8442326784134,3887.3959114551544,0.35
3/30,3/20,3200,320000,183.25103759765625,173.15862855315208,462.1501119583845,3933.9233179092407,0.36
3/30,4/20,3250,325000,181.8539981842041,173.25608772039413,459.57419840991497,3957.715569257736,0.31
3/30,5/20,3300,330000,184.6973385810852,175.9415334314108,465.6211551129818,3974.4998712539673,0.36
3/30,6/20,3350,335000,182.34308052062988,176.6568951010704,454.25167821347713,3969.566319704056,0.35
3/30,7/20,3400,340000,183.7280559539795,174.197433039546,457.04042430222034,3989.5741605758667,0.46
3/30,8/20,3450,345000,182.77584433555603,176.0512266755104,458.7155066281557,3995.1125559806824,0.26
3/30,9/20,3500,350000,184.19591617584229,176.63390085101128,481.4320586025715,4025.3120374679565,0.39
3/30,10/20,3550,355000,183.002366065979,173.84824186563492,460.36719450354576,4027.674549818039,0.43
3/30,11/20,3600,360000,182.74381041526794,170.913473919034,448.57067584991455,4032.0638625621796,0.45
3/30,12/20,3650,365000,182.30495762825012,171.04550251364708,462.3966665714979,4031.8750445842743,0.49
3/30,13/20,3700,370000,183.1906476020813,169.19740638136864,458.4751870036125,4102.138428449631,0.45
3/30,14/20,3750,375000,183.8679690361023,166.77735468745232,453.8084336668253,4113.170674085617,0.38
3/30,15/20,3800,380000,185.89639735221863,166.05727514624596,438.714935451746,4146.068242311478,0.36
3/30,16/20,3850,385000,183.57576894760132,167.61324959993362,465.5723921209574,4186.063115119934,0.35
3/30,17/20,3900,390000,184.0407314300537,170.94358187913895,463.5238579213619,4237.666426897049,0.32
3/30,18/20,3950,395000,183.5194592475891,169.50607700645924,461.30740870535374,4246.0619151592255,0.42
3/30,19/20,4000,400000,184.2476224899292,166.9626865684986,468.91619113087654,4256.852719068527,0.29
4/30,0/20,4050,405000,184.022531747818,170.765463873744,482.0849897712469,4292.620389461517,0.32
4/30,1/20,4100,410000,184.4728672504425,168.1877762079239,470.87202717363834,4315.151393890381,0.37
4/30,2/20,4150,415000,184.088858127594,167.7251038402319,475.0569685846567,4297.020488739014,0.42
4/30,3/20,4200,420000,182.8778190612793,168.31933541595936,452.57368221879005,4308.416431427002,0.44
4/30,4/20,4250,425000,182.65616488456726,169.5539130717516,454.0607652962208,4346.909245491028,0.43
4/30,5/20,4300,430000,182.6014187335968,167.39714615046978,459.1076947301626,4318.9833953380585,0.45
4/30,6/20,4350,435000,182.78075242042542,165.7523835748434,467.62711983919144,4328.865704774857,0.45
4/30,7/20,4400,440000,182.26860785484314,159.92884181439877,473.0387777388096,4367.405036449432,0.41
4/30,8/20,4450,445000,184.83563113212585,165.94785372912884,455.1947124302387,4446.8244071006775,0.49
4/30,9/20,4500,450000,182.7416169643402,164.54578532278538,481.73513528704643,4477.476819753647,0.51
4/30,10/20,4550,455000,182.82872533798218,164.69962306320667,468.804597645998,4496.018776416779,0.41
4/30,11/20,4600,460000,185.25694179534912,164.53008480370045,465.6868252456188,4519.053131103516,0.33
4/30,12/20,4650,465000,183.25305485725403,168.41438910365105,504.9390622526407,4517.0605754852295,0.35
4/30,13/20,4700,470000,183.65147471427917,165.6392387598753,469.88720782101154,4533.4108254909515,0.48
4/30,14/20,4750,475000,186.19366693496704,165.22598578035831,459.19872787594795,4586.85080075264,0.39
4/30,15/20,4800,480000,183.33854818344116,162.46232450008392,490.0782685279846,4615.853917121887,0.24
4/30,16/20,4850,485000,182.73934173583984,162.07465812563896,463.3118189573288,4679.150088310242,0.42
4/30,17/20,4900,490000,185.2578935623169,164.580898091197,491.56783209741116,4710.655204534531,0.32
4/30,18/20,4950,495000,184.8526656627655,161.88445638120174,474.2862831801176,4720.447294950485,0.41
4/30,19/20,5000,500000,182.1858205795288,161.65193574130535,489.3551005870104,4810.281522035599,0.42
5/30,0/20,5050,505000,184.80099320411682,164.20740446448326,510.7830616682768,4818.762091636658,0.45
5/30,1/20,5100,510000,182.17369842529297,164.18710178136826,527.1048524826765,4848.883195638657,0.44
5/30,2/20,5150,515000,184.52981877326965,163.67087122797966,507.10749930143356,4890.3248109817505,0.52
