Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/30,0/20,50,5000,34.308300733566284,,,,0.0
0/30,1/20,100,10000,138.10916757583618,9.940534546971321,3.882750779390335,0.2212571483105421,0.0
0/30,2/20,150,15000,170.79052233695984,745.4527989625931,28.327830530237406,4.520482257474214,0.0
0/30,3/20,200,20000,175.1903326511383,1199.079651772976,24.11961483908817,10.067461162107065,0.0
0/30,4/20,250,25000,173.8714644908905,1560.002172589302,40.69156101439148,26.81720593664795,0.0
0/30,5/20,300,30000,168.98927855491638,1897.4518158435822,56.66886153258383,31.87063024379313,0.0
0/30,6/20,350,35000,169.67480731010437,2191.7812930345535,76.75729900412261,39.09294653311372,0.0
0/30,7/20,400,40000,168.9312596321106,2521.331086874008,95.00421698391438,44.86454216204584,0.0
0/30,8/20,450,45000,172.9841067790985,2742.2778017520905,115.26036936976016,55.715600073337555,0.0
0/30,9/20,500,50000,171.76390552520752,2943.315574645996,129.17436599731445,61.295383870601654,0.0
0/30,10/20,550,55000,172.93679332733154,3173.8097302913666,165.1435474306345,64.71302969008684,0.0
0/30,11/20,600,60000,169.47445583343506,3349.557622909546,192.79326874017715,75.52394456788898,0.0
0/30,12/20,650,65000,170.2540078163147,3503.985793352127,219.1509858891368,80.13033879548311,0.0
0/30,13/20,700,70000,169.71869325637817,3591.503949403763,246.83808414638042,85.14195787534118,0.0
0/30,14/20,750,75000,170.47489213943481,3720.422468662262,262.96914085000753,87.16723714023829,0.0
0/30,15/20,800,80000,171.87951755523682,3790.158138036728,295.42140763252974,96.26437901705503,0.0
0/30,16/20,850,85000,171.1548557281494,3819.004732131958,313.5297753959894,99.64063137769699,0.0
0/30,17/20,900,90000,170.0981593132019,3819.7400302886963,348.0355104058981,103.59283708781004,0.0
0/30,18/20,950,95000,169.77944540977478,3866.381063938141,347.8519697487354,105.53042881190777,0.0
0/30,19/20,1000,100000,169.61991930007935,3893.1692101955414,360.26780065894127,113.31135434657335,0.0
1/30,0/20,1050,105000,171.01169228553772,3939.50555229187,390.33337827026844,114.33447160571814,0.0
1/30,1/20,1100,110000,169.17851543426514,3978.1444211006165,404.413949906826,115.57633292675018,0.0
1/30,2/20,1150,115000,173.0651752948761,3988.4199616909027,415.2367635369301,120.73724979907274,0.0
1/30,3/20,1200,120000,170.9592571258545,3981.9518938064575,411.80302995443344,121.41486196964979,0.0
1/30,4/20,1250,125000,170.17658925056458,3961.0975868701935,411.8210790604353,123.484404489398,0.0
1/30,5/20,1300,130000,171.9721097946167,3943.1474249362946,438.53768533468246,126.45326439291239,0.0
1/30,6/20,1350,135000,172.08763885498047,3933.118962287903,460.69812266528606,122.97831914573908,0.0
1/30,7/20,1400,140000,170.9841103553772,3966.5297091007233,486.10910825431347,119.39105830341578,0.0
1/30,8/20,1450,145000,173.7087767124176,3921.0509696006775,479.70617343485355,124.8829265087843,0.0
1/30,9/20,1500,150000,171.5391173362732,3853.335120677948,491.75520722568035,128.43551962077618,0.0
1/30,10/20,1550,155000,169.9194929599762,3896.0443391799927,504.6350915879011,129.8638686388731,0.0
1/30,11/20,1600,160000,169.8276104927063,3852.8704195022583,507.40528005361557,128.5756600573659,0.0
1/30,12/20,1650,165000,171.30276346206665,3822.394933462143,511.2938446998596,130.13042664527893,0.01
1/30,13/20,1700,170000,171.50404930114746,3723.472629070282,460.91225907206535,130.73923946917057,0.0
1/30,14/20,1750,175000,172.936541557312,3718.4162657260895,465.4734212309122,133.9076226428151,0.0
1/30,15/20,1800,180000,173.68048548698425,3640.5849080085754,447.3907991796732,132.3720175921917,0.0
1/30,16/20,1850,185000,172.90719771385193,3683.7509434223175,473.48535393178463,132.27817245572805,0.0
1/30,17/20,1900,190000,173.87835311889648,3699.087716817856,453.6148258149624,131.45135979354382,0.0
1/30,18/20,1950,195000,176.5527548789978,3594.591333389282,432.62786850333214,130.08679584413767,0.0
1/30,19/20,2000,200000,176.98889803886414,3608.657985687256,433.5158027559519,130.27030666917562,0.0
2/30,0/20,2050,205000,173.53149247169495,3563.966198205948,427.33404192328453,131.5628977715969,0.0
2/30,1/20,2100,210000,173.8611238002777,3567.271015405655,416.46688936650753,126.55030501633883,0.0
2/30,2/20,2150,215000,178.61687779426575,3572.1936235427856,410.248633004725,125.7610522955656,0.0
2/30,3/20,2200,220000,179.64129614830017,3542.442663192749,391.93229942023754,128.93883082270622,0.0
2/30,4/20,2250,225000,176.08608174324036,3473.440029144287,386.06475707888603,127.51390212774277,0.0
