Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/30,0/20,50,5000,36.93067288398743,,,,0.0
0/30,1/20,100,10000,37.85403823852539,9.722057580947876,0.3019799911417067,4.015653595328331,0.0
0/30,2/20,150,15000,56.0047767162323,764.7069495916367,4.143218983197585,27.299260021653026,0.0
0/30,3/20,200,20000,59.168023347854614,1256.0625012516975,16.35148094035685,23.365659192670137,0.0
0/30,4/20,250,25000,61.151719093322754,1637.0182716846466,33.15043006837368,34.94445270020515,0.0
0/30,5/20,300,30000,56.2319130897522,1974.844742178917,39.71399490348995,47.0651006475091,0.0
0/30,6/20,350,35000,58.20031547546387,2275.4728660583496,42.82253607176244,65.09731890261173,0.0
0/30,7/20,400,40000,62.564595222473145,2572.8962663412094,52.64325547404587,84.77315325848758,0.0
0/30,8/20,450,45000,58.378098487854004,2862.304320335388,53.93150184303522,106.85482290387154,0.0
0/30,9/20,500,50000,58.43664193153381,3085.183269739151,55.82736881636083,119.84706795215607,0.0
0/30,10/20,550,55000,63.0871045589447,3330.624747276306,59.951265305280685,142.19678737223148,0.0
0/30,11/20,600,60000,60.218629598617554,3541.560261487961,62.519773319363594,158.52625585719943,0.0
0/30,12/20,650,65000,59.76183557510376,3659.766663789749,73.04365530237556,186.5653273127973,0.0
0/30,13/20,700,70000,64.91557049751282,3809.802422761917,82.96330091357231,226.3270865008235,0.0
0/30,14/20,750,75000,59.7159423828125,3891.3016369342804,85.31293364241719,262.2585487663746,0.0
0/30,15/20,800,80000,60.89271020889282,3937.0684740543365,91.1342591792345,293.2368435636163,0.0
0/30,16/20,850,85000,65.57581615447998,4018.1073882579803,94.6291806474328,323.6071842163801,0.0
0/30,17/20,900,90000,60.65179634094238,4114.871374607086,96.59880113601685,337.89328196644783,0.0
0/30,18/20,950,95000,61.82216691970825,4123.85697555542,106.53154243528843,362.80658550560474,0.0
0/30,19/20,1000,100000,65.36501836776733,4125.271598815918,108.86709178239107,399.09375154972076,0.0
1/30,0/20,1050,105000,60.95721220970154,4194.048860788345,114.43826135247946,439.1579871028662,0.0
1/30,1/20,1100,110000,62.550591707229614,4170.62717628479,113.33909698575735,429.5932742804289,0.0
1/30,2/20,1150,115000,64.68099188804626,4082.6229825019836,115.6944742873311,453.5205979794264,0.0
1/30,3/20,1200,120000,60.73256874084473,4059.574805498123,116.05723877996206,469.950968503952,0.01
1/30,4/20,1250,125000,62.83139896392822,4091.9292545318604,120.16404620558023,463.01085022091866,0.0
1/30,5/20,1300,130000,64.69465565681458,4082.8852484226227,120.6225648522377,463.1328742802143,0.0
1/30,6/20,1350,135000,60.31484651565552,4101.82044172287,118.45459282398224,470.7698953449726,0.0
1/30,7/20,1400,140000,61.631951570510864,4115.640455722809,119.05443350970745,460.07313615083694,0.0
1/30,8/20,1450,145000,64.15124773979187,4107.096299648285,127.988799020648,480.04381942749023,0.0
1/30,9/20,1500,150000,62.21649694442749,4044.614605665207,128.05817026644945,476.50628389418125,0.0
1/30,10/20,1550,155000,62.734798431396484,4031.731684923172,132.002461142838,460.2244904190302,0.0
1/30,11/20,1600,160000,62.39445400238037,3993.4275662899017,131.32591953128576,457.2615937888622,0.0
1/30,12/20,1650,165000,60.078574895858765,3937.653357028961,132.1156401410699,430.2420909255743,0.0
1/30,13/20,1700,170000,63.15909171104431,3879.8674931526184,129.96596467494965,418.4576793462038,0.0
1/30,14/20,1750,175000,62.330461740493774,3813.238802909851,129.9401124343276,414.96001839637756,0.0
1/30,15/20,1800,180000,60.13635444641113,3808.985575437546,128.00494538247585,407.0324662923813,0.0
1/30,16/20,1850,185000,62.137534856796265,3769.241856575012,126.98170565068722,393.2342108488083,0.0
1/30,17/20,1900,190000,61.93027901649475,3769.9582386016846,126.89881015568972,377.8668177872896,0.0
1/30,18/20,1950,195000,59.20083427429199,3693.264553785324,125.5288400426507,387.723581507802,0.0
1/30,19/20,2000,200000,64.37715601921082,3680.843038082123,125.64689745754004,385.35178515315056,0.0
2/30,0/20,2050,205000,60.77918982505798,3661.151022672653,124.46034817397594,397.12002344429493,0.0
2/30,1/20,2100,210000,59.89854121208191,3604.541174173355,123.25173322111368,377.9449670314789,0.0
2/30,2/20,2150,215000,63.65261936187744,3567.3147299289703,123.4435418844223,383.8442009091377,0.0
2/30,3/20,2200,220000,59.76685333251953,3540.107524394989,125.2174924314022,382.82847271859646,0.0
2/30,4/20,2250,225000,58.014593839645386,3535.8418028354645,121.24096342921257,368.29526475071907,0.0
2/30,5/20,2300,230000,62.11348509788513,3465.2341973781586,118.28749773651361,356.5141561329365,0.0
2/30,6/20,2350,235000,60.251624584198,3440.6297969818115,125.61435038596392,361.2204167842865,0.0
2/30,7/20,2400,240000,57.788737535476685,3405.4458520412445,123.88958582282066,391.5909900665283,0.0
2/30,8/20,2450,245000,62.46377968788147,3397.0090165138245,122.10471644997597,372.26778215169907,0.0
2/30,9/20,2500,250000,60.43678593635559,3327.6893417835236,119.8344994187355,372.9789865911007,0.0
2/30,10/20,2550,255000,57.05773663520813,3308.26265668869,122.37487813830376,347.44810450822115,0.0
2/30,11/20,2600,260000,59.75055646896362,3250.9669620990753,123.14561793208122,378.5331070870161,0.0
2/30,12/20,2650,265000,61.1132333278656,3215.7133593559265,119.71386206895113,384.5503247529268,0.0
2/30,13/20,2700,270000,57.971709966659546,3197.8143941164017,120.2808982655406,362.94406025111675,0.0
2/30,14/20,2750,275000,59.726988554000854,3151.4841982126236,118.2762835174799,392.5420920997858,0.0
2/30,15/20,2800,280000,64.41057181358337,3129.0547654628754,114.80820298194885,357.3812436759472,0.0
2/30,16/20,2850,285000,59.006004095077515,3102.784172296524,117.24664685875177,358.59556095302105,0.0
2/30,17/20,2900,290000,62.687843322753906,3075.627062559128,116.7460937127471,351.33624785393476,0.0
2/30,18/20,2950,295000,63.14988446235657,3089.2346172332764,116.46247236430645,358.4572067260742,0.0
2/30,19/20,3000,300000,58.90204572677612,3068.2917532920837,116.08933989703655,375.1112437993288,0.0
3/30,0/20,3050,305000,60.74256443977356,3060.93057179451,115.18186094611883,334.0230296552181,0.0
3/30,1/20,3100,310000,63.00084090232849,3067.957981824875,114.61633659154177,360.83232410252094,0.0
3/30,2/20,3150,315000,59.248401165008545,3076.1005153656006,116.35041731595993,376.39475171267986,0.0
3/30,3/20,3200,320000,62.17160511016846,3027.407764673233,115.64480026066303,354.0317883640528,0.0
3/30,4/20,3250,325000,62.85783553123474,3020.6073924303055,115.04488653689623,329.99264641851187,0.0
3/30,5/20,3300,330000,59.2359037399292,3008.9723949432373,115.58375684171915,332.88632686436176,0.0
3/30,6/20,3350,335000,60.44726037979126,2983.6777666807175,114.62231387197971,321.79277793318033,0.0
3/30,7/20,3400,340000,61.43845319747925,2983.988527059555,113.37983637303114,373.7881235331297,0.0
3/30,8/20,3450,345000,58.956859827041626,2970.7720314264297,111.94406871497631,337.4804463163018,0.0
3/30,9/20,3500,350000,60.728301763534546,2990.453431367874,114.64224790781736,368.50655079633,0.0
3/30,10/20,3550,355000,64.4698634147644,2956.544776082039,114.16717977076769,322.8631207048893,0.0
3/30,11/20,3600,360000,59.693843841552734,2938.395518064499,114.96606935560703,338.3682696968317,0.0
3/30,12/20,3650,365000,61.617897748947144,2951.052393436432,113.63083989173174,343.5128637328744,0.0
3/30,13/20,3700,370000,63.81433296203613,2921.328670501709,114.24262237548828,354.55719431489706,0.0
3/30,14/20,3750,375000,58.808749198913574,2893.2240393161774,114.45611057430506,348.594612210989,0.0
3/30,15/20,3800,380000,59.70767617225647,2884.3730602264404,110.82925283163786,339.63640097528696,0.0
3/30,16/20,3850,385000,65.92549419403076,2872.1283915042877,109.83790787309408,340.19861800968647,0.0
3/30,17/20,3900,390000,57.89828109741211,2870.4538068771362,112.80553229153156,329.08934377878904,0.0
3/30,18/20,3950,395000,63.560628175735474,2883.9879707098007,110.85432655364275,339.02069510519505,0.0
3/30,19/20,4000,400000,63.47982931137085,2873.831266641617,113.19342980533838,317.1175846904516,0.0
4/30,0/20,4050,405000,61.889790058135986,2829.291454076767,110.4835265353322,330.4855733588338,0.0
4/30,1/20,4100,410000,60.8844792842865,2810.8711791038513,107.82344312220812,335.34224653989077,0.0
4/30,2/20,4150,415000,62.90051293373108,2797.6518845558167,109.17503903061152,331.10355900228024,0.0
4/30,3/20,4200,420000,60.08739256858826,2837.64380300045,108.25262747704983,358.5988805219531,0.0
4/30,4/20,4250,425000,62.26365685462952,2788.812535405159,106.47590078413486,329.20570369809866,0.0
4/30,5/20,4300,430000,62.78534460067749,2823.1704199314117,105.15657766908407,331.3289007395506,0.0
4/30,6/20,4350,435000,59.05921149253845,2809.6668565273285,108.52946457266808,335.01942779123783,0.0
4/30,7/20,4400,440000,59.44936227798462,2809.432585835457,109.61935553699732,357.6063652485609,0.0
4/30,8/20,4450,445000,63.611069440841675,2828.3734382390976,108.93490378558636,336.7440537661314,0.0
4/30,9/20,4500,450000,58.46329426765442,2786.9476590156555,107.98212982714176,310.0101358667016,0.0
4/30,10/20,4550,455000,60.11611771583557,2766.938656926155,106.76586350053549,288.91406831890345,0.0
4/30,11/20,4600,460000,63.09246325492859,2766.1378746032715,104.86197599768639,333.3595679178834,0.0
4/30,12/20,4650,465000,58.71596145629883,2778.184488296509,106.89760603010654,327.2415072545409,0.0
4/30,13/20,4700,470000,60.130242109298706,2780.5230972766876,103.67042646557093,303.4801667407155,0.0
4/30,14/20,4750,475000,63.081454277038574,2750.2814885377884,105.02854242175817,315.9721277207136,0.0
4/30,15/20,4800,480000,57.64347529411316,2750.3243404626846,103.15423799306154,289.7306563258171,0.0
4/30,16/20,4850,485000,58.517858266830444,2807.5014466047287,105.22459606081247,330.4459064230323,0.0
4/30,17/20,4900,490000,62.943742513656616,2777.425299525261,106.00149154663086,300.896125882864,0.0
4/30,18/20,4950,495000,57.14813017845154,2772.736540913582,105.89938130229712,352.1297779530287,0.0
4/30,19/20,5000,500000,56.88701868057251,2789.231848359108,105.48344571143389,334.2848027870059,0.0
5/30,0/20,5050,505000,64.47175407409668,2759.625687479973,106.89838164299726,331.13119545578957,0.0
5/30,1/20,5100,510000,57.463974952697754,2779.057861328125,107.33501672744751,320.38205040991306,0.0
5/30,2/20,5150,515000,57.30539584159851,2758.8053102493286,105.54477450251579,326.51363626122475,0.0
5/30,3/20,5200,520000,63.86646819114685,2751.5064725875854,107.58164434880018,319.8295787796378,0.0
5/30,4/20,5250,525000,60.925700426101685,2723.8086726665497,107.14291337132454,337.3772156685591,0.0
5/30,5/20,5300,530000,58.99702763557434,2697.795635819435,106.01935748755932,309.1528391689062,0.0
5/30,6/20,5350,535000,62.50544810295105,2709.626776576042,106.65014758706093,322.0424962863326,0.0
5/30,7/20,5400,540000,58.58406615257263,2722.077281355858,105.7788070589304,355.2664142549038,0.0
5/30,8/20,5450,545000,59.99770545959473,2668.488777756691,104.68568950891495,308.5161667689681,0.0
5/30,9/20,5500,550000,63.13650321960449,2671.50563287735,103.21274773031473,295.61613941192627,0.0
5/30,10/20,5550,555000,58.493013858795166,2695.6861658096313,104.03573168814182,313.0202725753188,0.0
