Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/30,0/20,50,5000,29.775640964508057,,,,0.0
0/30,1/20,100,10000,32.555524587631226,0.19671558565460145,3.114953398704529,5.38679226487875,0.0
0/30,2/20,150,15000,60.18463611602783,5.270918689202517,21.858936111908406,520.6553574502468,0.0
0/30,3/20,200,20000,59.53478264808655,15.780541704501957,17.40566405514255,952.2549805045128,0.0
0/30,4/20,250,25000,55.53460216522217,29.097205388359725,31.050822343677282,1314.9740246534348,0.0
0/30,5/20,300,30000,57.607905864715576,32.754949091002345,41.50422251690179,1638.5248802900314,0.0
0/30,6/20,350,35000,62.25959038734436,39.41886895522475,56.45204986818135,1955.247664809227,0.0
0/30,7/20,400,40000,56.4273247718811,43.53929382003844,73.40733825415373,2295.165109872818,0.0
0/30,8/20,450,45000,56.53982615470886,49.006933968514204,86.04214712418616,2559.048550605774,0.0
0/30,9/20,500,50000,64.06489634513855,51.54706376977265,108.77380346134305,2841.38458776474,0.0
0/30,10/20,550,55000,57.79614758491516,62.742807276546955,124.85683475807309,3055.4306592941284,0.0
0/30,11/20,600,60000,59.114619731903076,68.99403223022819,153.49987373873591,3309.962080478668,0.0
0/30,12/20,650,65000,65.1479423046112,73.78810776025057,176.06771541759372,3515.5853757858276,0.0
0/30,13/20,700,70000,58.82298803329468,81.51163735613227,221.01983677223325,3688.573354959488,0.0
0/30,14/20,750,75000,58.06723213195801,85.71014469861984,257.6691072434187,3787.508073568344,0.0
0/30,15/20,800,80000,62.90713620185852,89.79902355000377,255.65142568200827,3801.5482833385468,0.0
0/30,16/20,850,85000,58.95449900627136,91.0853429287672,270.93292440474033,3882.472556591034,0.0
0/30,17/20,900,90000,58.21000027656555,88.15033005550504,300.398274846375,3941.8623461723328,0.01
0/30,18/20,950,95000,65.41509175300598,94.31441739574075,337.07947535812855,3965.0865292549133,0.0
0/30,19/20,1000,100000,60.804892778396606,100.67933187633753,337.76594308018684,4011.365041732788,0.01
1/30,0/20,1050,105000,59.67810273170471,107.0661988183856,351.7301979959011,4039.3785321712494,0.0
1/30,1/20,1100,110000,62.896058797836304,110.8247792199254,384.0011742413044,4025.748597383499,0.0
1/30,2/20,1150,115000,58.873998403549194,116.09012123942375,415.03922525048256,4098.708597660065,0.0
1/30,3/20,1200,120000,58.80496096611023,117.62611643970013,417.2933636754751,4113.723701953888,0.0
1/30,4/20,1250,125000,63.53146195411682,121.09040870517492,447.7439794689417,4173.030908823013,0.0
1/30,5/20,1300,130000,59.31015181541443,123.46150951087475,438.47666911780834,4065.9225301742554,0.0
1/30,6/20,1350,135000,59.1036422252655,122.02011645585299,436.27175068855286,4061.745525121689,0.0
1/30,7/20,1400,140000,62.044233322143555,122.97911448031664,435.28958444297314,4010.728515148163,0.0
1/30,8/20,1450,145000,58.763023376464844,123.40382593870163,418.9549181461334,3960.9198319911957,0.0
1/30,9/20,1500,150000,58.779221534729004,124.46393764019012,421.12684494256973,3845.1594519615173,0.0
1/30,10/20,1550,155000,62.287392377853394,125.99739327281713,419.4196071922779,3775.0540702342987,0.0
1/30,11/20,1600,160000,59.450010776519775,122.88471814244986,423.25613664090633,3744.0385768413544,0.0
1/30,12/20,1650,165000,58.84735679626465,122.21303080022335,421.172619625926,3708.059767484665,0.0
1/30,13/20,1700,170000,65.24069499969482,126.82120490074158,411.2939700037241,3719.5780510902405,0.0
1/30,14/20,1750,175000,60.67994260787964,129.5857243463397,409.9544029086828,3686.7816309928894,0.0
1/30,15/20,1800,180000,60.65601682662964,129.64100670069456,422.4301615804434,3677.1767303943634,0.0
1/30,16/20,1850,185000,64.64046216011047,126.25437654554844,410.65579652786255,3621.8558559417725,0.0
1/30,17/20,1900,190000,60.17675733566284,124.4361574575305,389.01466785371304,3591.957537651062,0.0
1/30,18/20,1950,195000,57.727564096450806,126.73456088453531,386.1376482695341,3563.2119443416595,0.0
1/30,19/20,2000,200000,63.98657298088074,125.18735717236996,399.59607723355293,3544.138360261917,0.0
2/30,0/20,2050,205000,59.49716114997864,126.63894875347614,403.383965164423,3481.088529586792,0.0
2/30,1/20,2100,210000,58.14891338348389,126.11864790320396,389.26041181385517,3432.1255390644073,0.0
2/30,2/20,2150,215000,66.18603229522705,124.16999600827694,398.0341906249523,3461.8618552684784,0.0
2/30,3/20,2200,220000,62.9624137878418,120.63275132328272,410.187505826354,3503.2817420959473,0.0
2/30,4/20,2250,225000,62.520344257354736,120.03141728043556,393.98831847310066,3476.2102217674255,0.0
2/30,5/20,2300,230000,68.19867157936096,119.3915682733059,402.1883492767811,3516.8630468845367,0.0
2/30,6/20,2350,235000,64.20069622993469,121.46064388006926,409.20089496672153,3477.4756705760956,0.0
2/30,7/20,2400,240000,62.10763335227966,125.47521452605724,418.92782996594906,3486.4718458652496,0.0
2/30,8/20,2450,245000,60.40504837036133,125.37395905703306,422.59082947671413,3485.5927381515503,0.0
2/30,9/20,2500,250000,61.36886692047119,125.84793549031019,435.55396039783955,3447.343050956726,0.0
2/30,10/20,2550,255000,62.56482005119324,123.12417317926884,402.1256008595228,3462.5640771389008,0.0
2/30,11/20,2600,260000,60.55288004875183,125.27772605419159,432.41286265850067,3426.141732931137,0.0
2/30,12/20,2650,265000,61.52979278564453,127.0292004942894,424.7672443985939,3384.166241168976,0.0
2/30,13/20,2700,270000,60.4212908744812,121.93094857037067,408.63538989424706,3337.799028635025,0.0
2/30,14/20,2750,275000,61.69309854507446,121.32505665719509,398.55331809818745,3350.648026704788,0.0
2/30,15/20,2800,280000,61.70059108734131,118.97092723101377,408.1190058887005,3360.225979566574,0.0
2/30,16/20,2850,285000,61.11594200134277,119.31636191159487,375.5391206741333,3322.850312232971,0.0
2/30,17/20,2900,290000,60.03760743141174,119.6979452893138,439.0314449816942,3378.397006750107,0.0
2/30,18/20,2950,295000,62.65786385536194,119.24061628431082,401.22655805945396,3374.934262752533,0.0
2/30,19/20,3000,300000,60.61235046386719,121.77818138152361,414.478343218565,3385.1340560913086,0.0
3/30,0/20,3050,305000,63.92039394378662,121.0410592481494,418.77212408185005,3392.0185129642487,0.0
3/30,1/20,3100,310000,62.833436727523804,115.69951418787241,429.54610526561737,3400.456369638443,0.0
3/30,2/20,3150,315000,62.8686728477478,117.8922789990902,432.3031408190727,3453.315283060074,0.0
3/30,3/20,3200,320000,65.36177372932434,118.23317981511354,415.65888415277004,3385.2706139087677,0.0
3/30,4/20,3250,325000,64.09040212631226,116.14933161437511,423.01027081906796,3339.639049053192,0.0
3/30,5/20,3300,330000,62.17231488227844,115.76223613321781,401.9136639535427,3277.4146513938904,0.0
3/30,6/20,3350,335000,66.12406754493713,116.8537620306015,398.1672490090132,3227.7681381702423,0.0
3/30,7/20,3400,340000,58.88220000267029,114.06769988685846,428.1200854331255,3204.458596467972,0.0
3/30,8/20,3450,345000,60.076586961746216,116.54630846530199,399.0026284456253,3166.340871810913,0.0
3/30,9/20,3500,350000,68.52154970169067,117.73168037831783,391.9087494760752,3156.107766389847,0.0
3/30,10/20,3550,355000,59.56550621986389,116.13754577934742,386.7856423407793,3133.8830884695053,0.0
3/30,11/20,3600,360000,58.183645248413086,116.43094047158957,390.98521956801414,3128.899922132492,0.0
