Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/30,0/20,50,5000,32.93814539909363,,,,0.0
0/30,1/20,100,10000,36.058762311935425,3.8092252612113953,0.2295674029737711,6.853281445801258,0.0
0/30,2/20,150,15000,61.61514377593994,26.735081730410457,4.752415927825496,614.27639362216,0.0
0/30,3/20,200,20000,56.812193393707275,21.208763383328915,11.402876017382368,1101.0346044301987,0.0
0/30,4/20,250,25000,60.59054374694824,32.87879335600883,24.62638313230127,1455.4194295406342,0.0
0/30,5/20,300,30000,64.93759393692017,46.89206292759627,32.124950621277094,1781.8835467100143,0.0
0/30,6/20,350,35000,60.42009687423706,59.233419343829155,34.669854087755084,2131.1195809841156,0.0
0/30,7/20,400,40000,59.315847635269165,66.35218777321279,37.712351532652974,2457.39191865921,0.0
0/30,8/20,450,45000,65.83389210700989,102.32341889292002,43.521235786378384,2752.1347309350967,0.0
0/30,9/20,500,50000,63.23178458213806,115.92322532087564,50.54330000653863,3020.269389152527,0.0
0/30,10/20,550,55000,62.12846755981445,127.7052362523973,63.17089941352606,3194.814724445343,0.0
0/30,11/20,600,60000,65.93854236602783,163.66454500705004,64.35446446761489,3386.7522332668304,0.0
0/30,12/20,650,65000,59.67412757873535,169.86602725088596,71.36269448325038,3544.3979473114014,0.0
0/30,13/20,700,70000,63.875306129455566,208.27363704144955,75.66482662037015,3669.917339324951,0.0
0/30,14/20,750,75000,65.68343567848206,218.15529933571815,77.64193073287606,3794.252512216568,0.0
0/30,15/20,800,80000,60.9696102142334,259.643487341702,83.52748902142048,3906.341808080673,0.0
0/30,16/20,850,85000,61.941434144973755,273.9024033471942,92.80583265796304,3986.7349581718445,0.01
0/30,17/20,900,90000,65.20184183120728,297.6488535553217,96.62504085153341,4038.180988073349,0.0
0/30,18/20,950,95000,59.81762480735779,330.285237185657,105.44506611675024,4115.258559703827,0.0
0/30,19/20,1000,100000,61.88128113746643,378.43045984208584,110.59295260161161,4112.944346666336,0.0
1/30,0/20,1050,105000,66.13311982154846,422.8315022587776,114.34021394699812,4101.679815769196,0.01
1/30,1/20,1100,110000,62.636414527893066,471.8411139845848,123.41188000887632,4088.0612201690674,0.0
1/30,2/20,1150,115000,65.54428601264954,463.83583477139473,128.5400035083294,4056.9206705093384,0.0
1/30,3/20,1200,120000,67.47464108467102,426.47342827916145,130.2004492804408,3884.258575439453,0.0
1/30,4/20,1250,125000,63.287864208221436,402.4927897825837,127.08839076757431,3849.704521179199,0.0
1/30,5/20,1300,130000,66.16670107841492,429.5996627509594,126.89217472821474,3772.3313326835632,0.0
1/30,6/20,1350,135000,67.40891981124878,417.4344165623188,127.84907480329275,3703.7768607139587,0.0
1/30,7/20,1400,140000,64.49705576896667,401.56274054944515,129.82325878739357,3658.542063474655,0.0
1/30,8/20,1450,145000,68.50961971282959,400.5367654412985,126.2490673288703,3646.2818582057953,0.0
1/30,9/20,1500,150000,66.02742743492126,410.11238203942776,122.06079743802547,3614.899167537689,0.0
1/30,10/20,1550,155000,65.06509017944336,400.85270369052887,125.6685207337141,3549.045533657074,0.0
1/30,11/20,1600,160000,69.33667469024658,414.1819938868284,126.08030578494072,3538.8473200798035,0.0
1/30,12/20,1650,165000,64.59917330741882,397.1536098867655,127.7469133362174,3522.3292133808136,0.0
1/30,13/20,1700,170000,65.65336537361145,428.3864977955818,127.08533422648907,3474.3972070217133,0.0
1/30,14/20,1750,175000,66.72860097885132,389.439380005002,124.93280200660229,3445.4427320957184,0.0
1/30,15/20,1800,180000,64.26426720619202,428.1079588383436,126.46141680330038,3414.909682035446,0.0
1/30,16/20,1850,185000,63.04864501953125,395.8467062562704,126.7736933156848,3353.234870672226,0.0
1/30,17/20,1900,190000,67.07369565963745,383.9319142997265,126.26972745358944,3345.2819331884384,0.0
1/30,18/20,1950,195000,62.22374892234802,372.30716398358345,124.26587019115686,3299.574245452881,0.0
1/30,19/20,2000,200000,63.16616368293762,384.9360841810703,125.83535826206207,3282.624561071396,0.0
2/30,0/20,2050,205000,66.48541378974915,386.89782060682774,125.57526658475399,3233.462657928467,0.0
2/30,1/20,2100,210000,61.69628286361694,376.74019408226013,126.26239697635174,3174.912551879883,0.01
2/30,2/20,2150,215000,64.77945756912231,386.1540279388428,123.1711037158966,3176.911573410034,0.0
2/30,3/20,2200,220000,66.55677819252014,363.0699023902416,124.66216602921486,3114.1664378643036,0.0
2/30,4/20,2250,225000,62.708739042282104,366.34757405519485,124.74253411591053,3105.1604628562927,0.0
2/30,5/20,2300,230000,65.26246428489685,384.06439189612865,123.49101761728525,3079.1364595890045,0.0
2/30,6/20,2350,235000,63.75565958023071,367.84681825339794,121.71553834527731,3091.834296822548,0.0
2/30,7/20,2400,240000,61.704442501068115,375.44144909083843,123.78582088649273,3071.6835763454437,0.0
2/30,8/20,2450,245000,64.16937446594238,340.2761012464762,122.67420756816864,3055.5290480852127,0.0
2/30,9/20,2500,250000,65.62296843528748,350.79365756362677,121.95050862431526,3042.5265831947327,0.0
2/30,10/20,2550,255000,63.84304976463318,334.72407542169094,120.85577553510666,3051.3644936084747,0.0
2/30,11/20,2600,260000,68.58102345466614,362.54235073179007,122.77727452665567,3042.7489683628082,0.0
2/30,12/20,2650,265000,66.11123895645142,362.0531711578369,122.89468022435904,3006.0345001220703,0.0
2/30,13/20,2700,270000,64.7807469367981,316.61717088520527,120.6811927780509,3032.3780328035355,0.0
2/30,14/20,2750,275000,68.27703809738159,351.3359571620822,118.60779702663422,3030.7570555210114,0.0
2/30,15/20,2800,280000,64.5518536567688,337.68501630425453,120.96014184504747,3033.867305994034,0.0
2/30,16/20,2850,285000,63.53864908218384,326.5430091097951,119.33786886185408,3038.5527044534683,0.0
2/30,17/20,2900,290000,68.70920372009277,324.74745278805494,117.89745181798935,3002.903806209564,0.0
2/30,18/20,2950,295000,63.54738402366638,335.31982960551977,115.43442167341709,2978.2221447229385,0.0
2/30,19/20,3000,300000,61.87524938583374,343.0391926765442,116.72200058400631,2960.3727391958237,0.0
3/30,0/20,3050,305000,68.68906092643738,344.68699488788843,115.81823728978634,2929.7397706508636,0.0
3/30,1/20,3100,310000,62.02046608924866,358.28573347628117,115.20733980834484,2956.910700917244,0.0
3/30,2/20,3150,315000,63.541932344436646,333.70573104918003,116.29917922616005,2938.9865485429764,0.0
3/30,3/20,3200,320000,68.00438332557678,341.70245338231325,117.94132362306118,2974.2914843559265,0.0
3/30,4/20,3250,325000,63.776872634887695,346.6044271439314,117.07115906476974,2961.719272851944,0.0
3/30,5/20,3300,330000,64.70568323135376,331.604301661253,116.24897368252277,2971.0285840034485,0.0
3/30,6/20,3350,335000,65.09993362426758,336.195278853178,116.2982522174716,2935.3943724632263,0.0
3/30,7/20,3400,340000,62.65973711013794,327.25778618454933,115.10450162738562,2900.691816329956,0.0
3/30,8/20,3450,345000,66.72677636146545,323.9352312684059,114.51145099103451,2923.605293750763,0.0
3/30,9/20,3500,350000,67.23498678207397,342.2994038462639,113.2331562563777,2939.7941056489944,0.0
3/30,10/20,3550,355000,61.88090109825134,320.97000029683113,114.12702575325966,2897.3197185993195,0.0
3/30,11/20,3600,360000,64.94456195831299,318.92347222566605,112.28275209665298,2870.4639805555344,0.0
3/30,12/20,3650,365000,63.5043568611145,304.97953839600086,109.57977042347193,2880.917925477028,0.0
3/30,13/20,3700,370000,61.61327314376831,343.0496104583144,108.0159233585,2852.100184559822,0.0
3/30,14/20,3750,375000,65.01630282402039,313.6615117415786,108.8526049926877,2862.2361171245575,0.0
3/30,15/20,3800,380000,65.04033827781677,334.4268931671977,110.24578253179789,2897.076469540596,0.0
3/30,16/20,3850,385000,61.12565994262695,317.76029308885336,109.63009484112263,2888.863082051277,0.0
3/30,17/20,3900,390000,65.64228320121765,363.5759563520551,111.12327088415623,2892.376228451729,0.0
3/30,18/20,3950,395000,64.13794279098511,321.7093260213733,110.24814328551292,2883.2004598379135,0.0
3/30,19/20,4000,400000,62.50255084037781,321.8750173524022,109.48882222175598,2849.0480395555496,0.0
4/30,0/20,4050,405000,66.10119557380676,339.4402639493346,109.41213872283697,2868.959843993187,0.0
4/30,1/20,4100,410000,63.05747389793396,318.2011620476842,107.96749205887318,2871.4396995306015,0.0
4/30,2/20,4150,415000,61.348153591156006,310.20229890942574,111.07520747184753,2820.5255485773087,0.0
4/30,3/20,4200,420000,66.3852231502533,324.22605258226395,109.11263579875231,2784.29054749012,0.0
4/30,4/20,4250,425000,62.822548151016235,319.8679552972317,109.09775806963444,2787.4315481185913,0.0
4/30,5/20,4300,430000,60.149484634399414,316.2569856494665,108.92287228256464,2768.135283112526,0.0
4/30,6/20,4350,435000,65.48839998245239,324.12886476516724,107.62299756705761,2788.1513537168503,0.0
4/30,7/20,4400,440000,59.50501322746277,320.5016111433506,108.50306445360184,2823.9343957901,0.0
