Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/30,0/20,50,5000,30.32179546356201,,,,0.0
0/30,1/20,100,10000,31.138272523880005,0.23093669954687357,3.1279211714863777,5.773339241743088,0.0
0/30,2/20,150,15000,54.97220301628113,4.241132118739188,21.911795400548726,581.7461481839418,0.0
0/30,3/20,200,20000,58.77567768096924,12.82743490440771,16.890011539217085,1099.131306529045,0.0
0/30,4/20,250,25000,54.18828868865967,24.673097904771566,18.946030754595995,1509.5802128911018,0.0
0/30,5/20,300,30000,55.54484963417053,29.542931056581438,19.80328661063686,1917.5908288955688,0.0
0/30,6/20,350,35000,61.00389528274536,31.640257304534316,24.613711829762906,2280.3491612672806,0.0
0/30,7/20,400,40000,57.83604884147644,34.4254087889567,24.856396919116378,2618.6374740600586,0.0
0/30,8/20,450,45000,57.16424512863159,35.26001818291843,25.123908144421875,2955.5943043231964,0.0
0/30,9/20,500,50000,58.77477979660034,36.23792540282011,26.526776608079672,3289.741897583008,0.0
0/30,10/20,550,55000,60.348397970199585,36.50420708209276,28.07271749805659,3619.539935350418,0.0
0/30,11/20,600,60000,56.919018507003784,40.91311687976122,32.16514545213431,3927.2819023132324,0.0
0/30,12/20,650,65000,58.51277804374695,41.54950997419655,32.328278969973326,4195.173157691956,0.0
0/30,13/20,700,70000,61.567607402801514,41.03660284727812,33.6858483934775,4451.619570016861,0.0
0/30,14/20,750,75000,56.64746832847595,41.3882328029722,38.27314060181379,4740.945038795471,0.0
0/30,15/20,800,80000,58.17999792098999,41.278814785182476,34.66564432065934,5002.145234584808,0.0
0/30,16/20,850,85000,62.25823497772217,40.58925519324839,32.39834614191204,5189.897700071335,0.0
0/30,17/20,900,90000,59.165095806121826,41.78508812189102,39.123836163431406,5430.028192281723,0.0
0/30,18/20,950,95000,57.89970541000366,43.407155483961105,36.88034573663026,5595.812589645386,0.0
0/30,19/20,1000,100000,63.36315894126892,42.96566213667393,39.34536743815988,5828.4540894031525,0.0
1/30,0/20,1050,105000,59.986629486083984,43.03648511506617,36.22675792127848,5995.307721853256,0.0
1/30,1/20,1100,110000,56.839717388153076,43.24697593972087,32.89254222717136,6219.195577144623,0.0
1/30,2/20,1150,115000,59.73362994194031,40.88784037157893,30.33902395144105,6354.8790855407715,0.0
1/30,3/20,1200,120000,61.111294984817505,40.86803087219596,36.89299016259611,6575.678077220917,0.0
1/30,4/20,1250,125000,58.25720930099487,39.03344381228089,37.93093428667635,6690.99821472168,0.0
1/30,5/20,1300,130000,57.550835847854614,39.87763393111527,33.71927900891751,6822.738508224487,0.0
1/30,6/20,1350,135000,63.52404260635376,38.803079564124346,33.500676170922816,7020.343585014343,0.0
1/30,7/20,1400,140000,60.41966271400452,38.68669948168099,35.74296363443136,7241.769083023071,0.0
1/30,8/20,1450,145000,59.56443238258362,40.44039290212095,36.452653646469116,7407.241474151611,0.0
1/30,9/20,1500,150000,65.24751377105713,39.94760028459132,33.58777130022645,7533.504391670227,0.0
1/30,10/20,1550,155000,60.353270053863525,39.38313411921263,33.60107059683651,7687.420503139496,0.0
1/30,11/20,1600,160000,58.14133429527283,40.339543003588915,34.69780645146966,7727.9409284591675,0.0
1/30,12/20,1650,165000,64.68575811386108,40.17021306976676,45.35972363781184,7841.329538345337,0.0
1/30,13/20,1700,170000,60.0808322429657,40.82850757986307,30.771123404614627,8011.516754150391,0.0
1/30,14/20,1750,175000,57.63692617416382,40.196101509034634,29.851073834113777,8110.177528858185,0.0
1/30,15/20,1800,180000,59.88772010803223,40.260517831891775,30.848038730211556,8206.04132604599,0.0
1/30,16/20,1850,185000,61.17408585548401,40.56255432963371,31.034117743372917,8359.45036315918,0.0
1/30,17/20,1900,190000,59.02381730079651,40.64398316666484,49.702774949371815,8461.117125034332,0.0
1/30,18/20,1950,195000,59.631786823272705,40.94548360444605,34.364662867970765,8494.89358997345,0.0
1/30,19/20,2000,200000,62.24445581436157,41.09968292154372,42.15894046518952,8594.199680805206,0.0
2/30,0/20,2050,205000,58.43761491775513,40.89077504724264,39.67077770922333,8685.12609052658,0.0
2/30,1/20,2100,210000,57.97877597808838,41.55425079911947,30.018447645939887,8730.502423286438,0.0
2/30,2/20,2150,215000,63.73769474029541,41.548944318667054,30.128542765975,8788.924040794373,0.0
2/30,3/20,2200,220000,56.965272665023804,41.48505714163184,29.42386105004698,8826.716318130493,0.0
2/30,4/20,2250,225000,55.69232106208801,41.89675106480718,29.49609952699393,8927.94137096405,0.0
2/30,5/20,2300,230000,63.04250764846802,41.97741552628577,34.96782105974853,8914.126759052277,0.0
2/30,6/20,2350,235000,57.75840640068054,40.60081716068089,31.691069027408957,8989.787936210632,0.0
2/30,7/20,2400,240000,59.28902268409729,39.293963335454464,35.04184187948704,9007.544888973236,0.0
2/30,8/20,2450,245000,60.3061306476593,41.19348604232073,30.203317917883396,9024.76653432846,0.0
2/30,9/20,2500,250000,59.166855573654175,41.52482004277408,34.242642506957054,9116.870782852173,0.0
2/30,10/20,2550,255000,57.44395112991333,42.09114647842944,37.67406654264778,9155.438626289368,0.0
2/30,11/20,2600,260000,58.749109983444214,43.349576430395246,37.41815152391791,9191.167232513428,0.0
2/30,12/20,2650,265000,62.183218002319336,45.04493748024106,36.53163709305227,9202.528183460236,0.0
2/30,13/20,2700,270000,59.144532442092896,44.53813133761287,35.558524833992124,9218.124709129333,0.0
2/30,14/20,2750,275000,55.80686402320862,43.08663350529969,37.23048326931894,9369.098277568817,0.0
2/30,15/20,2800,280000,61.405614137649536,42.20061063207686,40.644188810139894,9259.915030002594,0.0
2/30,16/20,2850,285000,57.593087673187256,41.6321933157742,45.751649944111705,9258.139352798462,0.0
2/30,17/20,2900,290000,55.97836351394653,39.686084458604455,34.16485411208123,9394.37442779541,0.0
2/30,18/20,2950,295000,59.21293616294861,37.81858813017607,32.963556869886816,9392.245021820068,0.0
2/30,19/20,3000,300000,60.15617537498474,38.037611635401845,35.03296142723411,9501.838297843933,0.0
3/30,0/20,3050,305000,55.78876996040344,35.86458067968488,37.688486280851066,9515.592112064362,0.0
3/30,1/20,3100,310000,59.37567210197449,37.72906080633402,33.43268657848239,9587.004114627838,0.0
3/30,2/20,3150,315000,64.95618176460266,37.578357787802815,32.41125336661935,9602.356345653534,0.0
3/30,3/20,3200,320000,55.83501935005188,37.60523322969675,42.25666575971991,9549.273982048035,0.0
3/30,4/20,3250,325000,56.60180139541626,37.1434827465564,29.725498266983777,9694.476204872131,0.0
3/30,5/20,3300,330000,59.961233139038086,37.328813418745995,27.057801228947937,9607.025539398193,0.0
3/30,6/20,3350,335000,57.03348922729492,36.13145315460861,28.951775326859206,9724.474398612976,0.0
3/30,7/20,3400,340000,56.407291889190674,36.4773452617228,36.964919274672866,9707.25575351715,0.0
3/30,8/20,3450,345000,58.83267307281494,37.15023966692388,28.478786065243185,9755.947790622711,0.0
3/30,9/20,3500,350000,61.17228364944458,37.90363393910229,27.49339810293168,9769.729655265808,0.0
3/30,10/20,3550,355000,58.37823796272278,43.6943114195019,43.28776823915541,9797.536692619324,0.0
3/30,11/20,3600,360000,57.622360944747925,46.41475469619036,47.58860437851399,9665.88158941269,0.0
3/30,12/20,3650,365000,61.4649703502655,47.38604944013059,48.16641603503376,9651.045293807983,0.0
3/30,13/20,3700,370000,57.90042042732239,46.951593957841396,62.38804664835334,9694.011465072632,0.0
3/30,14/20,3750,375000,58.683406829833984,44.32401444762945,52.300300704315305,9730.889170646667,0.0
3/30,15/20,3800,380000,63.37343215942383,43.07410844415426,56.66938996035606,9691.972984790802,0.0
3/30,16/20,3850,385000,59.41547083854675,42.313520481809974,52.11968332249671,9687.321340084076,0.0
3/30,17/20,3900,390000,56.04310345649719,42.655819062143564,49.40630331169814,9757.194933891296,0.0
3/30,18/20,3950,395000,59.73164486885071,42.68812983483076,49.943353179842234,9778.377704620361,0.0
3/30,19/20,4000,400000,61.13168454170227,42.5803756788373,41.547012529335916,9752.648784637451,0.0
4/30,0/20,4050,405000,56.43532705307007,41.28327517025173,45.39065062906593,9828.081332206726,0.0
4/30,1/20,4100,410000,58.151222467422485,41.02864949963987,38.49159045983106,9860.327189922333,0.0
4/30,2/20,4150,415000,61.8127601146698,42.15092707425356,38.7735447101295,9856.379827976227,0.0
4/30,3/20,4200,420000,56.84639382362366,42.96691366843879,48.40602790378034,9922.643956184387,0.0
4/30,4/20,4250,425000,57.92750930786133,42.003164537250996,36.2756223436445,9851.881673336029,0.0
4/30,5/20,4300,430000,62.14709782600403,40.6831954754889,34.07613022252917,9900.353651046753,0.0
4/30,6/20,4350,435000,56.67279314994812,40.63464046642184,31.754745320416987,9949.427297592163,0.0
4/30,7/20,4400,440000,55.86491847038269,40.418207136914134,31.697056222707033,9879.832670211792,0.0
4/30,8/20,4450,445000,59.364243507385254,40.01210551895201,38.01352947205305,9980.817695140839,0.0
4/30,9/20,4500,450000,59.461525201797485,41.5192735940218,37.12915978487581,9936.603217124939,0.0
4/30,10/20,4550,455000,55.41911053657532,40.75721421465278,32.199856870342046,10018.391913890839,0.0
4/30,11/20,4600,460000,56.7189404964447,39.047188208438456,38.147264634259045,9943.680335521698,0.0
4/30,12/20,4650,465000,62.26638674736023,38.42031800374389,29.453385300002992,10011.955552577972,0.0
4/30,13/20,4700,470000,55.75701403617859,39.025483878329396,37.72981504444033,10013.858617305756,0.0
4/30,14/20,4750,475000,56.30600142478943,38.16252393089235,31.54436402954161,10029.75494670868,0.0
4/30,15/20,4800,480000,60.96988129615784,38.42980491742492,29.430199855938554,10080.398745536804,0.0
4/30,16/20,4850,485000,58.09273672103882,38.43051444366574,30.796740679070354,9986.91377210617,0.0
4/30,17/20,4900,490000,58.40812420845032,37.39068000949919,26.97344641853124,10097.731327533722,0.0
4/30,18/20,4950,495000,60.722615003585815,37.482502633705735,28.280088757164776,10069.498400688171,0.0
4/30,19/20,5000,500000,60.57510328292847,38.94970936141908,28.365175074897707,10147.729755878448,0.0
5/30,0/20,5050,505000,56.96347236633301,38.51711532473564,28.22078349068761,10105.537599086761,0.0
5/30,1/20,5100,510000,57.98593854904175,37.44514890946448,30.76706302445382,10112.420892715454,0.0
5/30,2/20,5150,515000,64.65330672264099,38.32147220149636,29.49149754922837,10138.16777229309,0.0
5/30,3/20,5200,520000,57.35998558998108,37.767189777456224,25.260722020175308,10156.076792240143,0.0
5/30,4/20,5250,525000,56.543659925460815,36.85199304483831,24.265270275063813,10152.116144180298,0.0
5/30,5/20,5300,530000,62.14811372756958,36.738426498137414,31.09894172102213,10123.356274604797,0.0
5/30,6/20,5350,535000,59.027453899383545,37.46839512698352,24.041588025167584,10150.327434062958,0.0
5/30,7/20,5400,540000,58.280245542526245,37.11858412530273,24.311535420827568,10122.765454769135,0.0
5/30,8/20,5450,545000,60.391125202178955,37.71543933078647,23.42738129850477,10167.021307945251,0.0
