Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/30,0/20,50,5000,33.58347511291504,,,,0.0
0/30,1/20,100,10000,35.11554217338562,6.638652116060257,0.21325065335258842,3.8824656009674072,0.0
0/30,2/20,150,15000,56.349605321884155,635.0877566486597,5.976871402235702,30.160805825609714,0.0
0/30,3/20,200,20000,55.46168398857117,1187.348982334137,17.86611779499799,22.878668198827654,0.0
0/30,4/20,250,25000,60.26848292350769,1660.7505531311035,35.792198933660984,29.591066520661116,0.0
0/30,5/20,300,30000,58.398648262023926,2063.671964287758,43.45872789807618,30.659592947922647,0.0
0/30,6/20,350,35000,56.27432560920715,2429.1638444662094,45.45831184834242,28.15013389568776,0.0
0/30,7/20,400,40000,61.51976919174194,2761.29669213295,47.34882443584502,30.192198087461293,0.0
0/30,8/20,450,45000,57.83168911933899,3085.9324526786804,46.59908349066973,31.441117893904448,0.0
0/30,9/20,500,50000,56.939305543899536,3417.9143011569977,45.163814747706056,30.579551490023732,0.0
0/30,10/20,550,55000,59.38104462623596,3755.2983610630035,43.68829223886132,27.60731267929077,0.0
0/30,11/20,600,60000,57.947633266448975,4013.604012966156,43.4689792431891,31.834664554335177,0.0
0/30,12/20,650,65000,56.664485692977905,4337.917286157608,42.54353046044707,31.00620453990996,0.0
0/30,13/20,700,70000,57.34364914894104,4650.451715230942,44.036788353696465,34.81764825619757,0.0
0/30,14/20,750,75000,59.91387629508972,4908.586044788361,45.07434525899589,34.884876678697765,0.0
0/30,15/20,800,80000,57.126587867736816,5145.758948326111,45.4018315654248,31.94164186809212,0.0
0/30,16/20,850,85000,57.382901668548584,5427.361191272736,45.208378821611404,32.40969025157392,0.0
0/30,17/20,900,90000,61.341564655303955,5612.626917600632,44.244448989629745,32.53486084006727,0.0
0/30,18/20,950,95000,57.26324796676636,5872.890269756317,44.801094345748425,48.289595535025,0.0
0/30,19/20,1000,100000,57.992963552474976,6103.931700706482,45.92248148843646,32.725421991199255,0.0
1/30,0/20,1050,105000,59.6320481300354,6255.200597286224,47.24418794363737,33.94215584732592,0.0
1/30,1/20,1100,110000,60.18030405044556,6431.213997840881,46.148478493094444,38.90569989383221,0.0
1/30,2/20,1150,115000,56.935139656066895,6671.557038784027,47.042559588328004,38.95812171604484,0.0
1/30,3/20,1200,120000,59.902026653289795,6755.670997619629,48.84868714958429,36.35544467903674,0.0
1/30,4/20,1250,125000,62.48613166809082,6891.723350048065,49.27755031362176,39.95261475816369,0.0
1/30,5/20,1300,130000,58.48814344406128,7059.0052580833435,50.483565140515566,43.76964974403381,0.0
1/30,6/20,1350,135000,58.24081349372864,7203.463295459747,52.98931050859392,53.64366072230041,0.0
1/30,7/20,1400,140000,62.806830167770386,7346.596143722534,54.58752569928765,39.92261580750346,0.0
1/30,8/20,1450,145000,59.14998197555542,7494.144748210907,51.24048129282892,41.741555948741734,0.0
1/30,9/20,1500,150000,56.81522870063782,7618.170508861542,50.21516775712371,40.4143628962338,0.0
1/30,10/20,1550,155000,60.796425580978394,7731.658137321472,49.08669015392661,39.55837996583432,0.0
1/30,11/20,1600,160000,60.156171798706055,7857.998219966888,50.82972311973572,43.18881917651743,0.0
1/30,12/20,1650,165000,57.94232487678528,7872.736433982849,51.824467074126005,44.859755146317184,0.0
1/30,13/20,1700,170000,59.71063780784607,8068.308303356171,51.98683838173747,43.56439311429858,0.0
1/30,14/20,1750,175000,60.977460861206055,8115.849314212799,52.761686723679304,47.93424466252327,0.0
1/30,15/20,1800,180000,57.026103258132935,8228.041956424713,52.71009805612266,44.62658071145415,0.0
1/30,16/20,1850,185000,58.355613470077515,8270.979147911072,51.094249565154314,45.017970009706914,0.0
1/30,17/20,1900,190000,60.912209272384644,8415.930446147919,51.67880302295089,41.78334203828126,0.0
1/30,18/20,1950,195000,56.2802472114563,8441.242280483246,50.91780271939933,49.06849241070449,0.0
1/30,19/20,2000,200000,57.43917942047119,8499.034821510315,51.56156967021525,49.90473578684032,0.0
2/30,0/20,2050,205000,60.880993604660034,8650.865771770477,48.9721801020205,46.56116954796016,0.0
2/30,1/20,2100,210000,58.237900495529175,8747.040083408356,48.46883842907846,42.64023006148636,0.0
2/30,2/20,2150,215000,58.45607924461365,8691.819705963135,49.904914213344455,38.809470154345036,0.0
2/30,3/20,2200,220000,59.999725341796875,8835.090228557587,49.61763742007315,40.82635840494186,0.0
2/30,4/20,2250,225000,60.572097063064575,8946.60007429123,47.663458310067654,37.461828865110874,0.0
2/30,5/20,2300,230000,57.931578636169434,8976.567236423492,48.67608684115112,42.17782815452665,0.0
2/30,6/20,2350,235000,58.95553946495056,9055.383536338806,45.753269178792834,41.3703951779753,0.0
2/30,7/20,2400,240000,60.077956676483154,9082.872738838196,47.40484226681292,34.909107255749404,0.0
2/30,8/20,2450,245000,56.70852875709534,9147.118463516235,48.077095890417695,37.10451897419989,0.0
2/30,9/20,2500,250000,56.09507489204407,9247.683608055115,47.20768052712083,37.456615512259305,0.0
2/30,10/20,2550,255000,61.61032724380493,9297.199130535126,46.22239450365305,36.55068641435355,0.0
2/30,11/20,2600,260000,56.3611855506897,9400.300923347473,46.14057603105903,36.055013741366565,0.0
2/30,12/20,2650,265000,56.432390451431274,9483.915560245514,45.153554137796164,43.93637681659311,0.0
2/30,13/20,2700,270000,60.45863604545593,9513.00546169281,45.848754558712244,35.861138510517776,0.0
2/30,14/20,2750,275000,57.97827768325806,9453.951756477356,47.01002707146108,33.51648734603077,0.0
2/30,15/20,2800,280000,56.28059792518616,9617.064358711243,45.01280704140663,32.78241133503616,0.0
2/30,16/20,2850,285000,57.87628746032715,9605.443365097046,45.26108621433377,32.17493208916858,0.0
2/30,17/20,2900,290000,59.87176847457886,9616.212893486023,44.75520412437618,40.257218076847494,0.0
2/30,18/20,2950,295000,56.29224443435669,9727.695698738098,42.6949919257313,42.81373676005751,0.0
2/30,19/20,3000,300000,56.10007333755493,9670.10700750351,45.03023965097964,34.8483671694994,0.0
3/30,0/20,3050,305000,63.00375056266785,9686.702204227448,44.79536843858659,33.62121721263975,0.0
3/30,1/20,3100,310000,56.98516082763672,9807.939414024353,45.19509565830231,30.86689680814743,0.0
3/30,2/20,3150,315000,56.26745939254761,9809.578308105469,44.97004295513034,29.508441699668765,0.0
3/30,3/20,3200,320000,60.10392236709595,9737.095438957214,43.79668029397726,35.76418846938759,0.0
3/30,4/20,3250,325000,60.214749574661255,9805.85135936737,42.86713919043541,27.328377896919847,0.0
3/30,5/20,3300,330000,58.91584491729736,9856.481582164764,42.81957117840648,28.45801633130759,0.0
3/30,6/20,3350,335000,59.686991930007935,9864.212551116943,41.49748126603663,38.39286350645125,0.0
3/30,7/20,3400,340000,61.602803468704224,9952.157621860504,40.75887053087354,28.786792050115764,0.0
3/30,8/20,3450,345000,57.210169076919556,9955.657326221466,42.413845878094435,32.31067629158497,0.0
3/30,9/20,3500,350000,56.87173652648926,9962.930172920227,42.863440280780196,33.5378854079172,0.0
3/30,10/20,3550,355000,62.47595191001892,9977.02543926239,41.992709420621395,29.854908211622387,0.0
3/30,11/20,3600,360000,57.241029024124146,9995.980008125305,41.27057130821049,33.0572361103259,0.0
3/30,12/20,3650,365000,56.43600654602051,9959.334825992584,42.27542229741812,30.158581264317036,0.0
3/30,13/20,3700,370000,61.101340770721436,10069.159196853638,42.37859835661948,30.202245766296983,0.0
3/30,14/20,3750,375000,61.27827334403992,10072.88590145111,41.65448982082307,30.665511714760214,0.0
3/30,15/20,3800,380000,58.43544149398804,10038.117830753326,43.13934879377484,29.779825856909156,0.0
3/30,16/20,3850,385000,62.66125679016113,10076.330686569214,41.67757023498416,32.093481275253,0.0
3/30,17/20,3900,390000,62.484246253967285,10142.32640504837,42.3023927398026,42.4904785240069,0.0
3/30,18/20,3950,395000,60.46811556816101,10090.830432415009,42.66318757086992,30.77412215108052,0.0
3/30,19/20,4000,400000,57.5812304019928,10086.192216873169,43.13542356155813,29.12052935641259,0.0
4/30,0/20,4050,405000,63.74812841415405,10094.819261074066,42.85960496030748,28.319935982115567,0.0
4/30,1/20,4100,410000,58.5117723941803,10117.117129325867,42.25879236496985,35.16614925209433,0.0
4/30,2/20,4150,415000,58.427704095840454,10132.776628494263,41.40349764190614,30.895942707546055,0.0
4/30,3/20,4200,420000,64.32276821136475,10021.074773311615,41.84792703576386,28.856410489417613,0.0
4/30,4/20,4250,425000,58.54170608520508,10123.496546268463,42.29342134296894,26.958282141014934,0.0
4/30,5/20,4300,430000,60.73633360862732,10120.558989524841,42.148297091946006,27.040757693350315,0.0
4/30,6/20,4350,435000,66.7741048336029,10148.193882465363,41.57676030136645,29.90336644370109,0.0
4/30,7/20,4400,440000,72.1420567035675,10212.716655731201,41.94380148500204,28.796837378293276,0.0
4/30,8/20,4450,445000,68.64511227607727,10165.984270095825,42.265076495707035,34.00463780108839,0.0
4/30,9/20,4500,450000,72.61375427246094,10272.271042346954,41.54199803993106,32.35737786721438,0.0
4/30,10/20,4550,455000,71.01793503761292,10227.889093875885,41.26668120920658,29.52385275159031,0.0
4/30,11/20,4600,460000,72.25968527793884,10242.612031936646,42.297067902982235,29.896808578632772,0.0
4/30,12/20,4650,465000,70.30363082885742,10282.071677684784,42.008624479174614,35.47146727889776,0.0
4/30,13/20,4700,470000,75.34402465820312,10238.064031124115,41.801655957475305,28.17022990155965,0.0
4/30,14/20,4750,475000,72.03174114227295,10246.400308609009,42.12325663678348,26.452722914516926,0.0
4/30,15/20,4800,480000,73.46173214912415,10265.009560108185,41.14975433982909,27.135481582954526,0.0
4/30,16/20,4850,485000,77.16992115974426,10301.225576877594,41.033360347151756,30.04327412508428,0.0
4/30,17/20,4900,490000,70.71602153778076,10265.146890640259,42.08078200742602,36.36797536723316,0.0
4/30,18/20,4950,495000,67.07132363319397,10289.721422672272,41.003420969471335,28.58391018770635,0.0
4/30,19/20,5000,500000,72.97325897216797,10292.828750133514,40.24974189698696,32.37352143088356,0.0
5/30,0/20,5050,505000,69.08741497993469,10246.746225357056,39.945965548977256,33.85844964440912,0.0
