Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/30,0/20,50,5000,34.780941009521484,,,,0.0
0/30,1/20,100,10000,32.717477798461914,3.4298496767878532,0.26571535505354404,7.37929080426693,0.0
0/30,2/20,150,15000,67.18044757843018,21.689082612283528,5.589884158223867,637.5262188017368,0.0
0/30,3/20,200,20000,71.71754169464111,14.830178138334304,13.239754889393225,1130.3406543135643,0.0
0/30,4/20,250,25000,69.31460523605347,18.615852358285338,24.95956640969962,1595.875432252884,0.0
0/30,5/20,300,30000,67.12054085731506,22.21698111575097,27.55076338350773,2038.1113069057465,0.0
0/30,6/20,350,35000,66.8520975112915,25.27889942424372,28.97954524680972,2414.7347025871277,0.0
0/30,7/20,400,40000,72.34375190734863,29.745451069436967,33.83037024643272,2774.38463306427,0.0
0/30,8/20,450,45000,67.22710180282593,32.25877300836146,39.259054178372025,3107.277571439743,0.0
0/30,9/20,500,50000,67.67659592628479,32.09362562466413,39.40832610242069,3374.1757531166077,0.0
0/30,10/20,550,55000,71.03561568260193,31.778795721940696,38.584473229944706,3721.3234465122223,0.0
0/30,11/20,600,60000,66.74309015274048,31.005039550364017,37.92479042802006,3966.008008480072,0.0
0/30,12/20,650,65000,65.511714220047,30.836110796779394,37.88763920776546,4267.131697654724,0.0
0/30,13/20,700,70000,72.05729532241821,29.527016677893698,37.658837258815765,4503.378144264221,0.0
0/30,14/20,750,75000,67.33748626708984,29.280406216159463,35.96876572538167,4784.013387441635,0.0
0/30,15/20,800,80000,67.47793006896973,28.114347473718226,36.26132231205702,4993.676941156387,0.0
0/30,16/20,850,85000,72.01620817184448,38.721922307275236,35.70786608196795,5245.818838834763,0.0
0/30,17/20,900,90000,69.75547194480896,34.35384070780128,36.17094307206571,5473.266471862793,0.0
0/30,18/20,950,95000,66.67433977127075,34.32643444929272,36.46165665797889,5716.718207359314,0.0
0/30,19/20,1000,100000,69.99337816238403,31.73685781750828,35.48277275450528,5873.289360046387,0.0
1/30,0/20,1050,105000,66.95326852798462,36.58947928017005,35.916441636160016,6123.953573703766,0.0
1/30,1/20,1100,110000,65.55514073371887,36.79497994296253,37.44328837376088,6325.854625701904,0.0
1/30,2/20,1150,115000,70.16458344459534,39.42224432807416,36.568389013409615,6507.54380273819,0.0
1/30,3/20,1200,120000,70.81063294410706,32.56227735616267,38.24878799542785,6695.66890335083,0.0
1/30,4/20,1250,125000,67.19453191757202,33.14103547297418,37.66161247342825,6873.268066883087,0.0
1/30,5/20,1300,130000,70.38819456100464,43.193291464820504,40.92687026783824,7018.509175300598,0.0
1/30,6/20,1350,135000,71.30511617660522,33.824574024416506,41.09828262962401,7204.393898010254,0.0
1/30,7/20,1400,140000,66.82157063484192,32.811600644141436,41.46406874805689,7322.782254219055,0.0
