Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,39.82494783401489,,,,0.0
0/20,1/20,100,10000,158.81294322013855,5.857130125164986,3.927122935652733,0.14795366046018898,0.0
0/20,2/20,150,15000,183.91782975196838,544.3732487261295,22.336129465606064,6.184861806919798,0.0
0/20,3/20,200,20000,181.59799718856812,941.8965089917183,19.42773685697466,26.266071095131338,0.0
0/20,4/20,250,25000,183.5966820716858,1227.0118985772133,29.766007909551263,38.16425754874945,0.0
0/20,5/20,300,30000,180.82367587089539,1524.9347033500671,44.75038605183363,40.46953714080155,0.0
0/20,6/20,350,35000,177.7349090576172,1783.3501451015472,61.42295777797699,46.94255145266652,0.0
0/20,7/20,400,40000,180.53711986541748,1983.9860590696335,75.64896300062537,50.38132629171014,0.0
0/20,8/20,450,45000,180.82165122032166,2155.6195880174637,88.03783276490867,53.85601660236716,0.0
0/20,9/20,500,50000,180.08152890205383,2301.665062069893,106.71785178035498,56.59690606966615,0.0
0/20,10/20,550,55000,185.729825258255,2436.5614935159683,116.13415057957172,59.424576073884964,0.0
0/20,11/20,600,60000,182.10533094406128,2569.7977970838547,146.7881371974945,60.913695838302374,0.0
0/20,12/20,650,65000,182.3134264945984,2683.3842408657074,170.7674382776022,67.0669596195221,0.0
0/20,13/20,700,70000,179.0014569759369,2721.4037137031555,184.2503222823143,73.41064288839698,0.0
0/20,14/20,750,75000,188.21122074127197,2791.9006210565567,204.61837303638458,78.52453319355845,0.0
0/20,15/20,800,80000,188.37846279144287,2845.685575246811,226.80102328956127,84.65612193569541,0.0
0/20,16/20,850,85000,182.50924253463745,2826.0762914419174,215.8126396909356,87.57465022429824,0.0
0/20,17/20,900,90000,182.01514220237732,2872.576396346092,242.5698093548417,86.12928928434849,0.0
0/20,18/20,950,95000,182.41599869728088,2926.402179479599,252.5947135016322,89.53552467375994,0.0
0/20,19/20,1000,100000,182.70695281028748,2951.452698469162,254.48578610271215,96.73897448182106,0.0
