Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,33.36405920982361,,,,0.0
0/20,1/20,100,10000,153.08102703094482,3.7623510658740997,5.433324351906776,0.13070615055039525,0.0
0/20,2/20,150,15000,178.3884561061859,20.635758297052234,504.5732624679804,5.3566049572546035,0.0
0/20,3/20,200,20000,177.7506880760193,16.908638982567936,932.7218572497368,23.405366248916835,0.0
0/20,4/20,250,25000,174.5512993335724,23.48250435339287,1302.0378660559654,28.36576089449227,0.0
0/20,5/20,300,30000,177.06236743927002,32.74173607584089,1673.9319143295288,28.64123617205769,0.0
0/20,6/20,350,35000,181.3972134590149,51.93966747075319,1986.5678881406784,35.05495074857026,0.0
0/20,7/20,400,40000,177.5115556716919,79.4445135127753,2243.027989387512,45.660451505333185,0.0
0/20,8/20,450,45000,179.17949032783508,102.08935091085732,2466.566602230072,50.26038601063192,0.0
0/20,9/20,500,50000,179.11593747138977,115.15886841714382,2691.003234028816,56.704817209392786,0.0
0/20,10/20,550,55000,180.90001916885376,138.94998244196177,2873.6440316438675,65.67576263099909,0.0
0/20,11/20,600,60000,182.82131814956665,157.54749895259738,3009.7586529254913,71.52583484351635,0.0
0/20,12/20,650,65000,180.61075282096863,175.939741499722,3144.4265850782394,79.44165011122823,0.0
0/20,13/20,700,70000,181.6446294784546,201.3682662062347,3223.6515069007874,80.83550958707929,0.0
0/20,14/20,750,75000,180.98432993888855,223.3173739388585,3247.617360472679,82.64170538261533,0.0
0/20,15/20,800,80000,183.35501909255981,242.89656857401133,3278.022155046463,82.89555265009403,0.0
0/20,16/20,850,85000,179.2358717918396,257.54738779366016,3297.8083050251007,87.79513271525502,0.0
0/20,17/20,900,90000,180.59136414527893,246.9415771588683,3240.6767085790634,91.18655464425683,0.0
0/20,18/20,950,95000,179.30544567108154,264.38722160458565,3216.7804728746414,93.22387915477157,0.0
0/20,19/20,1000,100000,179.96809911727905,254.615134768188,3174.3699729442596,93.07449076324701,0.0
1/20,0/20,1050,105000,180.3633406162262,289.90242502093315,3254.516467809677,97.40616969019175,0.0
1/20,1/20,1100,110000,179.3217649459839,302.10112376511097,3251.7688018083572,97.27114132791758,0.0
1/20,2/20,1150,115000,178.5362389087677,312.8340006172657,3303.505059480667,101.86533781886101,0.0
1/20,3/20,1200,120000,178.08937454223633,320.5799162313342,3285.7520468235016,103.18080504983664,0.0
1/20,4/20,1250,125000,179.59205627441406,302.8742668032646,3283.4707984924316,105.08304761350155,0.0
1/20,5/20,1300,130000,177.1155812740326,324.58771301805973,3289.3209657669067,106.2466354817152,0.0
1/20,6/20,1350,135000,176.6210298538208,334.2467326745391,3332.557929754257,104.14842487871647,0.0
1/20,7/20,1400,140000,179.31171917915344,360.94184693694115,3370.0219016075134,105.51835485547781,0.0
1/20,8/20,1450,145000,178.0874171257019,347.997509598732,3405.558878660202,111.38585193455219,0.0
1/20,9/20,1500,150000,177.8088994026184,346.4338228702545,3412.0628764629364,108.07425632327795,0.0
1/20,10/20,1550,155000,175.7074465751648,376.24940660595894,3416.145695924759,109.19752077013254,0.0
1/20,11/20,1600,160000,177.1916606426239,353.1949955448508,3483.6871407032013,111.13143970817327,0.0
1/20,12/20,1650,165000,179.76989817619324,377.2993188351393,3504.370111465454,109.99486676603556,0.0
1/20,13/20,1700,170000,178.55276346206665,371.1932983100414,3554.480940580368,112.76665568351746,0.0
1/20,14/20,1750,175000,175.9032232761383,375.75158765912056,3627.0354635715485,110.99759837985039,0.0
1/20,15/20,1800,180000,178.0174503326416,383.6353324353695,3667.970205783844,113.17133186757565,0.0
1/20,16/20,1850,185000,175.57951092720032,436.7334823310375,3773.16539645195,117.57182735204697,0.0
