Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,44.7938768863678,,,,0.0
0/20,1/20,100,10000,181.65080451965332,0.3040951928123832,3.831893004477024,6.6271268874406815,0.0
0/20,2/20,150,15000,213.8039140701294,5.757936458336189,21.586963797919452,552.4409526884556,0.0
0/20,3/20,200,20000,209.79316592216492,18.79351756349206,18.37165083317086,959.0666276812553,0.0
0/20,4/20,250,25000,209.42414355278015,31.90314526949078,26.655955044552684,1263.5648649930954,0.0
0/20,5/20,300,30000,215.06354022026062,31.713468900881708,36.22022307291627,1570.8422156572342,0.0
0/20,6/20,350,35000,214.1286187171936,33.600766498595476,54.52698643319309,1814.7622203826904,0.0
0/20,7/20,400,40000,212.43633008003235,39.524682227522135,66.46306373085827,2032.9672371149063,0.0
0/20,8/20,450,45000,211.94181108474731,47.11368406750262,89.54961360804737,2284.5535848140717,0.0
0/20,9/20,500,50000,210.899507522583,51.059825111180544,104.84299959242344,2470.6413521766663,0.0
0/20,10/20,550,55000,214.2786409854889,59.633878119289875,131.88859701529145,2629.200470685959,0.0
0/20,11/20,600,60000,210.78970003128052,65.24119791015983,141.26954328641295,2739.4350041151047,0.0
0/20,12/20,650,65000,214.18696355819702,68.05157552286983,154.36219239607453,2819.072552919388,0.0
0/20,13/20,700,70000,211.82054686546326,69.68287817761302,179.98834708333015,2975.6407494544983,0.0
0/20,14/20,750,75000,209.5273630619049,71.98404223099351,212.50513282045722,3046.170652627945,0.0
0/20,15/20,800,80000,216.6018350124359,76.19958831369877,201.65625220909715,3060.760603785515,0.0
0/20,16/20,850,85000,214.52152562141418,82.64652720466256,225.67505159974098,3069.7733882665634,0.0
0/20,17/20,900,90000,211.3989326953888,86.63672875612974,225.51313842087984,3058.938413619995,0.0
0/20,18/20,950,95000,215.04536700248718,87.56748982518911,239.77857702225447,3061.1552724838257,0.0
0/20,19/20,1000,100000,214.9617567062378,87.11322756111622,280.1631805598736,3097.1630461215973,0.0
1/20,0/20,1050,105000,214.48843479156494,87.83049487695098,266.3255046084523,3048.2975146770477,0.0
1/20,1/20,1100,110000,216.49162602424622,90.01987815648317,276.8930037394166,3080.7287425994873,0.0
1/20,2/20,1150,115000,211.4461750984192,91.02135741710663,291.47630551457405,3080.9511390924454,0.0
1/20,3/20,1200,120000,211.72699666023254,89.23548500984907,302.118838429451,3157.8008477687836,0.0
1/20,4/20,1250,125000,214.61438465118408,93.04222470149398,301.59471522271633,3140.286469936371,0.0
1/20,5/20,1300,130000,216.54050016403198,96.06548587232828,312.87244556844234,3147.908780813217,0.0
1/20,6/20,1350,135000,216.6092870235443,94.3535665422678,329.6717270463705,3206.6293847560883,0.0
1/20,7/20,1400,140000,216.67234992980957,96.55620887875557,317.38803351670504,3200.2410225868225,0.0
1/20,8/20,1450,145000,215.67507553100586,99.02820843458176,336.38321554660797,3265.499495267868,0.0
1/20,9/20,1500,150000,216.1224570274353,99.24749749153852,314.8002648502588,3279.556468486786,0.0
1/20,10/20,1550,155000,214.1623604297638,99.35689175873995,348.6381420493126,3240.4004921913147,0.0
1/20,11/20,1600,160000,214.48722887039185,99.50410734862089,333.03555854409933,3293.355876684189,0.0
1/20,12/20,1650,165000,215.44376373291016,99.2730538547039,343.1776099130511,3324.067741394043,0.0
1/20,13/20,1700,170000,215.18578219413757,103.75447997450829,326.18130101263523,3316.2909893989563,0.0
1/20,14/20,1750,175000,218.84335613250732,104.49468094110489,371.4536717310548,3440.3866634368896,0.0
1/20,15/20,1800,180000,216.20528841018677,104.48748947679996,384.1408588513732,3558.16845870018,0.0
1/20,16/20,1850,185000,216.80089449882507,106.09132916480303,396.57719276845455,3655.1590871810913,0.0
1/20,17/20,1900,190000,215.7031581401825,109.70354849100113,432.7228588759899,3697.3973801136017,0.0
1/20,18/20,1950,195000,217.12876105308533,111.78765012323856,436.06578090786934,3781.5867426395416,0.0
1/20,19/20,2000,200000,217.92215633392334,112.95203887671232,420.23276449739933,3738.6436705589294,0.0
2/20,0/20,2050,205000,213.50689125061035,115.45220021903515,393.60487058758736,3790.556144952774,0.0
2/20,1/20,2100,210000,213.62034821510315,113.38472449034452,438.0494530647993,3854.5033791065216,0.0
2/20,2/20,2150,215000,216.71404147148132,113.56416374444962,414.6414807587862,3878.2733607292175,0.0
2/20,3/20,2200,220000,214.67600464820862,115.57858943194151,407.3745275735855,3964.796000480652,0.0
2/20,4/20,2250,225000,215.76786637306213,117.0742192864418,452.61082546412945,4056.03862118721,0.0
2/20,5/20,2300,230000,215.3131206035614,118.12124411761761,452.1986249834299,4082.9120507240295,0.0
2/20,6/20,2350,235000,212.97302651405334,121.00888396054506,484.30624720454216,4204.316776037216,0.0
2/20,7/20,2400,240000,208.83791971206665,121.06157802790403,472.6715979874134,4234.840748786926,0.0
2/20,8/20,2450,245000,216.74271607398987,121.48320158571005,475.5713244229555,4252.342145681381,0.0
2/20,9/20,2500,250000,214.20351481437683,123.20996656268835,476.41845002770424,4299.709516048431,0.0
2/20,10/20,2550,255000,214.8177454471588,124.46877906471491,466.4188138395548,4351.162239551544,0.0
2/20,11/20,2600,260000,215.4730076789856,126.40457708388567,454.45349011570215,4394.421588897705,0.0
2/20,12/20,2650,265000,213.7189347743988,126.26791907846928,462.09943540394306,4428.00727057457,0.0
2/20,13/20,2700,270000,211.78219842910767,133.37400199472904,463.7347779273987,4435.297433614731,0.0
2/20,14/20,2750,275000,214.2947165966034,131.9751775637269,469.5955119431019,4438.708926439285,0.0
2/20,15/20,2800,280000,214.13426518440247,131.41572808474302,480.0818852931261,4513.654356479645,0.0
2/20,16/20,2850,285000,215.60740208625793,133.5735587477684,424.5577676743269,4536.431217670441,0.0
2/20,17/20,2900,290000,217.0589804649353,132.5481520295143,434.83836321532726,4586.943046092987,0.0
2/20,18/20,2950,295000,214.951336145401,131.77223855257034,417.9106633514166,4623.6350638866425,0.0
2/20,19/20,3000,300000,215.9676697254181,133.6032738685608,412.09260530769825,4663.577924013138,0.0
3/20,0/20,3050,305000,214.96938967704773,135.36055705696344,436.1280233711004,4735.6258227825165,0.0
3/20,1/20,3100,310000,214.36313009262085,136.62870743870735,415.46982660889626,4780.537442922592,0.0
3/20,2/20,3150,315000,217.24833226203918,136.29329189658165,384.9948802739382,4811.177447080612,0.0
3/20,3/20,3200,320000,217.65555810928345,138.03865000605583,406.2126035243273,4877.662772893906,0.0
3/20,4/20,3250,325000,214.17962765693665,138.55663188546896,402.4045102596283,4854.12523150444,0.0
3/20,5/20,3300,330000,219.7829966545105,139.97701013088226,425.4441386759281,4900.651173353195,0.0
3/20,6/20,3350,335000,216.08232474327087,142.75827971100807,396.9187608808279,4931.282290220261,0.0
3/20,7/20,3400,340000,212.99020171165466,141.7870640307665,409.3765162676573,4949.198245048523,0.0
3/20,8/20,3450,345000,215.33202481269836,142.80049308389425,404.10899145901203,4974.075278997421,0.01
3/20,9/20,3500,350000,214.74687242507935,147.74679692834616,404.04741609096527,5005.37487244606,0.0
3/20,10/20,3550,355000,212.28150629997253,146.03254048526287,389.53397239744663,5003.195604562759,0.01
3/20,11/20,3600,360000,211.91905903816223,141.85820447653532,385.6438619196415,5025.146603107452,0.01
3/20,12/20,3650,365000,213.68492698669434,145.66811157017946,367.31850872933865,5066.134010314941,0.03
3/20,13/20,3700,370000,213.84832382202148,144.82461092621088,349.8775151669979,5108.0448632240295,0.06
3/20,14/20,3750,375000,77.77786135673523,146.06655184179544,404.08958457410336,5105.047180652618,0.0
3/20,15/20,3800,380000,79.96728730201721,146.12043421715498,351.4781147018075,5092.302064180374,0.02
3/20,16/20,3850,385000,80.83762407302856,147.34473951160908,370.86574556678534,5096.197612285614,0.13
3/20,17/20,3900,390000,77.14347076416016,148.98082949221134,354.60244196653366,5076.2857837677,0.07
3/20,18/20,3950,395000,79.34569048881531,148.1897592395544,350.90589091926813,5125.936686515808,0.11
3/20,19/20,4000,400000,78.08612108230591,146.05310939997435,348.63017995655537,5143.127090454102,0.09
4/20,0/20,4050,405000,75.61861038208008,149.42476139962673,343.25977842509747,5184.455268621445,0.09
4/20,1/20,4100,410000,81.77554965019226,149.12224339693785,350.88642198592424,5242.772150278091,0.18
4/20,2/20,4150,415000,80.9073531627655,150.09074287861586,353.570807158947,5276.045972824097,0.2
4/20,3/20,4200,420000,79.34811544418335,150.0734003186226,361.0774562060833,5310.829039096832,0.14
4/20,4/20,4250,425000,82.62828230857849,148.4873465448618,347.2933117002249,5342.402674198151,0.25
4/20,5/20,4300,430000,77.02621793746948,152.01918248832226,344.65498818457127,5390.007273674011,0.19
4/20,6/20,4350,435000,77.6316328048706,152.99848365038633,320.763878762722,5395.354377746582,0.31
4/20,7/20,4400,440000,82.25786542892456,152.5325962677598,349.2892328426242,5459.0204293727875,0.23
4/20,8/20,4450,445000,77.38219881057739,152.9292264804244,348.7281745225191,5527.568927764893,0.21
4/20,9/20,4500,450000,79.08546447753906,154.4341025799513,360.44476287811995,5553.213363647461,0.16
4/20,10/20,4550,455000,81.58274483680725,153.96846962720156,378.5661159604788,5590.154381752014,0.41
4/20,11/20,4600,460000,77.31812953948975,153.72606568783522,315.4575001075864,5637.132099151611,0.37
4/20,12/20,4650,465000,80.0363667011261,151.8020243793726,305.79910273104906,5668.302606582642,0.2
4/20,13/20,4700,470000,78.76015543937683,154.02843169867992,342.957401022315,5714.943511724472,0.35
4/20,14/20,4750,475000,78.63741898536682,155.12428345531225,339.55044797062874,5773.970069885254,0.08
4/20,15/20,4800,480000,80.15860486030579,153.94109469652176,324.42508562654257,5811.28044462204,0.24
4/20,16/20,4850,485000,76.90104961395264,154.16225703060627,327.26277554780245,5830.807799816132,0.29
4/20,17/20,4900,490000,75.21887278556824,154.32284803688526,332.5651757270098,5910.252007961273,0.39
4/20,18/20,4950,495000,78.38583731651306,153.62976343929768,314.3772905319929,5990.67835855484,0.24
4/20,19/20,5000,500000,74.09022521972656,155.2395157366991,318.90696607530117,6053.063721179962,0.44
5/20,0/20,5050,505000,75.18885040283203,155.35413613170385,324.7862882092595,6085.355051994324,0.33
5/20,1/20,5100,510000,77.96002173423767,155.69787061959505,323.1774026453495,6124.733619213104,0.22
5/20,2/20,5150,515000,73.02201128005981,157.98023237287998,315.12006409466267,6170.620202064514,0.34
5/20,3/20,5200,520000,73.02621269226074,159.56617398560047,334.1853374540806,6193.018020629883,0.22
5/20,4/20,5250,525000,78.29564237594604,157.859425149858,304.87398245185614,6237.023103713989,0.48
