Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,54.35585641860962,,,,0.0
0/20,1/20,100,10000,58.225534439086914,7.612895339727402,0.17793228919617832,3.3777162730693817,0.0
0/20,2/20,150,15000,98.70859837532043,583.8373460173607,3.8045276133343577,19.44985278369859,0.0
0/20,3/20,200,20000,99.01292371749878,1016.4299786090851,14.329759943531826,17.745375897735357,0.0
0/20,4/20,250,25000,98.75138139724731,1370.1987861394882,25.219492672011256,27.298674812540412,0.0
0/20,5/20,300,30000,95.70424556732178,1698.4253916740417,30.890197340399027,36.36915192101151,0.0
0/20,6/20,350,35000,97.97888278961182,1967.6022555828094,44.057853017002344,53.17796708550304,0.0
0/20,7/20,400,40000,97.64957904815674,2144.4100283384323,49.63410696387291,65.14378887414932,0.0
0/20,8/20,450,45000,99.91421794891357,2292.178908228874,55.91927986219525,86.67826066166162,0.0
0/20,9/20,500,50000,100.93420505523682,2470.79807472229,64.52752662450075,122.38130117580295,0.0
0/20,10/20,550,55000,98.1788113117218,2603.202719926834,74.30669831112027,142.06483326107264,0.0
0/20,11/20,600,60000,97.57602310180664,2592.1639099121094,77.21892173588276,138.53091892972589,0.0
0/20,12/20,650,65000,95.21193647384644,2535.3604130744934,79.22207119688392,137.10177827998996,0.0
0/20,13/20,700,70000,95.24914956092834,2458.1100548505783,80.01013883948326,140.8802202269435,0.0
0/20,14/20,750,75000,96.81222581863403,2401.155481815338,82.70411277189851,146.54978301748633,0.0
0/20,15/20,800,80000,95.71276640892029,2383.5589060783386,82.61393581703305,148.03451520204544,0.0
0/20,16/20,850,85000,92.58981013298035,2356.3537477254868,83.83212008327246,149.5088045746088,0.0
0/20,17/20,900,90000,96.38693857192993,2358.9903923273087,81.74170496314764,148.76041292399168,0.0
0/20,18/20,950,95000,97.15914058685303,2339.58489215374,83.06958493962884,158.80721809342504,0.0
0/20,19/20,1000,100000,96.96179509162903,2319.3268826007843,82.25786767154932,162.644835524261,0.0
1/20,0/20,1050,105000,98.71638870239258,2290.49990606308,81.49733633175492,164.45112486183643,0.0
1/20,1/20,1100,110000,100.82814693450928,2304.8897935152054,82.46654933691025,178.5629973448813,0.0
1/20,2/20,1150,115000,100.48757886886597,2286.1257560253143,84.38607696443796,175.4800453670323,0.0
1/20,3/20,1200,120000,99.76069402694702,2240.3695229291916,84.29797692224383,178.9138282611966,0.0
1/20,4/20,1250,125000,97.64267206192017,2213.740057349205,83.80556692928076,171.30637320503592,0.0
1/20,5/20,1300,130000,103.94845819473267,2191.7993956804276,84.40255545452237,169.42750620096922,0.0
1/20,6/20,1350,135000,99.17132830619812,2175.1657618284225,82.67099433019757,174.24148899316788,0.0
1/20,7/20,1400,140000,97.48713183403015,2174.71218252182,80.29973861575127,172.46168400347233,0.0
1/20,8/20,1450,145000,102.10172915458679,2165.615221142769,80.83478331565857,166.03661393746734,0.0
1/20,9/20,1500,150000,97.2034068107605,2161.204313158989,79.06707813590765,172.2467546388507,0.0
1/20,10/20,1550,155000,97.8405454158783,2155.726890683174,78.996741194278,180.67584712430835,0.0
1/20,11/20,1600,160000,99.16565537452698,2117.304917573929,76.28474529460073,177.8389539346099,0.0
1/20,12/20,1650,165000,95.70462942123413,2085.954444527626,75.95510214567184,170.91083235666156,0.0
1/20,13/20,1700,170000,99.2079541683197,2080.498641729355,76.08125909045339,172.22511396557093,0.0
1/20,14/20,1750,175000,97.01309466362,2039.7197649478912,76.89834802225232,178.4409704580903,0.0
1/20,15/20,1800,180000,98.34150218963623,2051.941775083542,79.11159009858966,176.86157212778926,0.0
1/20,16/20,1850,185000,94.49139356613159,2097.105831503868,75.97737918794155,175.70149879157543,0.0
1/20,17/20,1900,190000,97.31897377967834,2055.232436776161,76.18978184834123,175.40338214859366,0.0
1/20,18/20,1950,195000,98.19681930541992,2018.6124901771545,75.72049403935671,171.00259640067816,0.0
1/20,19/20,2000,200000,97.79632043838501,2011.4670461416245,77.37634110078216,184.1534813940525,0.0
2/20,0/20,2050,205000,98.69583988189697,1994.5283855199814,75.91458572819829,166.4515579417348,0.0
2/20,1/20,2100,210000,99.42125272750854,1999.01224899292,78.35465740412474,170.01790452748537,0.0
2/20,2/20,2150,215000,96.96065664291382,1971.7585035562515,77.18686470389366,169.47078413516283,0.0
2/20,3/20,2200,220000,93.68558073043823,1935.9681857824326,76.79475311934948,174.4933488816023,0.0
2/20,4/20,2250,225000,94.36323308944702,1928.394784450531,78.21906893327832,170.6579204685986,0.0
2/20,5/20,2300,230000,96.29404163360596,1889.7122729420662,75.31760174781084,175.7436668612063,0.0
