Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,55.88887357711792,,,,0.0
0/20,1/20,100,10000,59.3255136013031,0.21436921576969326,4.7775518940761685,2.686827629804611,0.0
0/20,2/20,150,15000,93.85266613960266,5.301662467769347,461.09877479076385,17.84236868028529,0.0
0/20,3/20,200,20000,97.33624362945557,23.861455786507577,852.5212741494179,16.2537986128591,0.0
0/20,4/20,250,25000,96.44394087791443,35.36612659879029,1185.964701294899,23.279496169183403,0.0
0/20,5/20,300,30000,95.49140572547913,36.09439230710268,1458.2089901566505,38.696401538327336,0.0
0/20,6/20,350,35000,94.7667863368988,46.61016467213631,1662.373573064804,51.72251641843468,0.0
0/20,7/20,400,40000,98.85393524169922,54.98727664910257,1851.276393532753,61.716991160064936,0.0
0/20,8/20,450,45000,97.79978394508362,55.964903427287936,2009.8174508810043,70.01987329870462,0.0
0/20,9/20,500,50000,98.67635536193848,59.38071187958121,2110.662633419037,83.86962906643748,0.0
0/20,10/20,550,55000,99.59242105484009,66.67820748314261,2215.991014957428,104.81379645317793,0.0
0/20,11/20,600,60000,99.31545805931091,75.28753378242254,2307.522554039955,117.94187812507153,0.0
0/20,12/20,650,65000,99.70273327827454,81.84661046788096,2317.8748866319656,142.37257178127766,0.0
0/20,13/20,700,70000,100.18164038658142,84.3207525908947,2262.408194065094,143.77070650830865,0.0
0/20,14/20,750,75000,100.30847144126892,81.8756946399808,2274.0531816482544,151.7888379842043,0.0
0/20,15/20,800,80000,99.9229519367218,79.5540955811739,2236.714068174362,162.4376904591918,0.0
0/20,16/20,850,85000,101.54312515258789,76.8756540492177,2219.496720314026,152.60431621596217,0.0
0/20,17/20,900,90000,102.5570137500763,74.04274802654982,2177.1969953775406,143.82753397524357,0.0
0/20,18/20,950,95000,98.46341395378113,75.3541043959558,2191.9167997837067,150.5840513780713,0.0
0/20,19/20,1000,100000,97.45844316482544,76.81725439056754,2177.534120440483,148.65282859280705,0.0
1/20,0/20,1050,105000,97.93640565872192,78.9908809363842,2191.1394608020782,171.26951084658504,0.0
1/20,1/20,1100,110000,103.21458077430725,81.39134815335274,2135.246677875519,163.60731262341142,0.0
1/20,2/20,1150,115000,103.23025155067444,83.22026027739048,2101.1890754699707,157.29894953221083,0.0
1/20,3/20,1200,120000,101.24155569076538,79.45133398473263,2062.960135102272,167.041533280164,0.0
1/20,4/20,1250,125000,100.89173293113708,78.77865905687213,2024.9173822402954,155.45797624439,0.0
1/20,5/20,1300,130000,98.86128115653992,78.0895930454135,2044.3660423755646,160.36831603944302,0.0
1/20,6/20,1350,135000,101.98996162414551,78.04020941257477,2039.0133669376373,163.16328366100788,0.0
1/20,7/20,1400,140000,102.1147837638855,76.98488091304898,2007.063107252121,168.50325912982225,0.0
1/20,8/20,1450,145000,101.87978768348694,74.74777588248253,1992.2802078723907,164.29564947634935,0.0
1/20,9/20,1500,150000,102.81771969795227,73.6227099262178,1988.099859237671,160.6462174244225,0.0
1/20,10/20,1550,155000,101.42211318016052,72.4924620501697,1974.4639493227005,165.7505649589002,0.0
1/20,11/20,1600,160000,103.07236218452454,74.0250839702785,2009.9814238548279,164.91203396767378,0.0
1/20,12/20,1650,165000,97.55507779121399,75.70514639094472,2027.682257771492,172.96548614650965,0.0
1/20,13/20,1700,170000,104.22535037994385,77.2197740636766,1994.8942523002625,173.67769035696983,0.0
1/20,14/20,1750,175000,103.30839610099792,76.35867815092206,1962.4408313035965,171.78208545595407,0.0
1/20,15/20,1800,180000,102.53839063644409,76.12443739175797,1957.552054286003,183.52217484265566,0.0
1/20,16/20,1850,185000,103.6190869808197,75.1057742536068,1949.1846259832382,170.99691969528794,0.0
1/20,17/20,1900,190000,102.92380666732788,73.35751008987427,1947.9852566719055,168.78739188238978,0.0
1/20,18/20,1950,195000,100.35412383079529,74.08123394101858,1929.1865811347961,175.9979271069169,0.0
1/20,19/20,2000,200000,105.55340433120728,72.04146080091596,1930.8900295495987,169.48324638605118,0.0
2/20,0/20,2050,205000,101.35402822494507,71.37962568178773,1957.6200370788574,165.27069265395403,0.0
2/20,1/20,2100,210000,100.67153739929199,70.54263643547893,1950.4659173488617,177.24837154522538,0.0
2/20,2/20,2150,215000,102.74668455123901,69.9406351968646,1926.9467523097992,169.62898167595267,0.0
2/20,3/20,2200,220000,99.44079065322876,70.32096592709422,1946.4249497056007,166.08052323013544,0.0
2/20,4/20,2250,225000,97.50258088111877,70.71451602131128,1950.180465579033,177.33640890568495,0.0
2/20,5/20,2300,230000,97.2542839050293,72.05993444472551,1909.045499920845,168.3116075657308,0.0
2/20,6/20,2350,235000,99.36714243888855,72.4699915535748,1931.810048699379,168.998195707798,0.0
2/20,7/20,2400,240000,100.77942681312561,72.20595221593976,1934.5962002277374,173.8940787576139,0.0
2/20,8/20,2450,245000,98.90582394599915,72.37579323351383,1897.7464032769203,168.31968265026808,0.0
2/20,9/20,2500,250000,97.97513175010681,70.57692854106426,1908.1540939807892,182.93760190531611,0.0
2/20,10/20,2550,255000,98.85663533210754,70.2714702822268,1906.9282385110855,164.74247515946627,0.0
2/20,11/20,2600,260000,100.28771090507507,69.48151746764779,1886.6276626586914,182.30560309812427,0.0
2/20,12/20,2650,265000,98.36514639854431,70.79448586329818,1873.9114439487457,170.09826620668173,0.0
2/20,13/20,2700,270000,95.53045678138733,71.40309764817357,1856.3113684654236,168.34033958241343,0.0
2/20,14/20,2750,275000,96.94919919967651,70.92080572247505,1838.224132180214,166.47637677565217,0.0
2/20,15/20,2800,280000,100.82500553131104,68.91340634226799,1830.8413387537003,162.16846691817045,0.0
2/20,16/20,2850,285000,99.28272271156311,69.38463988155127,1846.9453553557396,174.45809919014573,0.0
2/20,17/20,2900,290000,95.38505673408508,69.26890055090189,1855.04260379076,162.91440849378705,0.0
2/20,18/20,2950,295000,101.02995753288269,67.57096199318767,1875.1994223594666,171.50582278892398,0.0
2/20,19/20,3000,300000,97.690908908844,68.30332098901272,1848.7306909561157,175.11297385394573,0.0
3/20,0/20,3050,305000,98.4535710811615,68.42945053055882,1848.4459060430527,162.88177158683538,0.0
3/20,1/20,3100,310000,98.99303936958313,67.59593592956662,1853.1951231956482,177.28117728978395,0.0
3/20,2/20,3150,315000,100.91836905479431,67.46341339871287,1848.743969798088,172.206817753613,0.0
3/20,3/20,3200,320000,98.48790717124939,66.98045548796654,1837.8361801505089,169.22626758366823,0.0
3/20,4/20,3250,325000,101.82280492782593,67.238381434232,1834.2710078954697,180.8284455165267,0.0
3/20,5/20,3300,330000,95.8951735496521,66.44081956893206,1815.567575097084,174.8458739593625,0.0
3/20,6/20,3350,335000,97.99694728851318,67.25914043560624,1840.5581399202347,174.09399783983827,0.0
3/20,7/20,3400,340000,102.627676486969,68.19813185185194,1824.2609862089157,174.18255260959268,0.0
3/20,8/20,3450,345000,102.34575963020325,67.07367700338364,1839.3093551397324,177.8266177587211,0.0
3/20,9/20,3500,350000,100.6380398273468,67.8918335326016,1847.6245623230934,173.9560556821525,0.0
3/20,10/20,3550,355000,100.27777218818665,67.47341334447265,1835.9448082447052,170.16020585224032,0.0
3/20,11/20,3600,360000,99.15023565292358,67.69134445115924,1828.8093121051788,164.61432565748692,0.0
3/20,12/20,3650,365000,98.94631052017212,66.26327364891768,1834.0016890764236,162.84340492263436,0.0
3/20,13/20,3700,370000,101.42212009429932,65.63018216565251,1832.7324952483177,161.1493007466197,0.0
3/20,14/20,3750,375000,98.1737732887268,65.6962765455246,1820.2574903964996,160.79063001647592,0.0
3/20,15/20,3800,380000,96.8189902305603,67.14741262421012,1830.5375183820724,167.79724987596273,0.0
3/20,16/20,3850,385000,98.15265083312988,66.25309383496642,1824.313343822956,164.45740421116352,0.0
3/20,17/20,3900,390000,97.1258111000061,65.96914129331708,1819.808863401413,164.36064760014415,0.0
3/20,18/20,3950,395000,101.95506191253662,66.28314231336117,1825.7461911439896,166.89139460399747,0.0
3/20,19/20,4000,400000,100.0596079826355,66.63018972054124,1839.8936886191368,170.11243103444576,0.0
4/20,0/20,4050,405000,99.95947098731995,66.83594315871596,1809.7615263462067,172.7652841694653,0.0
4/20,1/20,4100,410000,97.946706533432,66.40274231880903,1807.7448493242264,168.71505410596728,0.0
4/20,2/20,4150,415000,99.26644086837769,67.48614212498069,1792.1673233509064,169.0733975507319,0.0
4/20,3/20,4200,420000,99.4157178401947,67.16609650850296,1787.7964654564857,183.4493990726769,0.0
4/20,4/20,4250,425000,96.83941340446472,68.18016759306192,1808.9924775362015,189.84648574143648,0.0
4/20,5/20,4300,430000,99.65881276130676,66.7883288115263,1798.3553634285927,170.74259219691157,0.0
4/20,6/20,4350,435000,101.27451348304749,66.39441303536296,1768.7138263583183,177.1419383622706,0.0
4/20,7/20,4400,440000,98.5218563079834,65.47986126691103,1783.0281249284744,181.7818963751197,0.0
4/20,8/20,4450,445000,101.1886956691742,65.03313447162509,1766.509123146534,161.63612697646022,0.0
4/20,9/20,4500,450000,102.43134713172913,65.62316584959626,1757.2833520174026,178.7562687508762,0.0
4/20,10/20,4550,455000,100.03242564201355,65.25620326027274,1751.5040847063065,168.6648234948516,0.0
4/20,11/20,4600,460000,98.95857691764832,64.14601785317063,1727.9981768131256,174.67625577747822,0.0
4/20,12/20,4650,465000,102.72954678535461,64.13529828190804,1736.1284737586975,158.98575373366475,0.0
4/20,13/20,4700,470000,100.01032042503357,65.58655976131558,1738.8171256184578,186.09924104437232,0.0
4/20,14/20,4750,475000,97.16510701179504,65.7626337222755,1699.3916453123093,165.7654342390597,0.0
4/20,15/20,4800,480000,97.95460534095764,64.79578070342541,1710.9909675717354,162.65075160190463,0.0
4/20,16/20,4850,485000,102.01334977149963,64.07704438269138,1724.2703037261963,170.77845937758684,0.0
4/20,17/20,4900,490000,101.56587553024292,63.75593415647745,1715.7652080655098,168.11381059885025,0.0
4/20,18/20,4950,495000,101.39535689353943,63.2203611433506,1712.1647624969482,157.26935046166182,0.0
4/20,19/20,5000,500000,102.40018677711487,63.52420166879892,1705.2747285962105,186.1943430453539,0.0
5/20,0/20,5050,505000,99.25714564323425,62.717505034059286,1716.9884244799614,165.82454083487391,0.0
5/20,1/20,5100,510000,101.45227026939392,62.900668170303106,1708.9138405323029,161.8715892098844,0.0
5/20,2/20,5150,515000,103.40110921859741,63.077190689742565,1699.612411737442,182.3787249699235,0.0
5/20,3/20,5200,520000,97.60190320014954,64.07952945306897,1695.4639243483543,172.9416294582188,0.0
5/20,4/20,5250,525000,98.35028219223022,63.73652693629265,1694.3850284814835,164.62185813859105,0.0
5/20,5/20,5300,530000,99.94941759109497,64.22290615737438,1676.8152197003365,161.85606161132455,0.0
5/20,6/20,5350,535000,102.91877722740173,64.40418172627687,1680.3521039485931,173.90948210284114,0.0
5/20,7/20,5400,540000,101.1306881904602,64.14743074029684,1688.4203758835793,165.5160167813301,0.0
5/20,8/20,5450,545000,100.37302923202515,64.81136043742299,1691.1523424386978,151.44474959746003,0.0
5/20,9/20,5500,550000,100.01767563819885,65.09180323779583,1679.40085875988,175.41177524626255,0.0
5/20,10/20,5550,555000,102.98827052116394,64.63734026998281,1672.5951766371727,165.02567601203918,0.0
5/20,11/20,5600,560000,102.89192819595337,64.00756613537669,1646.6436558365822,154.27053191512823,0.0
5/20,12/20,5650,565000,102.57473850250244,64.58224651962519,1651.4132210612297,150.0955796353519,0.0
5/20,13/20,5700,570000,99.24727988243103,65.14709747955203,1627.8024643659592,154.33992510661483,0.0
5/20,14/20,5750,575000,100.77575850486755,64.3469462543726,1636.0896269083023,151.05018342286348,0.0
5/20,15/20,5800,580000,101.84639573097229,63.42626640945673,1639.4699563384056,161.41508599743247,0.0
5/20,16/20,5850,585000,99.32073664665222,62.623949971050024,1637.5796490311623,151.79002867639065,0.0
5/20,17/20,5900,590000,99.13189554214478,63.22071520239115,1615.2684949040413,149.08972761780024,0.0
5/20,18/20,5950,595000,99.15499830245972,62.47429369390011,1629.0572502613068,153.5088217444718,0.0
5/20,19/20,6000,600000,98.9089343547821,64.16907186061144,1638.9594063162804,155.24591205641627,0.0
6/20,0/20,6050,605000,100.1555826663971,62.77502726390958,1642.703332543373,158.21073261275887,0.0
6/20,1/20,6100,610000,97.14732146263123,60.73819352686405,1652.3560760617256,155.43129278160632,0.0
6/20,2/20,6150,615000,97.5281388759613,61.7835895344615,1666.167634665966,164.2224774286151,0.0
6/20,3/20,6200,620000,96.60851240158081,62.40097622945905,1662.6022951602936,155.32703484222293,0.0
6/20,4/20,6250,625000,97.98453187942505,62.86449332162738,1630.7424907684326,158.63501313701272,0.0
6/20,5/20,6300,630000,100.89652252197266,63.10066211596131,1663.1605174541473,158.95859253033996,0.0
6/20,6/20,6350,635000,102.7337052822113,61.406631749123335,1671.2232716083527,148.82626716420054,0.0
6/20,7/20,6400,640000,96.46960926055908,61.261489894241095,1635.7403272390366,146.0912198498845,0.0
6/20,8/20,6450,645000,97.35121393203735,61.51621722057462,1637.6623997092247,161.7079322785139,0.0
6/20,9/20,6500,650000,13936.037520170212,60.89661390706897,1626.0088735818863,146.19531316496432,0.0
6/20,10/20,6550,655000,33710.99834275246,62.11827828362584,1636.8002415299416,146.67044423520565,0.0
6/20,11/20,6600,660000,101.63111615180969,59.894267942756414,1651.3145924210548,157.6774788349867,0.0
6/20,12/20,6650,665000,101.29545760154724,60.04912028461695,1659.252804517746,144.5048092957586,0.0
6/20,13/20,6700,670000,101.32660150527954,59.727110009640455,1672.5472584962845,146.19430887326598,0.0
6/20,14/20,6750,675000,101.08500576019287,60.65926771238446,1649.6438482403755,159.66506825387478,0.0
6/20,15/20,6800,680000,98.19858956336975,61.08566488325596,1657.517323255539,143.70285261422396,0.0
6/20,16/20,6850,685000,102.92436289787292,61.44718175381422,1645.8867468833923,153.02896262705326,0.0
6/20,17/20,6900,690000,100.0254635810852,61.02382664382458,1665.4251969456673,156.1966261304915,0.0
6/20,18/20,6950,695000,101.52518486976624,62.34021678566933,1640.397641301155,155.99116545915604,0.0
6/20,19/20,7000,700000,102.99813723564148,63.008212730288506,1652.2253332138062,163.61429209262133,0.0
7/20,0/20,7050,705000,102.2760238647461,61.163238536566496,1667.2192548513412,156.15857053548098,0.0
7/20,1/20,7100,710000,100.93827605247498,62.18676356226206,1675.501687824726,172.11936182156205,0.0
7/20,2/20,7150,715000,56384.682497024536,61.509763307869434,1676.0207316875458,136.7504646629095,0.0
7/20,3/20,7200,720000,91.79242467880249,61.14585500955582,1666.797511279583,150.8527143113315,0.0
7/20,4/20,7250,725000,89.29106998443604,61.63526006042957,1679.1338974237442,144.66875974088907,0.0
7/20,5/20,7300,730000,89.74736332893372,60.233648382127285,1658.8976045250893,144.33290365710855,0.0
7/20,6/20,7350,735000,88.03359150886536,59.402370639145374,1692.582082927227,153.13154373317957,0.0
7/20,7/20,7400,740000,86.80783081054688,61.24402582272887,1672.2354375123978,148.11814070492983,0.0
7/20,8/20,7450,745000,86.51526618003845,61.66547876596451,1704.7743619084358,149.2941586151719,0.0
7/20,9/20,7500,750000,83.63449501991272,60.32846121490002,1697.4324812293053,153.3763837441802,0.0
7/20,10/20,7550,755000,85.66362190246582,61.01621175557375,1714.1048697829247,142.9656210076064,0.0
7/20,11/20,7600,760000,84.54809594154358,62.415161821991205,1698.4656489491463,153.2797791287303,0.0
7/20,12/20,7650,765000,84.25564980506897,62.404968056827784,1704.2132147550583,153.79040041193366,0.0
7/20,13/20,7700,770000,82.41919660568237,62.09348635748029,1684.7988263368607,147.84967225044966,0.0
7/20,14/20,7750,775000,87.3754210472107,61.82776280492544,1666.9377296566963,149.2461510039866,0.0
7/20,15/20,7800,780000,88.75159454345703,61.11443304270506,1709.2652987241745,156.66998786851764,0.0
7/20,16/20,7850,785000,85.83379983901978,60.0692603290081,1694.5092420578003,151.37460313923657,0.0
7/20,17/20,7900,790000,85.88505625724792,61.18838556110859,1708.958575963974,157.68541530147195,0.0
7/20,18/20,7950,795000,87.12616467475891,60.909089524298906,1690.5550210475922,164.23916132561862,0.0
7/20,19/20,8000,800000,88.32662296295166,61.09952786192298,1674.0389257073402,155.98581360466778,0.0
8/20,0/20,8050,805000,88.47767949104309,61.28189440816641,1693.8085039258003,147.62931794300675,0.0
8/20,1/20,8100,810000,86.38993763923645,63.35331196337938,1653.4479715824127,165.7848890349269,0.0
8/20,2/20,8150,815000,85.84049105644226,63.59621849656105,1592.8044779896736,160.5157648473978,0.0
8/20,3/20,8200,820000,86.04120945930481,63.257494401186705,1570.307919561863,148.03421290963888,0.0
8/20,4/20,8250,825000,84.73171305656433,63.97785646095872,1552.9126917123795,153.31746447831392,0.0
8/20,5/20,8300,830000,86.97254824638367,62.72659649327397,1548.0167654156685,139.23318184167147,0.0
8/20,6/20,8350,835000,83.55606770515442,62.75741716474295,1552.8680166006088,145.2643772661686,0.0
8/20,7/20,8400,840000,86.17092204093933,62.021403048187494,1560.4532348513603,149.67899310216308,0.0
8/20,8/20,8450,845000,85.05839562416077,60.16276886686683,1526.6150960326195,139.5429224036634,0.0
8/20,9/20,8500,850000,86.12443447113037,61.169813614338636,1542.452807545662,146.23966671153903,0.0
8/20,10/20,8550,855000,87.36474800109863,60.84512201324105,1541.3026513457298,142.72961530461907,0.0
8/20,11/20,8600,860000,87.25175189971924,61.16001904010773,1516.6077266931534,144.58061242476106,0.0
8/20,12/20,8650,865000,85.9668653011322,61.379473900422454,1516.3461177945137,138.2764693722129,0.0
8/20,13/20,8700,870000,87.20472550392151,61.64672112092376,1521.1799362897873,141.1027118023485,0.0
8/20,14/20,8750,875000,87.17000365257263,60.477099142968655,1519.5425426959991,134.58506955578923,0.0
8/20,15/20,8800,880000,85.93613147735596,60.46019509807229,1532.0784690380096,141.86111446470022,0.0
8/20,16/20,8850,885000,87.96387052536011,62.03572087734938,1515.2993996739388,143.60384006425738,0.0
8/20,17/20,8900,890000,87.59726762771606,60.45556652545929,1537.7938332557678,134.3614152148366,0.0
8/20,18/20,8950,895000,85.29690337181091,60.96973232924938,1539.0493975877762,142.46660954132676,0.0
8/20,19/20,9000,900000,85.19700050354004,60.70117933675647,1551.668053328991,142.42151875048876,0.0
