Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,60.83324098587036,,,,0.0
0/20,1/20,100,10000,50.501458406448364,6.329091489315033,2.4956460744142532,0.390640995465219,0.0
0/20,2/20,150,15000,96.83889508247375,621.9791626632214,20.790158520452678,5.578759025083855,0.0
0/20,3/20,200,20000,95.78689932823181,1059.4874321222305,15.693724713288248,25.299664159305394,0.0
0/20,4/20,250,25000,89.99011373519897,1455.5492243170738,13.519384781830013,31.435381644405425,0.0
0/20,5/20,300,30000,93.53337717056274,1836.7291233539581,15.132971460931003,29.858262582682073,0.0
0/20,6/20,350,35000,92.5342378616333,2231.0810376405716,12.79258691915311,31.16643730457872,0.0
0/20,7/20,400,40000,93.03313040733337,2598.2555478811264,13.674358250573277,32.44343616254628,0.0
0/20,8/20,450,45000,94.43761587142944,2944.8260169029236,11.584692534292117,31.241568693891168,0.0
0/20,9/20,500,50000,90.93748116493225,3266.1335039138794,12.522209872258827,29.99631340801716,0.0
0/20,10/20,550,55000,94.02407121658325,3615.7767436504364,13.686799346935004,29.618991128169,0.0
0/20,11/20,600,60000,94.62950110435486,3905.9240489006042,12.848170717014,30.82945843413472,0.0
0/20,12/20,650,65000,89.9374315738678,4188.8464615345,14.665672512724996,30.984239483252168,0.0
0/20,13/20,700,70000,94.48997592926025,4471.518723726273,14.007346531609073,31.20598008763045,0.0
0/20,14/20,750,75000,94.51808834075928,4735.462872028351,14.442640074295923,30.399670678190887,0.0
0/20,15/20,800,80000,95.02528810501099,4937.937943458557,14.975785663118586,29.998599893413484,0.0
0/20,16/20,850,85000,93.76011681556702,5209.243464708328,16.16924444353208,30.03385761473328,0.0
0/20,17/20,900,90000,94.24541401863098,5450.500980615616,17.17139567504637,31.85182231105864,0.0
0/20,18/20,950,95000,92.20811653137207,5632.050651788712,21.41989332390949,35.385630240663886,0.0
0/20,19/20,1000,100000,97.56891989707947,5885.131556034088,24.94550911942497,34.869928762316704,0.0
1/20,0/20,1050,105000,95.96097159385681,6045.906559467316,25.25058186519891,36.5529155228287,0.0
1/20,1/20,1100,110000,93.80478000640869,6193.53612613678,27.019190582446754,35.747806588187814,0.0
1/20,2/20,1150,115000,94.27070617675781,6336.021334648132,24.54486795933917,35.67456085048616,0.0
1/20,3/20,1200,120000,94.13504362106323,6533.6423144340515,23.410609932616353,35.08496867772192,0.0
1/20,4/20,1250,125000,94.47781109809875,6663.060526371002,21.26682066032663,34.50898500252515,0.0
1/20,5/20,1300,130000,89.93871760368347,6824.858325481415,22.704215795733035,34.374662298709154,0.0
1/20,6/20,1350,135000,93.0995078086853,6926.49378156662,21.636516318190843,33.07136915624142,0.0
1/20,7/20,1400,140000,91.53929471969604,7126.755459785461,21.29051056597382,34.04633636493236,0.0
1/20,8/20,1450,145000,92.54268455505371,7209.354637145996,22.841482386458665,34.81215248256922,0.0
1/20,9/20,1500,150000,93.08172845840454,7360.336240768433,21.35656766174361,34.57946069911122,0.0
1/20,10/20,1550,155000,94.19183254241943,7425.701280593872,22.05099609447643,33.677740121260285,0.0
1/20,11/20,1600,160000,94.58526015281677,7569.453389644623,21.498105216305703,31.92406106647104,0.0
1/20,12/20,1650,165000,92.54957795143127,7654.666540145874,23.256610151845962,32.52697912231088,0.0
1/20,13/20,1700,170000,91.73302936553955,7751.80247926712,18.557252858299762,32.2387308832258,0.0
1/20,14/20,1750,175000,93.2417905330658,7891.3515038490295,18.57536704465747,32.39467482548207,0.0
1/20,15/20,1800,180000,92.68866086006165,7900.166062831879,21.41748350346461,32.749786474741995,0.0
1/20,16/20,1850,185000,92.51061034202576,7986.250701904297,19.744013715535402,32.37030154746026,0.0
1/20,17/20,1900,190000,91.1022412776947,8077.066611766815,21.645609780680388,31.614669071510434,0.0
1/20,18/20,1950,195000,89.10857939720154,8140.506399154663,20.513082589488477,31.659294890239835,0.0
1/20,19/20,2000,200000,91.85514259338379,8232.614255905151,19.755164993926883,31.55286394432187,0.0
2/20,0/20,2050,205000,89.48587203025818,8267.389056682587,17.901016681455076,31.224839615635574,0.0
2/20,1/20,2100,210000,92.72113370895386,8379.59204673767,20.365453782957047,31.201788923703134,0.0
2/20,2/20,2150,215000,92.33052730560303,8508.043594837189,19.17437799135223,31.0550720365718,0.0
2/20,3/20,2200,220000,90.69758224487305,8511.745527744293,19.934671491850168,31.830410606227815,0.0
2/20,4/20,2250,225000,93.79430747032166,8563.416989326477,18.340376555453986,31.179419013671577,0.0
2/20,5/20,2300,230000,94.8438024520874,8669.84317779541,17.121866893488914,31.07307534944266,0.0
2/20,6/20,2350,235000,94.97310304641724,8727.680222511292,17.82995755970478,30.42398557625711,0.0
2/20,7/20,2400,240000,95.49913239479065,8707.94080543518,16.399547564331442,28.831522188149393,0.0
2/20,8/20,2450,245000,95.27052044868469,8829.736443519592,17.113112073857337,29.522679418325424,0.0
2/20,9/20,2500,250000,96.56934809684753,8856.541567325592,18.37655561277643,29.766127574257553,0.0
2/20,10/20,2550,255000,95.84256029129028,8842.93859577179,15.612208651844412,28.768055577762425,0.0
2/20,11/20,2600,260000,93.90252542495728,8920.02333164215,15.249298130860552,27.693410681560636,0.0
2/20,12/20,2650,265000,93.4047999382019,8960.289380073547,15.549824639689177,27.988101797178388,0.0
2/20,13/20,2700,270000,94.63920164108276,8983.374632358551,14.478060712805018,26.73429859150201,0.0
2/20,14/20,2750,275000,94.41347479820251,9064.36261177063,13.966658091405407,26.290899146348238,0.0
2/20,15/20,2800,280000,95.54981303215027,9122.752066612244,14.96552782645449,26.74888637010008,0.0
2/20,16/20,2850,285000,94.69496393203735,9148.463131904602,19.273473989451304,26.412941981106997,0.0
2/20,17/20,2900,290000,92.88970041275024,9191.688154220581,14.51133446674794,26.160569592379034,0.0
2/20,18/20,2950,295000,94.64601707458496,9292.73176240921,14.406511206179857,26.193725546821952,0.0
2/20,19/20,3000,300000,93.21231055259705,9334.035718917847,13.642129218904302,25.759303093887866,0.0
3/20,0/20,3050,305000,97.63728165626526,9293.864915847778,14.426292616175488,25.505762889049947,0.0
3/20,1/20,3100,310000,95.51323056221008,9332.61819601059,14.113582690246403,24.546566667966545,0.0
3/20,2/20,3150,315000,98.03709983825684,9413.06980085373,13.864111396949738,23.974503139965236,0.0
3/20,3/20,3200,320000,93.83849835395813,9419.717741012573,14.249268514569849,24.064709408208728,0.0
3/20,4/20,3250,325000,92.26663064956665,9368.982102870941,13.785492973867804,24.845923197455704,0.0
3/20,5/20,3300,330000,93.30859470367432,9534.287664413452,15.916031757136807,25.385245409794152,0.0
3/20,6/20,3350,335000,94.30971169471741,9447.892520427704,13.785068840254098,25.373641150072217,0.0
3/20,7/20,3400,340000,94.39326238632202,9509.459013462067,13.223915766226128,25.777271947823465,0.0
3/20,8/20,3450,345000,90.71899223327637,9487.48391008377,13.771352648036554,25.90880258474499,0.0
3/20,9/20,3500,350000,92.93833684921265,9513.913756847382,14.312031919602305,27.526513163000345,0.0
3/20,10/20,3550,355000,93.4317581653595,9545.351369380951,15.169544890522957,28.059552224352956,0.0
3/20,11/20,3600,360000,93.58039021492004,9585.186203956604,14.835782521869987,28.472445093095303,0.0
3/20,12/20,3650,365000,92.24144625663757,9650.952373027802,15.504400348989293,30.279072261415422,0.0
3/20,13/20,3700,370000,94.70812177658081,9643.396760463715,15.774708318524063,30.647809324786067,0.0
3/20,14/20,3750,375000,93.82578945159912,9702.743330478668,14.35990160657093,31.422419322654605,0.0
3/20,15/20,3800,380000,92.90979146957397,9640.077177524567,19.479174128500745,33.74245558492839,0.0
3/20,16/20,3850,385000,95.10215163230896,9633.548504829407,20.631598421838135,35.7906588781625,0.0
3/20,17/20,3900,390000,96.12066864967346,9626.502257347107,17.07669357722625,31.235539660789073,0.0
3/20,18/20,3950,395000,93.34481573104858,9688.02830696106,15.49773650499992,30.51223146636039,0.0
3/20,19/20,4000,400000,95.42210674285889,9694.825585365295,15.287623028503731,29.84661521203816,0.0
4/20,0/20,4050,405000,96.25699615478516,9686.0155210495,15.406375038903207,29.801418403163552,0.0
4/20,1/20,4100,410000,96.08923888206482,9742.06121969223,13.737122209975496,29.156500447541475,0.0
4/20,2/20,4150,415000,94.49532580375671,9748.839116573334,14.3484807331115,28.37626194115728,0.0
4/20,3/20,4200,420000,95.26976227760315,9645.504535675049,14.338750914204866,28.981575450859964,0.0
4/20,4/20,4250,425000,94.7506194114685,9726.06079006195,14.213454409502447,29.181394120678306,0.0
4/20,5/20,4300,430000,91.54892420768738,9745.678823947906,15.450534405186772,29.655461886897683,0.0
4/20,6/20,4350,435000,93.83296871185303,9757.768642425537,13.46703209890984,30.0545584121719,0.0
4/20,7/20,4400,440000,93.5610511302948,9710.254750728607,12.634442799026147,29.070819720625877,0.0
4/20,8/20,4450,445000,94.6273262500763,9781.832318782806,14.231441910145804,28.80926786083728,0.0
4/20,9/20,4500,450000,91.2202365398407,9751.048270702362,12.925964830908924,29.695334126241505,0.0
4/20,10/20,4550,455000,95.11887001991272,9759.558967113495,13.242551274597645,29.460871832445264,0.0
4/20,11/20,4600,460000,93.91294503211975,9834.881742954254,11.73673269781284,28.721669058315456,0.0
4/20,12/20,4650,465000,93.72608494758606,9831.096689224243,11.861027154140174,28.60475245118141,0.0
4/20,13/20,4700,470000,91.33680605888367,9898.928235054016,12.687668696511537,29.122408538125455,0.0
4/20,14/20,4750,475000,92.68777894973755,9809.085902690887,13.428455945802853,28.817178588360548,0.0
4/20,15/20,4800,480000,91.02057647705078,9801.720613002777,12.337851024465635,28.539666174910963,0.0
4/20,16/20,4850,485000,93.44902110099792,9819.95483160019,11.488208631519228,28.329095219261944,0.0
4/20,17/20,4900,490000,87.59302997589111,9885.678242206573,12.41133664548397,28.375867063179612,0.0
4/20,18/20,4950,495000,89.64521026611328,9899.40959072113,11.645141868153587,28.24876243248582,0.0
4/20,19/20,5000,500000,91.72207117080688,9886.658514976501,12.305539361201227,28.595801164396107,0.0
5/20,0/20,5050,505000,91.02846360206604,9946.177201271057,12.02560178656131,28.05584498308599,0.0
5/20,1/20,5100,510000,94.37876081466675,9909.677195549011,12.626036430476233,27.636295267380774,0.0
5/20,2/20,5150,515000,93.5584933757782,10053.003576755524,11.952363215154037,28.243324598297477,0.0
5/20,3/20,5200,520000,91.06395125389099,9930.8916182518,12.611599879572168,28.465978603810072,0.0
5/20,4/20,5250,525000,92.19267868995667,9892.776570796967,14.03557763947174,27.58835449256003,0.0
5/20,5/20,5300,530000,93.5795066356659,9983.78041267395,14.366294209845364,28.51634785812348,0.0
5/20,6/20,5350,535000,92.53770446777344,9984.915603160858,12.211214448092505,28.297227176837623,0.0
5/20,7/20,5400,540000,87.96986222267151,9987.13843536377,14.07163698063232,28.444290921092033,0.0
5/20,8/20,5450,545000,93.06311821937561,10030.908150672913,12.165562802227214,27.56115677393973,0.0
5/20,9/20,5500,550000,91.84014511108398,9991.444301128387,11.517286455025896,27.777809923514724,0.0
5/20,10/20,5550,555000,91.76030993461609,10023.113572120667,10.714211903046817,27.509612175635993,0.0
5/20,11/20,5600,560000,93.86992764472961,10039.251608848572,11.239518534392118,27.555465245619416,0.0
5/20,12/20,5650,565000,94.00456953048706,10082.776065826416,11.09188829199411,27.336758154444396,0.0
5/20,13/20,5700,570000,92.96286129951477,10026.234541416168,11.824960773112252,28.047609402798116,0.0
5/20,14/20,5750,575000,92.83908295631409,10097.178644180298,11.032655227463692,27.34536280669272,0.0
5/20,15/20,5800,580000,96.08029508590698,10132.16936826706,11.765624866238795,28.306038767565042,0.0
5/20,16/20,5850,585000,92.30888605117798,10041.317480564117,11.593231995240785,27.53376632835716,0.0
5/20,17/20,5900,590000,91.33433675765991,10018.140885829926,13.642943727085367,27.909869235940278,0.0
5/20,18/20,5950,595000,96.74139428138733,10073.325999736786,11.797238897997886,26.650684596039355,0.0
5/20,19/20,6000,600000,97.68643879890442,10047.27162694931,12.00942472240422,27.359018615446985,0.0
6/20,0/20,6050,605000,97.16381669044495,10068.85069990158,12.709485419793054,27.622724410146475,0.0
6/20,1/20,6100,610000,92.86277079582214,10078.552736759186,11.980317185400054,27.003210538998246,0.0
6/20,2/20,6150,615000,94.21279788017273,10157.813584327698,12.730302214389667,27.272362058982253,0.0
6/20,3/20,6200,620000,95.60135960578918,10032.49842786789,12.705991515773349,27.09535992424935,0.0
6/20,4/20,6250,625000,92.87110137939453,10070.795885562897,12.68568824394606,28.410442751832306,0.0
6/20,5/20,6300,630000,94.61148452758789,10082.372413158417,12.39372659730725,28.19827334675938,0.0
6/20,6/20,6350,635000,97.81950879096985,10112.74592924118,19.82900590240024,28.363836483098567,0.0
6/20,7/20,6400,640000,95.89095163345337,10051.689033985138,14.671570325735956,27.435459004715085,0.0
6/20,8/20,6450,645000,96.33768725395203,10107.455839157104,12.552379790693521,28.86360272206366,0.0
6/20,9/20,6500,650000,96.3258409500122,10049.511332988739,11.280826766276732,28.903576855547726,0.0
6/20,10/20,6550,655000,94.16812109947205,10141.21548318863,12.209692044300027,28.2801665738225,0.0
6/20,11/20,6600,660000,95.7413022518158,10138.455474376678,11.722685443935916,28.10234317649156,0.0
6/20,12/20,6650,665000,92.61861228942871,10123.366687297821,11.668046634062193,27.717818810604513,0.0
6/20,13/20,6700,670000,92.6570782661438,10116.23967885971,11.583790578763,28.0176569391042,0.0
6/20,14/20,6750,675000,90.80821943283081,10129.375086784363,12.026756471954286,28.43371304962784,0.0
6/20,15/20,6800,680000,95.80078101158142,10145.798696517944,12.550562715157866,28.495031205005944,0.0
6/20,16/20,6850,685000,95.84915733337402,10146.783411502838,11.667934730066918,28.462758056353778,0.0
6/20,17/20,6900,690000,92.028235912323,10183.986634731293,11.814470997080207,28.207897662185133,0.0
6/20,18/20,6950,695000,97.21900367736816,10148.799094676971,11.593467900762334,28.226757404394448,0.0
6/20,19/20,7000,700000,95.39535808563232,10081.097179412842,10.876820642035455,28.3958402806893,0.0
7/20,0/20,7050,705000,93.58706283569336,10146.406723499298,11.165248031611554,28.97159717604518,0.0
7/20,1/20,7100,710000,94.82684683799744,10156.391421318054,12.290472249966115,28.507393551059067,0.0
7/20,2/20,7150,715000,92.92458319664001,10110.796216011047,10.905282188672572,29.463334031403065,0.0
7/20,3/20,7200,720000,92.53878784179688,10153.536993980408,11.310474218451418,28.34254335798323,0.0
