Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,47.47730565071106,,,,0.0
0/20,1/20,100,10000,46.35422706604004,3.250632658600807,5.4767134711146355,0.18439914099872112,0.0
0/20,2/20,150,15000,90.99444246292114,18.204577915836126,564.4583199173212,5.094261622405611,0.0
0/20,3/20,200,20000,90.21999406814575,15.256034408695996,1082.7048711776733,21.94578763237223,0.0
0/20,4/20,250,25000,87.74330377578735,15.837947714608163,1508.3633408546448,30.84153027739376,0.0
0/20,5/20,300,30000,89.83083415031433,14.397344259079546,1926.6602708101273,30.074461889453232,0.0
0/20,6/20,350,35000,91.03083610534668,15.323137281928211,2294.7953308820724,29.96194400731474,0.0
0/20,7/20,400,40000,91.17488765716553,12.873199535068125,2669.9345401525497,30.458787376992404,0.0
0/20,8/20,450,45000,90.39985537528992,11.731217535911128,3018.243976354599,29.53559644613415,0.0
0/20,9/20,500,50000,90.43983340263367,12.49244898580946,3335.887051343918,28.065742935054004,0.0
0/20,10/20,550,55000,91.33346772193909,12.506579021923244,3660.426766872406,27.402116345241666,0.0
0/20,11/20,600,60000,91.84176754951477,13.04443283053115,3973.898049592972,27.40758305322379,0.0
0/20,12/20,650,65000,91.49268674850464,14.046744936844334,4280.366178512573,27.720417760312557,0.0
0/20,13/20,700,70000,92.40977811813354,13.163691659923643,4544.945436000824,27.262326045893133,0.0
0/20,14/20,750,75000,91.61343622207642,14.674072470050305,4813.912479400635,25.89616969693452,0.0
0/20,15/20,800,80000,92.30796694755554,13.798699795966968,5058.012046098709,26.00881515443325,0.0
0/20,16/20,850,85000,90.94643354415894,15.384166985750198,5302.2573890686035,26.397966485470533,0.0
0/20,17/20,900,90000,90.69463276863098,15.328005483374,5504.659324169159,26.631339255720377,0.0
0/20,18/20,950,95000,92.99973845481873,13.550273658242077,5661.622218370438,27.289559432305396,0.0
0/20,19/20,1000,100000,93.13471746444702,14.501447771675885,5854.364784002304,28.676198810338974,0.0
1/20,0/20,1050,105000,92.971599817276,14.939106865786016,6062.722096443176,29.678002356551588,0.0
1/20,1/20,1100,110000,90.79512453079224,15.668620732147247,6213.683126926422,32.197780770249665,0.0
1/20,2/20,1150,115000,94.31828618049622,15.912585406564176,6303.3086524009705,30.676520637236536,0.0
1/20,3/20,1200,120000,92.44565725326538,18.54301582626067,6435.0801367759705,27.379671839997172,0.0
1/20,4/20,1250,125000,93.35940551757812,14.829554876312613,6636.5131578445435,24.989010736346245,0.0
1/20,5/20,1300,130000,93.27989506721497,14.453023897483945,6716.8116998672485,24.848909744992852,0.0
1/20,6/20,1350,135000,91.45637917518616,15.199542252579704,6942.114792346954,23.288232693448663,0.0
1/20,7/20,1400,140000,91.58841013908386,13.620086901122704,7061.226525783539,23.030442650429904,0.0
1/20,8/20,1450,145000,92.09816336631775,15.5483317153994,7161.838230609894,24.19562792684883,0.0
1/20,9/20,1500,150000,93.40869736671448,16.296403880231082,7308.377928733826,23.03054820280522,0.0
1/20,10/20,1550,155000,91.63490128517151,16.33733220724389,7438.5392146110535,22.924631636589766,0.0
1/20,11/20,1600,160000,91.15480875968933,16.9462579539977,7518.288625240326,23.957826212979853,0.0
1/20,12/20,1650,165000,92.32329750061035,19.54634658130817,7654.015049934387,23.10867289081216,0.0
1/20,13/20,1700,170000,92.65592837333679,22.832523252582178,7781.592670917511,26.22036465490237,0.0
1/20,14/20,1750,175000,93.38904786109924,18.898813714273274,7836.025489807129,25.465350791811943,0.0
1/20,15/20,1800,180000,94.71333479881287,19.84427966666408,7943.430729389191,27.188029842451215,0.0
1/20,16/20,1850,185000,90.99277758598328,19.1717285127379,8075.381182193756,26.058683712035418,0.0
1/20,17/20,1900,190000,94.90642499923706,20.685950844315812,8106.886538028717,27.83595215715468,0.0
1/20,18/20,1950,195000,91.30299115180969,19.82069113943726,8298.317150115967,27.6903484063223,0.0
1/20,19/20,2000,200000,93.08785653114319,18.391813375987113,8341.136423110962,26.46975324023515,0.0
2/20,0/20,2050,205000,93.18431234359741,20.58060503611341,8398.435406684875,26.52993919327855,0.0
2/20,1/20,2100,210000,91.15820527076721,20.3518521389924,8453.157482624054,25.992819549515843,0.0
2/20,2/20,2150,215000,92.05985450744629,17.625336850993335,8534.015198230743,25.95212148502469,0.0
2/20,3/20,2200,220000,90.04755353927612,19.364555870182812,8635.877447128296,25.612738115713,0.0
2/20,4/20,2250,225000,92.2728533744812,17.756412986433133,8633.356107711792,25.61903424281627,0.0
