Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,45.81156826019287,,,,0.0
0/20,1/20,100,10000,50.765886545181274,0.17584441974759102,3.027661196887493,7.486872300505638,0.0
0/20,2/20,150,15000,96.25067710876465,4.525260579306632,21.47034032456577,691.6777659356594,0.0
0/20,3/20,200,20000,92.56701898574829,24.247947062831372,17.192249638494104,1210.0789236426353,0.0
0/20,4/20,250,25000,95.40487718582153,32.67357986792922,19.186223027762026,1654.6369179487228,0.0
0/20,5/20,300,30000,91.0078194141388,29.823288079351187,18.446435064077377,2079.1010599136353,0.0
0/20,6/20,350,35000,93.57705616950989,33.73153980076313,19.25947276968509,2465.7434751987457,0.0
0/20,7/20,400,40000,93.95682311058044,35.71791884675622,19.381805040873587,2804.145159602165,0.0
0/20,8/20,450,45000,95.3508939743042,35.68149346858263,19.00694596581161,3105.640156507492,0.0
0/20,9/20,500,50000,95.53355288505554,36.84947211667895,18.75961867067963,3453.2644588947296,0.0
0/20,10/20,550,55000,93.34912991523743,36.604760920628905,20.607404936570674,3797.7453553676605,0.0
0/20,11/20,600,60000,96.71789884567261,35.66211729310453,19.794191841967404,4069.085568666458,0.0
0/20,12/20,650,65000,95.38895034790039,38.644896974787116,22.052596596535295,4383.101482391357,0.0
0/20,13/20,700,70000,94.0664873123169,38.54146335273981,24.665337825194,4649.4656019210815,0.0
0/20,14/20,750,75000,97.07615613937378,40.580490751191974,25.979336567223072,4888.443966627121,0.0
0/20,15/20,800,80000,97.4694676399231,39.004283861257136,25.41983383242041,5126.565306901932,0.0
0/20,16/20,850,85000,99.3721170425415,39.06964962556958,28.875157442875206,5361.600891828537,0.0
0/20,17/20,900,90000,97.55643844604492,38.80463095009327,28.16309097316116,5590.308318853378,0.0
0/20,18/20,950,95000,95.88134503364563,39.54217664711177,25.901726148091257,5772.393243789673,0.0
0/20,19/20,1000,100000,97.09196615219116,39.81447632610798,27.33022174332291,6001.111501216888,0.0
1/20,0/20,1050,105000,97.2274317741394,39.317509204149246,27.617638277821243,6170.353175163269,0.0
1/20,1/20,1100,110000,96.1370415687561,40.04590883105993,26.53625520830974,6326.264086723328,0.0
1/20,2/20,1150,115000,93.45969581604004,39.40983282215893,25.864048482850194,6523.237217903137,0.0
1/20,3/20,1200,120000,98.0390853881836,38.66820058785379,24.446309230290353,6673.963228702545,0.0
1/20,4/20,1250,125000,95.85631108283997,39.50085270777345,24.939308021683246,6841.450325012207,0.0
1/20,5/20,1300,130000,94.26400113105774,39.11371233686805,24.88459129910916,6990.708417415619,0.0
1/20,6/20,1350,135000,96.58518242835999,40.19974838383496,25.03032526280731,7133.168026924133,0.0
1/20,7/20,1400,140000,93.52781844139099,39.24775227718055,24.94430927094072,7318.871705532074,0.0
1/20,8/20,1450,145000,93.38730025291443,39.115033304318786,23.979633101262152,7393.322191238403,0.0
1/20,9/20,1500,150000,96.86874055862427,38.58282781392336,23.344835927709937,7510.1303153038025,0.0
1/20,10/20,1550,155000,95.73799705505371,39.75149284303188,25.384658608585596,7580.254187583923,0.0
1/20,11/20,1600,160000,96.54917049407959,40.13394215889275,26.74339142208919,7773.983364582062,0.0
1/20,12/20,1650,165000,94.93099021911621,47.8270039409399,28.7434548381716,7813.314507007599,0.0
1/20,13/20,1700,170000,92.03590226173401,60.15233903750777,32.286596667952836,7832.007355690002,0.0
1/20,14/20,1750,175000,91.47693204879761,66.37715449556708,34.694871351122856,7718.466717720032,0.0
1/20,15/20,1800,180000,89.60769557952881,67.53561765700579,38.664456657134,7605.331091403961,0.0
1/20,16/20,1850,185000,87.4365725517273,71.40955816209316,39.5870326468721,7549.405967235565,0.0
1/20,17/20,1900,190000,87.2193956375122,61.55491139367223,36.53553887922317,7473.726708889008,0.0
1/20,18/20,1950,195000,90.13149070739746,52.6355473510921,37.08502011280507,7513.9261083602905,0.0
1/20,19/20,2000,200000,92.86808180809021,47.4300204962492,36.369379946030676,7573.641796112061,0.0
2/20,0/20,2050,205000,90.67414689064026,48.82099724188447,35.78574292361736,7622.6186237335205,0.0
2/20,1/20,2100,210000,92.40205526351929,47.13139899633825,36.18080763705075,7633.083130836487,0.0
2/20,2/20,2150,215000,90.54310846328735,46.38595927320421,36.30303625855595,7694.171183109283,0.0
2/20,3/20,2200,220000,88.4369854927063,44.95405360683799,35.90198554843664,7715.925159931183,0.0
2/20,4/20,2250,225000,89.66181468963623,41.60358592495322,34.0598103730008,7734.5606417655945,0.0
2/20,5/20,2300,230000,88.05007457733154,38.880683505907655,30.86382231488824,7822.941564083099,0.0
2/20,6/20,2350,235000,89.33431053161621,38.93167535588145,32.08735331567004,7892.779496192932,0.0
2/20,7/20,2400,240000,89.82267093658447,36.89647499844432,28.458746916614473,8050.085683345795,0.0
2/20,8/20,2450,245000,90.97410488128662,35.99048818089068,25.72700345190242,8156.481569290161,0.0
2/20,9/20,2500,250000,91.39173913002014,36.638471154496074,25.033545748796314,8191.282860279083,0.0
2/20,10/20,2550,255000,90.65751028060913,35.42918919399381,25.826791970990598,8334.545385360718,0.0
2/20,11/20,2600,260000,91.48249697685242,35.58610935974866,24.028736683540046,8441.384303092957,0.0
2/20,12/20,2650,265000,92.35010838508606,35.16712290048599,26.015148687642068,8482.98272228241,0.0
2/20,13/20,2700,270000,91.74745225906372,34.12142268382013,23.450349411927164,8520.61635017395,0.0
2/20,14/20,2750,275000,96.75182628631592,34.833248011767864,22.80181126622483,8586.297891616821,0.0
2/20,15/20,2800,280000,91.67578220367432,35.02455428894609,21.23370624659583,8619.454265117645,0.0
2/20,16/20,2850,285000,93.06306600570679,33.61800098232925,21.503932234831154,8733.169342041016,0.0
2/20,17/20,2900,290000,91.87438893318176,33.805137851275504,21.4987972676754,8782.745661258698,0.0
2/20,18/20,2950,295000,94.87135124206543,32.942228719592094,20.58869866654277,8858.139971256256,0.0
2/20,19/20,3000,300000,92.44798231124878,32.43289468064904,19.905486162751913,8888.48997926712,0.0
3/20,0/20,3050,305000,95.3818359375,31.625515188090503,19.716953121125698,8982.434117794037,0.0
3/20,1/20,3100,310000,93.89282417297363,32.000608349218965,20.17816386697814,9001.953785896301,0.0
3/20,2/20,3150,315000,96.80357456207275,31.596639638766646,18.229885171633214,9074.633772850037,0.0
3/20,3/20,3200,320000,95.04896926879883,30.84424181189388,18.118948571383953,9105.81937456131,0.0
3/20,4/20,3250,325000,92.1922857761383,31.715112265199423,17.966597682330757,9156.640488147736,0.0
3/20,5/20,3300,330000,91.42803120613098,31.913261575624347,17.752812530379742,9145.204431056976,0.0
3/20,6/20,3350,335000,92.01202535629272,32.000551282428205,20.90048135118559,9254.828873634338,0.0
3/20,7/20,3400,340000,94.27296948432922,33.66730911657214,20.476671937387437,9279.551578044891,0.0
3/20,8/20,3450,345000,93.43564820289612,33.59065228514373,22.759953607805073,9291.264079093933,0.0
3/20,9/20,3500,350000,95.1193265914917,34.37043288350105,27.505241317674518,9277.200981616974,0.0
3/20,10/20,3550,355000,95.16425251960754,36.88155695423484,28.086693071760237,9413.652029037476,0.0
3/20,11/20,3600,360000,96.47668266296387,49.05184665508568,33.7677335916087,9337.620748519897,0.0
3/20,12/20,3650,365000,100.04967474937439,51.52589860931039,40.768695143051445,9254.908004283905,0.0
3/20,13/20,3700,370000,97.30053567886353,52.41800414212048,44.50305148214102,9181.791861534119,0.0
3/20,14/20,3750,375000,98.16005945205688,53.00866938382387,45.09702972136438,9111.400876998901,0.0
3/20,15/20,3800,380000,96.63723826408386,49.81380345672369,50.0905978968367,9049.363532066345,0.0
3/20,16/20,3850,385000,94.82208108901978,52.235954374074936,44.5871342131868,8976.242588043213,0.0
3/20,17/20,3900,390000,101.06588745117188,51.57792379707098,46.621259773150086,8923.84955406189,0.0
3/20,18/20,3950,395000,95.08817410469055,49.46013107150793,47.94849231559783,8908.949516773224,0.0
3/20,19/20,4000,400000,94.18225765228271,48.877284253016114,45.655511745251715,8912.499340057373,0.0
4/20,0/20,4050,405000,93.43760514259338,49.55589703284204,45.88953261356801,8897.999950885773,0.0
4/20,1/20,4100,410000,93.64869022369385,45.10161352716386,51.587690078653395,8800.719581604004,0.0
4/20,2/20,4150,415000,94.51974558830261,43.70695048570633,46.25142289698124,8825.976438522339,0.0
4/20,3/20,4200,420000,91.9922456741333,41.09194288961589,42.90950872655958,8930.58477640152,0.0
4/20,4/20,4250,425000,92.97050619125366,38.65935782901943,39.28659315314144,8875.754089832306,0.0
4/20,5/20,4300,430000,93.5625057220459,37.29155231267214,37.50836419034749,8963.631052494049,0.0
4/20,6/20,4350,435000,90.59185934066772,36.16247949749231,37.064680902287364,9049.047902584076,0.0
4/20,7/20,4400,440000,93.26389837265015,36.315743336454034,35.93525644019246,8996.727993965149,0.0
4/20,8/20,4450,445000,92.6704421043396,36.41046502068639,34.73470055311918,9048.522846221924,0.0
4/20,9/20,4500,450000,91.64395332336426,35.591574382036924,33.145802883431315,9143.978940963745,0.0
4/20,10/20,4550,455000,93.0348949432373,35.14907322637737,30.157016456127167,9100.006551265717,0.0
4/20,11/20,4600,460000,90.66951155662537,35.12502411007881,30.51110190525651,9218.977754116058,0.0
4/20,12/20,4650,465000,91.37635636329651,34.80371227860451,29.841175041161478,9183.32310295105,0.0
4/20,13/20,4700,470000,93.5301947593689,34.0994085110724,29.708689734805375,9221.804650783539,0.0
4/20,14/20,4750,475000,93.02722716331482,35.03335949964821,28.180012471042573,9245.407719612122,0.0
4/20,15/20,4800,480000,93.8539445400238,34.68930344469845,28.326339648570865,9344.812049865723,0.0
4/20,16/20,4850,485000,95.12543320655823,34.2814430706203,26.191845953464508,9301.180386543274,0.0
4/20,17/20,4900,490000,95.00967693328857,33.704085911624134,25.86007211729884,9368.351462364197,0.0
4/20,18/20,4950,495000,95.55624771118164,34.883741080760956,25.497850723564625,9466.398111343384,0.0
4/20,19/20,5000,500000,95.17930173873901,33.748119925148785,24.997202881146222,9562.754039764404,0.0
5/20,0/20,5050,505000,92.81446194648743,33.85878088697791,23.567522595170885,9510.655582904816,0.0
5/20,1/20,5100,510000,90.87081742286682,32.98770674597472,24.131317174062133,9522.163160324097,0.0
5/20,2/20,5150,515000,94.59261560440063,34.15558623895049,23.213233612012118,9530.908614635468,0.0
5/20,3/20,5200,520000,92.16386437416077,33.23541016411036,23.859932175837457,9637.349306583405,0.0
5/20,4/20,5250,525000,94.69873237609863,32.67325025331229,22.79641570430249,9606.232488155365,0.0
5/20,5/20,5300,530000,94.23831462860107,32.91102265752852,23.028268085327,9649.889997959137,0.0
5/20,6/20,5350,535000,95.4249222278595,32.89344745222479,23.08637380041182,9712.467387676239,0.0
5/20,7/20,5400,540000,94.12216472625732,33.131912981159985,23.581585348583758,9720.36478805542,0.0
5/20,8/20,5450,545000,95.34869718551636,32.96277196891606,21.695836606435478,9653.665218353271,0.0
5/20,9/20,5500,550000,96.36915898323059,32.68564788624644,21.309426845051348,9676.999309539795,0.0
5/20,10/20,5550,555000,92.11589670181274,32.08818236645311,22.034549073781818,9839.829817295074,0.0
5/20,11/20,5600,560000,95.36700701713562,32.178776701912284,22.020153485238552,9769.10847902298,0.0
5/20,12/20,5650,565000,96.39497685432434,33.28238622751087,22.554382955189794,9799.082387447357,0.0
