Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,51.757437229156494,,,,0.0
0/20,1/20,100,10000,49.4277560710907,2.472403384745121,0.20648594060912728,5.208166819065809,0.0
0/20,2/20,150,15000,89.12281823158264,16.214027856942266,4.412928075762466,554.4836303144693,0.0
0/20,3/20,200,20000,90.87268161773682,13.69691771781072,22.65390302753076,1028.4626765847206,0.0
0/20,4/20,250,25000,88.7023537158966,12.481053934432566,24.898663822561502,1424.312054991722,0.0
0/20,5/20,300,30000,90.07652425765991,11.660322752315551,23.90948283439502,1838.293428182602,0.0
0/20,6/20,350,35000,88.81812262535095,13.636529684998095,26.240407136268914,2219.317169189453,0.0
0/20,7/20,400,40000,87.29864358901978,12.534523954382166,26.58811119478196,2584.559210896492,0.0
0/20,8/20,450,45000,87.47591423988342,13.673716730671003,28.674412776716053,2931.5653446912766,0.0
0/20,9/20,500,50000,90.38441705703735,13.153394834371284,29.08831209037453,3275.9424818754196,0.0
0/20,10/20,550,55000,89.836501121521,11.876320302253589,27.940018448978662,3599.814155101776,0.0
0/20,11/20,600,60000,90.68910837173462,13.494260297389701,26.35317395720631,3902.0835547447205,0.0
0/20,12/20,650,65000,96.90070819854736,15.703057475853711,27.487750872038305,4197.596233844757,0.0
0/20,13/20,700,70000,93.41152572631836,15.88592333951965,28.92677692696452,4480.468739032745,0.0
0/20,14/20,750,75000,93.73912692070007,15.632709687575698,29.548523051664233,4745.764729261398,0.0
0/20,15/20,800,80000,96.36977076530457,16.531719403341413,30.692402004264295,5026.714535951614,0.0
0/20,16/20,850,85000,95.606192111969,17.948950465302914,33.13215493038297,5278.170831203461,0.0
0/20,17/20,900,90000,95.42084002494812,18.711151463445276,34.91543407924473,5484.488443851471,0.0
0/20,18/20,950,95000,98.34715485572815,18.26627080095932,33.035604377277195,5690.999660015106,0.0
0/20,19/20,1000,100000,99.81960463523865,19.848838451784104,33.757596181705594,5921.780777215958,0.0
1/20,0/20,1050,105000,98.56087970733643,22.803692553192377,34.80298232473433,6136.305262565613,0.0
1/20,1/20,1100,110000,97.13793683052063,23.085227391682565,38.54727786965668,6334.641415119171,0.0
1/20,2/20,1150,115000,99.89548873901367,24.943052257876843,38.28877793252468,6529.096075534821,0.0
1/20,3/20,1200,120000,98.00131177902222,25.196483480744064,39.77662287838757,6690.753037929535,0.0
1/20,4/20,1250,125000,99.44743847846985,27.302725149318576,40.280187925323844,6880.1420974731445,0.0
1/20,5/20,1300,130000,98.65037107467651,27.3145481524989,41.52105724066496,6983.215693473816,0.0
1/20,6/20,1350,135000,93.61568140983582,25.959948950447142,42.97047430090606,7144.097805976868,0.0
1/20,7/20,1400,140000,94.30975818634033,25.289803544059396,42.25446068122983,7235.647565841675,0.0
1/20,8/20,1450,145000,93.91467094421387,23.612682006321847,41.835278591141105,7344.589942932129,0.0
1/20,9/20,1500,150000,94.06831192970276,25.253690122626722,40.52532962337136,7490.773127555847,0.0
1/20,10/20,1550,155000,94.60793924331665,24.78175988746807,38.69173478335142,7577.300496101379,0.0
1/20,11/20,1600,160000,94.51076436042786,24.887463490478694,39.59561256878078,7683.047680854797,0.0
1/20,12/20,1650,165000,94.64250349998474,26.180354735814035,40.220733385533094,7832.964018821716,0.0
1/20,13/20,1700,170000,93.89372706413269,26.598231428302824,41.56857132166624,7890.341069221497,0.0
1/20,14/20,1750,175000,93.88571047782898,24.018298239447176,39.720872099511325,7999.055339813232,0.0
1/20,15/20,1800,180000,91.51427555084229,25.663384278304875,41.290798710659146,8071.420878410339,0.0
1/20,16/20,1850,185000,95.79087352752686,24.878868476953357,40.634092561900616,8194.826110839844,0.0
1/20,17/20,1900,190000,96.8790590763092,24.40435088891536,42.11776600778103,8263.040452003479,0.0
1/20,18/20,1950,195000,95.60832500457764,27.54106098320335,44.282384004443884,8366.586105823517,0.0
1/20,19/20,2000,200000,95.58131861686707,30.15217673778534,48.46503330953419,8439.984735965729,0.0
2/20,0/20,2050,205000,94.31295442581177,33.96648761210963,50.92474276572466,8397.773621082306,0.0
2/20,1/20,2100,210000,92.45295596122742,38.23474215436727,56.269882678985596,8404.203241825104,0.0
2/20,2/20,2150,215000,92.08990263938904,41.565026002936065,61.52194594219327,8346.36021232605,0.0
2/20,3/20,2200,220000,89.53929305076599,59.74231045041233,64.12143855914474,8333.527526378632,0.0
2/20,4/20,2250,225000,90.31856417655945,45.40427414793521,63.57481570914388,8352.923565864563,0.0
2/20,5/20,2300,230000,92.22925734519958,48.110803009942174,57.39427949115634,8308.713955402374,0.0
2/20,6/20,2350,235000,97.65957164764404,46.77821140456945,53.04599772579968,8304.37710237503,0.0
2/20,7/20,2400,240000,95.9491777420044,49.43592546880245,52.67743004113436,8421.615054130554,0.0
2/20,8/20,2450,245000,96.86825466156006,48.932928113266826,52.759631901979446,8399.012463569641,0.0
2/20,9/20,2500,250000,93.89782214164734,61.386422789655626,53.70117871649563,8417.697234153748,0.0
2/20,10/20,2550,255000,95.03501152992249,66.5467296037823,56.00654741562903,8428.924098968506,0.0
2/20,11/20,2600,260000,92.3752212524414,64.37501680292189,56.73025759682059,8388.060138225555,0.0
2/20,12/20,2650,265000,92.1554183959961,71.63145416975021,59.50584025681019,8409.96509552002,0.0
2/20,13/20,2700,270000,94.35889673233032,72.10573317483068,60.25233121588826,8359.568421840668,0.0
2/20,14/20,2750,275000,94.96933484077454,67.35760068148375,57.83833347633481,8346.537541389465,0.0
2/20,15/20,2800,280000,96.886563539505,62.7653514649719,56.23316775634885,8401.940284729004,0.0
2/20,16/20,2850,285000,95.77636885643005,64.61735093593597,55.161182111129165,8429.792500972748,0.0
2/20,17/20,2900,290000,94.6553385257721,64.79554416425526,54.17334823310375,8445.133875370026,0.0
2/20,18/20,2950,295000,95.7616720199585,60.76539819315076,52.344960268586874,8471.66084432602,0.0
2/20,19/20,3000,300000,93.11232352256775,55.265900616534054,50.51688304543495,8512.916974544525,0.0
3/20,0/20,3050,305000,95.65065360069275,56.66382662206888,50.042093094438314,8583.628638744354,0.0
3/20,1/20,3100,310000,96.82904696464539,61.25492841377854,50.20285013690591,8528.586312294006,0.0
3/20,2/20,3150,315000,93.48502802848816,61.87200356088579,48.55552412569523,8617.127886295319,0.0
3/20,3/20,3200,320000,94.31466293334961,51.71125559043139,50.53325806371868,8660.776639938354,0.0
3/20,4/20,3250,325000,94.66575932502747,53.96771007310599,51.25024797022343,8690.66064453125,0.0
3/20,5/20,3300,330000,94.55547904968262,54.84470992162824,51.51781351491809,8706.844644546509,0.0
3/20,6/20,3350,335000,92.776376247406,54.92554100044072,54.70405038446188,8760.41124200821,0.0
3/20,7/20,3400,340000,95.5079824924469,57.09245050698519,62.73797372356057,8768.815855026245,0.0
3/20,8/20,3450,345000,97.5094666481018,61.990752607584,60.18741766177118,8668.497829914093,0.0
3/20,9/20,3500,350000,99.89498567581177,59.58800121024251,54.192265927791595,8752.306750774384,0.0
3/20,10/20,3550,355000,95.53811812400818,59.139060420915484,54.42488400824368,8701.471829891205,0.0
3/20,11/20,3600,360000,94.94213199615479,54.64788096956909,52.89939338341355,8814.345713615417,0.0
3/20,12/20,3650,365000,96.2364559173584,52.997772097587585,51.51883921585977,8766.428255081177,0.0
3/20,13/20,3700,370000,94.01014399528503,52.85519661381841,50.69334976375103,8830.013463497162,0.0
3/20,14/20,3750,375000,94.36186480522156,52.9621302857995,49.12166529148817,8840.818739891052,0.0
3/20,15/20,3800,380000,92.65126442909241,50.25869574025273,49.1082254499197,8926.27757024765,0.0
3/20,16/20,3850,385000,91.51682209968567,50.00221524387598,49.34334633871913,8957.411863327026,0.0
3/20,17/20,3900,390000,89.92019462585449,47.23109578061849,46.717552468180656,8999.728895187378,0.0
3/20,18/20,3950,395000,90.81888604164124,46.9829076398164,47.787562826648355,9011.235718727112,0.0
3/20,19/20,4000,400000,91.69927549362183,44.908222803846,47.0682219080627,9003.27845287323,0.0
4/20,0/20,4050,405000,91.73417377471924,42.831717459484935,47.43155767582357,9087.196887493134,0.0
4/20,1/20,4100,410000,94.36330795288086,45.5978347659111,48.54787935502827,9073.689622879028,0.0
4/20,2/20,4150,415000,93.7307517528534,44.88639619573951,48.2133511044085,9142.10434627533,0.0
4/20,3/20,4200,420000,92.46272540092468,44.293743123300374,49.17977827973664,9221.450191020966,0.0
4/20,4/20,4250,425000,92.44729018211365,44.62359029427171,49.869106352329254,9251.93470287323,0.0
4/20,5/20,4300,430000,94.49334025382996,43.88112083915621,48.604860639199615,9351.400998592377,0.0
4/20,6/20,4350,435000,94.20599126815796,45.15982662141323,48.62490293569863,9265.288010597229,0.0
4/20,7/20,4400,440000,90.73050999641418,45.69058576691896,49.62761956639588,9354.609477996826,0.0
4/20,8/20,4450,445000,97.40849018096924,43.17827257979661,49.48567939735949,9335.159509658813,0.0
4/20,9/20,4500,450000,92.93516874313354,46.441522353328764,50.65983368828893,9389.630952835083,0.0
4/20,10/20,4550,455000,95.13120412826538,45.894682618789375,52.34182531014085,9450.531683921814,0.0
4/20,11/20,4600,460000,91.78579592704773,47.7591334907338,53.592895990237594,9437.292165756226,0.0
4/20,12/20,4650,465000,90.70343780517578,47.04787531029433,54.05176831409335,9406.847465515137,0.0
4/20,13/20,4700,470000,90.70350742340088,51.418196198530495,56.16588565707207,9372.132174015045,0.0
4/20,14/20,4750,475000,93.56291437149048,50.88919694162905,55.63410375639796,9423.258088111877,0.0
4/20,15/20,4800,480000,91.34876656532288,52.481113720685244,55.14700140804052,9444.26090669632,0.0
4/20,16/20,4850,485000,93.78032374382019,53.67193999327719,53.74068643711507,9471.625322341919,0.0
4/20,17/20,4900,490000,93.72726917266846,51.04329173453152,53.863269701600075,9437.000722408295,0.0
4/20,18/20,4950,495000,91.38399982452393,49.617430966347456,54.040666196495295,9387.882555961609,0.0
4/20,19/20,5000,500000,95.44421148300171,49.3421171233058,51.430485939607024,9432.358260631561,0.0
5/20,0/20,5050,505000,91.87705421447754,49.677640658803284,51.08976201526821,9519.588287353516,0.0
5/20,1/20,5100,510000,93.62115716934204,46.09120033867657,51.402104990556836,9521.0355386734,0.0
5/20,2/20,5150,515000,95.45520734786987,45.524518290534616,52.31863762810826,9466.642850875854,0.0
5/20,3/20,5200,520000,93.61994767189026,42.965658048167825,51.66759603470564,9568.207650184631,0.0
5/20,4/20,5250,525000,97.92665410041809,42.59262323193252,51.35075067169964,9577.221240997314,0.0
5/20,5/20,5300,530000,97.09205651283264,43.612354980781674,50.57441497594118,9616.565299034119,0.0
5/20,6/20,5350,535000,98.04233527183533,43.082359842024744,50.48165478743613,9612.758351325989,0.0
5/20,7/20,5400,540000,98.60197830200195,44.00751407723874,51.48702979274094,9596.46091222763,0.0
5/20,8/20,5450,545000,93.49214005470276,40.96852543298155,52.038180366158485,9695.10031747818,0.0
5/20,9/20,5500,550000,97.08180093765259,39.0485217217356,49.45451094582677,9669.159922599792,0.0
5/20,10/20,5550,555000,96.05824184417725,38.960940637625754,50.63333708234131,9650.60717344284,0.0
