Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,43.58285045623779,,,,0.0
0/20,1/20,100,10000,53.5664541721344,0.22511295322328806,8.526769742369652,2.984381079673767,0.0
0/20,2/20,150,15000,85.98117303848267,7.231545121176168,667.2421108186245,17.81554337311536,0.0
0/20,3/20,200,20000,91.83257102966309,26.56724912300706,1086.3718036413193,11.507644386962056,0.0
0/20,4/20,250,25000,91.07105469703674,26.728077837266028,1492.6736187934875,11.254701532190666,0.0
0/20,5/20,300,30000,89.90554547309875,26.28714590612799,1882.7932788133621,10.6992600671947,0.0
0/20,6/20,350,35000,91.55475735664368,30.44071696791798,2283.719125032425,14.123203187715262,0.0
0/20,7/20,400,40000,95.08476543426514,35.611693903803825,2663.0699657201767,14.593794246669859,0.0
0/20,8/20,450,45000,96.56544828414917,37.21368049830198,3012.6129763126373,15.139396285638213,0.0
0/20,9/20,500,50000,94.25212621688843,37.1848288718611,3324.7627279758453,15.751266116276383,0.0
0/20,10/20,550,55000,97.4647490978241,37.75321271456778,3656.396327972412,17.151244322769344,0.0
0/20,11/20,600,60000,95.33956909179688,38.42284723557532,3962.945504426956,18.507636792957783,0.0
0/20,12/20,650,65000,97.82800459861755,39.95047846250236,4270.017219781876,19.117331587243825,0.0
0/20,13/20,700,70000,97.60334897041321,40.619667360559106,4524.850625038147,19.724889006000012,0.0
0/20,14/20,750,75000,95.97956466674805,41.50936664827168,4806.081383228302,22.21191562898457,0.0
0/20,15/20,800,80000,93.74306440353394,42.200664861127734,5089.787283182144,21.96172733232379,0.0
0/20,16/20,850,85000,96.39018774032593,41.784252882003784,5321.767520427704,20.37914637569338,0.0
0/20,17/20,900,90000,96.75607562065125,41.28841063566506,5536.920037269592,20.547181910835207,0.0
0/20,18/20,950,95000,91.95145726203918,40.17032146267593,5733.325535774231,21.445456218905747,0.0
0/20,19/20,1000,100000,95.4637541770935,41.31235644221306,5985.397683620453,20.446149565745145,0.0
1/20,0/20,1050,105000,94.90084481239319,41.349496407434344,6170.016722202301,21.649904559366405,0.0
1/20,1/20,1100,110000,94.92997455596924,41.30150256305933,6374.871550321579,22.775288928765804,0.0
1/20,2/20,1150,115000,95.9836905002594,42.22341031394899,6557.0518136024475,22.150526924524456,0.0
1/20,3/20,1200,120000,95.61834192276001,41.01701339520514,6716.86884021759,23.866769631393254,0.0
1/20,4/20,1250,125000,95.50039958953857,42.898952228948474,6795.5652985572815,22.827882315963507,0.0
1/20,5/20,1300,130000,94.75730276107788,42.77010623179376,7039.66504240036,24.22012226236984,0.0
1/20,6/20,1350,135000,91.12477326393127,44.853998340666294,7154.1734919548035,23.737795990891755,0.0
1/20,7/20,1400,140000,92.76183462142944,50.829624669626355,7305.507991313934,24.13560962677002,0.0
1/20,8/20,1450,145000,87.98282074928284,59.816852547228336,7347.657274723053,25.264049388468266,0.0
1/20,9/20,1500,150000,88.53910374641418,49.00839235633612,7415.426034927368,23.23273545689881,0.0
1/20,10/20,1550,155000,88.95350432395935,43.50022491812706,7502.823341369629,20.793052106164396,0.0
1/20,11/20,1600,160000,90.13993096351624,41.67445990256965,7651.173836231232,20.21187246730551,0.0
1/20,12/20,1650,165000,90.7005660533905,40.35105271451175,7762.135257720947,21.4737584493123,0.0
1/20,13/20,1700,170000,91.21589136123657,39.49135696142912,7839.661853790283,20.321649801917374,0.0
1/20,14/20,1750,175000,89.83236908912659,38.688010174781084,7892.377054691315,19.369627722539008,0.0
1/20,15/20,1800,180000,91.42194175720215,37.85158623941243,8011.970112323761,18.621432764921337,0.0
1/20,16/20,1850,185000,91.06683588027954,37.53968169912696,8180.519881248474,19.48094181995839,0.0
1/20,17/20,1900,190000,92.8052167892456,36.53082542028278,8284.131830215454,19.04214958846569,0.0
1/20,18/20,1950,195000,93.21371579170227,37.21970262564719,8362.506834506989,19.557510927319527,0.0
1/20,19/20,2000,200000,93.5744743347168,36.05687998235226,8396.753753185272,19.238225678913295,0.0
2/20,0/20,2050,205000,95.25989317893982,36.33699288312346,8486.033165454865,18.61810272699222,0.0
2/20,1/20,2100,210000,90.7918050289154,35.23163382895291,8610.954966068268,22.053174978122115,0.0
2/20,2/20,2150,215000,93.46040534973145,35.22991272713989,8617.764179229736,17.499206996057183,0.0
2/20,3/20,2200,220000,93.37074041366577,34.50753753259778,8745.215163230896,17.57197356922552,0.0
2/20,4/20,2250,225000,93.0556058883667,35.31307961791754,8809.90170431137,18.060201270971447,0.0
2/20,5/20,2300,230000,94.64249181747437,34.706464228220284,8826.979177474976,17.40984930470586,0.0
2/20,6/20,2350,235000,92.66223192214966,34.330204997211695,8949.140764713287,18.74810369545594,0.0
2/20,7/20,2400,240000,92.88717007637024,33.7564911339432,8930.663224697113,17.602136043831706,0.0
2/20,8/20,2450,245000,93.77070689201355,34.56887002103031,8984.06378030777,18.357268476858735,0.0
2/20,9/20,2500,250000,92.37813520431519,34.5549285300076,9068.153667449951,16.435442480491474,0.0
2/20,10/20,2550,255000,93.23556017875671,33.831194469705224,9061.715860366821,18.332351826597005,0.0
2/20,11/20,2600,260000,93.16699385643005,33.70898275077343,9202.418835639954,17.83215771475807,0.0
2/20,12/20,2650,265000,93.24319314956665,34.52798865828663,9173.212428569794,18.013712087646127,0.0
2/20,13/20,2700,270000,94.78520083427429,33.70312834717333,9228.54852771759,18.117196430219337,0.0
2/20,14/20,2750,275000,93.29746413230896,33.300151345320046,9211.080555438995,18.52650234522298,0.0
2/20,15/20,2800,280000,90.3318543434143,34.21049455180764,9215.11317396164,17.708568799309433,0.0
2/20,16/20,2850,285000,93.46200037002563,33.99900848045945,9330.202033042908,16.928442373406142,0.0
2/20,17/20,2900,290000,92.84738516807556,33.84012344200164,9326.565167427063,16.995318722445518,0.0
2/20,18/20,2950,295000,93.88300824165344,33.517279487103224,9324.883656024933,17.120452612638474,0.0
2/20,19/20,3000,300000,95.33907961845398,33.20304601453245,9425.200985431671,17.20053737098351,0.0
3/20,0/20,3050,305000,94.24411964416504,33.38922733347863,9525.689500331879,15.30551854497753,0.0
3/20,1/20,3100,310000,89.87711977958679,33.09061692934483,9493.54041814804,17.670095761539415,0.0
3/20,2/20,3150,315000,92.98134303092957,32.54859940242022,9473.191362380981,17.229890021961182,0.0
3/20,3/20,3200,320000,95.37675523757935,33.20728758908808,9558.569512367249,15.554042403586209,0.0
3/20,4/20,3250,325000,91.58839893341064,33.696796731092036,9561.195584774017,25.197971065994352,0.0
3/20,5/20,3300,330000,93.2894217967987,33.02139435894787,9529.068404197693,17.09703694889322,0.0
3/20,6/20,3350,335000,92.035973072052,32.9428841592744,9568.817477226257,16.83390351687558,0.0
3/20,7/20,3400,340000,93.48755073547363,32.73763688560575,9651.88938331604,14.564765685237944,0.0
3/20,8/20,3450,345000,93.07114028930664,32.22033623140305,9655.072232246399,15.708777283784002,0.0
3/20,9/20,3500,350000,92.22373628616333,32.69392528384924,9611.265125274658,17.855594479013234,0.0
3/20,10/20,3550,355000,92.62522840499878,32.43679575435817,9662.537276744843,16.557746806181967,0.0
3/20,11/20,3600,360000,93.32456278800964,32.031645184382796,9741.157043933868,15.40106811746955,0.0
3/20,12/20,3650,365000,92.68130779266357,31.649597514420748,9748.594316005707,16.18927963078022,0.0
3/20,13/20,3700,370000,94.24450373649597,31.010306308045983,9699.54334449768,16.601701176259667,0.0
3/20,14/20,3750,375000,90.60631775856018,31.5095553137362,9820.740001678467,16.304322769399732,0.0
3/20,15/20,3800,380000,92.10979986190796,31.32489127945155,9749.160762786865,15.351437234785408,0.0
3/20,16/20,3850,385000,93.68289613723755,31.59776969719678,9808.040811538696,15.571912251412868,0.0
3/20,17/20,3900,390000,93.07570624351501,30.977054480463266,9792.665479660034,14.426619238685817,0.0
3/20,18/20,3950,395000,93.50567078590393,31.22088978998363,9828.192397117615,16.111040631541982,0.0
3/20,19/20,4000,400000,93.67431545257568,30.71779797412455,9799.885877132416,15.570975789101794,0.0
4/20,0/20,4050,405000,95.15030264854431,31.351110238581896,9958.958903312683,16.704068103805184,0.0
4/20,1/20,4100,410000,92.70719885826111,30.85331674385816,9894.547714233398,15.189541632076725,0.0
4/20,2/20,4150,415000,94.3074049949646,31.622047423385084,9870.539524555206,15.844406890450045,0.0
4/20,3/20,4200,420000,95.69061255455017,31.318998184986413,9838.933230876923,16.75922052608803,0.0
4/20,4/20,4250,425000,95.80811071395874,31.698770434595644,9943.167597770691,16.0098094556015,0.0
4/20,5/20,4300,430000,91.98089170455933,31.021092977374792,9982.685461997986,15.852724659256637,0.0
4/20,6/20,4350,435000,96.24079847335815,31.60211991146207,9967.099349021912,15.045226026559249,0.0
4/20,7/20,4400,440000,94.50658130645752,31.55430749244988,9995.070102214813,14.994824070250615,0.0
4/20,8/20,4450,445000,93.52301621437073,31.57201616279781,9971.46535205841,16.029648661846295,0.0
4/20,9/20,4500,450000,96.04316806793213,31.320912340655923,9991.541160106659,14.826637763530016,0.0
4/20,10/20,4550,455000,92.8359591960907,30.805961838923395,10008.261939525604,14.825866317609325,0.0
4/20,11/20,4600,460000,93.7210214138031,30.853536828421056,10042.370289802551,15.382636962924153,0.0
4/20,12/20,4650,465000,90.97171306610107,30.78923133574426,10048.295747756958,15.439797921804711,0.0
4/20,13/20,4700,470000,94.42449522018433,30.69130356516689,10013.971559524536,14.914407864911482,0.0
