Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,35.11930012702942,,,,0.0
0/20,1/20,100,10000,117.46301746368408,0.2814446412958205,3.787334069609642,7.739716202020645,0.0
0/20,2/20,150,15000,146.01657342910767,4.854528767289594,26.032086570281535,717.0027458369732,0.0
0/20,3/20,200,20000,144.0192346572876,15.210980354109779,23.985468346625566,1269.8180624842644,0.0
0/20,4/20,250,25000,146.98666739463806,33.651529119350016,39.47005391214043,1666.1679521799088,0.0
0/20,5/20,300,30000,148.26801419258118,38.934113608673215,52.3169415500015,2036.642753958702,0.0
0/20,6/20,350,35000,147.84884309768677,42.535146076232195,68.73649186082184,2355.5833970308304,0.0
0/20,7/20,400,40000,147.81692218780518,51.473516123369336,88.7258440181613,2655.2485415935516,0.0
0/20,8/20,450,45000,148.5790500640869,61.06113749369979,110.82868587225676,2919.4969902038574,0.0
0/20,9/20,500,50000,149.3976867198944,63.309169836342335,125.04926935210824,3197.6383395195007,0.0
0/20,10/20,550,55000,147.0378439426422,68.44526661932468,177.0431424640119,3492.4628117084503,0.0
0/20,11/20,600,60000,146.5377697944641,77.28048903495073,186.330614477396,3762.075112104416,0.0
0/20,12/20,650,65000,146.19978046417236,86.017651848495,214.521779820323,3978.110284805298,0.0
0/20,13/20,700,70000,146.66981077194214,94.95672023296356,279.89116249233484,4165.7710428237915,0.0
0/20,14/20,750,75000,146.05394077301025,98.74445262551308,320.5133266225457,4371.047355413437,0.0
0/20,15/20,800,80000,146.0197741985321,104.8139435723424,354.7837829589844,4470.4879422187805,0.0
0/20,16/20,850,85000,146.1331341266632,108.38407802581787,390.48408874869347,4520.9665739536285,0.0
0/20,17/20,900,90000,147.962792634964,116.3252044916153,417.1413107216358,4553.982528924942,0.0
0/20,18/20,950,95000,147.79439687728882,120.04539521038532,454.49610655009747,4575.597649097443,0.0
0/20,19/20,1000,100000,148.9625632762909,115.43027473241091,477.4328748434782,4653.630012273788,0.0
1/20,0/20,1050,105000,149.71567249298096,110.51540087908506,503.48466987907887,4726.351523637772,0.0
1/20,1/20,1100,110000,148.7675108909607,115.09255787730217,492.7726843059063,4816.827102899551,0.0
1/20,2/20,1150,115000,148.82777404785156,123.79571970552206,555.9127150028944,4876.944588422775,0.0
1/20,3/20,1200,120000,148.5851309299469,125.13223807513714,594.7426177859306,4892.832008600235,0.0
1/20,4/20,1250,125000,147.2624969482422,121.17150931805372,629.9849045723677,4931.582122325897,0.0
1/20,5/20,1300,130000,149.48561549186707,121.22808431088924,648.1500120013952,5021.409544467926,0.0
1/20,6/20,1350,135000,148.0586895942688,121.25625845044851,653.1733988076448,4987.80526137352,0.0
1/20,7/20,1400,140000,149.23758625984192,123.17225334793329,653.5130996108055,4982.625708818436,0.0
1/20,8/20,1450,145000,149.78900027275085,126.34280924499035,696.0990879535675,4991.5677218437195,0.0
1/20,9/20,1500,150000,150.61822319030762,123.37096101045609,726.761580824852,5042.090250492096,0.0
1/20,10/20,1550,155000,149.04916787147522,133.0744276419282,745.8832826763391,5060.67715215683,0.0
1/20,11/20,1600,160000,149.7245593070984,135.44670569896698,743.7757562100887,5028.641587495804,0.0
1/20,12/20,1650,165000,150.18282532691956,133.58358170837164,748.9973501861095,4995.926079750061,0.0
1/20,13/20,1700,170000,149.1829662322998,133.7720280662179,708.2030584514141,5006.014483451843,0.0
