Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,32.537508487701416,,,,0.0
0/20,1/20,100,10000,131.34072828292847,3.651950091123581,7.684894822537899,0.27159779891371727,0.0
0/20,2/20,150,15000,152.99991607666016,22.91477488959208,679.0269660651684,4.711083807284012,0.0
0/20,3/20,200,20000,154.5840606689453,18.57832525484264,1209.2306924462318,15.960523581597954,0.0
0/20,4/20,250,25000,152.16977858543396,26.497360348701477,1613.9116364717484,32.10333530046046,0.0
0/20,5/20,300,30000,152.35051918029785,34.728455637581646,1977.881238102913,38.138562738895416,0.0
0/20,6/20,350,35000,154.8602225780487,47.666160642169416,2320.318016409874,45.458746645599604,0.0
0/20,7/20,400,40000,155.23324751853943,59.167431293055415,2679.59165930748,55.62474784813821,0.0
0/20,8/20,450,45000,153.4428687095642,74.11674231290817,2932.7239114046097,59.53514571674168,0.0
0/20,9/20,500,50000,155.60560369491577,100.39716094359756,3238.4624667167664,68.13530661910772,0.0
0/20,10/20,550,55000,156.02403783798218,122.94760503619909,3516.5396299362183,74.18621288985014,0.0
0/20,11/20,600,60000,156.19278955459595,173.01325169950724,3849.735646724701,83.33549286052585,0.0
0/20,12/20,650,65000,157.4467408657074,209.32051961869,4047.0951449871063,93.67652005329728,0.0
0/20,13/20,700,70000,155.42226886749268,273.46819108724594,4248.670126914978,103.12832204252481,0.0
0/20,14/20,750,75000,155.38846373558044,335.7006723433733,4457.3338215351105,112.2699469178915,0.0
0/20,15/20,800,80000,155.0826907157898,376.96327428519726,4475.52405834198,119.80431892722845,0.0
0/20,16/20,850,85000,156.15056109428406,390.56331527233124,4603.658945560455,116.61489842832088,0.0
0/20,17/20,900,90000,156.55004620552063,421.55744455754757,4726.698574542999,119.29633329808712,0.0
0/20,18/20,950,95000,154.44969844818115,446.5078638345003,4776.510046482086,124.3416838273406,0.0
0/20,19/20,1000,100000,154.9071967601776,462.1902553886175,4834.383880615234,121.50328277796507,0.0
1/20,0/20,1050,105000,155.60551571846008,493.9683712422848,4858.800879240036,124.1838546693325,0.0
1/20,1/20,1100,110000,154.4214231967926,524.234322220087,4831.989969730377,122.47826739400625,0.0
1/20,2/20,1150,115000,154.176353931427,531.0251731723547,4835.466630935669,120.56424552202225,0.0
1/20,3/20,1200,120000,154.73945331573486,515.4904342293739,4860.628389120102,126.12528340518475,0.0
1/20,4/20,1250,125000,154.80468773841858,566.1299499422312,4951.784554481506,131.22476187348366,0.0
1/20,5/20,1300,130000,154.47238516807556,563.6916866451502,5016.1038427352905,134.6513383165002,0.0
1/20,6/20,1350,135000,153.94229531288147,583.8910911679268,4999.89067530632,134.0831625238061,0.0
1/20,7/20,1400,140000,154.22116827964783,582.628023147583,5026.973273038864,130.97301592677832,0.0
1/20,8/20,1450,145000,154.06665563583374,607.8835200667381,5038.711180448532,128.1241907775402,0.0
1/20,9/20,1500,150000,153.45506477355957,608.9240998476744,5080.591743469238,133.3238928988576,0.0
1/20,10/20,1550,155000,154.29399061203003,643.5021634399891,5080.0287165641785,139.30462925881147,0.0
1/20,11/20,1600,160000,153.3018980026245,642.1610561013222,5075.1038427352905,143.06816417723894,0.0
1/20,12/20,1650,165000,152.30856466293335,660.1618126928806,5100.472432613373,139.612694054842,0.0
1/20,13/20,1700,170000,152.9530930519104,689.6898364126682,5150.72816491127,137.21858412772417,0.0
1/20,14/20,1750,175000,151.14230942726135,698.9604726880789,5160.849900007248,139.3577645123005,0.0
1/20,15/20,1800,180000,151.20222687721252,700.9857042431831,5126.947602510452,141.5048612356186,0.0
1/20,16/20,1850,185000,152.81681203842163,673.9879129528999,5131.173765182495,138.51110008358955,0.0
1/20,17/20,1900,190000,153.21071004867554,678.3595542907715,5093.641902446747,138.61989569664001,0.0
1/20,18/20,1950,195000,153.93616843223572,684.4149668365717,5128.9990084171295,139.9811990186572,0.0
1/20,19/20,2000,200000,154.79955458641052,703.1023701578379,5149.3247656822205,134.96611289680004,0.0
2/20,0/20,2050,205000,155.3587167263031,691.0747363716364,5121.765489578247,134.25458899140358,0.0
2/20,1/20,2100,210000,156.91384077072144,741.7773657441139,5127.392856121063,136.8733775690198,0.0
2/20,2/20,2150,215000,155.82029604911804,718.9923219382763,5143.692212104797,138.20502150803804,0.0
2/20,3/20,2200,220000,154.105406999588,702.4961903989315,5138.831675052643,147.30400428175926,0.0
2/20,4/20,2250,225000,156.06654572486877,677.6667912006378,5214.985421419144,144.2990198135376,0.0
2/20,5/20,2300,230000,156.39003443717957,680.9183910340071,5221.422365903854,143.87882078438997,0.0
2/20,6/20,2350,235000,156.28492617607117,739.5247284322977,5306.061367273331,147.01017715781927,0.0
2/20,7/20,2400,240000,156.05089688301086,710.2772255837917,5400.5974678993225,151.6484158858657,0.0
2/20,8/20,2450,245000,155.2678418159485,731.7275825291872,5437.775671720505,157.5087352320552,0.0
2/20,9/20,2500,250000,155.2473669052124,725.2742062807083,5535.563255786896,164.41477504372597,0.01
2/20,10/20,2550,255000,154.50881624221802,740.6463142335415,5629.6490297317505,163.58453288674355,0.05
2/20,11/20,2600,260000,154.4098448753357,726.4333593249321,5775.226319313049,168.7697310000658,0.0
2/20,12/20,2650,265000,156.71274161338806,748.7588685452938,5854.218185901642,178.23042458295822,0.09
2/20,13/20,2700,270000,153.7809624671936,742.9675540626049,5955.765844345093,183.25341349840164,0.06
2/20,14/20,2750,275000,154.82129454612732,730.6030625402927,5979.797330379486,192.3758485764265,0.12
2/20,15/20,2800,280000,160.0841863155365,742.5015425980091,6020.711814880371,194.16217854619026,0.02
2/20,16/20,2850,285000,159.04662799835205,722.2232519090176,6071.104109287262,195.65798485279083,0.01
2/20,17/20,2900,290000,159.5721561908722,720.8354289233685,6108.8512506484985,200.43657597899437,0.01
2/20,18/20,2950,295000,157.23744773864746,724.7250639498234,6086.682275295258,205.99175442755222,0.12
2/20,19/20,3000,300000,157.01634573936462,756.3996082395315,6090.168914318085,206.49264603853226,0.78
3/20,0/20,3050,305000,156.9296360015869,704.26442065835,6044.736323356628,210.63575309515,0.6
3/20,1/20,3100,310000,156.1806128025055,742.1651991009712,5927.6318945884705,218.4568468183279,0.02
3/20,2/20,3150,315000,155.74197387695312,747.4430464804173,5854.605321884155,212.84013755619526,0.59
3/20,3/20,3200,320000,154.9859161376953,790.6754708439112,5775.3272342681885,214.0304585546255,0.18
3/20,4/20,3250,325000,156.17365646362305,743.7107287347317,5688.43794965744,211.98150058090687,0.86
3/20,5/20,3300,330000,155.69329142570496,750.5521928668022,5591.81524181366,216.39322331547737,0.88
3/20,6/20,3350,335000,154.7700710296631,781.2190895080566,5454.730610370636,213.564468562603,0.92
3/20,7/20,3400,340000,155.38630747795105,791.7515398561954,5410.306879520416,213.41101123392582,0.99
3/20,8/20,3450,345000,154.96483039855957,801.5559380352497,5314.142233848572,214.07646176218987,0.97
3/20,9/20,3500,350000,154.32240653038025,766.5076499283314,5240.905992984772,216.18904219567776,0.86
3/20,10/20,3550,355000,155.72021746635437,865.7570877373219,5208.902407407761,215.12790980935097,0.87
3/20,11/20,3600,360000,56.461236000061035,828.2091376781464,5187.54478764534,218.82624334096909,0.93
3/20,12/20,3650,365000,53.911805391311646,798.399345010519,5166.28946685791,219.67441901564598,0.91
3/20,13/20,3700,370000,56.37319040298462,833.0351862311363,5131.959765434265,217.80003617703915,0.96
3/20,14/20,3750,375000,57.48068904876709,791.8416511118412,5114.71157169342,217.89629216492176,0.97
3/20,15/20,3800,380000,54.03716993331909,834.5312708318233,5117.411945581436,220.17182239890099,0.83
3/20,16/20,3850,385000,55.37584686279297,884.5054154992104,5160.952972650528,218.80895501375198,0.83
3/20,17/20,3900,390000,58.7819983959198,810.34182330966,5137.110225439072,218.4679335951805,0.97
3/20,18/20,3950,395000,54.25011134147644,853.1548390090466,5115.414070606232,221.2741513699293,0.93
3/20,19/20,4000,400000,55.884708881378174,816.8692436814308,5111.492788076401,221.77380341291428,0.74
4/20,0/20,4050,405000,57.766239166259766,853.0932383537292,5104.962518215179,223.82470256090164,0.94
4/20,1/20,4100,410000,53.48163652420044,906.4586504399776,5045.28076171875,215.30310894548893,0.94
4/20,2/20,4150,415000,54.93692874908447,897.7588374912739,5041.757487297058,219.61896693706512,0.88
4/20,3/20,4200,420000,58.05220079421997,909.768389493227,5083.992470264435,217.29623821377754,0.94
4/20,4/20,4250,425000,54.04681658744812,865.4632848501205,5102.928402900696,218.3537586182356,0.94
4/20,5/20,4300,430000,55.9091362953186,857.250506401062,5100.265349626541,218.6018526852131,0.97
4/20,6/20,4350,435000,58.82663106918335,823.9003482460976,5089.913263082504,218.72205275297165,0.93
4/20,7/20,4400,440000,54.847233295440674,864.7257724702358,5105.36310839653,221.52885727584362,1.0
