Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,29.11671757698059,,,,0.0
0/20,1/20,100,10000,160.15601062774658,6.731344725936651,4.122787222266197,0.275313853751868,0.0
0/20,2/20,150,15000,192.26386761665344,641.8514889776707,25.031891061924398,4.654266320401803,0.0
0/20,3/20,200,20000,198.45646739006042,1230.7513286471367,22.282214476261288,15.311062410473824,0.0
0/20,4/20,250,25000,192.5763018131256,1664.1200425624847,33.044794492423534,34.697607916779816,0.0
0/20,5/20,300,30000,187.7274250984192,2067.09115421772,39.984831584617496,43.59821774624288,0.0
0/20,6/20,350,35000,191.6672399044037,2409.8184238672256,52.482247547246516,47.392243998125196,0.0
0/20,7/20,400,40000,190.16608309745789,2747.182841658592,81.18568024784327,55.21138937398791,0.0
0/20,8/20,450,45000,188.13670754432678,3187.3571977615356,113.15947281941772,64.4940169043839,0.0
0/20,9/20,500,50000,191.86982131004333,3510.314664363861,145.11314018815756,79.53244375810027,0.0
0/20,10/20,550,55000,188.88353657722473,3752.966155052185,176.8195731677115,87.01677444949746,0.0
0/20,11/20,600,60000,189.91239190101624,3909.835855484009,190.805977858603,92.30294460058212,0.0
0/20,12/20,650,65000,186.9877951145172,4117.883108139038,217.0310454890132,98.79732318222523,0.0
0/20,13/20,700,70000,189.56977438926697,4280.946595191956,272.25026366859674,104.75756131112576,0.0
0/20,14/20,750,75000,190.24298858642578,4383.6094653606415,316.19647670537233,106.18717450648546,0.0
0/20,15/20,800,80000,192.84756565093994,4550.36333656311,359.5268194973469,115.97071874141693,0.0
0/20,16/20,850,85000,191.749005317688,4514.698968410492,402.28901875019073,121.87426429986954,0.0
0/20,17/20,900,90000,187.74338674545288,4563.990877628326,419.3192037791014,120.38588140904903,0.0
0/20,18/20,950,95000,189.1418812274933,4576.088000297546,421.5205295830965,117.9265925064683,0.0
0/20,19/20,1000,100000,187.27529740333557,4584.754461288452,437.3882399648428,126.22907813638449,0.0
1/20,0/20,1050,105000,189.01413750648499,4584.833149433136,437.3066241592169,130.83003405481577,0.0
1/20,1/20,1100,110000,188.0414547920227,4608.112103223801,466.97158175706863,132.08581033349037,0.0
1/20,2/20,1150,115000,188.3668406009674,4600.277945995331,477.17518059909344,130.61810532957315,0.0
1/20,3/20,1200,120000,189.01623964309692,4638.219220876694,489.3018656820059,135.49871806055307,0.0
1/20,4/20,1250,125000,189.1292839050293,4645.00967168808,502.4627215117216,136.35126086324453,0.0
1/20,5/20,1300,130000,187.95513796806335,4625.762947320938,511.4120911806822,137.45313274115324,0.0
1/20,6/20,1350,135000,188.29536032676697,4600.744689941406,526.9761501401663,141.42646519839764,0.0
1/20,7/20,1400,140000,187.54603934288025,4524.581146478653,531.57845954597,140.29075223952532,0.0
1/20,8/20,1450,145000,186.41027188301086,4556.033494710922,541.2893367558718,138.99869963526726,0.0
1/20,9/20,1500,150000,186.80512595176697,4537.661750555038,538.7553212344646,139.87029921263456,0.0
1/20,10/20,1550,155000,189.00957560539246,4480.3387014865875,549.4694261997938,139.49931610375643,0.0
1/20,11/20,1600,160000,188.09640526771545,4497.018668413162,571.8379040509462,139.157757923007,0.0
1/20,12/20,1650,165000,181.87846064567566,4471.163923025131,546.9332959204912,140.50261812657118,0.0
1/20,13/20,1700,170000,179.3208417892456,4454.863447666168,547.9039767235518,142.66355153173208,0.0
1/20,14/20,1750,175000,187.5471386909485,4449.432221651077,552.7829625308514,141.35514274984598,0.0
1/20,15/20,1800,180000,190.24281811714172,4418.088889837265,578.5733527988195,142.02883035689592,0.0
1/20,16/20,1850,185000,185.5682909488678,4480.347067117691,601.0475144833326,144.23256335407495,0.0
1/20,17/20,1900,190000,189.7471935749054,4528.037743806839,660.0858881026506,143.60052835941315,0.0
1/20,18/20,1950,195000,185.75300645828247,4554.191320180893,628.5967330932617,147.55260697752237,0.0
1/20,19/20,2000,200000,188.54234623908997,4561.587517499924,581.5391030907631,150.1346629485488,0.0
2/20,0/20,2050,205000,189.31137347221375,4579.240217208862,598.3396012187004,150.45947935432196,0.0
2/20,1/20,2100,210000,188.97665739059448,4569.6569356918335,571.34052541852,145.31794169545174,0.0
2/20,2/20,2150,215000,191.09846997261047,4640.610492229462,632.6984946131706,147.93514416366816,0.0
2/20,3/20,2200,220000,190.2315022945404,4632.592543363571,640.964736700058,151.56602223962545,0.0
2/20,4/20,2250,225000,191.17368364334106,4614.976545095444,629.6049824357033,155.38087564706802,0.0
2/20,5/20,2300,230000,191.7205445766449,4586.640655994415,659.7728805989027,158.655643299222,0.0
2/20,6/20,2350,235000,192.62858366966248,4562.327243804932,618.3239285200834,163.8205240368843,0.0
2/20,7/20,2400,240000,189.07830691337585,4536.537482261658,638.1674426794052,167.2522624284029,0.0
2/20,8/20,2450,245000,189.77342128753662,4571.959570169449,686.3140525221825,164.67008724808693,0.0
2/20,9/20,2500,250000,190.61506462097168,4579.936982870102,653.7566750645638,175.60620720684528,0.0
2/20,10/20,2550,255000,193.2304825782776,4561.002501964569,644.7221509814262,179.06315718591213,0.0
2/20,11/20,2600,260000,187.01067757606506,4526.436951637268,719.2900363206863,184.46060779690742,0.0
2/20,12/20,2650,265000,188.9518461227417,4443.858191013336,669.6500154286623,191.78020176291466,0.0
2/20,13/20,2700,270000,185.92733073234558,4434.464543581009,697.2316429316998,196.396244302392,0.0
2/20,14/20,2750,275000,188.58206510543823,4389.988722085953,700.345216318965,193.12670017778873,0.0
2/20,15/20,2800,280000,185.6964921951294,4384.356856584549,627.7587810754776,194.78236690163612,0.01
2/20,16/20,2850,285000,186.9946961402893,4372.4386439323425,645.0970318317413,198.07718850672245,0.0
2/20,17/20,2900,290000,188.5955674648285,4324.961963176727,633.8920135647058,202.190923422575,0.09
2/20,18/20,2950,295000,188.6178069114685,4311.583302259445,649.7612796574831,205.57182654738426,0.2
2/20,19/20,3000,300000,188.4743528366089,4344.127085208893,709.5315360426903,205.77711053192616,0.0
3/20,0/20,3050,305000,189.31474995613098,4264.177752971649,721.1424031257629,204.89521950483322,0.27
3/20,1/20,3100,310000,189.98171854019165,4285.715254545212,726.9182836413383,205.11229898035526,0.54
3/20,2/20,3150,315000,187.41564321517944,4222.992982149124,725.9857680797577,209.8845351189375,0.66
3/20,3/20,3200,320000,188.69375205039978,4199.848433732986,721.394037514925,212.56519807875156,0.77
3/20,4/20,3250,325000,189.76033639907837,4190.2795317173,698.3443092852831,209.50085905194283,0.69
3/20,5/20,3300,330000,190.42790699005127,4167.740165472031,646.4840604066849,210.93252070248127,0.13
3/20,6/20,3350,335000,187.8578679561615,4212.210960626602,730.0306293964386,209.9975701123476,0.37
3/20,7/20,3400,340000,190.64135575294495,4224.025676727295,662.3065158426762,213.47007969021797,0.37
3/20,8/20,3450,345000,188.33211064338684,4258.8786199092865,718.3943982720375,210.30325151979923,0.51
3/20,9/20,3500,350000,188.12800574302673,4231.514584541321,725.0984801054001,214.35212397575378,0.75
3/20,10/20,3550,355000,189.17951464653015,4242.79550409317,750.2987676411867,215.80118879675865,0.98
3/20,11/20,3600,360000,187.76095390319824,4288.307413339615,759.0437711924314,213.9567733258009,0.88
3/20,12/20,3650,365000,186.89255547523499,4330.330264568329,828.3147920668125,213.86689944565296,0.85
3/20,13/20,3700,370000,185.07923698425293,4387.576477766037,836.4175056070089,216.59124034643173,0.99
3/20,14/20,3750,375000,187.72283101081848,4360.215087175369,777.438680678606,212.5590709745884,0.96
3/20,15/20,3800,380000,186.18196749687195,4375.666971445084,741.3881550431252,215.39987188577652,0.98
3/20,16/20,3850,385000,187.77351546287537,4376.21463060379,746.0913154482841,214.80686789751053,0.95
3/20,17/20,3900,390000,185.83270978927612,4371.323181629181,796.1659506559372,212.657415792346,0.89
3/20,18/20,3950,395000,186.5934407711029,4382.661936759949,773.1109163016081,214.19454945623875,0.99
3/20,19/20,4000,400000,187.82852840423584,4411.045593738556,739.642410993576,215.78455024957657,0.96
4/20,0/20,4050,405000,185.63002824783325,4436.935617923737,757.1397404670715,216.26014553010464,0.93
4/20,1/20,4100,410000,187.22942328453064,4459.148700237274,791.0611782670021,213.649145886302,0.98
4/20,2/20,4150,415000,187.22133922576904,4409.373130321503,763.2766645401716,220.83408266305923,0.96
4/20,3/20,4200,420000,186.46041703224182,4417.791933774948,838.2878745049238,221.75119106471539,0.9
4/20,4/20,4250,425000,64.76579713821411,4396.316140413284,810.6624809205532,222.09849452972412,0.98
4/20,5/20,4300,430000,65.22597527503967,4451.951700210571,824.6305234134197,220.52288961410522,0.95
4/20,6/20,4350,435000,63.78118681907654,4511.430622577667,823.6672379821539,218.90162174403667,0.86
4/20,7/20,4400,440000,65.37065076828003,4528.307266712189,860.5396336466074,225.07735915482044,0.99
4/20,8/20,4450,445000,63.61801195144653,4572.419592857361,843.9408004283905,222.06522330641747,0.98
4/20,9/20,4500,450000,64.60893368721008,4554.021240949631,902.4597556740046,222.07995255291462,0.99
4/20,10/20,4550,455000,64.15648365020752,4578.696864366531,833.7405297905207,221.86483089625835,0.97
4/20,11/20,4600,460000,63.85689997673035,4645.046607971191,873.0841666609049,225.1200594007969,0.99
4/20,12/20,4650,465000,64.52844262123108,4674.207014799118,821.4579519033432,225.275254920125,0.93
4/20,13/20,4700,470000,64.97938776016235,4662.1800146102905,814.1291745007038,221.73742406070232,0.95
4/20,14/20,4750,475000,64.70046138763428,4723.009936332703,847.7383469194174,222.68208992481232,0.98
4/20,15/20,4800,480000,64.30197763442993,4716.2178564071655,878.9008342176676,226.1673147380352,0.99
4/20,16/20,4850,485000,64.25525236129761,4750.738098621368,870.3869172036648,224.75883229076862,1.0
4/20,17/20,4900,490000,64.50013422966003,4716.03346824646,823.6027735471725,223.2623949199915,0.98
4/20,18/20,4950,495000,63.35766553878784,4653.850038766861,901.6399064362049,226.57058204710484,0.99
4/20,19/20,5000,500000,64.26841354370117,4678.221499681473,830.5611054897308,227.652788951993,0.98
5/20,0/20,5050,505000,65.18962621688843,4701.194822311401,883.16555082798,222.89249417185783,0.99
5/20,1/20,5100,510000,64.82763695716858,4688.818608522415,811.410753801465,221.25408801436424,0.99
5/20,2/20,5150,515000,65.09939169883728,4691.860197305679,917.4424948245287,229.4982496201992,0.99
5/20,3/20,5200,520000,64.48363780975342,4673.61751127243,825.6268177032471,229.96216388046741,0.97
5/20,4/20,5250,525000,64.508709192276,4683.53529214859,853.4928603321314,231.4890610575676,0.99
5/20,5/20,5300,530000,63.49949789047241,4691.109154462814,854.8979367166758,231.04378820955753,0.94
5/20,6/20,5350,535000,63.75855541229248,4645.206519126892,854.3980100005865,226.2183944284916,0.99
5/20,7/20,5400,540000,63.27007865905762,4674.792822360992,836.7962639182806,226.26201817393303,0.97
5/20,8/20,5450,545000,64.81888794898987,4678.527576684952,859.0478935241699,224.3045473396778,0.98
5/20,9/20,5500,550000,64.5968611240387,4688.9839425086975,856.2160092443228,225.5956504791975,0.97
5/20,10/20,5550,555000,64.92693281173706,4651.892286300659,869.7174134552479,227.97193087637424,0.98
5/20,11/20,5600,560000,64.87471294403076,4659.307617425919,823.313483953476,231.9203555881977,0.98
5/20,12/20,5650,565000,65.21379399299622,4672.172487258911,790.2744071185589,229.8505091816187,0.97
5/20,13/20,5700,570000,63.900327920913696,4698.039323568344,824.951388925314,224.9331156015396,0.99
5/20,14/20,5750,575000,64.06980514526367,4654.896037340164,815.8811719715595,226.07727064192295,0.98
5/20,15/20,5800,580000,63.51693797111511,4676.536784410477,799.1968841254711,228.0715904980898,0.98
5/20,16/20,5850,585000,63.2394814491272,4648.339865922928,790.3589303046465,232.1841046065092,0.93
5/20,17/20,5900,590000,63.63180708885193,4704.443318605423,749.3669620156288,229.56243781745434,1.0
5/20,18/20,5950,595000,64.48087120056152,4720.637873888016,823.5075171291828,228.0453181117773,1.0
5/20,19/20,6000,600000,64.74195742607117,4699.667657136917,795.947764262557,232.65227811038494,0.97
6/20,0/20,6050,605000,64.32363414764404,4691.491234302521,744.9002729803324,229.39636160433292,0.96
6/20,1/20,6100,610000,64.67203211784363,4687.08158159256,822.6649331301451,226.34952308237553,1.0
6/20,2/20,6150,615000,64.18416142463684,4762.216365814209,844.3178295493126,226.57613418996334,0.99
6/20,3/20,6200,620000,64.14755487442017,4760.580869674683,814.3943554162979,225.9148374348879,0.96
6/20,4/20,6250,625000,64.16862082481384,4824.674658298492,817.6956475675106,224.40179923176765,0.97
6/20,5/20,6300,630000,63.868051528930664,4786.968607664108,804.7254382073879,228.35611805319786,0.98
6/20,6/20,6350,635000,64.8562662601471,4755.762936592102,807.0503852814436,229.0971789509058,0.95
6/20,7/20,6400,640000,64.73044276237488,4754.508001327515,799.0473496615887,228.29202176630497,0.99
