Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_l2_loss,Pi_q_loss,Success
0/20,0/20,50,5000,33.31794357299805,,,,0.0
0/20,1/20,100,10000,39.737515449523926,3.6347036957740784,0.22347667580470443,5.978820934891701,0.0
0/20,2/20,150,15000,61.76023769378662,22.36254045460373,3.5837590330047533,570.5521960407495,0.0
0/20,3/20,200,20000,62.868358850479126,17.590155690908432,11.147184159839526,1099.8302703499794,0.0
0/20,4/20,250,25000,64.93975377082825,27.605705408379436,23.912359645124525,1522.9570780992508,0.0
0/20,5/20,300,30000,68.68349981307983,35.31321805622429,28.710200016386807,1901.3218069076538,0.0
0/20,6/20,350,35000,72.77297830581665,54.380753414705396,36.1742581371218,2265.1003041267395,0.0
0/20,7/20,400,40000,69.90904831886292,67.78968540392816,42.05794912111014,2609.953698158264,0.0
0/20,8/20,450,45000,70.98153710365295,87.15439059212804,44.92760733887553,2902.820311307907,0.0
0/20,9/20,500,50000,74.66169381141663,107.45943492092192,50.638030756264925,3165.141366958618,0.0
0/20,10/20,550,55000,70.20654916763306,136.85192693769932,58.947264378890395,3420.8308823108673,0.0
0/20,11/20,600,60000,73.15333890914917,180.90894603729248,73.50892474874854,3652.5469903945923,0.0
0/20,12/20,650,65000,71.57859444618225,194.40990326181054,78.81542595475912,3830.983068704605,0.0
0/20,13/20,700,70000,69.27277660369873,236.96464484930038,83.13605700805783,3880.6191823482513,0.0
0/20,14/20,750,75000,73.28375601768494,234.47089731693268,83.5064052939415,3946.0773351192474,0.0
0/20,15/20,800,80000,73.46826601028442,252.36949940025806,93.70239734649658,4029.0466673374176,0.0
0/20,16/20,850,85000,72.66270852088928,252.86786230653524,90.94716152176261,4045.895062685013,0.0
0/20,17/20,900,90000,72.36846780776978,283.3587076365948,91.34688821434975,4095.501505613327,0.0
0/20,18/20,950,95000,73.5141384601593,307.8383141756058,95.43934369087219,4173.438536167145,0.0
0/20,19/20,1000,100000,74.52136063575745,341.55845972150564,99.74221310019493,4232.689752817154,0.0
1/20,0/20,1050,105000,73.05597877502441,356.2507808059454,97.1950314939022,4295.57463145256,0.0
1/20,1/20,1100,110000,71.33167028427124,382.1989890486002,94.92446986213326,4456.698779582977,0.0
1/20,2/20,1150,115000,73.02953505516052,413.3670433014631,102.26295284926891,4466.225033521652,0.0
1/20,3/20,1200,120000,72.37894368171692,424.2572080641985,104.94036607444286,4479.615418434143,0.0
1/20,4/20,1250,125000,70.78926301002502,452.8002331852913,109.01485292613506,4588.871101140976,0.0
1/20,5/20,1300,130000,72.24572110176086,469.90523086488247,112.05383616685867,4611.609176158905,0.0
1/20,6/20,1350,135000,71.31081461906433,475.28362788259983,112.31439470499754,4684.0809535980225,0.0
1/20,7/20,1400,140000,72.06902742385864,512.2796081453562,110.68874054402113,4748.966291666031,0.0
1/20,8/20,1450,145000,72.8383858203888,558.1402522623539,111.66609835624695,4859.798150539398,0.0
1/20,9/20,1500,150000,74.56431221961975,583.5095024108887,116.59748081862926,4944.433385848999,0.0
1/20,10/20,1550,155000,73.54858660697937,615.6823071241379,121.10468992590904,4896.530411243439,0.0
1/20,11/20,1600,160000,71.39590191841125,616.5328125655651,123.17745681107044,4885.858664751053,0.0
1/20,12/20,1650,165000,74.09056186676025,627.894405439496,120.17972252517939,4885.685938119888,0.0
1/20,13/20,1700,170000,72.43046998977661,610.6409658491611,125.04542516171932,4854.363899230957,0.0
1/20,14/20,1750,175000,73.44077849388123,632.8464452028275,126.71562515199184,4831.411801338196,0.0
1/20,15/20,1800,180000,68.98789095878601,609.121780321002,125.59188905358315,4909.885250091553,0.0
1/20,16/20,1850,185000,68.81144142150879,634.7320405244827,129.56734991818666,4915.124969482422,0.0
1/20,17/20,1900,190000,72.43183040618896,600.2774078696966,127.08812626451254,4973.096409082413,0.0
1/20,18/20,1950,195000,75.11881756782532,663.4903066754341,129.02950628846884,4955.073592185974,0.0
1/20,19/20,2000,200000,72.87643456459045,671.7790087163448,127.08776670694351,4976.309214353561,0.0
2/20,0/20,2050,205000,71.94294810295105,732.1900148391724,127.5851083919406,5044.534986972809,0.0
2/20,1/20,2100,210000,73.83419895172119,742.2890032529831,132.07016824930906,5078.6438710689545,0.0
