Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,36.0167441368103,,,,0.0
0/20,1/20,100,10000,39.237937688827515,6.615870967507362,4.291461363434792,0.23190785921178758,0.0
0/20,2/20,150,15000,63.82171320915222,593.6489777266979,29.422915532719344,3.509955940535292,0.0
0/20,3/20,200,20000,68.27282857894897,1103.1078127026558,24.423622014932334,10.817613936262205,0.0
0/20,4/20,250,25000,66.05073046684265,1486.3613172769547,38.36312073003501,25.06964620947838,0.0
0/20,5/20,300,30000,69.94966149330139,1886.0194474458694,56.713877314701676,31.916470325551927,0.0
0/20,6/20,350,35000,78.09937644004822,2179.074604868889,73.45724231377244,41.392774598672986,0.0
0/20,7/20,400,40000,74.53203868865967,2525.2677520513535,92.09909483604133,50.86531356163323,0.0
0/20,8/20,450,45000,71.73227071762085,2755.848111629486,117.76014419272542,56.64828214421868,0.0
0/20,9/20,500,50000,75.21090698242188,3040.6263345479965,146.45834397152066,64.38983241468668,0.0
0/20,10/20,550,55000,72.85570955276489,3280.8643596172333,169.7042449079454,71.77898233383894,0.0
0/20,11/20,600,60000,71.59637641906738,3544.102761030197,193.15266804024577,71.79586884006858,0.0
0/20,12/20,650,65000,74.43439936637878,3793.0647053718567,231.85364288836718,79.35917228087783,0.0
0/20,13/20,700,70000,72.61275100708008,3995.3968036174774,289.21221370995045,83.96107138320804,0.0
0/20,14/20,750,75000,72.261634349823,4147.605637311935,313.54289818555117,86.68404403701425,0.0
0/20,15/20,800,80000,71.50967907905579,4225.1073434352875,363.89920787513256,91.9657081477344,0.0
0/20,16/20,850,85000,74.6735360622406,4295.4722101688385,394.7053813561797,102.15801230072975,0.0
0/20,17/20,900,90000,73.55775594711304,4422.07649564743,450.9228055179119,103.7099245339632,0.0
0/20,18/20,950,95000,75.3709967136383,4491.467897415161,479.1206801980734,109.18800085783005,0.0
0/20,19/20,1000,100000,74.08062291145325,4577.382442474365,517.562127545476,113.32081769406796,0.0
1/20,0/20,1050,105000,71.36561179161072,4641.7856023311615,533.6982913762331,114.50806569308043,0.0
1/20,1/20,1100,110000,73.2801423072815,4751.84246301651,583.1769064366817,115.24721334129572,0.0
1/20,2/20,1150,115000,71.26993107795715,4791.836118936539,616.6337382048368,124.05426777154207,0.0
1/20,3/20,1200,120000,72.21184849739075,4761.574380397797,633.6413915455341,125.45058079063892,0.0
1/20,4/20,1250,125000,71.52652406692505,4782.539280653,629.5257721841335,124.0523514598608,0.0
1/20,5/20,1300,130000,69.35991525650024,4815.472982406616,634.8246957063675,128.29082234203815,0.0
1/20,6/20,1350,135000,69.77402329444885,4862.124247550964,610.7533763796091,123.77824497967958,0.0
1/20,7/20,1400,140000,70.31331086158752,4943.737557888031,620.3667633682489,130.1254184767604,0.0
1/20,8/20,1450,145000,70.35734796524048,4963.3251953125,643.1584108322859,131.34010648727417,0.0
1/20,9/20,1500,150000,75.70849442481995,4975.157517910004,675.0872729420662,126.97685512155294,0.0
1/20,10/20,1550,155000,71.87233901023865,5064.639891386032,663.4445805996656,131.49251602590084,0.0
1/20,11/20,1600,160000,73.16996693611145,5045.506474494934,658.5806857049465,131.9956138432026,0.0
1/20,12/20,1650,165000,73.70978713035583,5087.791115760803,693.4995770305395,136.15700831264257,0.0
1/20,13/20,1700,170000,75.22624802589417,5090.553847789764,732.5235833823681,136.63936868309975,0.0
1/20,14/20,1750,175000,72.99873614311218,5091.1496431827545,701.796613484621,132.45388827472925,0.0
1/20,15/20,1800,180000,74.09116530418396,5050.274605512619,726.6040511727333,133.362234339118,0.0
1/20,16/20,1850,185000,72.92664837837219,5034.890048027039,728.15759152174,131.65283654630184,0.0
1/20,17/20,1900,190000,73.83054947853088,5046.755954742432,752.4141257852316,134.82101380825043,0.0
1/20,18/20,1950,195000,71.90533399581909,5069.028977870941,701.73230946064,128.55873165279627,0.0
1/20,19/20,2000,200000,72.71939325332642,5169.1897315979,733.9346509873867,122.20754387974739,0.0
2/20,0/20,2050,205000,73.32279872894287,5237.6382937431335,728.3210487961769,129.0739263817668,0.0
2/20,1/20,2100,210000,73.63774991035461,5256.3817455768585,760.7868278324604,133.0949446335435,0.0
2/20,2/20,2150,215000,72.5541923046112,5175.585842132568,750.4079996049404,132.69423926621675,0.0
2/20,3/20,2200,220000,73.42972588539124,5173.4791033267975,784.4481378793716,131.3981962427497,0.0
2/20,4/20,2250,225000,71.42759275436401,5193.514905452728,755.1572822630405,132.25212429463863,0.0
2/20,5/20,2300,230000,73.65259099006653,5220.675088167191,735.1107110083103,135.62748223543167,0.0
2/20,6/20,2350,235000,72.20324921607971,5206.104105949402,752.6295748054981,137.78141029179096,0.0
2/20,7/20,2400,240000,71.6475179195404,5216.8650805950165,745.0827586054802,139.3406851515174,0.0
2/20,8/20,2450,245000,71.95363593101501,5203.535560131073,787.9916397035122,134.5669870302081,0.0
2/20,9/20,2500,250000,71.38712477684021,5201.440817117691,765.7953936755657,135.415022931993,0.0
2/20,10/20,2550,255000,71.44308280944824,5237.986060857773,785.3901566565037,137.92599729448557,0.0
2/20,11/20,2600,260000,70.20434880256653,5207.310144662857,834.8606725037098,133.5073288679123,0.0
2/20,12/20,2650,265000,70.30903482437134,5205.857763767242,782.852803081274,138.0331894978881,0.0
2/20,13/20,2700,270000,70.50732755661011,5211.501254558563,744.3441090583801,132.00699334591627,0.0
2/20,14/20,2750,275000,70.37781763076782,5254.227425098419,801.0027129650116,131.73777884989977,0.0
2/20,15/20,2800,280000,69.14504075050354,5267.729332447052,779.0546346604824,129.3098157942295,0.0
2/20,16/20,2850,285000,72.5403311252594,5294.834717035294,739.2671812772751,134.21356312930584,0.0
2/20,17/20,2900,290000,71.36424946784973,5316.681287050247,802.7097153663635,135.3372828885913,0.0
2/20,18/20,2950,295000,71.52545809745789,5305.621792793274,758.628881663084,132.37259750068188,0.0
2/20,19/20,3000,300000,72.21931982040405,5377.041761636734,766.0905981361866,135.01090886443853,0.0
3/20,0/20,3050,305000,70.88261699676514,5351.927244186401,765.5059725493193,136.17749533057213,0.0
3/20,1/20,3100,310000,69.90316963195801,5364.831462860107,789.0890567004681,133.37496975809336,0.0
3/20,2/20,3150,315000,69.69221901893616,5400.35694360733,804.7676931619644,127.70093031972647,0.0
3/20,3/20,3200,320000,69.88638710975647,5470.976191282272,800.1482638716698,121.88885822892189,0.0
3/20,4/20,3250,325000,72.77571964263916,5466.560137987137,852.8327662348747,127.17751325666904,0.0
3/20,5/20,3300,330000,72.26976013183594,5496.179473400116,843.1731240153313,129.23278085887432,0.0
3/20,6/20,3350,335000,74.2680184841156,5556.559723377228,870.6342941224575,128.2214894965291,0.0
3/20,7/20,3400,340000,70.265460729599,5547.098117828369,917.9638629853725,129.69704169034958,0.0
3/20,8/20,3450,345000,70.58311295509338,5542.017017841339,884.9841161072254,134.82943726330996,0.0
3/20,9/20,3500,350000,71.68745470046997,5629.635685443878,905.8095716834068,131.84894946962595,0.0
3/20,10/20,3550,355000,71.58545207977295,5616.8642156124115,872.5075996816158,129.03498277068138,0.0
3/20,11/20,3600,360000,71.50841069221497,5578.710220336914,885.605221927166,129.99787733703852,0.0
3/20,12/20,3650,365000,71.67324423789978,5618.406950950623,853.2843717336655,133.56875075399876,0.0
3/20,13/20,3700,370000,73.80383801460266,5623.040600776672,890.388271778822,131.27255571633577,0.0
3/20,14/20,3750,375000,70.45520234107971,5571.96339058876,868.0252999663353,134.08529291301966,0.0
3/20,15/20,3800,380000,69.69064044952393,5649.775461673737,972.3841436803341,129.74004164338112,0.0
3/20,16/20,3850,385000,69.45377779006958,5676.134626865387,942.347288787365,129.45218777656555,0.0
3/20,17/20,3900,390000,69.50236058235168,5642.0729949474335,867.7050694525242,130.82048030942678,0.0
3/20,18/20,3950,395000,70.41873788833618,5711.086792945862,863.9444369375706,136.5718314126134,0.0
3/20,19/20,4000,400000,68.92526626586914,5686.691944599152,862.1983571052551,137.03465975821018,0.0
4/20,0/20,4050,405000,69.35103368759155,5647.167517662048,907.9288063794374,134.2420374378562,0.0
4/20,1/20,4100,410000,70.26728320121765,5659.86841917038,938.8168634772301,135.41912600398064,0.0
4/20,2/20,4150,415000,69.7261950969696,5622.703691959381,867.4231581687927,142.262605689466,0.0
4/20,3/20,4200,420000,70.39452743530273,5578.852747440338,856.9429889023304,144.66463804990053,0.0
4/20,4/20,4250,425000,70.64745450019836,5524.387083053589,895.6245793700218,143.62797808647156,0.0
4/20,5/20,4300,430000,70.25234484672546,5545.81552696228,893.2474283874035,144.36463580280542,0.0
4/20,6/20,4350,435000,71.21048521995544,5533.620560646057,864.0495508611202,147.30349535495043,0.0
4/20,7/20,4400,440000,70.12188839912415,5553.342849731445,903.1204367876053,150.9275688380003,0.0
4/20,8/20,4450,445000,71.85492253303528,5539.872531175613,911.690373569727,155.9511640369892,0.0
