Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Q_loss,Pi_q_loss,Pi_l2_loss,Success
0/20,0/20,50,5000,32.461193323135376,,,,0.0
0/20,1/20,100,10000,33.529841899871826,3.778346411883831,7.492347866296768,0.2127644680440426,0.0
0/20,2/20,150,15000,60.73465442657471,23.51689854077995,651.9727612733841,3.237921967287548,0.0
0/20,3/20,200,20000,65.00672626495361,20.180521482601762,1160.8481359481812,14.542072563199326,0.0
0/20,4/20,250,25000,70.55637907981873,30.202164707239717,1576.7877094745636,28.162768606096506,0.0
0/20,5/20,300,30000,66.46424746513367,40.518262350931764,1966.014993071556,35.41014900431037,0.0
0/20,6/20,350,35000,74.74886202812195,60.49386431463063,2279.612953186035,38.406698832288384,0.0
0/20,7/20,400,40000,75.98034524917603,78.61680368334055,2588.742375612259,47.774017909541726,0.0
0/20,8/20,450,45000,74.98054766654968,97.25300165079534,2900.329871416092,59.00776009820402,0.0
0/20,9/20,500,50000,76.34732460975647,126.1883219704032,3104.914983510971,62.39253931492567,0.0
0/20,10/20,550,55000,72.91505742073059,147.57586554065347,3342.8599400520325,65.7226243801415,0.0
0/20,11/20,600,60000,72.76944661140442,171.40444141998887,3583.6218054294586,68.21285839751363,0.0
0/20,12/20,650,65000,69.52129173278809,212.58026171848178,3794.919686794281,72.74363108724356,0.0
0/20,13/20,700,70000,70.07535433769226,243.6062571555376,4051.2613322734833,82.32250640913844,0.0
0/20,14/20,750,75000,69.88143754005432,267.8074105605483,4210.611317873001,84.22321996837854,0.0
0/20,15/20,800,80000,69.01404547691345,321.07939940690994,4352.749007225037,91.3022461310029,0.0
0/20,16/20,850,85000,69.47877311706543,331.57017455995083,4419.30437541008,93.97182501852512,0.0
0/20,17/20,900,90000,72.36701226234436,394.87881322205067,4497.441027402878,107.97560983151197,0.0
0/20,18/20,950,95000,70.85249042510986,409.05229368805885,4533.5005831718445,112.46527299284935,0.0
0/20,19/20,1000,100000,71.35972166061401,476.1100236326456,4598.984550476074,113.72684981673956,0.0
1/20,0/20,1050,105000,72.44119763374329,519.0904768407345,4689.123460054398,118.27096109092236,0.0
1/20,1/20,1100,110000,73.04830646514893,558.2407193183899,4694.294650554657,131.34799482673407,0.0
1/20,2/20,1150,115000,72.71368503570557,560.9402281194925,4735.656868457794,130.04702658951283,0.0
1/20,3/20,1200,120000,73.75639271736145,560.5220756530762,4767.734346151352,127.8406834602356,0.0
1/20,4/20,1250,125000,72.80628204345703,577.4215516149998,4858.446603775024,129.31484826654196,0.0
1/20,5/20,1300,130000,76.90180706977844,566.8879916369915,4878.628511190414,129.90051516145468,0.0
1/20,6/20,1350,135000,77.11585855484009,596.0407401174307,4907.464857578278,133.46180745959282,0.0
1/20,7/20,1400,140000,76.63225388526917,624.5793689787388,4999.883425712585,137.19843508303165,0.0
1/20,8/20,1450,145000,75.78985500335693,609.0705408006907,5082.957686662674,143.32253911346197,0.0
1/20,9/20,1500,150000,73.36964321136475,651.3850316405296,5115.250217199326,141.88392708450556,0.0
1/20,10/20,1550,155000,72.6335232257843,671.1167516708374,5260.005578517914,137.05397652834654,0.0
1/20,11/20,1600,160000,74.74542689323425,664.1611735224724,5278.627901554108,144.05304063856602,0.0
1/20,12/20,1650,165000,71.61316561698914,687.6733897924423,5310.126526594162,143.4598150625825,0.0
1/20,13/20,1700,170000,74.56398963928223,685.5898429006338,5253.761950016022,151.4075479209423,0.0
1/20,14/20,1750,175000,73.86063623428345,655.9020302444696,5283.861762523651,148.2260981053114,0.0
1/20,15/20,1800,180000,72.94792985916138,647.3144079297781,5300.099551200867,145.627904266119,0.0
1/20,16/20,1850,185000,73.69394850730896,662.2883871495724,5263.261223554611,146.4960017427802,0.0
1/20,17/20,1900,190000,72.59352040290833,659.460372120142,5369.820484638214,142.18410480767488,0.0
1/20,18/20,1950,195000,72.26342558860779,656.5653545856476,5408.268893957138,140.67677326500416,0.0
1/20,19/20,2000,200000,75.13254976272583,679.6256845444441,5475.236151218414,143.93189205229282,0.0
2/20,0/20,2050,205000,73.54586029052734,695.8010752499104,5539.593745708466,152.09979441016912,0.0
2/20,1/20,2100,210000,74.36963486671448,704.7149837613106,5549.293849945068,154.37907300889492,0.0
2/20,2/20,2150,215000,71.07784223556519,702.7135034799576,5571.47788643837,153.21752870082855,0.02
2/20,3/20,2200,220000,74.58860731124878,798.8673776090145,5649.279660224915,156.0423645824194,0.0
2/20,4/20,2250,225000,72.09761571884155,796.1259187459946,5739.832809448242,156.21949231624603,0.01
2/20,5/20,2300,230000,71.94387173652649,889.0349635183811,5853.63010263443,167.21134966611862,0.03
2/20,6/20,2350,235000,72.01364207267761,958.1723536252975,5852.216445446014,174.09494563937187,0.03
2/20,7/20,2400,240000,72.93885087966919,992.1175691485405,5819.898109912872,188.76605919003487,0.07
2/20,8/20,2450,245000,74.2858715057373,1039.645379215479,5740.734347581863,193.3675453364849,0.41
2/20,9/20,2500,250000,76.14559435844421,1055.7195375859737,5734.714328289032,200.07699279487133,0.4
2/20,10/20,2550,255000,75.00084590911865,975.7699328064919,5735.572872161865,202.3492995351553,0.82
2/20,11/20,2600,260000,75.24701619148254,957.5576964318752,5698.076721668243,209.53013242781162,0.89
2/20,12/20,2650,265000,70.51975178718567,990.3049989938736,5720.4977860450745,212.65439096093178,0.7
2/20,13/20,2700,270000,71.1708071231842,908.3223322629929,5696.0316705703735,217.52075316011906,0.81
2/20,14/20,2750,275000,70.02905344963074,929.8305411934853,5712.166592597961,223.2025976330042,0.84
