Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Pi_q_loss,Q_loss,Success
0/20,0/20,50,5000,38.322657346725464,,,,0.0
0/20,1/20,100,10000,38.15660643577576,0.23000970901921391,6.6293326541781425,3.4704954773187637,0.0
0/20,2/20,150,15000,66.98178315162659,4.261113824089989,639.5861760675907,24.179616702720523,0.0
0/20,3/20,200,20000,67.51137280464172,12.178460612660274,1151.547601699829,22.651499470230192,0.0
0/20,4/20,250,25000,65.9887022972107,31.4993458352983,1596.7476471662521,35.873395681381226,0.0
0/20,5/20,300,30000,72.48850917816162,42.884545816108584,1958.6724622249603,51.49315041862428,0.0
0/20,6/20,350,35000,77.14758849143982,49.44213063456118,2328.3006685972214,78.22366110794246,0.0
0/20,7/20,400,40000,78.16211533546448,58.39293175935745,2628.696256875992,99.49418064951897,0.0
0/20,8/20,450,45000,74.81003093719482,73.84328259527683,2841.529317140579,124.15861473977566,0.0
0/20,9/20,500,50000,79.39686393737793,85.21282510086894,3049.194124698639,146.76206627860665,0.0
0/20,10/20,550,55000,78.1128454208374,86.92866658046842,3349.5973670482635,172.86571338772774,0.0
0/20,11/20,600,60000,75.00718641281128,89.95547334104776,3598.1040387153625,211.47514961659908,0.0
0/20,12/20,650,65000,73.66965222358704,94.66162391379476,3869.471432685852,250.33037720620632,0.0
0/20,13/20,700,70000,76.05260872840881,110.10398971289396,3978.6395704746246,302.4979303777218,0.0
0/20,14/20,750,75000,74.5706090927124,113.11167719215155,4111.563750982285,338.6582810431719,0.0
0/20,15/20,800,80000,73.23390531539917,110.8549098521471,4285.578217744827,372.753837198019,0.0
0/20,16/20,850,85000,72.13759422302246,116.8518824800849,4364.93030500412,425.15882781147957,0.0
0/20,17/20,900,90000,73.30151176452637,124.50051643699408,4426.1159925460815,430.7053342163563,0.0
0/20,18/20,950,95000,71.97491407394409,129.8743035569787,4474.916302680969,467.7802499830723,0.0
0/20,19/20,1000,100000,72.3470253944397,127.11644424498081,4511.968487501144,482.05418360233307,0.0
1/20,0/20,1050,105000,72.51655960083008,128.15801300108433,4595.861993551254,490.52487625181675,0.0
1/20,1/20,1100,110000,73.09402799606323,131.16097301244736,4713.866350650787,503.395231962204,0.0
1/20,2/20,1150,115000,74.33585214614868,137.05845953524113,4729.468957424164,521.1042445451021,0.0
1/20,3/20,1200,120000,72.43204689025879,142.85792347043753,4699.595404148102,517.482489824295,0.0
1/20,4/20,1250,125000,72.59524154663086,142.25288582593203,4738.63903260231,506.0052990466356,0.0
1/20,5/20,1300,130000,73.46254110336304,144.24428720772266,4782.815818309784,576.8469474464655,0.0
1/20,6/20,1350,135000,74.79058384895325,147.91700603812933,4792.5650634765625,540.2497591972351,0.0
1/20,7/20,1400,140000,72.72044515609741,154.70768571645021,4840.362053871155,547.9567876905203,0.0
1/20,8/20,1450,145000,72.56347966194153,155.8347271606326,4821.1528923511505,547.0680165290833,0.0
1/20,9/20,1500,150000,73.20981001853943,156.63282226026058,4887.702967882156,545.6319462805986,0.0
1/20,10/20,1550,155000,73.87189078330994,157.47556656599045,4857.426731109619,531.998076736927,0.0
1/20,11/20,1600,160000,73.27418327331543,161.24804744124413,4858.954778432846,522.033922791481,0.0
1/20,12/20,1650,165000,75.2538514137268,160.26905223727226,4889.958607196808,526.4845720380545,0.0
1/20,13/20,1700,170000,76.6305878162384,171.893441721797,5025.7131605148315,576.7810299694538,0.0
1/20,14/20,1750,175000,76.48967576026917,176.72835758328438,5108.516326665878,574.295540034771,0.0
1/20,15/20,1800,180000,75.95268392562866,185.63060294091702,5233.28785610199,571.8551006615162,0.0
1/20,16/20,1850,185000,76.06482195854187,190.4939441382885,5325.003031253815,574.7814161330462,0.0
