Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_l2_loss,Q_loss,Pi_q_loss,Success
0/20,0/20,50,5000,33.92417502403259,,,,0.0
0/20,1/20,100,10000,37.07490396499634,0.22705354494974017,3.6396389603614807,5.974504768848419,0.0
0/20,2/20,150,15000,62.13957929611206,5.464785324176773,23.281404241453856,581.2031187415123,0.0
0/20,3/20,200,20000,63.70626878738403,21.60317414533347,16.16077347146347,1123.3675986528397,0.0
0/20,4/20,250,25000,63.84768342971802,31.701868082396686,17.716870746575296,1574.6154046058655,0.0
0/20,5/20,300,30000,68.71408605575562,33.76759338378906,17.83766185492277,2012.7279047966003,0.0
0/20,6/20,350,35000,69.35969972610474,36.99014883488417,18.288691198453307,2407.089647293091,0.0
0/20,7/20,400,40000,70.30659985542297,40.38348393328488,19.619519289582968,2831.4268293380737,0.0
0/20,8/20,450,45000,70.27825617790222,42.15292622707784,20.083989548962563,3210.5764548778534,0.0
0/20,9/20,500,50000,72.43745279312134,43.14459089376032,19.6954937428236,3542.027859210968,0.0
0/20,10/20,550,55000,72.23665618896484,42.80081116780639,20.653256399556994,3881.8608672618866,0.0
0/20,11/20,600,60000,69.23314595222473,43.00515142455697,20.732036938425153,4202.013967752457,0.0
0/20,12/20,650,65000,69.48711252212524,44.03471811488271,21.848189156502485,4517.686524152756,0.0
0/20,13/20,700,70000,67.80503296852112,44.18396353162825,22.797130565159023,4820.07815861702,0.0
0/20,14/20,750,75000,70.28350567817688,45.71241444721818,24.898016796447337,5089.198179483414,0.0
0/20,15/20,800,80000,68.06611847877502,46.55903808400035,22.142521737143397,5339.484666824341,0.0
0/20,16/20,850,85000,67.24503469467163,48.033901227638125,25.747826951555908,5596.780613422394,0.0
0/20,17/20,900,90000,66.9841821193695,48.24571209773421,22.825658751651645,5857.877032518387,0.0
0/20,18/20,950,95000,65.00532102584839,47.56650881282985,23.78006774187088,6075.412173986435,0.0
0/20,19/20,1000,100000,66.97716498374939,47.63113467954099,25.3272298052907,6246.0028424263,0.0
1/20,0/20,1050,105000,67.1894690990448,49.184213077649474,22.827913843095303,6410.275228023529,0.0
1/20,1/20,1100,110000,66.7355420589447,49.17970505915582,25.008996195159853,6672.341145992279,0.0
1/20,2/20,1150,115000,69.46094989776611,48.98680614307523,26.109881630167365,6820.707508087158,0.0
1/20,3/20,1200,120000,67.90289783477783,48.80495507642627,27.399833532981575,7009.75754737854,0.0
1/20,4/20,1250,125000,70.67993021011353,49.08145627193153,24.150806731544435,7193.903413772583,0.0
1/20,5/20,1300,130000,70.00335621833801,48.11142390780151,26.700194330886006,7376.177801609039,0.0
1/20,6/20,1350,135000,67.6088285446167,48.12891263514757,26.810482380911708,7522.6589012146,0.0
1/20,7/20,1400,140000,66.20447039604187,49.170759124681354,25.780886687804013,7614.780888557434,0.0
1/20,8/20,1450,145000,68.46602129936218,50.372070683166385,25.85329784359783,7758.74332857132,0.0
1/20,9/20,1500,150000,68.6693058013916,50.7577840462327,26.417272528633475,7915.491391658783,0.0
1/20,10/20,1550,155000,69.66643452644348,50.1566269248724,25.929272897541523,8031.717656612396,0.0
1/20,11/20,1600,160000,69.58231925964355,50.4121725410223,26.415940009988844,8124.404571056366,0.0
1/20,12/20,1650,165000,69.9171450138092,52.886639131233096,27.307036238722503,8258.484192371368,0.0
1/20,13/20,1700,170000,68.01237964630127,51.92389832250774,26.86067388486117,8412.866266727448,0.0
1/20,14/20,1750,175000,68.64311814308167,53.02114885672927,27.555141459219158,8513.410461902618,0.0
1/20,15/20,1800,180000,69.38565516471863,51.39793685078621,26.378774185664952,8544.034010410309,0.0
1/20,16/20,1850,185000,68.44082427024841,50.902807641774416,28.29845974314958,8693.215850830078,0.0
1/20,17/20,1900,190000,68.46578526496887,52.95400734618306,27.384923797100782,8704.560402393341,0.0
1/20,18/20,1950,195000,68.86206340789795,52.8181527312845,25.451290600933135,8819.012246608734,0.0
1/20,19/20,2000,200000,70.71522688865662,50.875853983685374,26.175667676143348,8855.70101928711,0.0
2/20,0/20,2050,205000,70.30265378952026,52.69356949813664,25.700345054268837,8894.949889659882,0.0
2/20,1/20,2100,210000,69.06761717796326,50.43922863341868,26.23883954435587,9074.594597816467,0.0
2/20,2/20,2150,215000,70.0042073726654,52.63367378152907,26.052025944925845,9125.817546844482,0.0
2/20,3/20,2200,220000,68.04717683792114,52.538640363141894,26.555859876796603,9179.213333129883,0.0
2/20,4/20,2250,225000,67.88781881332397,51.39392713084817,25.77618353161961,9181.831929206848,0.0
2/20,5/20,2300,230000,67.17151021957397,52.677514566108584,27.12340596644208,9265.467335224152,0.0
2/20,6/20,2350,235000,66.17859315872192,53.76900046877563,25.845200662501156,9325.122601985931,0.0
2/20,7/20,2400,240000,65.42888331413269,53.3228198364377,23.563613157719374,9411.08779668808,0.0
2/20,8/20,2450,245000,64.5519700050354,52.1335478015244,24.486205405555665,9412.074834823608,0.0
2/20,9/20,2500,250000,64.72980237007141,51.821265349164605,23.465887519530952,9443.790030479431,0.0
2/20,10/20,2550,255000,64.68225431442261,50.079040637239814,24.712596603669226,9555.943522453308,0.0
2/20,11/20,2600,260000,67.55469179153442,49.91700429096818,24.647344095166773,9574.348467826843,0.0
2/20,12/20,2650,265000,65.46838450431824,50.53274925984442,25.355783210135996,9630.840288162231,0.0
2/20,13/20,2700,270000,67.08502793312073,49.05248402990401,25.274294181726873,9733.774111270905,0.0
2/20,14/20,2750,275000,64.09594321250916,50.23095200955868,25.22556737391278,9682.188765525818,0.0
2/20,15/20,2800,280000,64.66659927368164,49.56732336059213,25.777355811093003,9766.04556465149,0.0
2/20,16/20,2850,285000,66.62011790275574,48.10923031158745,23.901610634289682,9727.297333717346,0.0
2/20,17/20,2900,290000,68.00827479362488,47.23916984722018,24.706528046634048,9794.899580001831,0.0
2/20,18/20,2950,295000,66.9412841796875,48.858992705121636,27.01885702740401,9816.8127617836,0.0
2/20,19/20,3000,300000,68.15822243690491,49.3566140178591,24.362748778425157,9892.15393447876,0.0
3/20,0/20,3050,305000,66.83956360816956,48.98580585420132,23.915292493999004,9898.458046913147,0.0
3/20,1/20,3100,310000,66.00518655776978,48.32258119620383,24.60826163413003,9889.07477760315,0.0
3/20,2/20,3150,315000,65.08740305900574,46.958085184916854,24.981747212819755,9912.549686908722,0.0
3/20,3/20,3200,320000,66.11138224601746,46.9563731122762,24.199922010302544,10008.219977855682,0.0
3/20,4/20,3250,325000,66.45918107032776,47.33321728929877,24.314735813997686,10039.060663223267,0.0
3/20,5/20,3300,330000,67.22644758224487,47.6743754055351,27.06921074166894,10051.98167181015,0.0
3/20,6/20,3350,335000,64.85752558708191,49.31482191756368,23.039039008319378,10028.291323184967,0.0
3/20,7/20,3400,340000,67.26662135124207,47.09102943353355,22.76703849527985,10066.077478408813,0.0
3/20,8/20,3450,345000,66.54379677772522,46.436855932697654,23.433704684954137,10056.248628139496,0.0
3/20,9/20,3500,350000,66.67782998085022,47.592896381393075,22.98340825457126,10136.229012489319,0.0
3/20,10/20,3550,355000,68.12471890449524,46.916166028007865,21.86692531313747,10131.117447376251,0.0
3/20,11/20,3600,360000,67.03913116455078,47.19856332615018,23.32927435822785,10148.338429450989,0.0
3/20,12/20,3650,365000,65.22249841690063,47.5204023681581,22.22449886519462,10128.697716236115,0.0
3/20,13/20,3700,370000,65.30202651023865,48.711670473217964,22.000059496611357,10194.294337272644,0.0
3/20,14/20,3750,375000,64.9891107082367,47.63196483254433,21.84773425012827,10147.769963264465,0.0
