Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,28.283642053604126,,,,0.0
0/20,1/20,100,10000,32.10199761390686,6.962101690471172,0.17401001695543528,3.6295424848794937,0.0
0/20,2/20,150,15000,50.013020515441895,631.8890409171581,5.612625320907682,22.615560153033584,0.0
0/20,3/20,200,20000,49.341805934906006,1192.7269216775894,16.770526762818918,17.58306841319427,0.0
0/20,4/20,250,25000,49.00374674797058,1661.6102850437164,28.070357606746256,23.050295979715884,0.0
0/20,5/20,300,30000,50.295154094696045,2078.0145024061203,31.908716945908964,23.69328908994794,0.0
0/20,6/20,350,35000,48.338555097579956,2469.739256978035,38.24571959488094,25.509092757478356,0.0
0/20,7/20,400,40000,56.07184147834778,2923.157972097397,39.8965863622725,27.645974967628717,0.0
0/20,8/20,450,45000,58.248191595077515,3276.5186688899994,41.376885479316115,26.64110660739243,0.0
0/20,9/20,500,50000,56.09516263008118,3602.3529534339905,39.433557007461786,26.12881940882653,0.0
0/20,10/20,550,55000,55.6755096912384,3913.879870414734,41.32384130358696,26.16976437624544,0.0
0/20,11/20,600,60000,60.44231605529785,4228.605639219284,40.97099097445607,25.904842544347048,0.0
0/20,12/20,650,65000,55.58187484741211,4504.941086530685,42.34091652929783,23.26507746335119,0.0
0/20,13/20,700,70000,55.76992893218994,4791.5518226623535,42.26678907312453,23.425875538028777,0.0
0/20,14/20,750,75000,56.041836977005005,5050.443080425262,42.34830515831709,23.84759148582816,0.0
0/20,15/20,800,80000,55.33994197845459,5302.133693933487,41.62184949032962,24.183220827486366,0.0
0/20,16/20,850,85000,52.660412073135376,5565.864724159241,41.990886038169265,25.42315493989736,0.0
0/20,17/20,900,90000,52.543224573135376,5776.448747396469,41.102516105398536,23.87179947923869,0.0
0/20,18/20,950,95000,60.249526500701904,6020.491277217865,41.264502078294754,25.445121848024428,0.0
0/20,19/20,1000,100000,54.436503171920776,6233.962046146393,40.78667800500989,23.511255188845098,0.0
1/20,0/20,1050,105000,53.66907596588135,6395.404457092285,41.31520704738796,25.838942886330187,0.0
1/20,1/20,1100,110000,57.30783247947693,6646.771553039551,41.87667229026556,27.281973141245544,0.0
1/20,2/20,1150,115000,56.07314085960388,6802.892377853394,41.62322813458741,26.481788087636232,0.0
1/20,3/20,1200,120000,54.170125246047974,6989.452453613281,42.574003925547004,27.247339967638254,0.0
1/20,4/20,1250,125000,55.330195903778076,7148.514813423157,46.767021268606186,31.080646016635,0.0
1/20,5/20,1300,130000,59.10086631774902,7264.5570521354675,44.70595412142575,30.94291954115033,0.0
1/20,6/20,1350,135000,54.86753273010254,7458.875675201416,43.65317467413843,28.822233263403177,0.0
1/20,7/20,1400,140000,55.53401017189026,7540.778859138489,43.9926031883806,32.29715938027948,0.0
1/20,8/20,1450,145000,59.703758239746094,7721.528346538544,44.894214283674955,30.30755148921162,0.0
1/20,9/20,1500,150000,55.194228649139404,7788.811409950256,45.878279050812125,31.313904313370585,0.0
1/20,10/20,1550,155000,54.99372911453247,7945.960545063019,45.879019260406494,32.29294182313606,0.0
1/20,11/20,1600,160000,58.002060651779175,8082.361524581909,46.96360522694886,34.24152733385563,0.0
1/20,12/20,1650,165000,57.42471933364868,8164.831259727478,47.67459833435714,34.22777056694031,0.0
1/20,13/20,1700,170000,55.21249747276306,8241.514726161957,49.388337932527065,37.500166428275406,0.0
1/20,14/20,1750,175000,54.40656781196594,8395.781753063202,49.59851247817278,37.363536566495895,0.0
1/20,15/20,1800,180000,60.83833408355713,8466.499747753143,49.46324482001364,34.94987932778895,0.0
1/20,16/20,1850,185000,53.96636247634888,8574.656338214874,50.68354397639632,38.36582040786743,0.0
1/20,17/20,1900,190000,53.697827100753784,8649.362802028656,50.729007510468364,35.79420379269868,0.0
1/20,18/20,1950,195000,59.99708104133606,8695.82149362564,49.360500222072005,39.7601274298504,0.0
1/20,19/20,2000,200000,54.46583795547485,8791.682258605957,49.8884019497782,39.8000214099884,0.0
2/20,0/20,2050,205000,55.219011068344116,8906.467144966125,48.00073944404721,38.928125442005694,0.0
2/20,1/20,2100,210000,56.61582612991333,8928.382566452026,49.173224695026875,40.75168358068913,0.0
2/20,2/20,2150,215000,57.75807428359985,9140.161885738373,49.91649899818003,38.90236838720739,0.0
2/20,3/20,2200,220000,54.30334496498108,9077.677809715271,49.7745986841619,35.796841038390994,0.0
2/20,4/20,2250,225000,55.683942794799805,9145.98488521576,49.953276520594954,37.148132090456784,0.0
2/20,5/20,2300,230000,59.93164658546448,9303.792303562164,48.49828941002488,37.71732745599002,0.0
2/20,6/20,2350,235000,55.5498251914978,9337.26401758194,49.562183283269405,37.45854860730469,0.0
2/20,7/20,2400,240000,54.82758617401123,9325.216923713684,49.849430833011866,38.977997809648514,0.0
2/20,8/20,2450,245000,58.508737564086914,9414.628356456757,49.63298754580319,40.134782291948795,0.0
2/20,9/20,2500,250000,54.967095375061035,9414.014530658722,50.78490453958511,37.27872973680496,0.0
2/20,10/20,2550,255000,53.28815221786499,9518.922791481018,51.522969391196966,37.78028195630759,0.0
2/20,11/20,2600,260000,55.74465012550354,9521.332384109497,51.15043598599732,36.5108338855207,0.0
2/20,12/20,2650,265000,57.32714653015137,9520.356712818146,50.73262230306864,35.63708104658872,0.0
2/20,13/20,2700,270000,52.473114252090454,9575.4254322052,51.44404595717788,34.26743532065302,0.0
2/20,14/20,2750,275000,53.785045862197876,9652.733642578125,49.73851330578327,34.33502097707242,0.0
2/20,15/20,2800,280000,57.507243156433105,9714.313645839691,49.48843737691641,35.49914827244356,0.0
2/20,16/20,2850,285000,53.438506841659546,9704.25250005722,48.49498227983713,34.939307786524296,0.0
2/20,17/20,2900,290000,52.225385904312134,9697.246493816376,49.29067897610366,33.62498300243169,0.0
2/20,18/20,2950,295000,54.55337476730347,9808.425137043,48.50925639458001,33.56355083826929,0.0
2/20,19/20,3000,300000,57.51827573776245,9847.50146818161,47.55304625071585,33.55551225878298,0.0
3/20,0/20,3050,305000,52.40425086021423,9783.349145412445,47.95041583292186,33.04759852960706,0.0
3/20,1/20,3100,310000,51.77049517631531,9844.802791595459,47.223389234393835,31.707831740379333,0.0
3/20,2/20,3150,315000,55.66086745262146,9967.831487178802,45.493581522256136,32.59302954468876,0.0
3/20,3/20,3200,320000,52.42921233177185,9901.790139198303,46.348727283999324,32.47524142358452,0.0
3/20,4/20,3250,325000,51.00019431114197,9969.901258945465,45.35687162540853,33.12834430206567,0.0
3/20,5/20,3300,330000,52.78088307380676,9948.106579780579,44.94051547162235,33.033231154084206,0.0
3/20,6/20,3350,335000,55.76947546005249,9974.997901439667,45.75698444060981,30.95979025401175,0.0
3/20,7/20,3400,340000,51.45245170593262,10078.29673910141,44.02008927799761,30.73442073445767,0.0
3/20,8/20,3450,345000,51.1626501083374,10052.19799375534,43.20469625853002,31.52927853818983,0.0
3/20,9/20,3500,350000,55.96217727661133,10030.212289333344,44.34808664210141,31.276882351376116,0.0
3/20,10/20,3550,355000,52.82610535621643,10104.502473831177,43.3780363984406,32.88973531592637,0.0
3/20,11/20,3600,360000,51.20002627372742,10168.105262756348,43.58855043165386,30.871397266164422,0.0
3/20,12/20,3650,365000,51.83161163330078,10128.415624141693,43.85104413703084,28.70575681142509,0.0
3/20,13/20,3700,370000,56.46109747886658,10105.91569519043,43.70892849750817,29.385809922590852,0.0
3/20,14/20,3750,375000,50.87649583816528,10146.987073898315,43.13160031475127,27.519666200503707,0.0
3/20,15/20,3800,380000,51.03096032142639,10204.660232067108,43.74976444244385,28.1303500700742,0.0
3/20,16/20,3850,385000,56.50028133392334,10177.052792072296,43.33380656503141,27.058622096665204,0.0
3/20,17/20,3900,390000,54.401466846466064,10207.279000759125,42.95940381474793,26.891855558846146,0.0
3/20,18/20,3950,395000,53.004761934280396,10221.42057466507,43.08959726244211,26.916379385627806,0.0
3/20,19/20,4000,400000,54.13373351097107,10199.559878349304,43.48605745472014,26.73095334554091,0.0
4/20,0/20,4050,405000,56.60966730117798,10190.277704715729,42.478309178724885,26.685019962489605,0.0
4/20,1/20,4100,410000,52.05006980895996,10286.628125190735,42.010852297768,25.5256629739888,0.0
4/20,2/20,4150,415000,52.56803584098816,10265.226316452026,41.32318249903619,25.87828621454537,0.0
4/20,3/20,4200,420000,56.655898571014404,10280.644611358643,42.14377918839455,27.428139832802117,0.0
4/20,4/20,4250,425000,54.168517112731934,10299.80627822876,41.34836522117257,26.094022125471383,0.0
4/20,5/20,4300,430000,53.53226065635681,10345.978687763214,42.170525036752224,27.54270688071847,0.0
4/20,6/20,4350,435000,55.530309438705444,10276.229321956635,42.03590010665357,28.183496040292084,0.0
4/20,7/20,4400,440000,58.344825983047485,10302.867710590363,41.7371681034565,29.538464386947453,0.0
4/20,8/20,4450,445000,54.55115056037903,10311.807034492493,43.95443490892649,29.479295012541115,0.0
4/20,9/20,4500,450000,55.16033983230591,10405.683311462402,43.11127280257642,28.823347900994122,0.0
4/20,10/20,4550,455000,57.50920510292053,10346.362569332123,43.54686112701893,28.28178039751947,0.0
4/20,11/20,4600,460000,54.12836480140686,10347.982591152191,41.54087304510176,28.237744588404894,0.0
4/20,12/20,4650,465000,52.81813907623291,10325.305785655975,41.82514580152929,27.081853041425347,0.0
4/20,13/20,4700,470000,56.3081271648407,10362.342240810394,41.98509137518704,27.650229998864233,0.0
4/20,14/20,4750,475000,58.63386106491089,10382.598654270172,42.7560985032469,27.42667278740555,0.0
